date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,待分配股票股利,待註銷股本股數,應付帳款合計,應收帳款淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,2119364,16565,-128178,-167879,46023,699477,386717,-332423,-117046,188884,946819,188197,176941,-47498,2591365,,,,5785241,4502410,700680,,4208481,2013年03月31日,-432864,3865555,3808114,0,40347,11106533,12133293,89655,264339,,3705982.0,4432931,4208481,,,,11594773.0,60234,,15460328.0,,40043,177807,260000,57441,488240,3327035,0.0,0
2013-08-12,2,2013,2087424,10865,-116628,-149092,45810,731337,308967,-271970,-103796,160989,1369329,192090,156769,-19082,1779698,,0.0,,7401883,7367115,702583,,4206831,2013年06月30日,-421314,3928714,3877485,0,40347,12051767,13234666,76106,264339,,2409557.0,3757558,4206831,,,,12548033.0,59252,,16476747.0,,45843,162524,258333,51229,496266,3242081,,0
2013-11-13,3,2013,1991044,10865,56554,-138189,37713,1021400,360590,-249754,-71799,227117,1554017,182719,153774,-39766,2566081,,,,9567955,8439952,693837,,4206831,2013年09月30日,-248132,4101608,4066295,0,40347,15470625,16955682,65048,264339,,4035042.0,4654153,4206831,,,,15948283.0,52664,,20049891.0,,41606,141928,253333,35313,477658,3094209,,0
2014-03-25,4,2013,1802688,10865,71112,-116099,40802,785611,385238,-184135,-52045,223645,1430430,7194,141216,-15991,2304476,2304476.0,,,7662662,5398172,679308,,4202701,2013年12月31日,-219825,4137110,4137110,0,40347,11451227,13075844,26112,250590,,3557528.0,2779309,4202701,,,,11758978.0,47432,,15896088.0,,52224,119253,248333,0,307751,2820244,,0
2014-05-02,1,2014,1803655,10865,152268,-100446,51456,846704,359856,-135705,-42212,199587,4202654,7341,150638,6953,2185484,,,,6501575,6159574,669256,,4196231,2014年03月31日,-138669,4262238,4262238,0,40347,14064436,15821289,22057,250590,2913721.0,,6497521,4196231,,,,14372033.0,49444,,18634271.0,19049.0,56923,105055,243333,0,307597,2812982,,0
2014-08-13,2,2014,1783607,10865,76650,-119196,32706,1355165,403298,-174387,-28227,89500,2844127,6952,137916,-26964,2232933,,,0.0,4664459,3848892,497079,,4196231,2014年06月30日,-214287,4136023,4136023,0,40347,10861579,12711943,28233,250590,3382693.0,,4752455,4196231,,,,11176702.0,37529,,15312725.0,,49977,110376,258194,0,315123,2600782,,0
2014-11-07,3,2014,1814613,10865,88012,-123243,28658,1411120,394503,-139574,-19238,113833,747285,7181,138457,2907,3688428,,,0.0,6688253,6517733,494391,,4187636,2014年09月30日,-202925,4206700,4182198,0,40347,12265392,14164627,27381,250590,2816678.0,,4052186,4187636,,,,12581446.0,46124,,16788146.0,,56095,109154,252778,24502,316054,2623519,,0
2015-03-25,4,2014,1894804,10865,258430,-128783,23118,668092,631543,-73959,-12564,175419,900318,7510,147902,67388,2454758,,,0.0,5649973,4870282,495933,,4187636,2014年12月31日,-32507,4442063,4418231,0,40347,10756734,12746224,24139,250590,3889323.0,,3367449,4187636,,895801.0,,11094412.0,46124,,15536475.0,,81835,193490,248333,23832,337678,2790251,,0
2015-05-12,1,2015,1854675,10865,191194,-118185,131891,502985,447489,-86325,-8501,186479,784446,7453,151999,40361,1867516,,,0.0,3310961,3779192,488004,,4186276,2015年03月31日,-99743,4361066,4338166,0,40347,8924919,10831429,21674,250590,,3952786.0,4061006,4186276,13682736.0,863488.0,9321670.0,,47021,13682736.0,,0.0,76299,192199,312999,22900,396751,2851307,,0
2015-08-10,2,2015,1828638,10865,104058,-112246,196894,662051,480659,-122986,-38663,341634,663051,7318,185972,27923,2041234,,,0.0,3743751,3311642,480974,70048.0,4186276,2015年06月30日,-186879,4238514,4214369,0,40347,7303154,9402984,28268,250590,,2906398.0,2441918,4186276,12334602.0,113800.0,8096088.0,,47021,12334602.0,,,73752,129959,711864,24145,792934,2931618,,0
2015-11-12,3,2015,1807176,10865,7307,-85434,242421,783044,647014,-51672,-38663,311463,637135,7944,296237,72425,2488800,,,0.0,5851723,4828620,479058,70244.0,4186276,2015年09月30日,-283630,4191366,4188932,0,40347,9962944,11882918,24987,250590,,3281349.0,2913883,4186276,14944097.0,102831.0,10752731.0,,47021,14944097.0,,,82866,130191,698977,2434,789787,3061179,,0
