date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,在建房地,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,工程存出保證金,庫藏股票,待售房地,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,暫收款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,,341200,4565276,,249965,4420473,-221035.0,1030496,761091,,2342188,2080113,262075,10069160,-279252,,1609169,777132,2870380,409001,393918,2500.0,363150,6678,402011,17222,,-58217.0,2050997,46043,23138,3694041,3554243,139798,2067461,0.0,1503246,,,,3021143,2216068,1197747,317673,5380229,1076744,10532,149726.0,1736792,3074704,15250175,,2013年03月31日,1070881,,19600282,19412014,0,470651,15317141,28070669,,,,1856215.0,224914.0,,2878941,160703.0,,1777197.0,24204.0,4421810,15250175,,167139,142197,,19555248.0,20618,1757.0,18861.0,,,39155530.0,,3305,1376843,70108,2355917,188268,4238107,11084861,302370,359151.0,490837.0,0
2013-08-13,2,2013,,,465685,4547244,510030.0,249965,4230211,,688053,781731,,2512692,2225828,286864,10188414,-322537,,1959536,983821,3135563,482309,616605,2500.0,200401,7053,388053,4569,,,2255233,44684,24527,3951601,3758603,192998,2036649,,1503370,,,,3008064,1915869,1219099,176805,4884610,1188709,9474,148664.0,1735047,3274855,15250175,,2013年06月30日,848212,,19326077,19178467,0,509513,15480954,27154738,,,,1525732.0,224794.0,,2872486,0.0,,1196473.0,26695.0,4495115,15250175,,167079,142197,,19087263.0,20618,,,,,38413340.0,,3305,1351186,56913,1912525,147610,3606309,11258602,382804,356457.0,,0
2013-11-13,3,2013,,,387089,4568779,854839.0,249965,4314972,,649492,745848,,3099874,2816062,283812,10453867,-394574,,2157706,915778,3401680,463482,904419,2500.0,193576,6443,372229,4542,,,2405153,44791,28037,4112328,3918668,193660,2033779,,1513515,,,,3050512,1850930,1289312,261796,5215340,1176549,7151,142342.0,1730157,3226312,15250175,,2013年09月30日,936201,,19341757,19191191,0,509513,16023574,28216343,,,,1541589.0,223149.0,,2869258,0.0,,1259431.0,40398.0,4107566,15250175,,165480,142197,,20048898.0,20618,,,,,39390655.0,,3321,1351807,57873,2337744,150566,4025324,11174312,395595,337150.0,,0
2014-03-27,4,2013,,,307270,4855980,109253.0,246229,4475348,,678219,697150,,3047870,2739322,308548,10517266,-433747,,1098555,682032,3338194,377296,844440,2500.0,171461,1591,96996,9743,,,2634745,41898,28903,3857797,3693008,164789,2116458,,1058263,,,,3269752,2231359,1289845,259037,5433950,1008661,7344,127972.0,1092641,3217723,15250175,,2013年12月31日,1099804,,19461711,19312394,0,509513,15939032,28261410,,,,1480090.0,268188.0,,2866031,0.0,,1547521.0,36194.0,4512215,15250175,,194205,239781,,19398730.0,20618,,,,,38860441.0,,3326,1361107,124124,1687349,149317,3459698,10599031,389042,55850.0,,0
2014-05-14,1,2014,,,94300,4841514,,246229,4512727,-479486.0,716114,645889,,2966045,2684226,281819,10280905,-451422,,928525,688919,3374975,483619,778280,0.0,177784,1427,188775,93795,,28064.0,2835048,46507,29040,4100411,3893350,207061,2113076,0.0,1058302,,0.0,729650.0,3305648,1766821,1281388,226494,5056898,1007004,6781,129850.0,1092570,3244231,15250175,,2014年03月31日,1140411,,19547478,19393788,0,509513,15244665,28269596,,,,1538344.0,208301.0,,2862803,0.0,1783876.0,,43083.0,4533065,15250175,,193596,239781,,19313817.0,82308,1757.0,80551.0,,,38861295.0,10850.0,3330,1363829,124190,1547258,153690,4069152,10591699,400958,65940.0,145306.0,0
2014-05-14,1,2015,,,435600,3456874,,82296,6759485,-525558.0,733822,566435,0.0,2465790,2196706,269084,9816864,-445388,,1765435,753615,3805400,511765,1030072,0.0,197555,5152,138449,69109,115191.0,80170.0,4270498,47221,45840,5969382,5927072,42310,2263563,0.0,1656574,0.0,0.0,746007.0,2911872,2134450,902856,242418,3600868,854217,12719,,910082,3204086,15250175,,2015年03月31日,3374585,28061.0,21810119,21646580,0,535007,11589022,27685046,145182.0,115191.0,902693.0,,,1413452.0,2849893,0.0,,1631478.0,,890500,15250175,37903917.0,247640,117260,16093798.0,,82308,1757.0,18861.0,61690.0,37903917.0,,17000.0,36370,1040287,332006,2386667,163539,4504776,10218871,321233,23500.0,576220.0,0
2014-08-13,2,2014,,,210667,4840266,,241176,4308879,,750952,622822,,2841430,2572222,269208,10249163,-519457,,1497765,928415,2966902,521307,268707,0.0,178197,1913,171525,89310,,,3284915,45449,28710,4538719,4343181,195538,2176888,0.0,1058266,,0.0,733731.0,3533511,1700432,1209410,254456,5158921,1077482,8376,130835.0,1091016,3222460,15250175,,2014年06月30日,914296,,19277965,19121905,0,535007,12362659,28488254,,,,1766457.0,204740.0,,2859576,0.0,1611929.0,,15288.0,1118000,15250175,,192367,239781,,19708359.0,82308,,,,,38986324.0,14000.0,3258,1368169,104065,4811822,156060,7345700,10498070,356095,53505.0,358683.0,0
2014-11-13,3,2014,,,217946,3606542,,82296,4613760,-661840.0,745113,488005,,2807406,2530761,276645,10199826,-635970,,1398907,903448,3134834,513362,442631,,169600,843,149067,84629,115191.0,25870.0,3536417,40761,30155,5560559,5352799,207760,2178841,,1816382,,0.0,737812.0,3213037,1819900,1209321,238469,4624211,329093,8012,127996.0,884746,3228272,15250175,,2014年09月30日,1222405,,19468398,19310273,0,535007,12027011,29187358,,115191.0,,1732365.0,238772.0,,2856348,,2575319.0,,24687.0,1123840,15250175,,191444,259457,,18783382.0,82308,1757.0,18861.0,61690.0,,38251780.0,16500.0,0,1169880,271531,4403122,158125,6756371,9064422,278026,34283.0,277513.0,0
2015-03-30,4,2014,,,467900,3407849,,82296,4757128,,752623,592065,,2573764,2304258,269506,10205188,-396438,,1545288,675766,3314489,532290,559594,0.0,188375,1405,155271,74474,115191.0,,3871456,42854,30260,5805062,5780740,24322,2222605,,1909284,,0.0,741893.0,3059241,1813430,1177174,267289,3399926,646843,2317,144116.0,951434,3220063,15250175,,2014年12月31日,1369000,,19853547,19693173,0,535007,11807017,27854224,,115191.0,,963203.0,1399013.0,,2853121,0.0,2481070.0,,22799.0,1100000,15250175,,248032,145370,,18256519.0,82308,,,,,38110066.0,13400.0,0,1176049,332660,4184415,160374,6449502,10255842,283503,50537.0,401622.0,0
2015-08-13,2,2015,,,353300,3438997,,82296,6513889,-622545,688412,490568,0,2434265,2123499,310766,9990491,-563532,,1972677,960098,3634197,495609,956103,0,199969,5679,151862,71517,115191,59013,4706344,43855,44345,6392053,6362891,29162,2182485,0,1656547,0,0,750185,2959335,1991401,1201458,327590,3648440,797845,3225,,906669,3275814,15250175,,2015年06月30日,3080559,27977,21450978,21282840,0,586664,12222512,28244170,150435,115191,869620,,,1411721,2846666,0,,1742648,,1061163,15250175,38424161,246646,117260,16973183,,82308,1757,18861,61690,38424161,,10850,176558,1051714,306873,2620693,168138,4750671,10179991,300681,36000,659279,0
