date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代付款,代收款,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之長期負債準備,保留盈餘合計,備供出售金融資產－流動淨額,備抵呆帳－其他應收款項,備抵呆帳－其他應收關係人款項,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵呆帳－應收關係人帳款、分期帳款及租賃款,備抵呆帳－長期應收款項,備抵存貨跌價,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付票據,其他應付費用,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他應收票據,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期借款,其他設備成本,其他設備淨額,其他設備－重估增（減）值,其他金融資產－其他－非流動,其他金融資產－非流動合計,其他長期借款,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預付費用,其他預收款,半成品,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,員工福利負債準備－流動,商品存貨,商譽,土地成本,土地淨額,土地－重估增（減）值,在建工程（營造業適用）合計,在建工程－工程損益,在製品,在途原物料,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,專利權,專利權淨額,工程進度請款金額,庫存現金,庫藏股票,待註銷股本股數,應付公司債合計,應付利息,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人合計,應付租金,應付薪資,應付退休金費用,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收所得稅退稅款,應收收益,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,房屋及建築成本,房屋及建築淨額,房屋及建築－重估增（減）值,投資性不動產淨額,投資性不動產－土地,投資性不動產－土地－重估增值,投資性不動產－建築物,投資性不動產－建築物－重估增值,持有供交易之金融資產評價調整－流動,持有供交易之金融資產－流動,持有至到期日金融資產－流動淨額,按攤銷後成本衡量之金融資產－流動淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,暫付款,暫估應付帳款,暫收款,會計項目,有待法律程序決定之長期負債準備,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,機器設備成本,機器設備淨額,機器設備－重估增（減）值,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,物料,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－機器設備,累計折舊－試驗設備,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－以成本衡量之金融資產－非流動,累計減損－其他設備,累計減損－專利權,累計減損－投資性不動產－建築物,累計減損－採用權益法之投資,累計減損－機器設備,累計減損－試驗設備,累計減損－辦公設備,累計減損－運輸設備,股本合計,製成品,試驗設備成本,試驗設備淨額,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,辦公設備－重估增（減）值,追溯適用及追溯重編之影響數,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,進項稅額,運輸設備成本,運輸設備淨額,運輸設備－重估增（減）值,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行存款,銀行透支,銀行長期借款,銷項稅額,長期借款合計,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期應收款,長期應收票據,長期應收票據及款項淨額,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-13,1,2013,4368,4368,117031,,,,4500,1337,,-1989086,,,,15887,0.0,7.0,,220275,,4199,0.0,4199.0,,,850,850,10456,10456,43680.0,0.0,,4933,547.0,1118,1118.0,20.0,2126,1186,,12035.0,12035.0,,4624,240626,,0.0,,1101.0,0.0,,,327.0,120735,624,,0.0,47419,47419,,1540.0,,97677.0,,4624,34340,45104,43564,,11714.0,0.0,,76627.0,0.0,,,,25146,25146,7627,7627,,4194,4194,,,,,37093,21206,4574,4567,286,,1356,45036,0.0,0.0,93144,67194,,47573,37408,,21975,,,,,,4737,4737,2497089,,,,2013年03月31日,,-1989086,,,,8103,1176,,510323,510323,0,,156063,237488,0.0,,,,,,,421,,76627.0,10838.0,,286.0,109340,-1989086.0,940,25950,11810.0,6927,,10,0.0,3163.0,,11714.0,,0.0,,,,,2497089,45006,,,,624,,,178706.0,2320,,,2320.0,,,689029.0,66,56,,,0.0,,327,211.0,0.0,0.0,,,40237.0,109320.0,,,18019.0,,18019,,,194251.0,,194251,,0.0,22643,451541,0.0,31911,0.0,19761,18,0,18.0
2013-08-12,2,2013,4400,4400,111991,,,,4500,1337,,-1990980,,,,14882,0.0,4.0,,216627,,3600,,3600.0,,,12866,12866,10394,10394,0.0,0.0,,6620,319.0,1144,1144.0,20.0,2126,1099,,13286.0,13286.0,,4624,274532,,,,916.0,0.0,,,417.0,115378,679,,0.0,45719,45719,,1735.0,,109484.0,,4624,37315,56891,55156,,11714.0,0.0,,58601.0,0.0,,,,26805,26805,6506,6506,,1017,1017,,,,,51983,37101,2954,2950,293,,5164,5164,0.0,0.0,90044,64108,,51566,39108,,25075,,,,,,4261,4261,2497089,,,,2013年06月30日,,-1990980,,,,8103,1012,,508429,508429,0,,154567,200602,0.0,,,,,,,324,,58601.0,11359.0,,293.0,109340,,1027,25936,12617.0,7091,,13,0.0,3163.0,,11714.0,,,,,,,2497089,46597,,,,679,,,176097.0,2320,,,2320.0,,,684526.0,66,53,,-1990980.0,,,417,0.0,0.0,0.0,,,40237.0,109320.0,,,16906.0,,16906,,,,223931.0,223931,,0.0,21530,483924,0.0,14781,,2506,1901,0,1901.0
2013-11-12,3,2013,4434,4434,111460,,,,4500,1337,,-2051339,,,,11717,0.0,8.0,,236885,,3991,44.0,3991.0,,,275,275,10319,10319,0.0,0.0,,6071,197.0,4975,4975.0,20.0,730,922,515.0,13032.0,13032.0,,1420,241172,,,,911.0,0.0,,,538.0,115337,694,,0.0,47419,45719,-1700.0,1661.0,,100293.0,,1420,33889,25395,23734,,11714.0,0.0,,88.0,0.0,,,,23057,23057,647,647,,6083,6083,,,,,61500,49783,1900,1892,315,,2402,2402,0.0,0.0,67834,63483,-2445.0,51399,37408,1700.0,10318,2476.0,,,,,4268,4268,2497089,,,,2013年09月30日,,-2051339,,,,1342,1288,45.0,448070,448070,0,,149927,165470,0.0,,,,,,,425,,53362.0,10300.0,,315.0,109340,,267,1906,503.0,99,,13,0.0,3163.0,56.0,11714.0,,,,,,,2497089,44564,,,,694,,,167132.0,2320,,,2320.0,,,615202.0,61,48,0.0,-2051339.0,,,538,0.0,0.0,0.0,0.0,,40096.0,109320.0,53274.0,,15785.0,,15785,,,,194251.0,194251,,0.0,17205,449732,0.0,16214,,5003,1440,0,1440.0
2014-03-20,4,2013,4468,4468,110314,,,,1500,1337,,-2065757,,,,12263,0.0,6.0,,213943,,5872,,5872.0,,,466,466,10171,10171,0.0,0.0,,6425,157.0,1082,1082.0,20.0,1205,813,,13105.0,13105.0,,1374,242641,,,,1073.0,1800.0,,,5780.0,114768,532,,0.0,45719,45719,,2120.0,2120.0,104704.0,,1374,35285,30004,27884,,11714.0,0.0,,88.0,0.0,,,,23032,23032,1315,1315,,1669,1669,,,,,28171,15908,1723,1717,323,,527,527,0.0,0.0,90044,62857,,51231,39108,,23675,,644.0,,,,3664,3664,2497089,,,,2013年12月31日,,-2065757,,,,24639,886,,433652,433652,0,,148185,151550,0.0,,,,,,,332,,72239.0,8962.0,,323.0,109340,,336,27187,11552.0,1563,,8,0.0,163.0,56.0,11714.0,,,22190.0,,,,2497089,22023,,,,532,,,164215.0,2320,,,2320.0,,,597867.0,47,39,,-2065757.0,,,6424,0.0,0.0,0.0,,,37130.0,109320.0,72151.0,,14656.0,,14656,,,,194251.0,194251,,0.0,16030,446317,0.0,12689,,2654,1800,0,0.0
2014-05-13,1,2014,4501,4501,110070,,,,1500,1337,,-2071709,,,,11873,,1.0,,214005,0.0,5307,,5307.0,,,359,359,10123,10123,0.0,0.0,,5911,315.0,1058,1058.0,0.0,1295,905,,12856.0,12856.0,,1374,243068,,0.0,,1652.0,1095.0,,,9849.0,116471,601,,0.0,45719,45719,,2186.0,,106665.0,,1374,35961,33900,31714,,11714.0,0.0,,41131.0,0.0,0.0,,,23340,23340,507,507,,1691,1691,,,,,26758,14885,855,854,357,,561,561,77.0,77.0,90044,62232,,51063,39108,,25075,,,,,,2713,2713,2497089,,,,2014年03月31日,,-2071709,,,,24302,1174,,427700,427700,0,,145677,142949,0.0,,,,,,,365,41131.0,,8687.0,,357.0,108320,-2071709.0,390,27812,13120.0,1275,,26,0.0,163.0,0.0,11714.0,,,21853.0,,,,2497089,22218,,,,601,,,160569.0,2320,,,2320.0,,,588269.0,66,40,,,0.0,,9849,343.0,0.0,0.0,,,37069.0,108320.0,,,13518.0,,13518,,,194251.0,,194251,,0.0,14892,445320,0.0,29795,,19113,1095,0,0.0
2014-08-13,2,2014,4547,4547,90843,,,,1337,1337,,-2109834,,,,11872,,,,134247,0.0,4429,,4429.0,,,387,387,7566,7566,,0.0,,4962,280.0,268,268.0,0.0,69759,857,,,,,1370,216216,,,,,,,,,115860,610,141.0,,45719,45719,,,,18255.0,,1370,21965,25211,25070,141.0,11714.0,0.0,493.0,88.0,0.0,0.0,,,27685,27685,6126,6126,,3099,3099,,,,,49869,37997,1582,1582,332,,2116,2116,,,63031,43125,,69378,39108,,56017,,721.0,4281.0,,,2413,2413,2497089,,,,2014年06月30日,3884.0,-2109834,,,-2109834.0,42450,1122,,389575,389575,0,0.0,155724,131072,0.0,,,24189.0,24189.0,,,382,36504.0,,,,332.0,108320,,68902,19906,25747.0,41328,,3901,,,,11714.0,,,,,,,2497089,24820,,,,610,3884.0,,173335.0,2320,2320.0,,,,,562910.0,3921,20,,,,,5002,,,,,,27462.0,108320.0,36416.0,,12357.0,,12357,,,194251.0,,194251,,0.0,17611,431838,,14107,,14107,135,0,135.0
2014-10-23,3,2014,4597,4597,76581,,,,51500,51337,,-2474561,,,,11872,0.0,0.0,80463.0,134247,0.0,5727,0.0,5727.0,,,1042,1042,21,21,0.0,0.0,,4945,348.0,328,328.0,0.0,69721,809,0.0,0.0,0.0,,1026,221833,,0.0,,732.0,0.0,,,,113977,538,,0.0,32003,32003,0.0,0.0,0.0,9121.0,,1026,27582,17420,17420,,0.0,0.0,,88.0,0.0,0.0,,,30981,30981,4200,4200,,83,83,,,,,46202,34330,2931,2931,334,,472,472,0.0,0.0,63031,42688,0.0,35352,14916,0.0,29813,0.0,-2863.0,26139.0,,,2534,2534,2997089,,,,2014年09月30日,3883.0,-2474561,,,,42450,1065,0.0,524848,524848,0,,122794,231106,0.0,,,17703.0,17703.0,,,359,140642.0,,6924.0,,334.0,76320,-2474561.0,68975,20343,9639.0,41721,,3905,0.0,163.0,-63.0,0.0,-262.0,,-336.0,,,,2997089,28210,,,,538,3883.0,,138886.0,2320,,,2320.0,,,663734.0,3921,16,0.0,,,,23276,0.0,0.0,0.0,0.0,,27288.0,76320.0,140554.0,,11183.0,,11183,,,274714.0,,194251,,0.0,16092,432628,0.0,10310,,2654,0,0,0.0
2015-03-27,4,2014,4625,4625,76327,,,,161500,161337,,-2498257,,,5005.0,11314,,1.0,80463.0,25485,,5165,,5165.0,,,387,387,5045,10050,,,,4902,277.0,41,41.0,0.0,69714,761,,,,,1026,197847,,,,2234.0,0.0,5321.0,,,23386,424,113.0,,32003,32003,,0.0,0.0,,,1026,3596,13787,13674,113.0,,,,88.0,,0.0,,,26929,26929,343,343,,1368,1368,,,,,22403,11089,1788,1787,316,,1392,1392,,,63032,42251,,35150,14916,,29812,,,40983.0,,,3399,3399,2997089,,,,2014年12月31日,,-2498257,,,-66000.0,42450,947,,501152,501152,0,,115766,136765,,,,17134.0,17134.0,,,329,53051.0,,6597.0,315.0,316.0,76320,-2432257.0,68959,20781,9840.0,41839,,3539,,163.0,-6.0,,-262.0,,-336.0,,,,2997089,10123,,,,424,,,126807.0,2320,,,2320.0,,,627959.0,3904,365,,,,,40983,2.0,,,,,0.0,76320.0,52963.0,,10015.0,,10015,,,274714.0,,194251,,,11041,491194,,8887,,54,0,0,
2015-05-13,1,2015,4654,4654,75851,48.0,,,161500,161337,,-2505303,,,4986.0,12011,,0.0,80463.0,25526,,4531,,4531.0,,,387,387,17,5003,,,,4868,214.0,122,0.0,,69794,791,,,,,632,214338,,,570.0,2235.0,0.0,,,47572.0,23495,477,113.0,,32003,32003,,0.0,0.0,6355.0,,632,2316,11257,11144,113.0,,,,91.0,,,,,30187,30187,343,343,,2322,2322,,,,,30512,18501,9856,9856,317,,2210,2210,,,63032,41813,,34949,14916,,20033,,,,,,2678,2678,2997089,74.0,,,2015年03月31日,,-2505303,315.0,317.0,-7046.0,42450,897,,494106,494106,0,,118363,115688,,,,,,17101.0,17101.0,376,,13072.0,6637.0,,,75320,-2498257.0,69003,21219,,41553,,3557,,163.0,,,,,,,,,2997089,6444,,,621942.0,477,,127836.0,,2320,,,2320.0,,621942.0,,3904,347,,,,,47572,391.0,,,,,0.0,75320.0,12981.0,,8841.0,,8841,,,274714.0,,194251,,,9473,506254,,12377,17771.0,2544,0,0,
2015-08-14,2,2015,4684,4684,75300,53.0,,0.0,161500,145337,,-2530354,0.0,,4986.0,12061,,0.0,80463.0,25691,0.0,3818,,0.0,,2442.0,395,395,18,5004,,0.0,,5078,394.0,252,0.0,,69794,740,,,,,435,219563,,,570.0,1750.0,,,,,22681,471,113.0,,32003,32003,,,,5472.0,,435,1281,5937,5824,113.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,31.0,25865,25865,1835,1835,0.0,1766,1766,0.0,,1345.0,,30874,18813,7645,7645,17,,3372,3372,,0.0,63032,41376,,34748,14916,,29812,,0.0,35489.0,0.0,0.0,3523,3523,2997089,199.0,,,2015年06月30日,0.0,-2530354,13.0,17.0,-34417.0,42450,859,,466735,466735,0,0.0,114166,93922,0.0,,0.0,,,16602.0,16602.0,350,,13581.0,5732.0,,,75320,-2495937.0,63747,21656,9980.0,18756,,3178,,16163.0,5307.0,0.0,,,22835.0,,366.0,,2997089,3012,,,588995.0,471,0.0,122260.0,,0,0.0,0.0,0.0,0.0,588995.0,,3866,322,,,0.0,0.0,35489,2.0,,,,0.0,0.0,75320.0,13493.0,,7659.0,,7659,0.0,0.0,274714.0,,194251,,0.0,8094,495073,,8403,24031.0,349,0,0,0.0
