date,season,year,不動產、廠房及設備合計,以成本衡量之金融負債－流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,工程進度請款金額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,指定按公允價值衡量之金融負債信用風險變動影響數總額,按攤銷後成本衡量之金融負債－流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,確定福利計畫再衡量數總額,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之權益－母公司,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,198585,,22000,390028,-37145.0,28642,0,,130122,,27021,-37217,,6092,,38216,15469,,-72.0,183668,,0,,,363773,6775,,,,32093,,677687,4282,8938,1094.0,0,,,209236,718391,2013年03月31日,165366,,1470572,1262966,0,178586,569047,1659263,15324,46076,,,,690579.0,,24924.0,,,718391,,,,,5268,,658553.0,191764,,,,,,,,622.0,191142.0,,,,,,2129125.0,,,,51290,9248,,,,207606,89506,469862,37352,,0
2013-08-09,2,2013,193080,,1000,344398,,27697,74011,0.0,233361,,39593,-14439,,18917,,38477,17562,,,180966,,0,0.0,,408327,2372,,,,28428,,684627,5717,9590,1342.0,47967,,,148635,718391,2013年06月30日,113663,,1442951,1239957,0,189909,714371,1738105,15171,40826,0.0,0.0,,721007.0,,16007.0,1472.0,,718391,,,,,5487,,801828.0,191607,,,,,,,,,,,,,,,2244779.0,,,,48980,9248,,,,202994,87457,506674,67566,0.0,0
2013-11-08,3,2013,184310,,1000,382608,,27306,78935,,133374,,18364,-10912,,10065,,38932,14920,,,188121,,0,,,422572,1911,,,,35185,,684716,11630,8126,1272.0,47967,,,153318,718391,2013年09月30日,151873,,1483566,1281619,0,189909,627290,1695180,14690,40826,,,,694417.0,,11315.0,7528.0,,718391,,,,,5340,,718762.0,191532,,,,,,,,,,,,,,,2202328.0,,,30235.0,52540,12008,,,,201947,91472,507148,30993,,0
2014-03-21,4,2013,187286,,1000,415800,,51541,75569,,140752,,12903,-10737,,12641,,33228,15687,,,180876,,0,,,401070,1030,,,,30142,,604100,11056,8444,0.0,47967,,,158513,718391,2013年12月31日,185065,,1486959,1314596,0,189909,608386,1674762,13593,40826,,,,718517.0,,17755.0,0.0,,718391,,,,,4996,,702604.0,191142,,,,,,,,,,,,,,,2189563.0,,,63635.0,55573,15186,,,5417.0,172363,94218,514801,23690,,0
2014-05-09,1,2014,181573,,1000,476804,9580.0,49520,93773,,138604,,34575,11293,,18897,,33802,49593,,1713.0,190051,,0,,0.0,443918,1214,,,,9320,,631597,13967,8743,0.0,47967,,,170660,718391,2014年03月31日,246069,,1582752,1408932,0,189909,642014,1749848,13215,40826,,,728091.0,,,25196.0,,,718391,,,,,4865,,740063.0,202444,,,,,,,,11302.0,191142.0,,,,,,2322815.0,,,64866.0,59664,15186,,,4583.0,173820,98049,572967,28438,,0
2014-08-08,2,2014,302083,,1000,427247,85031.0,37987,171849,,272566,,29245,84661,0.0,8303,,33817,11891,0.0,-370.0,187006,,0,,0.0,529650,2235,,,,10244,,744293,15524,6641,0.0,47967,,,163149,718391,2014年06月30日,211679,,1604461,1432743,0,204831,855824,1829891,13112,10737,,,711511.0,,0.0,25540.0,,,718391,0.0,,,,5464,,951667.0,202444,,,,,,,,0.0,202444.0,,,,,,2556128.0,0.0,1822.0,52065.0,62026,15186,,0.0,0.0,171718,95843,726237,45619,,0
2014-11-07,3,2014,295547,,1000,511906,0.0,36541,78437,,157313,,9948,9626,9626.0,13043,,34295,12445,0.0,0.0,190663,,0,,0.0,485203,3380,,,,16709,,684096,8223,6359,0.0,47967,,,168864,718391,2014年09月30日,296338,,1616868,1442367,0,204831,807443,1888767,13442,10737,,,824645.0,,0.0,21007.0,105000.0,,718391,0.0,,,,5788,,904787.0,202444,,,,,,,,0.0,202444.0,,,,,,2521655.0,0.0,0.0,72025.0,63049,15186,,0.0,0.0,174501,97344,632888,56267,,0
2015-03-20,4,2014,285760,,1000,571801,,34438,79834,,169946,,43543,14725,,13086,,33609,14513,,,172057,,0,,0.0,502182,2102,,,,18564,,720940,13777,8968,,47967,,,174901,718391,2014年12月31日,356233,,1681702,1507361,0,204831,745996,1904337,5067,10737,,,776751.0,,,33526.0,,,718391,,,,,6590,,846404.0,202444,,,,,,,,,202444.0,,,,,,2528106.0,,,63583.0,66799,14727,,,0.0,174341,100408,623769,70280,,0
2015-05-08,1,2015,286218,,1000,617581,16545.0,37036,91089,,139818,,14332,23615,,13352,,33759,13684,,7070.0,178480,,0,,0.0,459767,7817,,,,15653,,609909,19119,7189,,47967,,,173529,718391,2015年03月31日,402013,41226.0,1729252,1561196,0,204831,683628,1879228,5432,10737,,,,873233.0,,,,,718391,,,,2512864.0,5995,783612.0,,201609,,,,,,,,10467.0,191142.0,,,,,2512864.0,,,,61051.0,66225,14717,,,0.0,168056,99984,633636,78879,,0
2015-08-07,2,2015,283174,,1000,508827,47538.0,34224,125749,,299172,,32470,50594,0.0,9719,,33571,14225,0.0,3056.0,155610,,0,,0.0,367451,6465,,,,15877,,540600,13134,5250,0.0,47967,,,149342,718391,2015年06月30日,277616,21446.0,1634993,1478815,0,231211,726015,1818273,4846,0,,,,902068.0,0.0,,,,718391,0.0,,,2459279.0,5885,824286.0,,201003,,,,,,,,0.0,201003.0,,,,,2459279.0,,0.0,0.0,64752.0,64700,14703,,0.0,0.0,156178,98271,641006,70165,,0
2015-11-04,3,2016,309016,0.0,1000,680729,,93405,258593,,177999,0.0,855,15074,15074.0,16771,8500.0,34299,13391,,,140775,0.0,0,,,359464,2472,0.0,0.0,0.0,12621,0.0,566836,11604,2414,0.0,47967,,0.0,0,718391,2016年09月30日,427223,14238.0,1656129,1607492,0,253506,598809,1696949,7374,0,,,,778134.0,,,6000.0,,718391,0.0,,0.0,2349423.0,7460,693294.0,,193298,,,,,,,,0.0,193298.0,,,,,2349423.0,,0.0,1784.0,63567.0,60186,15133,0.0,0.0,0.0,48637,94485,652474,30859,,0
2015-11-06,3,2015,288671,0.0,1000,599170,,55587,75309,,131149,0.0,5520,4173,4173.0,14284,,33632,13203,,,141293,0.0,0,,,393431,5615,0.0,0.0,0.0,16924,0.0,567798,13235,4895,0.0,47967,,0.0,146641,718391,2015年09月30日,367959,18466.0,1678887,1521806,0,231211,590282,1778110,5101,0,,,,876816.0,,,0.0,,718391,0.0,,0.0,2370746.0,5870,691859.0,,200072,,,,,,,,0.0,200072.0,,,,,2370746.0,,0.0,4543.0,35477.0,67945,14744,0.0,0.0,0.0,157081,101577,592636,77489,,0
2016-03-18,4,2015,296196,0.0,1000,634860,46998.0,109555,70408,,160408,0.0,5702,50191,0.0,13494,,34255,12758,0.0,3193.0,151962,0.0,0,,,390722,2397,0.0,0.0,0.0,16096,0.0,530538,8098,4986,0.0,47967,0.0,0.0,150461,718391,2015年12月31日,403649,32521.0,1714519,1602284,0,231211,622448,1833375,7418,0,,,,920835.0,0.0,,0.0,0.0,718391,0.0,0.0,0.0,2435733.0,5763,721214.0,,198842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198842.0,0.0,0.0,0.0,0.0,2435733.0,,0.0,1047.0,33267.0,64511,16150,0.0,0.0,0.0,112235,98766,602358,68432,,0
2016-05-06,1,2016,304268,,1000,666406,19888.0,76598,70408,,161887,1300.0,4516,22290,,14485,,34321,13543,,2402.0,149009,,0,,0.0,318220,3489,,,,14146,,496119,11036,5293,,47967,,,153393,718391,2016年03月31日,435195,39061.0,1719981,1606451,0,231211,558167,1761729,8184,0,,,,888934.0,,,,,718391,,,,2376437.0,5579,656456.0,,199364,,,,,,,,8222.0,191142.0,,,,,2376437.0,,,0.0,65334.0,63968,15945,,,,113530,98289,614708,64890,,0
2016-08-05,2,2016,305013,,1000,567631,0.0,83739,63397,,330045,,11897,9880,9880.0,16259,8500.0,34271,13139,0.0,0.0,124447,,0,,0.0,338117,3570,,,,12774,,560387,12876,3902,0.0,47967,0.0,,139201,718391,2016年06月30日,314125,23033.0,1609734,1495645,0,253506,737257,1851840,7491,0,,,,950642.0,0.0,,6000.0,0.0,718391,0.0,,,2444181.0,7459,834447.0,,199743,,,,,,,,0.0,199743.0,,,,,2444181.0,,0.0,0.0,65375.0,62919,15133,,0.0,0.0,114089,97190,592341,30075,,0
