date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,基金合計,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,100000.0,2136751,18500,536296,258918,176063,920,2176,1086062,8309,57150,200701,165643,112008,41390,13468,299680,,,114636,289750,,,,197162,4784,28646.0,20000,3918.0,6412,946764,2013年03月31日,278532,,,1533978,1515337,0,157624,1730949,1182822,,760,15060.0,100140,,381805.0,41516.0,20000.0,946764,,2922.0,,1931650.0,30101,,3465628.0,,10869,0,,18641,200701,2282806,4493,977753,0
2013-08-05,2,2013,0.0,2128291,18500,460551,244362,350217,941,-18124,1027540,9349,82150,202106,166266,151167,43030,25987,286550,,,81335,249858,,,,167529,20004,27146.0,10133,3767.0,8694,946764,2013年06月30日,215420,,,1439150,1419292,0,176283,1783371,1191687,,591,0.0,68848,,458218.0,51441.0,20000.0,946764,,2980.0,,2065477.0,30101,,3504627.0,,10624,80000,,19858,282106,2312940,3950,1018191,0
2013-11-04,3,2013,0.0,2124079,18500,483021,259332,184068,774,-3569,1083361,9847,82150,206075,169843,153159,45022,25987,309985,,,114093,219703,,,,165197,17475,25646.0,0,0.0,10586,946764,2013年09月30日,237890,,,1477051,1456317,0,176283,1643670,1079866,,839,0.0,68848,,323759.0,37556.0,2000.0,946764,,2889.0,,1909745.0,30101,,3386796.0,,10353,60000,,20734,266075,2306930,3344,1073514,0
2014-03-17,4,2013,0.0,2121555,18500,508800,275078,185777,865,11963,1117780,10589,57150,190784,175371,137636,54499,25987,291956,,,127281,169823,,26.0,117.0,179907,12745,15296.0,60323,360.0,0,946764,2013年12月31日,263669,,,1518967,1497628,0,176283,1644310,1125090,,657,3420.0,68848,,269381.0,41006.0,0.0,946764,,2643.0,,1895930.0,30101,,3414897.0,836.0,11099,60000,117.0,21339,251620,2289807,31415,1107165,0
2014-05-05,1,2014,0.0,2146105,18500,544103,269711,172078,700,6517,1096347,10502,52950,214092,196053,160109,81172,25987,299712,,0.0,137742,129849,,26.0,110.0,190852,5452,13753.0,60335,0.0,4176,946764,2014年03月31日,298972,,,1549281,1527485,0,176283,1617473,1105179,,723,0.0,68848,247025.0,,68592.0,10000.0,946764,,2865.0,,1892401.0,30101,,3441682.0,836.0,11066,60000,110.0,21796,274928,2336503,31392,1085819,0
2014-08-04,2,2014,,2155316,18500,458046,276902,255152,686,6096,1094870,10642,52950,247831,225414,177630,81972,42708,299962,75741.0,0.0,115566,109902,,27.0,103.0,203894,11462,13753.0,60335,0.0,8561,946764,2014年06月30日,210893,,,1538745,1516748,0,198649,1622398,1106665,,590,0.0,48504,223444.0,,43832.0,0.0,1022505,,3076.0,,1931065.0,30101,,3469810.0,836.0,11109,60000,103.0,21997,308667,2363145,29980,1084201,0
2014-11-10,3,2014,60000.0,2228313,18500,471335,280981,180550,1433,9936,934421,10935,52950,473039,448305,195296,99638,42708,208843,,0.0,102035,109915,,27.0,96.0,147924,12349,13753.0,0,0.0,10885,1022505,2014年09月30日,224182,,,1556494,1533877,0,198649,1364195,911440,,524,0.0,48504,239192.0,,34178.0,0.0,1022505,,3096.0,,1838070.0,30101,,3394564.0,836.0,40491,0,96.0,22617,473875,2483124,20718,863459,0
2015-03-23,4,2014,60000.0,2226456,10500,522352,292414,172253,481,21262,850295,11191,52950,512916,497167,212556,116898,42708,195644,,0.0,128540,109874,,27.0,89.0,130798,9864,8606.0,30041,0.0,7054,1022505,2014年12月31日,275199,,,1619949,1596220,0,198649,1290615,936395,,770,0.0,48504,254076.0,,29653.0,,1022505,,,,1805242.0,30101,,3425191.0,1711.0,38514,0,89.0,23729,514627,2488796,23077,779077,0
2015-05-11,1,2015,60000.0,2248854,10500,562200,298048,175460,443,26777,772596,12405,52950,618166,601167,243031,147373,42708,158743,,0.0,96916,109885,,28.0,82.0,129981,9062,,0,,8356,1022505,2015年03月31日,315047,42916.0,,1665363,1641583,0,198649,1197773,941164,8561.0,721,,48504,,325037.0,,0.0,1022505,3483013.0,,1817650.0,,30101,3483013.0,,1711.0,38743,0,82.0,23780,619877,2541849,19850,700163,0
2015-08-10,2,2015,0.0,2268464,10500,499909,288411,312827,393,17398,653324,13118,52950,678048,659926,253629,143628,57051,161257,0.0,0.0,68534,109894,,28.0,75.0,117625,5165,,0,,9486,1022505,2015年06月30日,221642,27307.0,,1593532,1569913,0,214725,1171886,897175,8561.0,673,,63542,,302573.0,,,1022505,3475177.0,,1881645.0,,30101,3475177.0,,1711.0,44736,30000,75.0,23619,709759,2578002,21751,640178,0
