date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,確定福利計畫再衡量數總額,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,,7397309,1121033,17279,,120736,1146411,10327,1146411.0,,0.0,9798,586451,586451,,,100087,5897,237498,89034,-7481,41223,3766025,3766025.0,0.0,,,5514517,37191,5689051,30486,94190.0,3189020,2013年03月31日,498588,8827647,8791609,0,584101,9590865,11481620,,,87516,38344.0,,1054322.0,2194338,,3189020,,98848.0,,,10627740.0,4471758,,,4471758.0,,19455387.0,2782.0,36145,2538.0,130708,934250,99872,36038,1036875,7973767,905591,7369.0,0
2013-08-07,2,2013,,,7278134,892918,1223,,104680,1457649,10430,1457649.0,126679.0,1224.0,53820,219412,219412,,,99146,6033,215273,68094,52597,39761,3451525,3451525.0,0.0,,,4673358,31387,5350152,32797,93113.0,3189020,2013年06月30日,87044,8642723,8607516,0,606582,8896458,10948223,,,83798,199292.0,,917432.0,2501753,,3189020,,,99951.0,,10118093.0,4471758,,,4471758.0,,18760816.0,2469.0,36201,2538.0,130708,1020000,100049,35207,1221635,7812593,1032213,7369.0,0
2013-11-05,3,2013,,,7136173,859170,6424,,109881,1065616,13247,1065616.0,35888.0,,-11325,329515,329515,,,98198,6045,219733,78056,-17749,36217,3471713,3471713.0,0.0,,,4857755,24818,5200508,24591,92153.0,3189020,2013年09月30日,53296,8545202,8508623,0,606582,8731261,10717648,,,79914,199292.0,,851790.0,2440310,,3189020,,,100188.0,,9848855.0,4471758,,,4471758.0,,18394057.0,0.0,26249,2538.0,130708,916670,98091,36579,1117594,7676409,1106909,7369.0,0
2014-03-21,4,2013,,,7192048,897905,23696,,127153,1375426,17395,1375426.0,170626.0,27172.0,86390,166811,166811,,,97985,11540,190767,50873,62694,32652,3337539,3337539.0,,,,4919164,32322,4646017,28475,86445.0,3189020,2013年12月31日,92030,8681821,8645073,0,606583,8336731,10542072,,,76212,199292.0,,1042547.0,1825613,,3189020,,,93997.0,,9592668.0,4471758,,,4471758.0,,18274489.0,0.0,10603,0.0,146237,1063955,98624,36748,1255937,7732417,1279093,8618.0,0
2014-05-06,1,2014,,,7047168,773263,34051,,137508,1171957,8763,1171957.0,26545.0,30903.0,149830,215120,215120,,,94961,9504,207124,64304,115779,34680,3048516,3048516.0,0.0,,0.0,3997373,27325,4175526,16501,85457.0,3189020,2014年03月31日,-32612,8620732,8583871,0,606583,7446187,9721689,,,72371,199292.0,1137130.0,,2025649,,3189020,,,94697.0,,8711365.0,4471758,,,4471758.0,,17332097.0,0.0,10617,0.0,146237,1075520,99136,36861,1265178,7610408,1275951,9004.0,0
2014-08-05,2,2014,,,6802584,760803,23027,,126484,1341218,10202,1341218.0,163139.0,62198.0,21159,141168,141168,,,88069,3605,202541,59438,-1868,37159,2798389,2798389.0,,,0.0,4020634,28225,4268863,23291,84464.0,3189020,2014年06月30日,153967,8479267,8442740,0,606836,6954118,9342413,,,68447,0.0,676444.0,,1412671,,3189020,,,95492.0,,8209439.0,4471758,,,4471758.0,,16688706.0,0.0,10631,0.0,146237,1071760,96551,36527,1255321,7346293,1339458,9393.0,0
2014-11-11,3,2014,78333.0,78333.0,6775299,835796,32217,129674.0,6000,1252598,13371,1252598.0,116150.0,61851.0,172123,212639,134306,,,93068,9597,220284,74257,139906,38182,3077878,3077878.0,,,0.0,4666142,29865,4669734,28911,83471.0,3189020,2014年09月30日,228960,8704938,8668697,0,606836,7637727,10345835,,,64787,0.0,748824.0,,1463112,,3189020,,,94600.0,,8853504.0,4471758,,,4471758.0,,17558442.0,,10645,0.0,146237,1028109,98046,36241,1215777,7212607,1502168,9799.0,0
2015-03-16,4,2014,,,6381370,909666,34130,131587.0,6000,1515003,17615,1515003.0,219759.0,0.0,392801,183148,183148,,,94603,9088,173926,67592,358671,24661,3244344,3244344.0,,501395.0,0.0,5145509,41588,5044293,28116,85515.0,3189020,2014年12月31日,302830,9000348,8963245,0,606836,7900421,11435760,,,61128,0.0,808617.0,,997558,,3189020,,,99058.0,,9203632.0,4471758,,,4471758.0,,18203980.0,,10660,,145796,1109550,71514,37103,1303211,6768220,1446989,10159.0,0
2015-05-05,1,2015,26111.0,26111.0,6218950,965536,22438,119895.0,6000,1500579,8787,1500579.0,116197.0,0.0,287755,594615,568504,300682.0,300682.0,94845,9121,172907,65364,285804,26896,3223094,3223094.0,,495914.0,,4339373,30549,4882559,29292,,3189020,2015年03月31日,358700,8950509,8914069,0,606836,7753273,11333884,85724.0,10419.0,57653,0.0,,906046.0,1279370,-20487.0,3189020,17935190.0,,96474.0,8984681.0,,4471758,,,4471758.0,17935190.0,,,10676,,145796,1040089,70228,36440,1231408,6601306,1249529,,0
2015-08-06,2,2015,,,6069844,891926,-12212,85245.0,6000,1481431,13258,1481431.0,322764.0,0.0,167174,850669,850669,595038.0,595038.0,95146,9422,169040,65223,199873,24554,2786429,2786429.0,,488890.0,0.0,3547152,16267,4072450,24403,,3189020,2015年06月30日,277279,8757164,8719878,0,614647,7162233,10834368,85724.0,10512.0,51199,,,1282046.0,1253456,-20487.0,3189020,17292654.0,,97059.0,8535490.0,,4471758,,,4471758.0,17292654.0,,,10691,,162203,1181052,68751,37286,1373257,6458286,1166412,,0
2015-11-09,3,2015,0.0,0.0,5794729,1387869,-38542,66538.0,6000,1802153,15611,1802153.0,1304700.0,0.0,481657,145295,145295,618065.0,618065.0,97530,11806,486472,379315,540686,24137,2647432,2647432.0,292824.0,0.0,,3595252,13426,4240794,16870,,3189020,2015年09月30日,773222,9275846,9237480,18922000,614647,7013902,11121127,85724.0,10567.0,46057,,,1147296.0,1442165,-20487.0,3189020,17616588.0,,101854.0,8340742.0,,4471758,,,4471758.0,17616588.0,,,0,,162203,1127456,72453,38366,1326840,6495461,1079432,,0
2016-03-07,4,2015,,,5675309,1459079,-22332,78081.0,6000,2060536,13804,2060536.0,656488.0,,395570,104032,104032,1034276.0,1034276.0,94329,8703,467173,371979,441471,12545,2546830,2546830.0,0.0,0.0,0.0,3724141,8612,4606900,21522,,2979020,2015年12月31日,844432,9223159,9184707,0,614647,6776775,10959936,85626.0,11007.0,42844,,,1345757.0,865650,-23569.0,2979020,17303769.0,,102579.0,8080610.0,,4351038,,,,17303769.0,,,0,190.0,152507,1106737,71642,38452,1303835,6343833,670082,,0
2016-05-05,1,2016,0.0,0.0,5549744,1504282,-25642,81514.0,6000,1687008,9453,1687008.0,524689.0,23.0,265686,146302,146302,931017.0,931017.0,93913,8287,487027,361351,314897,44841,2488559,2488559.0,,0.0,0.0,3102343,6366,3931614,16654,,2979020,2016年03月31日,889635,9136929,9100026,0,614647,5391472,9455284,85626.0,11058.0,39631,,,1032525.0,440000,-23569.0,2979020,15690193.0,,88949.0,6553264.0,,4351038,,,,15690193.0,,,0,190.0,152507,978740,69777,36903,1161792,6234909,448689,,0
2016-08-09,2,2016,,,5475143,983624,2186,81564.0,6000,2405327,9785,,382372.0,698.0,198709,141338,141338,1496057.0,1496057.0,97351,11725,139896,46796,220092,12777,2134536,,,0.0,0.0,3150710,9861,4624099,21276,,2979020,2016年06月30日,306517,8548878,8512391,0,677107,6240013,10211822,85626.0,11110.0,36417,,,998101.0,520000,-23569.0,2979020,16021785.0,,81228.0,7472907.0,,4351038,173750.0,4177288.0,4177288.0,16021785.0,,2992.0,0,190.0,152507,1054125,69213,36487,1232894,5809963,473119,,0
2016-11-08,3,2016,,,5275393,1161700,-2952,76426.0,6000,2025768,13376,,61053.0,92.0,-39171,162147,162147,1927618.0,1927618.0,97003,11377,139924,50368,-12650,11670,2290444,,0.0,,0.0,3897308,7983,5286412,17217,,2979020,2016年09月30日,484593,8487092,8452587,0,677107,6877280,10996614,85626.0,11162.0,33204,,,934843.0,765856,-23569.0,2979020,16624929.0,,80364.0,8137837.0,,4351038,173750.0,4177288.0,4177288.0,16624929.0,,4842.0,1480,190.0,173794,1083000,66724,34505,1260557,5628315,401029,,0
