date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－處分資產增益,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,21641549,528665,11175040,569283,7735319,18091049,2355902,561998,3498456,992905,6638868,2957393,-7285,9818507,,,16340854,2453734,560000,1521859,3965646,1109513,858195,10396223,2013年03月31日,5152398,,,26606524,23023494,0,5253820,47300987,45321977,1387246,768822.0,,19527039.0,1351437.0,14747.0,3483598,10396223,,,,55899660.0,890233,,885151.0,,5082.0,,82506184.0,7361123,16293,966327,1943512,3583030,8598673,37184207,1286108,0
2013-08-08,2,2013,21495725,514482,8435733,544158,7596150,23741232,2022682,536873,3780072,814325,6698597,2956837,-7285,9753212,,,17615368,2546330,614957,2164108,4237621,1124858,806736,10396223,2013年06月30日,2165868,,,23402319,20259062,0,5931412,53622102,49231596,1383209,338453.0,,21724815.0,1085152.0,13786.0,2074883,10396223,,,,62716235.0,890233,,885151.0,,5082.0,,86118554.0,9312332,39770,1008961,2355766,3143257,9094133,36886958,1352823,0
2013-11-08,3,2013,21347172,514140,10677701,517083,7531733,19866956,1909997,433399,3667915,782043,6744922,2962156,-83684,10745667,,,17261333,2428224,546985,758719,4582269,1141135,864409,10396223,2013年09月30日,4407836,,,25826561,22397556,0,5931412,47864909,46013017,1387025,338453.0,,18441338.0,879617.0,75030.0,2455160,10396223,,,,56942229.0,890233,,885151.0,,5082.0,,82768790.0,8238746,39628,1008003,2292770,3429005,9077320,36755773,1237927,0
2014-03-20,4,2013,21542772,485619,11886156,549318,7386501,19460674,1224577,567263,3897155,652367,7005272,3340232,17945,10172436,1171130.0,,16339604,2180425,305000,1618369,3858220,1157525,874882,10396223,2013年12月31日,5616291,,,27498440,23739876,0,5931412,47136578,46451616,1205388,338453.0,,21008243.0,943826.0,16025.0,1976994,10396223,414531.0,,,55999528.0,890234,,885152.0,,5082.0,,83497968.0,7204752,31293,1053433,1826385,3758564,8862950,37046352,1143866,0
2014-05-08,1,2014,21869422,44656,14843867,532858,849742,18925367,1583301,577621,3862519,633515,7029436,3431533,44763,9418595,0.0,0.0,15241136,2284664,615000,1099281,4124905,1154563,7902310,10396223,2014年03月31日,8574002,,,30306424,26691041,0,5931412,46054385,46726294,1181953,338453.0,21525674.0,,1388071.0,1211.0,2638347,10396223,0.0,,,53903591.0,873330,,,873330.0,0.0,,84210015.0,8173954,28502,1049542,791268,3615383,7849206,37483721,1265139,0
2014-08-05,2,2014,22071482,39956,11672465,532512,1054441,27523184,1896016,507046,3819800,994433,7147840,3512559,-25466,9828862,0.0,0.0,16033385,2398604,589942,1486067,4251978,1151602,7779504,10396223,2014年06月30日,5179424,,,25708088,22582289,0,6493041,54927629,50723261,1178518,0.0,24010017.0,,1103495.0,2057.0,1973152,10396223,0.0,,,62858208.0,6555,,,6555.0,0.0,,88566296.0,8517861,25571,1054973,757168,3125799,7930579,37843035,1222037,0
2014-11-06,3,2014,22341953,39986,14153766,498666,1017481,21626568,2558770,548498,3827180,1213162,7190742,3712308,49832,10245882,0.0,0.0,17891554,2464791,384991,1226863,4362712,1161857,7842789,10396223,2014年09月30日,7660725,,,28536336,25105042,0,6493041,50039057,48324327,1235621,0.0,22757695.0,,847609.0,1838.0,1769501,10396223,0.0,,,58204964.0,6555,,,0.0,6555.0,,86741300.0,5870441,25179,1064978,949986,3431294,8165907,38416973,1313827,0
2015-03-18,4,2014,22934321,35776,15404280,492087,998108,20764656,1664105,708434,3916060,1257028,7396940,3816815,216347,11018102,0.0,0.0,17677050,2193543,400000,1212475,4306192,1202969,7757089,10396223,2014年12月31日,8911239,,,30297909,26515968,0,6493041,49162440,48726267,1198381,0.0,22369629.0,,1322699.0,346.0,1675957,10396223,0.0,,,57531464.0,7031,,,0.0,7031.0,,87829373.0,6772463,42043,1159647,930041,3781941,8369024,39103106,1338402,0
2015-05-05,1,2015,22176475,35756,17510019,497320,1009220,19833443,2299869,645911,3776720,1217109,7485344,2805908,148591,10021535,0.0,0.0,15403655,2247473,376000,1809586,3869530,1199532,9665440,10396223,2015年03月31日,11016978,1647602.0,813.0,32578781,28559247,0,6493041,47415453,49132729,1219422,0.0,,22594714.0,,,2320974,10396223,0.0,88261774.0,55682993.0,,7094,,,7094.0,0.0,88261774.0,,7869261,39568,1017292,742628,4019534,8267540,39129045,1259898,0
2015-08-04,2,2015,22014196,35732,12402883,460498,983737,28888758,2544036,517656,4398976,1311067,7491642,2866187,57158,9747203,0.0,0.0,17012297,2462784,389000,1122140,4095519,1196095,9510880,10396223,2015年06月30日,5018718,1076929.0,1702.0,26810537,23323856,0,7384165,57040768,52725530,1184504,0.0,,24824267.0,,,1689884,10396223,0.0,91526841.0,64716304.0,,7094,,,7094.0,0.0,91526841.0,,8931362,46569,1009980,137325,3486681,7675536,38801311,1270374,0
