date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,79766,8214697,54000,5255069,,167944,,-162422,-162422.0,166578,60426,1921694,,,177499,,186546,23699,,175144,45124,,129309,137723,,1105147,,100000.0,133485,4172945,2013年03月31日,3691976,,9599974,9599974,0,1460778,716240,3088667,,102315.0,,773862.0,161450.0,,4172945,,,3497128.0,334382,,,13097102.0,0,214560,341474,,2261915,,2780888,10008435,126079,162847,26386,0
2013-08-12,2,2013,,124088,8134457,54000,5072408,,518330,,-132803,,243989,81368,1636252,,,165425,,184773,20867,,176482,22776,,123650,68082,,1104809,,100000.0,124823,4172945,2013年06月30日,3098643,,9446932,9446932,0,1523781,1044556,3080097,,449984.0,,1089466.0,82979.0,,4172945,,,3527407.0,334382,,,12974339.0,30000,191380,293046,,2024380,,2482851,9894242,132647,163906,38533,0
2013-11-01,3,2013,142996.0,142996,7898679,45900,5129715,,181170,181170.0,-206027,,271000,80653,1317690,13338.0,1304352.0,163021,9661.0,331786,8673,,170313,31293,,109330,84384,153360.0,1104471,,100000.0,158165,4172945,2013年09月30日,3155950,,9431015,9431015,0,1523781,681770,2697519,,449984.0,,1069222.0,27994.0,,4172945,,,3110994.0,334382,334382.0,,12542009.0,0,205489,295342,1970861.0,1970861,,2429224,9844490,116893,323113,47351,0
2014-02-27,4,2013,187575.0,187575,7821460,45900,5213903,,159302,159302.0,-147092,,307890,85243,1896701,12272.0,1884429.0,156744,9604.0,333768,7865,,218857,24062,,106798,104832,147140.0,1104133,,100000.0,158833,4172945,2013年12月31日,3240138,,9574138,9574138,0,1523781,743260,2879306,,449984.0,,642934.0,33149.0,,4172945,,,3080064.0,334382,334382.0,,12654202.0,10002,210802,298207,1881853.0,1881853,,2336804,9774896,118039,325903,35072,0
2014-05-05,1,2014,,190427,7842839,45900,5306911,,162756,,-4058,,264655,51196,1413141,13264.0,1399877.0,149326,9112.0,904143,7466,0.0,188100,26181,,95776,84327,140214.0,1103794,,100000.0,137251,4172945,2014年03月31日,3333146,,9810180,9810180,0,1523781,687274,2408403,,449984.0,666200.0,,45582.0,,4172945,,,2928219.0,334382,,,12738399.0,18039,196069,303392,,1788227,,2240945,10329996,130920,896677,23032,0
2014-08-07,2,2014,,187832,7559850,45900,5052500,,489411,155575.0,-165625,,272954,67693,953890,11411.0,942479.0,147668,8548.0,887510,7768,0.0,160906,37565,333836.0,116784,94894,139120.0,1103456,,100000.0,129146,4172945,2014年06月30日,3327398,,9394202,9394202,0,1578010,1035147,2578258,,147092.0,1270044.0,,74311.0,,4172945,,,3190666.0,334382,,,12584868.0,5012,180748,310715,,1697136,,2155519,10006610,137634,879742,17429,0
2014-11-03,3,2014,190212.0,190212,7558265,45900,5097446,,159772,159772.0,-25300,,308053,72678,1573224,4801.0,1568423.0,140642,8865.0,1073686,6859,0.0,201898,27202,,136790,88160,131777.0,1103118,,100000.0,129901,4172945,2014年09月30日,3372344,,9579473,9579473,0,1578010,737411,2129869,,147092.0,141082.0,,40486.0,,4172945,,,2758413.0,334382,334382.0,,12337886.0,39039,197147,311177,1569183.0,1569183,,2021002,10208017,151574,1066827,45163,0
2015-03-12,4,2014,195487.0,195487,7708444,45900,5190723,,175639,175639.0,280177,,284071,50233,1303371,9986.0,1293385.0,134786,8856.0,1322639,211496,0.0,199066,19476,,104215,73668,125930.0,1102780,,100000.0,127809,4172945,2014年12月31日,3465621,,9978227,9978227,0,1578010,727450,2065122,,147092.0,343153.0,,49198.0,,4172945,,,2739359.0,334382,334382.0,,12717586.0,98111,244892,311708,1565415.0,1565415,,2011909,10652464,142604,1111143,38351,0
2015-05-06,1,2015,,193986,7501464,45900,5274161,,144176,,184952,,276137,48382,738131,9438.0,728693.0,122867,8790.0,1803660,210797,,182981,21458,,113080,39217,,1102442,100000.0,0.0,119769,4172945,2015年03月31日,3549059,63721.0,9966440,9966440,0,1578010,688473,1597911,114077.0,147092.0,,468446.0,,,4172945,12431588.0,2465148.0,,334382,,12431588.0,,17021,260442,290414,,1363394,,1776675,10833677,122016,1592863,33769,0
2015-08-07,2,2015,,167689,7267694,45900,4970269,,399201,127960.0,61914,,216468,21659,735078,11945.0,723133.0,120560,9921.0,1793522,212222,,211500,16593,271241.0,120313,70132,,1102104,100000.0,0.0,106585,4172945,2015年06月30日,3361708,41210.0,9539510,9539510,0,1608561,884972,1663044,110639.0,0.0,,478034.0,,,4172945,12145193.0,2605683.0,,334382,,12145193.0,,40057,166344,290386,,1309765,,1720711,10482149,119430,1581300,27120,0
2015-11-09,3,2015,114953.0,114953,8479318,45900,5021808,,130091,130091.0,538146,,162190,23081,816200,13906.0,802294.0,119461,11580.0,1720185,224487,,206168,29799,,105577,53191,,1101765,100000.0,0.0,83770,4172945,2015年09月30日,3413247,37744.0,10067281,10067281,0,1608561,705992,1477788,107881.0,0.0,,264042.0,,140000.0,4172945,13053347.0,2986066.0,,334382,334382.0,13053347.0,,15003,144621,288125,1872488.0,1872488,,2280074,11575559,123775,1495698,24156,0
2016-03-18,4,2015,88831.0,88831,8306707,45900,5013660,,134115,134115.0,531089,,135483,21328,799482,12967.0,786515.0,119311,12495.0,1716054,214855,,149078,20119,,106501,54049,,1101427,100000.0,0.0,88966,4172945,2015年12月31日,3405099,42290.0,10052076,10052076,0,1608561,606085,1480735,106816.0,0.0,,266629.0,,125000.0,4172945,12873921.0,2821845.0,,334382,334382.0,12873921.0,,34042,134132,288015,1808434.0,1808434,,2215760,11393186,120032,1501199,25324,0
2016-05-05,1,2016,,87099,7997197,45900,5022687,0.0,104656,,372329,,111140,11558,662194,12203.0,649991.0,99175,,1761026,193475,,151436,11765,,71647,64940,,1101089,0.0,,88943,4172945,2016年03月31日,3414126,41016.0,9902343,9902343,0,1608561,500013,1299337,,0.0,,322964.0,,80000.0,4172945,12426212.0,2523869.0,,334382,,12426212.0,,61034,132720,288068,,1636613,0.0,2023856,11126875,116558,1567551,12483,0
