date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,0.0,549961,1198,-872523,13348.0,54896,-26125,63865,63865,189404,25280,164124,8601,109799,14945,100949,299699,,49781,,86979,201282,82742,0.0,138701,0.0,2056608,2013年03月31日,,1144088,1108179,2934365,781578,1066543,,100949,,430551.0,374556,2056608,,,845094.0,0,,1989182.0,50799,33541,22031,21374.0,75193,35909,63516,922639,19661.0,,0
2013-08-02,2,2013,18856.0,544084,1198,-881890,13396.0,54624,1076,67352,48496,263998,20809,243189,21805,127121,31179,100949,318213,318213.0,49781,,109699,239158,93583,0.0,139364,0.0,2056608,2013年06月30日,,1160366,1126013,2934365,800901,1081866,,100949,,365673.0,330068,2056608,,,856247.0,0,,2016613.0,27003,33541,22031,0.0,76344,34353,55346,934747,19598.0,,0
2013-11-07,3,2013,16681.0,525606,1198,-901055,14866.0,55971,-16326,57019,40338,373833,19731,354102,21804,149332,55146,100949,307903,307903.0,49781,,119554,169697,119562,0.0,136168,0.0,2056608,2013年09月30日,,1121687,1089446,2934365,821882,1063630,,100949,,220798.0,419641,2056608,,,877227.0,0,,1998914.0,26668,33541,22031,0.0,74651,32241,55345,935284,19535.0,,0
2014-03-20,4,2013,14437.0,537463,1198,-906645,16851.0,55816,2140,61691,47254,373150,22694,350456,21665,105295,9854,100949,274519,274519.0,49781,,48588,169747,67715,0.0,172805,0.0,2056608,2013年12月31日,,1133208,1102322,2934365,758273,1018111,,100949,,283543.0,422431,2056608,,,824644.0,0,,1957852.0,2333,44706,22031,0.0,75581,30886,66371,939741,19860.0,,0
2014-05-07,1,2014,12253.0,528352,442,-801489,11676.0,43385,-1873,68958,56705,357282,22456,334826,7534,104825,10635,72922,246150,246150.0,49781,0.0,60167,199615,73787,,322340,,2056608,2014年03月31日,,1232299,1203465,2934365,765413,1017848,,72922,326572.0,,393288,2056608,,,836461.0,0,,2068760.0,2381,63514,22031,0.0,74379,28834,71048,1050912,19811.0,,0
2014-08-06,2,2014,0.0,513677,442,-805614,14329.0,43188,-25021,62515,62515,486093,14491,471602,4076,97688,5430,49854,238263,238263.0,49781,0.0,83135,199588,82925,,133389,,2056608,2014年06月30日,,1204112,1176192,2934365,784273,1237020,,49854,316769.0,,395847,2056608,,,849989.0,0,,2054101.0,98641,61640,22031,0.0,72495,27920,65716,817081,19763.0,,0
2014-11-11,3,2014,0.0,516308,442,-691224,18021.0,43391,20033,64904,64904,507576,14835,492741,4329,86842,3358,49854,258165,258165.0,49781,0.0,85187,0,78140,,137159,,2056608,2014年09月30日,,1363966,1335636,2934365,709526,1326825,,49854,236695.0,,516044,2056608,,,775495.0,0,,2139461.0,228228,61640,22031,0.0,63769,28330,65969,812636,19715.0,,0
2015-03-30,4,2014,0.0,509981,442,-654823,23523.0,58371,64441,57971,57971,544369,24633,519736,3881,91642,7747,49854,264289,264289.0,49781,0.0,82261,0,72465,,149918,,2056608,2014年12月31日,,1445637,1416445,2934365,691365,1385627,,49854,243332.0,,492762,2056608,,,752877.0,0,,2198514.0,237649,57631,11050,0.0,65223,29192,61512,812887,18672.0,,0
2015-05-13,1,2015,0.0,497626,442,-628229,12963.0,39718,43825,42927,42927,299445,27720,271725,4229,87392,4668,49854,285188,285188.0,49781,0.0,106949,0,100386,,148551,,2056608,2015年03月31日,,1451218,1422423,2934365,692179,1410342,18635.0,49854,,416075.0,502585,2056608,2205257.0,754039.0,,0,2205257.0,,296285,57631,11050,,64089,28795,61860,794915,,,0
2015-08-06,2,2015,,519040,442,-611850,0.0,42160,20407,636705,33144,280079,23627,256452,4063,83856,2352,49854,281972,281972.0,49781,0.0,80592,0,94772,,146962,,2056608,2015年06月30日,,1444909,1415384,2934365,1138457,1824548,18635.0,49854,,353415.0,379000,2056608,2635752.0,1190843.0,,0,2635752.0,,814310,48323,11050,,62869,29525,52386,811204,,603561.0,0
2015-11-10,3,2015,,516274,442,-641064,0.0,55380,72049,648313,27313,169511,25204,144307,3904,88201,4729,49854,317323,317323.0,49781,0.0,87615,199545,90587,,152862,,2056608,2015年09月30日,,1469649,1437812,2934365,1154853,1861948,18635.0,49854,,740197.0,164000,2056608,2680631.0,1210982.0,,0,2680631.0,,544330,52225,11050,,64837,31837,56129,818683,,621000.0,0
2016-03-31,4,2015,,487145,442,-400540,0.0,58980,480770,329844,39980,137996,15600,122396,4045,58890,3237,49854,252380,252380.0,49781,0.0,51385,249673,94377,,673709,,2056608,2015年12月31日,64605.0,2119282,2087057,2934365,868487,1827233,14608.0,49854,,779764.0,114000,2056608,3109008.0,989726.0,,0,3109008.0,,562716,117194,11735,,41045,32225,121239,1281775,,289864.0,0
2016-05-12,1,2016,,202064,442,-12417,0.0,45054,445144,47922,24739,584024,13601,570423,4045,117777,5276,49854,241665,241665.0,49781,0.0,57296,40000,79657,,661373,,2056608,2016年03月31日,187195.0,2472051,2439554,2934365,605467,2148216,14477.0,49854,,940715.0,228000,2056608,3191461.0,719410.0,,0,3191461.0,,302155,109898,11735,,98024,32497,113943,1043245,,23183.0,0
2016-08-09,2,2016,,199215,442,-8761,,35970,394071,59737,29959,812307,15594,796713,4045,114529,3712,49854,243801,243801.0,49781,0.0,73669,0,71886,,642333,,2056608,2016年06月30日,187426.0,2425777,2392137,2934365,524802,2035953,14477.0,49854,,614443.0,168000,2056608,3054061.0,628284.0,,0,3054061.0,,293516,99437,11735,,96340,33640,103482,1018108,,29778.0,0
2016-11-09,3,2016,,245849,442,-22892,,44230,340423,45874,23876,838522,35590,802932,4045,110055,2932,49854,246336,246336.0,49781,0.0,73321,0,58028,,621918,,2056608,2016年09月30日,173619.0,2357755,2324358,2934365,442844,1853239,14477.0,49854,,396938.0,105800,2056608,2893092.0,535337.0,,0,2893092.0,,313415,88448,11735,,92646,33397,92493,1039853,,21998.0,0
