date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付股利,應收帳款淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,101618.0,43665,145283,3006554,252992,2123501,264765,607241,,,,247754,608254,462971.0,136436.0,136436.0,63505,1429,280892,17639,-17011,1988008,30842.0,0.0,,1013859,8438,,2944473,62076.0,3202175,2013年03月31日,1187289,,9999213,9233963,863000,936212,3568011,9101093,,581156,,3245879.0,49004.0,1883293,3202175,,,,3865526.0,3691375,,13864739.0,638710,5163.0,47194,34811,186816,765250,297515,4763646,147587,263253,0
2013-08-08,2,2013,101938.0,7109,109047,3007514,252992,1814677,331588,722780,638709.0,,,315729,662745,553698.0,122915.0,122915.0,63506,1430,244363,19278,-15859,2590817,30842.0,0.0,,1711220,7252,638709.0,3137769,62076.0,3202175,2013年06月30日,812953,,9633395,8834835,863000,1001724,5168421,10362352,,580657,,3767476.0,64149.0,2082728,3202175,,,,5571006.0,3533096,,15204401.0,555352,1618.0,54050,33743,285029,798560,402585,4842049,188023,225085,0
2013-11-08,3,2013,102258.0,15469,117727,3156610,291348,2037164,303485,665979,960653.0,960653.0,,276002,623671,505944.0,162334.0,162334.0,63241,1165,49743,19411,-27483,2870986,30842.0,0.0,,1611431,8484,,3774568,62076.0,2241522,2013年09月30日,1035440,,8815673,8058305,604100,1001724,5588747,10224674,,573211,,2616767.0,40785.0,2341902,2241522,,,,6181577.0,3534459,,14997250.0,638317,1821.0,54686,35685,474903,757368,592830,4772576,161702,30332,0
2014-03-18,4,2013,102580.0,35830,138410,3084655,353417,2173679,335591,599328,557689.0,557689.0,114069.0,308806,138410,,,,58986,168,94754,17983,-26785,2430354,28253.0,0.0,,1260335,13400,,3593961,58818.0,2241522,2013年12月31日,1171955,,9288652,8268574,604100,1001724,4287535,9521533,,563222,,2553073.0,67146.0,2249960,2241522,,,,4958825.0,3572820,,14247477.0,682065,595.0,59537,30568,552767,1020078,671290,4725944,148011,76771,0
2014-05-06,1,2014,102902.0,54535,157437,3054992,368417,2350164,324441,595874,516603.0,,134200.0,315417,157437,,,,58989,171,57231,13871,-9024,2169160,28253.0,,,1141992,25811,,3357643,58818.0,2241522,2014年03月31日,1348440,,9465373,8451633,604100,1001724,4075165,9492514,,564611,3001594.0,,124965.0,2108357,2241522,,,,4716771.0,3572783,,14182144.0,628488,0.0,70336,48505,512281,1013740,641606,4689630,201429,43360,0
2014-08-08,2,2014,103225.0,74889,178114,2923892,368417,2116726,275116,515950,1300153.0,674218.0,140351.0,246805,178114,,,,63543,4725,185908,108477,-28311,1948210,0.0,,0.0,1389874,28653,625935.0,3578917,58818.0,2235481,2014年06月30日,1045435,,9022552,8148542,0,1071291,4693512,9424104,,561293,3076811.0,,124989.0,1671729,2235481,,,,5010513.0,3549530,,14033065.0,602348,0.0,62906,53501,190552,874010,317001,4608961,77467,77431,0
2014-11-05,3,2014,103550.0,35375,138925,2860554,374792,2362912,202078,397514,719830.0,719830.0,71522.0,191392,138925,0.0,,,63376,4558,181653,109491,-10686,2122163,0.0,0.0,0.0,1352718,26706,,3728096,58818.0,2235481,2014年09月30日,1291621,,9214460,8377682,0,1071291,4230061,9224512,,566016,2571008.0,,75567.0,1914631,2235481,,,,4436323.0,3587897,,13650783.0,675038,1684.0,62667,45742,80219,836778,206262,4426271,56685,72162,0
2015-03-18,4,2014,103875.0,2081,105956,2833549,385292,2453917,206500,405901,652811.0,652811.0,69054.0,231145,105956,,,,58146,2383,131543,101762,24645,2053176,0.0,,0.0,1087389,28336,,3417539,55763.0,2235481,2014年12月31日,1382626,,9315221,8508552,0,1071291,3841732,9024952,,480814,2567832.0,,150366.0,1816874,2235481,,,,3981026.0,3588009,,13296247.0,868712,0.0,59786,34196,21362,806669,139294,4271295,48639,29781,0
2015-05-08,1,2015,86851.0,2090,88941,2787745,393117,2646844,231937,447086,595861.0,,220386.0,243079,88941,,,,60586,4823,131998,102339,11142,2121780,0.0,,,1001912,13216,,3081675,,2239513,2015年03月31日,1575553,169982.0,9521068,8730550,0,1071291,3523748,8891313,55763.0,476616,,2550285.0,,1653836,2239513,,13179633.0,3658565.0,,3601114,13179633.0,,863421,,53394,51758,20837,790518,134817,4288320,53766,29659,0
2015-08-07,2,2015,0.0,2098,2098,2738847,418753,2095537,245993,474048,1469669.0,731960.0,84125.0,236471,2098,,,,68586,12823,91033,73730,-9522,2147278,0.0,,0.0,1267644,17708,737709.0,3134860,,2242154,2015年06月30日,933805,109695.0,8935220,8182494,0,1161732,4372477,9249420,55763.0,420664,,3024870.0,,1505663,2242154,,13446421.0,4511201.0,,3608332,13446421.0,,799138,0.0,49829,53656,20309,752726,138724,4197001,59149,17303,0
