date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,408671,357992,43248,43248,5197,5544,6416,1167,8544.0,,,7209,76866,5544,7209,7354,178980,0.0,,,265594,100478,534206,64,820,328000,2013年03月31日,343446,,,1062448,1062448,0,502192,1064783,3546,,189837.0,24030.0,,14546,,120260.0,12096.0,2499.0,74360,328000,,,516408.0,370912,370912,,1578856.0,,,7007,140,,0.0,16773,3546,0,14216,514073,15677.0,25196,37062,5249,0
2013-08-12,2,2013,,449803,216252,202687,202687,6361,17614,9102,1104,0.0,,,7316,94233,17614,7316,14000,167833,0.0,,,295535,71934,548333,74,820,328000,2013年06月30日,196156,,,932778,932778,0,778679,1151526,5189,,192642.0,24385.0,,20096,,188198.0,13062.0,1.0,186359,328000,,,798927.0,370912,370912,,1731705.0,,,12932,5749,,,16927,5189,0,20248,580179,15632.0,48084,47674,7998,0
2013-11-11,3,2013,,483252,275628,39926,39926,8974,7874,11065,241,0.0,,,7250,125196,7874,7250,21445,177222,0.0,,,394730,90937,648626,117,17128,328000,2013年09月30日,255532,,,982414,982414,0,856138,1219381,5443,,161906.0,4833.0,,20096,,193396.0,8465.0,,311015,328000,,,876712.0,370912,370912,,1859126.0,,,13324,3893,,,16681,5443,0,20574,639745,,29140,87070,10824,0
2014-03-28,4,2013,,569940,298886,72983,72983,24588,23187,27249,5180,0.0,,,7378,79545,23187,7378,5615,212191,0.0,,,548325,124431,678025,116,18073,328000,2013年12月31日,278790,,,1020985,1020985,0,1111704,1475767,5413,,155564.0,3443.0,,20096,,378673.0,10568.0,2953.0,328148,328000,,,1136571.0,370912,370912,,2157556.0,,,17489,5375,,,16883,5413,0,24867,681789,,23657,57047,22069,0
2014-05-13,1,2014,,618253,327421,96960,96960,10702,19883,11438,12,0.0,,,7350,44178,19883,7350,6561,248826,0.0,0.0,,419287,104000,610107,374,18250,328000,2014年03月31日,307325,,,1046216,1046216,0,965663,1345217,5072,,185547.0,3732.0,,20096,244879.0,,15244.0,15362.0,318734,328000,,,991691.0,370912,370912,,2037907.0,,,18678,3205,,,16723,5072,0,26028,692690,0.0,29420,20894,11426,0
2014-08-12,2,2014,,601074,282193,192438,192438,17039,1899,9393,639,,,,7217,73278,1899,7217,12022,231924,0.0,0.0,320836.0,443077,100385,741625,1788,17512,328000,2014年06月30日,267647,,,983004,983004,0,964548,1589113,6645,,139865.0,3664.0,,14546,286488.0,,18721.0,0.0,139574,328000,,,1311408.0,370912,370912,,2294412.0,60960.0,145264.0,18807,3126,,,31219,6645,0,346860,705299,0.0,25120,30037,8754,0
2014-11-11,3,2014,,602758,327737,104772,104772,32556,28508,6007,92,,,,7401,87244,28508,7401,6191,230877,0,0,308632,576661,109650,837734,1500,18706,332021,2014年09月30日,313191,,,1080265,1080265,0,1246052,1950860,6334,,169926,0,,14546,440413,,22401,0,333921,332021,,,1589070,391999,391999,,2669335,92640,200865,26985,3433,,,48110,6334,0,343018,718475,,36989,32943,5915,0
2015-03-18,4,2014,,604325,421892,120755,120755,49309,64452,13661,12279,0.0,,,7638,89507,64452,7638,6915,258382,0.0,0.0,314839.0,647346,116298,951729,2459,20434,332021,2014年12月31日,407346,,,1210364,1210364,0,1354552,2195561,8115,,249923.0,0.0,,14546,358990.0,,26153.0,0.0,351844,332021,,,1710799.0,391999,391999,,2921163.0,78495.0,286747.0,33770,3221,,,49553,8115,0,356247,725602,,38022,33039,1382,0
2015-05-14,1,2015,,629163,473603,150932,150932,45460,53509,220,119,,,,7566,74452,53509,7566,6912,263910,0.0,0.0,130557.0,606328,122565,962074,5229,22699,371491,2015年03月31日,459057,32359.0,0.0,1498556,1498556,0,1299347,2233557,8406,239346.0,,,0.0,14546,,380059.0,,,348961,371491,2971776.0,1473220.0,,599953,599953,2971776.0,,37982.0,307118.0,35750,3499,,,48667,8406,0,173873,738219,4915.0,30361,13958,101,0
2015-08-11,2,2015,,647968,303148,297031,297031,9729,35415,3350,457,,,,9946,78386,35415,9946,3210,281399,0.0,0.0,7899.0,419790,109690,656252,1389,24025,396940,2015年06月30日,288602,23169.0,,1487152,1487152,0,1217383,1993435,7749,140318.0,,,0.0,14546,,547492.0,,,359999,396940,2755189.0,1268037.0,,751649,751649,2755189.0,,4354.0,333896.0,32809,3626,,,47833,7749,0,50654,761754,,22960,27343,2893,0
2015-11-11,3,2015,,680486,384882,126053,126053,16832,90039,781,84,,,,7764,110043,90039,7764,2900,294850,17412.0,0.0,0.0,568674,82164,760974,107,22756,398281,2015年09月30日,370336,17583.0,,1616337,1616337,17412,1202843,2036360,7742,83056.0,,,4238.0,14546,,560715.0,,,407588,398281,2862925.0,1246588.0,,760547,760547,2862925.0,,0.0,295828.0,35981,1300,,,49521,7742,0,43745,826565,,23998,57622,697,0
2016-03-24,4,2015,,701618,438866,122549,122549,4121,46594,41480,40241,0.0,,,7493,71661,46594,7493,2833,277713,0.0,0.0,0.0,581498,42187,902836,2639,20366,395411,2015年12月31日,424320,22253.0,,1788721,1629876,0,1184172,2383015,23714,289114.0,,,4090.0,14546,,604250.0,,,374205,395411,3208109.0,1419388.0,,749005,749005,3208109.0,,0.0,276447.0,33110,3645,194613.0,,46511,23714,158845,235216,825094,,25895,22317,1239,0
2016-05-13,1,2016,,670324,387732,200207,200207,5994,33075,3197,1648,,,,7458,79318,33075,7458,3584,308972,0.0,0.0,0.0,466734,37594,678553,57,20314,395411,2016年03月31日,373186,13991.0,,1637565,1565223,0,1088632,2172586,22611,289302.0,,,4071.0,14546,,531327.0,,,366909,395411,2973025.0,1335460.0,,749005,749005,2973025.0,,0.0,324394.0,46620,3801,192750.0,,46043,22611,72342,246828,800439,0.0,33987,29691,1549,0
2016-08-12,2,2016,96384.0,826753,195208,429605,429605,6274,18998,99239,67,,,,7364,84779,18998,7364,6790,299762,,0.0,0.0,561290,23682,879975,9335,20518,395411,2016年06月30日,180662,11297.0,,1439640,1358622,0,1493048,2130310,21303,181121.0,,,3967.0,14546,,553600.0,,,367935,395411,3092064.0,1652424.0,,749005,749005,3092064.0,,0.0,145459.0,55628,4434,96384.0,,44619,21303,81018,159376,961754,,54784,33370,2788,0
2016-11-10,3,2016,125377.0,657031,255584,179879,179879,6822,-22567,138642,6517,4704.0,4704.0,9408.0,7133,190774,-22567,7133,6372,460783,0.0,0.0,,560234,4359,1034615,1800,19170,395411,2016年09月30日,241038,6850.0,1782.0,1464886,1377433,0,1325868,2118891,24242,117737.0,,,0.0,14546,,430620.0,,,435904,395411,3016720.0,1551834.0,,749005,749005,3016720.0,,,0.0,62096,6612,156737.0,,99058,24242,87453,225966,897829,,60028,75936,6748,0
