date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,186288.0,186288,403700,12607.0,219558,,,,,303492,,84104,3227,235697,49409,79783,,,,28722,27854.0,154174,126506,3227,868,27668,1393597,8278,,,,,345568,1135876,13017,986206,30272,,40001,,1741334,2013年03月31日,219558,,,2527406,2231931,851000,0,1974147,4124679,,27430,136879.0,5530.0,0.0,,1323757.0,14652.0,,219050,1742152,,44808,,2395496.0,275272,17414.0,12472.0,174290.0,245386.0,71096.0,,4922902.0,7555,10172,10481,154781,36578,295475,421349,798223,79909,,818.0,74400
2013-08-12,2,2013,,1688,389739,,146356,,,12607.0,,539031,539031.0,69820,11529,54159,52471,62898,43846.0,19052.0,122750.0,30441,,154982,10728,11529,869,21504,1376839,8278,0.0,0.0,156035.0,,350664,1117869,10977,998730,55556,29572.0,39857,,1742228,2013年06月30日,134199,,,2551463,2254446,851000,12157,1880284,4095029,,26086,,,0.0,,1439871.0,6764.0,,110326,1898890,,38070,,2299859.0,205949,,,,,,,4851322.0,3088,4933,2317,133022,36153,297017,419575,756293,86382,,627.0,57000
2013-11-06,3,2013,,1696,386196,,167523,,,1819.0,,305776,305776.0,21155,473,43188,41492,51219,38125.0,13094.0,25219.0,31348,,53369,2002,473,868,26148,1224432,8278,,,,,350747,986438,8691,945274,48525,30480.0,39713,,1900493,2013年09月30日,155366,,,2551873,2269655,851000,12157,1440518,3774942,,27279,,,0.0,,1402260.0,11987.0,,39800,1902657,,32763,,1860657.0,207280,,,,,,,4412530.0,11875,4986,2317,129212,35727,282218,420139,637588,77091,,2164.0,214250
2014-03-24,4,2013,,1682,389612,,173279,,,1819.0,,297479,297479.0,72265,6540,45689,44007,77892,65439.0,12453.0,26740.0,41549,,55448,14294,6540,868,14414,1281287,8278,,,,,353366,1147968,8949,929773,27273,40681.0,39569,,1903611,2013年12月31日,161122,,,2574149,2289363,851000,12157,1600652,3985930,,35672,,,0.0,,1545341.0,29203.0,15595.0,49800,1907186,,4213,,2036609.0,210636,,,,,,,4610758.0,17351,14624,5723,102708,35319,284786,435957,624828,21880,,3575.0,326000
2014-04-25,1,2014,,1680,445280,,225936,,,1819.0,,345171,345171.0,150530,12339,67366,65686,83233,73858.0,9375.0,27254.0,41771,,56986,5612,12339,868,24120,1374035,0,,,,851000.0,355114,1358645,5619,964122,23822,40903.0,39425,,1919265,2014年03月31日,213779,,,2667514,2370642,0,12157,1894463,4323488,,33970,,,,1655869.0,,40152.0,17270.0,62800,1920729,,3386,,2333425.0,211638,,,,,,,5000939.0,11324,14653,7178,99971,34899,296872,438962,677451,39954,,1464.0,145000
2014-08-06,2,2014,,1677,466627,,101110,,,0.0,,430075,430075.0,413736,287,54515,52838,63200,53841.0,9359.0,28864.0,43285,,57322,4526,287,874,23932,1430468,0,,,0.0,0.0,298944,1330276,9001,867268,16682,42411.0,39281,,1975685,2014年06月30日,74765,,,2605535,2294113,0,26345,1893226,4184242,,32463,,,,1293568.0,,24968.0,19173.0,39900,1975685,,2511,,2273054.0,217031,,,,,,,4878589.0,1980,39208,3123,98654,34476,311422,379828,694347,40939,,0.0,0
2014-10-27,3,2014,,1716,467153,,138762,,,0.0,,292547,292547.0,329854,8159,62401,60685,73330,47867.0,25463.0,30364.0,44566,,62522,8167,8159,648,23991,1253341,0,,,,0.0,286993,1066389,6269,889188,10025,43918.0,39137,,1988890,2014年09月30日,112417,,,2671043,2354654,0,26345,1480498,3820084,,33457,,,,1151821.0,,28681.0,28495.0,19900,1988890,,2511,,1850745.0,218843,,,,,,,4521788.0,1800,43630,4678,99435,34010,316389,370247,701704,40400,,0.0,0
2015-03-06,4,2014,,1714,464683,,159966,113.0,17580.0,9045.0,,335002,335002.0,161579,24764,89749,88035,41699,17756.0,23943.0,32488.0,49019,,70803,18856,24651,810,19459,1328119,0,,,,0.0,289136,1153227,6425,939474,18031,48209.0,38993,,1988890,2014年12月31日,133621,,,2706024,2393392,0,26345,1617144,3992989,,38517,,,,1350535.0,,17618.0,23518.0,9800,1988890,,2511,,1997823.0,219772,,,,,,,4703847.0,2812,50464,8940,88817,33584,312632,380679,710858,61990,,0.0,0
2015-05-04,1,2015,,293006,463106,,170542,-1413,15960,9045,,251543,251543,37769,14029,382554,89548,286753,10591,276162,32286,47544,,64061,10329,15442,650,21446,1296711,0,,,,0,0,1115832,6431,1001283,21448,,38850,50440,1988890,2015年03月31日,144197,39210,10091,2685087,2393187,0,26345,2094603,4110901,46894,36565,,,,,1322006,,,285684,1988890,4864100,2511,2179013,,219726,,,,,,4864100,,10838,36026,3711,91132,33155,291900,84410,753199,82854,,0,0
2015-08-10,2,2015,,293469,451260,27661.0,72950,-4712.0,12630.0,,,417860,417860.0,22004,4744,366559,73090,307656,9790.0,297866.0,33811.0,47351,,64572,10360,9456,487,20401,1135118,0,,,,0.0,0,970147,8057,1025110,20009,,38706,49730.0,1988890,2015年06月30日,33790,36547.0,9677.0,2584477,2286786,0,39160,2248248,4121166,46864.0,34565,,,,,1482097.0,,,415435,1988890,4882529.0,2511,2298052.0,,220202,,,,,,4882529.0,,31132,45860,2453,94869,0,297691,49804,761363,61005,,,0
