date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,存入保證金,存出保證金,存貨合計,專門技術淨額,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,虧損性合約之短期負債準備,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,420000.0,4000505,1692650,5526253,48703,,560508,49909,-92900,445803,25803,89235,,,386608,97457,2017,24657,3618945,42055,0.0,,608159,25889,146301,1947180,,6322,384591.0,99366,322062,4331250,2013年03月31日,3610552,,10262906,10157719,0,1915701,2869625,6884856,,42055,,,390338.0,,,,937957.0,106472.0,974249,4331250,2244,,2244,,3531741.0,393116,,13794647.0,,,275508,265358,0.0,33220,105187,662116,6909791,,186605,39580,0
2013-08-12,2,2013,420000.0,3853976,1597106,5219727,45148,,1159629,55711,-178182,442977,22977,75081,,,387390,112353,2006,23414,3528297,40055,,,560155,14070,176949,2322703,,14001,385384.0,99179,303388,4331250,2013年06月30日,2566258,,9867780,9765911,0,1991658,3264936,7130301,,40055,,,390422.0,,661811.0,,895339.0,68665.0,841632,4331250,859,,859,,3930109.0,393116,,13797889.0,,,277783,271109,0.0,45489,101869,665173,6667588,,194021,43450,0
2013-11-08,3,2013,210000.0,3721760,1579672,5446885,49596,,646043,49524,-265473,281208,71208,97451,,,385218,156040,2043,23659,3602100,37269,,,599185,30885,159658,2218058,0.0,9025,383175.0,99595,300469,4000000,2013年09月30日,2793416,,9673468,9574528,0,1991658,3499938,7281582,,37269,,,382592.0,,661811.0,,1052229.0,101743.0,1681216,4000000,0,,0,,4172296.0,393116,,13845764.0,,,287140,286785,0.0,43383,98940,672358,6564182,,203599,88998,0
2014-03-21,4,2013,210000.0,3692053,1321329,5623908,51615,730075.0,615643,75877,321324,265734,55734,86202,,,365348,122211,1954,23202,3581207,35450,,,594934,39630,152214,2225990,,7239,363394.0,99405,326497,4000000,2013年12月31日,2970439,,10437471,10338348,0,1991658,3290942,7390696,,35450,,,384600.0,,661811.0,,1140488.0,122297.0,1493642,4000000,6848,,6848,,3952136.0,393116,,14389607.0,,,295846,287291,0.0,43061,99123,661194,6998911,,222078,55948,0
2014-05-07,1,2014,0.0,3694264,1299808,5880369,22676,620460.0,584527,53199,273634,55442,55442,91879,,,365974,154039,1956,24110,3880801,33863,,0.0,719834,4070,160473,2012008,,3834,364018.0,99216,364206,4000000,2014年03月31日,3226900,,10645367,10547119,0,1991658,2864653,7286037,,33863,,,359225.0,,661811.0,999043.0,,151099.0,1170893,4000000,18315,,18315,,3537728.0,393116,,14183095.0,,,307101,271977,,43240,98248,673075,6897058,,222597,86689,0
2014-08-08,2,2014,0.0,3565765,1166059,5236483,170391,636174.0,1427717,65001,321585,57309,57309,105893,,,361797,129918,824,24190,3478730,31035,,0.0,448283,32829,142342,2476498,,8321,360973.0,99027,320448,4000000,2014年06月30日,3165122,,10045293,9951184,0,2071361,2865623,7915418,,31035,,,350602.0,,0.0,1360986.0,,122523.0,601094,4000000,33526,,33526,,4465399.0,393116,,14510692.0,,317.0,327979,296246,910000.0,41583,94109,1599776,6595274,,249281,64145,0
2014-10-29,3,2014,0.0,3553866,1300996,5388193,48420,446974.0,674684,43520,65752,56995,56995,110019,,,354354,112544,822,24050,3450804,29352,,0.0,403282,40594,120235,2190880,,10870,353532.0,24275,287690,4000000,2014年09月30日,3316832,,9941906,9847061,0,2071361,2202736,7335608,,29352,,,354856.0,,0.0,1216372.0,,77023.0,803454,4000000,25833,,25833,,3789908.0,393116,,13731814.0,636.0,95.0,322818,285653,910000.0,41193,94845,1587172,6396206,,264628,47301,0
2015-03-17,4,2014,0.0,3475384,1342788,5525159,50210,463498.0,694428,34591,215367,55619,55619,133943,130054.0,3889.0,348690,105720,850,23377,3285027,28162,,0.0,474747,35276,135319,2304063,,5759,347840.0,24275,299060,4000000,2014年12月31日,3453798,,10222422,10151115,0,2071361,2127255,7581019,,28162,,95010.0,366491.0,,0.0,1429766.0,,91202.0,635959,4000000,4603,,4603,,3720466.0,410589,,13942888.0,102.0,,334521,256491,910000.0,42069,71307,1593211,6361869,,242650,40274,0
2015-04-29,1,2015,0.0,3274465,1327550,5569453,40365,372616.0,600663,43600,3647,55265,55265,105310,105310.0,0.0,353395,89550,878,23782,3724943,25505,,,544786,13508,115113,1827714,,6188,,24275,282195,4000000,2015年03月31日,3498092,98845.0,10052327,9983689,0,2071361,1999811,7616970,352517.0,25505,93870.0,,,359703.0,0.0,,1511011.0,,561167,4000000,10464,13654003.0,10464,3601676.0,,410589,13654003.0,,0.0,,338470,281174,910000.0,40322,68638,1601865,6037033,,263969,25446,0
2015-08-06,2,2015,0.0,3129632,1315139,4895822,34860,321805.0,1316113,32020,-131083,56953,56953,112038,112038.0,0.0,353502,87011,886,22983,3338033,22909,,,434207,24962,138505,2462688,,6183,,24275,280558,4000000,2015年06月30日,2754462,4838.0,9243144,9175328,0,2141360,2597974,7624635,352616.0,22909,0.0,,,353029.0,0.0,,1354619.0,,615739,4000000,6657,13453692.0,6657,4210548.0,,410589,13453692.0,,0.0,0.0,349072,294699,910000.0,39001,67816,1612574,5829057,,284194,25027,0
