date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,425000.0,1412729,0.0,967796,,167320,26291,-34760,432453,7453,13818,19546,3304,98153,3450,63370,28037,69963,0.0,751983.0,,,91677,71,740568,4358,842319,2013年03月31日,551913,,,3560927,3560927,0,355504,1302408,3468245,,,3279,,24154.0,,,60379,,1768760.0,1073.0,3323.0,608075,842319,,711,4461,,1571141.0,1785572,,5132068.0,0,489.0,7226,149662,1028.0,237500.0,16242,51061,0.0,268733,1663823,64538,1168,15571,34.0,,0
2013-08-05,2,2013,425000.0,1456809,0.0,1102311,,252925,30157,51945,433105,8105,963011,24753,8156,156148,3450,43463,46757,64552,,2403.0,8423.0,,18807,71,646063,17822,842319,2013年06月30日,607628,,,3751219,3751219,0,355504,1386339,3579155,,,5486,,274481.0,,,139179,,1529661.0,6778.0,6919.0,672619,850742,,601,5394,,1585551.0,1746221,,5336770.0,605,0.0,315,139172,828.0,168750.0,16597,105723,,199212,1757615,44086,623,198,20.0,0.0,0
2013-11-04,3,2013,0.0,1465238,0.0,1072985,,181863,28876,16986,325,325,12800,24386,8064,147758,3450,35734,37770,61446,,2403.0,,,34570,71,682653,45404,850742,2013年09月30日,578302,,,3691083,3691083,0,355504,753905,2723235,,,5107,,440553.0,,,139179,,1411421.0,2157.0,1246.0,534839,850742,,80,6368,,784919.0,1750370,,4476002.0,0,83.0,260,134664,0.0,0.0,16322,103888,,31014,1752767,36350,616,2646,4.0,0.0,0
2014-03-17,4,2013,0.0,1443905,0.0,1076812,,228575,28908,71846,666,666,5428,21948,5426,272730,3450,78140,39724,70369,,0.0,,,70617,71,764222,14529,850742,2013年12月31日,582129,,,3753917,3753917,0,355504,989760,2905087,,,4860,,423797.0,,,139179,,1513282.0,0.0,4138.0,689785,850742,,46,7963,,1040697.0,1754517,,4794614.0,0,0.0,21026,168032,0.0,0.0,16522,103521,,50937,1889527,80414,2274,120768,5267.0,,0
2014-05-05,1,2014,0.0,1424739,,1005383,211395.0,185187,20463,61657,271,271,6653,17002,633,292717,3450,71981,38275,70390,,0.0,,0.0,39466,71,705155,33305,850742,2014年03月31日,510700,,,3676447,3676447,0,355504,914561,2750686,,,4814,,300048.0,,,139179,1325220.0,,2967.0,3810.0,663196,850742,,59,8836,,957688.0,1758665,,4634135.0,23344,0.0,17289,161179,0.0,0.0,16369,102555,0.0,43127,1883449,74247,2266,143190,5247.0,,0
2014-08-11,2,2014,0.0,1357975,,843882,277958.0,275733,18191,11007,3041,414,8829,16700,717,297259,3450,67576,33425,42516,,0.0,0.0,0.0,44992,71,697298,64151,850742,2014年06月30日,418502,,,3468444,3468444,0,365001,912566,2594189,,,4778,,318654.0,,,60379,1093997.0,,2524.0,2795.0,562421,850742,,64,9979,,942025.0,1762813,,4410469.0,23720,,2780,156268,0.0,0.0,15983,100136,,29459,1816280,69800,2224,155046,5202.0,2627.0,0
2014-11-10,3,2014,,1328902,,776610,288174.0,154417,12719,86379,589,589,15133,6609,736,341347,3450,69604,34225,28828,,0.0,,0.0,33177,71,710741,75285,850742,2014年09月30日,351230,,,3480691,3480691,0,365001,937372,2627649,,,4484,,128284.0,,,60379,1293011.0,,0.0,3843.0,732663,850742,,79,12680,,973898.0,1766960,,4454589.0,16376,0.0,17237,152207,,,5873,91569,,36526,1826940,71631,2027,206946,5157.0,,0
2015-03-25,4,2014,,1357890,,742960,418152.0,209786,6971,180440,512,512,7339,12125,102,418280,3450,73329,80745,27510,29566.0,,,0.0,32251,71,730779,20143,850742,2014年12月31日,317580,,,3515684,3515684,600000,365001,869930,2531015,,,4460,,132784.0,1629.0,,60379,1107389.0,,1517.0,4527.0,607580,850742,,0,24983,,944386.0,1771108,,4460070.0,18213,,37348,146796,,,12023,93989,,74456,1929055,75421,2092,235429,4667.0,,0
2015-05-06,1,2015,,1338637,,756986,86868.0,147100,12560,143806,475,475,8617,11809,101,409612,3450,78628,63315,33238,29566.0,0.0,,,44629,96,614796,59154,850742,2015年03月31日,331606,1637.0,5709.0,3497225,3497225,600000,365001,656574,2330863,,4606.0,4195,146664.0,,,1614.0,60379,,1282556.0,,,449228,850742,4225708.0,0,29008,728483.0,,1775257,4225708.0,,13409,,31092,140787,,,11708,92596,,71909,1894845,80701,2073,245645,,,0
2015-08-13,2,2015,,1306731,,760848,225307.0,303002,11169,104134,27,27,9610,11744,298,391531,3450,73076,62626,44150,29566.0,0.0,,,66126,96,517731,67802,865472,2015年06月30日,335468,506.0,8001.0,3348049,3348049,600000,365001,741268,2310715,,4545.0,3780,148195.0,,,1591.0,60379,,1203630.0,,,364835,865472,4152246.0,0,29110,804197.0,,1647161,4152246.0,,6676,,22075,137898,,,11446,90792,,62929,1841531,75120,2044,230118,,0.0,0
