date,season,year,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,電腦軟體淨額,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2014-04-23,4,2013,341131,74088,0,96374,96374,,25014,2685,2685,35679,35679,0,31202,,,22,80380,,78366,0,,408265,31766,395568,2013年12月31日,74088,,,1037640,1037640,0,,188387,856951,3337,,300861,10962,,395568,,,222903,542970,,,1260543,34516,27922,,34516,403592,,31180,,0
2014-11-04,3,2014,330027,111259,0,111726,111726,1509,34086,2060,880,0,0,,95653,,34086,318,85313,0,63360,,,414649,11595,395568,2014年09月30日,103850,,,1044326,1044326,0,7409,185573,816736,3078,283798,,8427,,395568,,,230434,503413,503413,,1274760,44861,29266,3078,44861,458024,19872,95335,1180,0
2015-03-06,4,2014,380405,88408,0,95446,95446,1678,69275,2825,928,0,0,,70315,,69275,22,80333,0,25567,,,213131,14700,456428,2014年12月31日,80999,,,1263766,1263766,0,7409,123838,947013,2723,616335,,0,6317,456428,,,168380,649655,649655,,1432146,44542,31690,2723,44542,485133,14519,70293,1897,0
2015-05-08,1,2015,395624,57544,,81262,81262,390,57673,2539,1100,0,0,,60325,,57673,315,77708,0,24960,,,163182,8763,456428,2015年03月31日,50135,0,6099,1221300,1221300,0,7409,108761,884498,2249,,606398,,,456428,1373895,152595,,649655,,1373895,,43834,31199,2249,43834,489397,21958,60010,1439,0
2015-07-31,2,2015,408813,-57082,,199598,85215,384,40461,2244,1043,,,,20086,,40461,310,50973,,30665,,114383,172526,15067,456428,2015年06月30日,-71857,413,28,1043819,1043819,0,14775,232920,854622,1827,,590830,,,456428,1319968,276149,,604012,,1319968,,43229,34620,1827,43229,465346,24814,19776,1201,0
2015-11-03,3,2015,416781,-67939,,81183,81183,425,81766,7825,1293,,,,14319,,81766,322,53581,,22466,,,163882,12703,456428,2015年09月30日,-82714,602,86,1074267,1074267,0,14775,112076,756859,1757,,497318,,,456428,1223161,148894,,604012,604012,1223161,,36818,33445,1757,36818,466302,28864,13997,6532,0
2016-03-22,4,2015,305759,-187833,,66312,66312,785,46970,2214,1150,2,2,,19278,,46970,12,42715,,21913,,,127785,10720,456428,2015年12月31日,-202608,343,0,919577,919577,0,14775,90782,671515,1341,,463085,,,456428,1045889,126312,,604012,604012,1045889,,35530,47996,1341,35530,374374,26423,19266,1064,0
2016-04-28,1,2016,308624,-223282,,60081,60081,644,43395,2601,1107,3,3,,7865,329,43395,57,37987,,13740,,,107378,5212,456428,2016年03月31日,-238057,401,0,880553,880553,0,14775,76823,622426,982,,452303,,,456428,987760,107207,,604012,604012,987760,,30384,47863,982,30384,365334,18899,7479,1494,0
2016-08-11,2,2016,226681,-132686,,57643,57643,621,23624,3038,1156,192771,2,192769,8123,320,23624,45,29462,,15912,,0,96622,7872,456428,2016年06月30日,-132686,1126,0,763545,763545,0,0,77719,595073,613,,252691,,,456428,863022,99477,,416179,,863022,,21758,32532,613,21758,267949,15034,7758,1882,0
2016-11-02,3,2016,209509,-175415,,57091,57091,673,913,2735,1061,188033,0,188033,4031,,913,45,30556,,15660,,,64006,31136,456428,2016年09月30日,-175415,0,373,698105,698105,0,0,75486,550077,598,,215045,,,456428,790831,92726,,416179,416179,790831,,17240,26616,598,17240,240754,20255,3986,1674,0
