date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付薪資,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,20085,0.0,-16170,3819,218759,218759,8567,3819,19555,25232,18373,6859,5083,4131,10139,5056,131901,0,,77734,10938,8567,55177,169560,4131.0,8692,752977,2013年03月31日,-140086,1117811,1116012,0,123916.0,126794,1193379,,9709,,592750.0,10000.0,752977,,,130925.0,375386,,1248736.0,0,6732,1799,4131,55357,0
2013-08-09,2,2013,17837,0.0,-29933,2481,169520,169520,8107,2481,21524,64177,23740,40437,5380,4240,7684,2304,109823,27062,,77622,11738,8107,54976,167139,4240.0,7990,752977,2013年06月30日,-29933,1071761,1070437,2000000,0.0,130991,1156787,,9962,,591152.0,12000.0,752977,,,135231.0,371974,,1206992.0,0,6732,1324,4240,50205,0
2013-11-06,3,2013,16424,0.0,-46947,1335,67747,67747,8127,1335,15441,89260,31754,57506,3591,4348,3591,0,104140,27062,,77351,6679,8127,77050,167889,4348.0,7428,752977,2013年09月30日,-46947,1053459,1052277,2000000,0.0,119598,1130095,,13135,,624009.0,12000.0,752977,,,123946.0,371974,,1177405.0,0,6732,1182,4348,47310,0
2014-03-26,4,2013,15336,0.0,-76918,1901,93330,93330,11798,1901,16586,76740,25134,51606,3591,3514,3591,0,78160,27062,,70099,7499,11798,53491,199892,3514.0,4271,752977,2013年12月31日,-76918,1016539,1016539,2000000,0.0,116982,1099895,,12432,,598282.0,11000.0,752977,,,122141.0,365641,,1138680.0,1645,3155,0,5159,38785,0
2014-04-29,1,2014,13231,0.0,-85139,305,305016,305016,9372,305,15466,80650,28630,52020,3229,3416,3229,0,79241,27062,0.0,64010,6657,9372,78549,161922,3416.0,3537,752977,2014年03月31日,-85139,1006722,1006722,2000000,0.0,106005,1081305,,13331,375927.0,,10500.0,752977,,,111066.0,365641,,1117788.0,1645,3155,0,5061,36483,0
2014-08-08,2,2014,11086,,-52748,866,341376,341376,9106,866,16576,101568,13943,87625,3252,3321,3252,0,78803,4481,0.0,76475,5825,9106,58327,184274,3321.0,5393,752977,2014年06月30日,-52748,999948,999948,331000,0.0,145747,1117211,,10564,352863.0,,37765.0,752977,,,150713.0,303334,,1150661.0,1645,3155,0,4966,33450,0
2014-11-07,3,2014,12599,0.0,-73323,234,307145,307145,10859,234,16015,108677,23551,85126,3618,3225,3618,0,106169,4481,0.0,94953,6492,10859,58037,186728,3225.0,4974,752977,2014年09月30日,-73323,978741,978741,331000,,158604,1106048,,11821,339292.0,,30285.0,752977,,,163474.0,303334,,1142215.0,1645,3155,0,4870,36167,0
2015-03-25,4,2014,12162,,-87256,35,191455,191455,16003,35,16675,105807,20712,85095,3619,2010,3619,0,130969,4481,0.0,84936,5153,16003,53522,184859,2010.0,4605,752977,2014年12月31日,-87256,964609,964609,331000,0.0,122767,1059244,,10152,392632.0,,0.0,752977,,,129242.0,303334,,1093851.0,4465,4069,0,6475,34607,0
2015-05-07,1,2015,18349,0.0,-136202,696,229188,229188,13523,696,15329,102452,17259,85193,3615,1920,3615,0,121985,4481,0.0,31095,3659,13523,35985,162498,,4089,752977,2015年03月31日,-136202,916324,916324,331000,0.0,63606,947704,1920.0,8489,,295596.0,0.0,752977,986315.0,69991.0,,303334,986315.0,,4465,4069,0,6385,38611,0
2015-08-07,2,2015,18460,,-99128,537,166044,166044,14978,537,14765,97935,12830,85105,3611,1829,3611,0,118438,4346,0.0,47622,2910,14978,144518,3523,,4362,752977,2015年06月30日,-99128,867010,867010,321000,0.0,80275,914468,1829.0,8609,,384010.0,0.0,752977,953579.0,86569.0,,216970,953579.0,,4465,4069,0,6294,39111,0
