date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,578463,42977,58593,63079,18192,32672,213653,71353,170690,91489,832754,28910,77069.0,,192014,,854,450914,2119,200000,8553,1903145,2013年03月31日,18450,,2084019,2064072,3000000,9306,604100,1887685,32511,15221,,343567.0,0.0,134500.0,1903145,,,78500,,853632.0,114188,,2937651.0,0.0,19351,342.0,80357,19947,249532,1049966,72366,0
2013-08-08,2,2013,573017,43506,64678,65800,18318,41037,178007,78094,172575,84954,821995,28910,78282.0,,198965,50000.0,1200,383698,2089,200000,14900,1903145,2013年06月30日,18537,,2090279,2072807,3000000,9748,587328,1883475,31124,15221,,379528.0,356.0,93000.0,1903145,,,78500,,838403.0,114029,,2928682.0,0.0,40807,,76534,17472,251075,1045207,80664,0
2013-11-07,3,2013,565845,21754,64678,55611,9374,37687,163733,76792,168703,87973,785255,28910,,,341162,,1545,509109,1033,200000,14448,1903145,2013年09月30日,-3215,,2059830,2047703,3000000,9748,562302,1824185,30262,15221,,318662.0,251.0,0.0,1903145,,,78500,,809505.0,114027,,2869335.0,0.0,28276,,81944,12127,247203,1045150,95684,0
2014-03-25,4,2013,563358,26867,76819,113514,13332,51357,324515,104037,172374,85696,867829,28910,,,387834,,1261,516397,1781,200000,12951,1903145,2013年12月31日,1898,,2078042,2066488,3000000,9748,827305,2106983,28965,15221,,467587.0,181.0,0.0,1903145,,,78500,,1078179.0,114029,,3156221.0,0.0,33407,,81449,11554,250874,1049238,102613,0
2014-05-13,1,2014,561415,30329,76819,62498,12437,52087,311509,91652,166735,89550,770219,28910,0.0,0.0,185224,,1155,420149,775,200000,13810,1903145,2014年03月31日,5360,,2082238,2070680,3000000,9748,560547,1839578,27594,15221,413290.0,,161.0,0.0,1903145,,,78500,,805782.0,114029,,2888020.0,,32543,0.0,79254,11558,245235,1048442,98513,0
2014-08-12,2,2014,557459,38828,76819,64737,14947,50481,294272,86361,169396,78434,804945,28910,0.0,0.0,204276,50000.0,1382,354600,671,200000,94246,1903145,2014年06月30日,13859,,2100084,2088565,3000000,9748,664740,1902291,26561,15221,504785.0,,73.0,50000.0,1903145,,,78500,,912636.0,125021,,3012720.0,,29738,,76910,11519,247896,1110429,106244,0
2014-11-12,3,2014,555851,41561,76819,52706,17308,52090,353519,65380,169781,72077,1037479,28910,,0.0,278214,,1483,390370,649,200000,90149,1903145,2014年09月30日,16592,,2103893,2092418,3000000,9748,692531,1948275,26104,15221,319558.0,,44.0,,1903145,,,78500,,940812.0,124532,,3044705.0,6565.0,17230,,75430,11475,248281,1096430,100301,0
2015-03-19,4,2014,554527,48074,84981,107089,20555,70902,223666,70719,170137,69768,900230,53144,,0.0,218194,50000.0,2003,416751,413,200000,91787,1903145,2014年12月31日,23104,,2101038,2089492,6000000,9748,764015,2013372,24852,15222,349214.0,,272.0,160253.0,1903145,,,78500,,1012652.0,120515,,3113690.0,2538.0,14426,,74403,11546,248637,1100318,241064,0
2015-05-14,1,2015,546617,35227,84981,55424,17576,72733,288243,56790,170526,61031,820585,24234,,0.0,152505,50000.0,1151,346588,410,200000,249675,1873145,2015年03月31日,10257,463.0,2089994,2078476,3000000,9748,797786,1896145,24320,15222,,404209.0,,250000.0,1873145,3136806.0,,78500,1046812.0,,121605,3136806.0,,0.0,6352,,74037,11518,249026,1240661,243635,0
2015-08-12,2,2015,546967,20573,84333,102780,21437,61121,292823,54226,164965,62014,825776,24234,,0.0,187347,0.0,829,332462,165,200000,239452,1873145,2015年06月30日,-6596,27.0,2037940,2026406,3000000,11947,813806,1868096,22923,15222,,390234.0,,230000.0,1873145,3095210.0,,78499,1057270.0,,95801,3095210.0,,0.0,5506,,71425,11534,243464,1227114,238290,0
2015-11-10,3,2015,546206,43311,114333,59375,8979,56346,324409,38547,165541,68618,1080848,24234,,0.0,259353,50000.0,690,395526,289,200000,225049,1873145,2015年09月30日,16142,238.0,2054642,2043183,3000000,11947,1024065,2078405,21516,15222,,324679.0,,330000.0,1873145,3322748.0,,78500,1268106.0,,94615,3322748.0,,0.0,0,,68621,11459,244041,1244343,229537,0
2016-03-16,4,2015,542877,57408,136888,111870,9196,80567,264445,42874,148603,74767,993870,24234,,0.0,267293,90000.0,670,655916,52,200000,231376,1873145,2015年12月31日,30239,727.0,2093077,2081634,3000000,11947,1349972,2315156,20389,15222,,392867.0,,517000.0,1873145,3593882.0,97967.0,2230,1500805.0,,94748,3593882.0,,0.0,0,,72429,11443,150833,1278726,220381,0
2016-05-12,1,2016,539927,64910,136888,64876,14991,85054,263552,47727,118568,69451,1134898,24234,,0.0,237642,130000.0,670,518027,112,200000,241069,1873145,2016年03月31日,37741,727.0,2105043,2093633,3000000,11947,1347467,2296030,19328,15222,,344083.0,,650000.0,1873145,3573308.0,0.0,2230,1468265.0,,94758,3573308.0,,,0,,70615,11410,120798,1277278,236192,0
2016-08-11,2,2016,538989,59706,136888,89534,21254,77855,295168,21273,123575,76482,1156841,24234,,0.0,191665,130000.0,670,472426,0,200000,240933,1873145,2016年06月30日,29250,789.0,2092650,2081239,3000000,15234,1377826,2313232,20163,15222,,332287.0,,670000.0,1873145,3596281.0,0.0,2230,1503631.0,,94767,3596281.0,,,0,,69594,11411,125805,1283049,309151,0
2016-11-03,3,2016,541626,78400,136888,74921,15965,77557,483867,17470,112922,73717,1304418,24234,,0.0,189567,140000.0,670,401921,56,200000,251694,1873145,2016年09月30日,47944,789.0,2110995,2099642,3000000,15234,1549814,2485822,18660,15222,,434751.0,,660000.0,1873145,3775961.0,0.0,2230,1664966.0,,94774,3775961.0,,,2326,,67554,11353,115152,1290139,308915,0
