date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保固之長期負債準備,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,員工福利負債準備－流動,存入保證金,存貨合計,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,1270415,16344,6561.0,290454.0,560224,56900,334955,30801,119756,64549,2261768,18277,2243491,1998,360082,45950,9083.0,37146,23164,42247,,,,,2488562,1400822,,32106.0,3440723,,,415017,192.0,322936.0,512157,,2319387,2013年03月31日,,,2995655,2957120,5000000,5507724,7188411,,2179,,917230.0,6964.0,11119.0,1164122,2319387,,,15644,290454,,6171573.0,0,,9167228.0,20932.0,13313,74872,43952,2179.0,38535,663849,1978817,67465,,0
2013-08-12,2,2013,1250975,16344,9860.0,286310.0,219692,50500,164950,20460,123159,108267,2219998,25493,2194505,5359,363167,49277,8315.0,34351,15641,77824,,,45388.0,,2518855,1000518,,44155.0,2127834,,,312986,2052.0,328816.0,521253,,2319387,2013年06月30日,,,2671088,2629802,8973000,5107488,6474664,,3481,,1081514.0,3003.0,15367.0,1249565,2364775,,,18175,286310,,5770278.0,0,,8441366.0,19943.0,13313,74872,43918,,41286,662790,1966702,658869,,0
2013-11-12,3,2013,1226055,16344,10131.0,283049.0,289532,50500,271769,14489,116735,137399,2086099,49891,2036208,5328,368151,47976,7318.0,36335,12551,88834,,,,,2318281,1075227,,37164.0,2375827,,,333615,242.0,331816.0,520433,,2364775,2013年09月30日,,,2724519,2682208,10199000,5238344,6687925,,3271,,1146067.0,230.0,15367.0,1380825,2364775,,,17449,283049,,5902857.0,0,,8627376.0,10211.0,13313,74872,42648,,42311,664513,1939451,693457,,0
2014-03-27,4,2013,1211349,16344,,,382154,54400,130479,32002,130589,151050,2090101,49207,2040894,1798,317519,44416,,3571,65757,88834,,,,,3129607,635376,,,3054502,,,308700,,313948.0,519613,,2364775,2013年12月31日,,,2833267,2788684,10199000,5777216,7355793,,2943,,1171875.0,114.0,20866.0,1711739,2364775,,,18851,355864,,6463912.0,0,,9297179.0,0.0,13313,92321,42618,,44583,686696,1941386,611990,,0
2014-05-12,1,2014,1193588,16344,,,460033,47200,152094,42423,121498,137278,1960858,47586,1913272,3456,318806,78551,,1809,20667,88834,,,,0.0,2631420,865378,,,2618189,,,423477,,316997.0,518793,,2364775,2014年03月31日,,,2901765,2857472,10199000,5176404,6822542,,4867,1145660.0,,8892.0,20857.0,1359459,2364775,,,21883,357020,,5865543.0,0,,8767308.0,14638.0,13313,85423,41667,,44293,689139,1944766,575773,33428.0,0
2014-08-11,2,2014,1185741,16344,,,469686,44500,179848,27169,107200,63672,1906069,21294,1884775,4193,321810,63351,,1809,14251,88834,,,,0.0,2630234,915280,,,2868924,,,595515,,320001.0,517973,,2364775,2014年06月30日,,,2897147,2852827,10199000,5048135,6719981,,4210,727728.0,,14820.0,23935.0,1223448,2364775,,,20833,358176,,5741434.0,0,,8638581.0,17454.0,13313,86481,40139,,44320,693299,1918600,538936,19019.0,0
2014-11-10,3,2014,1193912,16344,,,531187,42900,182569,28335,121590,84179,1931889,19347,1912542,3413,324750,43786,,1809,23236,88834,,,,0.0,2627591,941177,,,2924480,,,999666,,322941.0,517153,,2364775,2014年09月30日,,,2975138,2928718,10199000,5425350,7195069,,3903,829855.0,,24759.0,3078.0,1545339,2364775,,,19736,359320,,6122733.0,0,,9097871.0,17914.0,13313,84804,40373,,46420,697383,1902802,436616,,0
2015-03-25,4,2014,1183602,16344,,,497289,39200,168580,33837,139128,95791,2035258,600,2034658,498,327301,41347,,1809,29218,88834,,,,0.0,2826687,983425,,,2882617,,,544988,,325492.0,516333,,2364775,2014年12月31日,,,2961006,2912358,10199000,5664774,7342738,,3414,1512298.0,,0.0,3397.0,1542776,2364775,,,47515,250285,,6255673.0,0,,9216679.0,,13313,73701,40849,,48648,590899,1873941,301125,,0
2015-05-12,1,2015,1144200,16344,,,584547,47600,168127,31637,141058,87202,2141935,3275,2138660,948,327712,40603,,1809,44382,88834,,,,0.0,2406069,1061312,,,3536515,,,551581,,,515513,,2364775,2015年03月31日,25984.0,3709.0,3050747,3001546,10199000,5359640,7149833,325903.0,3003,,685163.0,,,1588541,2364775,,8999595.0,22405,248183,5948848.0,,0,8999595.0,,3006.0,13313,82499,39655,,49201,589208,1849762,151905,0.0,0
2015-08-11,2,2015,1110071,16344,,,539043,46100,211221,15474,129962,77548,2084931,5317,2079614,948,328254,39246,,1809,46839,88834,,,,0.0,2444858,1022099,,,3107903,,,525015,,,514693,,2364775,2015年06月30日,33841.0,3393.0,2994205,2944946,10199000,5135027,6902506,326445.0,2587,,1040888.0,,,1324046,2364775,,8712767.0,21414,241968,5718562.0,,0,8712767.0,,0.0,13313,81220,38298,,49259,583535,1810261,78063,0.0,0
2015-11-11,3,2015,1107033,16344,,,559641,40300,134578,13118,152621,102731,2099798,10239,2089559,1016,328859,40047,,1809,14842,45284,,,,0.0,2378654,978638,80000.0,,2915086,,,633415,,,513873,75588.0,2314775,2015年09月30日,22370.0,3393.0,3039401,2988203,5199000,4784244,6525057,327050.0,2311,,675779.0,,,1065139,2314775,,8398502.0,22134,232685,5359101.0,,6450,8398502.0,,0.0,13313,77949,39031,,51198,574857,1873445,169626,,0
