date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付費用,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,土地成本,土地淨額,在建房地,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,工程存出保證金,庫存現金,庫藏股票,建造中之投資性不動產,待售房地,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付土地房屋款,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付建造合約款,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付股利,應付薪資,應付退休金費用,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收建造合約款,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－建築物,持有供交易之金融資產－流動,持有供交易金融負債－流動,持有供交易金融負債－非流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未實現利息收入－應收分期帳款,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,營建用地,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,辦公設備成本,辦公設備淨額,追溯適用及追溯重編之影響數,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延兌換損失,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期預付租金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,490000,490000,459570,770604,770604,44866,1228032,30582,30582,131264,131264,,,58345,,197915,,116777.0,,,34588,635233,145233,431910,165011,106,43,30000,66543,30000,93634,,1275194,,,,,4006,4006,,,349299,349299,1464695,501,5305.0,1689708,1689708,200356,7604,151331,,225013,,,,,0.0,3344372,3344372,,,229027,0.0,0.0,36533,36533,,74684,6454,2468649,2393300,0.0,0.0,1498796,58432,58432,93133.0,154232,101022,49452,50414,0.0,,,33130,33130,2196229,2013年03月31日,740234,17004,,342912,28644,4918,4528924,4303777,13627785,252286,4661679,7604730,,3142.0,,,0.0,235512.0,,1401320.0,23733.0,150000,89670,397322,63,53210,962,23726,3484,2377,2196229,,44866,,5721370.0,996259,618137,378122,378122,,,10250294.0,7114,3630,0.0,,,0.0,3035,658,0.0,24157,24157,54472,150000,1304046,941900,941900,1239889,3142.0,3142.0,225147,1059691,2645564,,0,0,0
2013-08-09,2,2013,,200000,200000,459778,747433,747433,42504,794512,25880,25880,126406,126406,,,58345,,667345,102092.0,,,,35592,493606,66513,501164,218295,106,38,30000,58274,30000,93882,,1263171,,,,0.0,9712,9712,,,349299,349299,970880,501,5571.0,1574494,1574494,224595,7034,151331,34967.0,603614,,,,,0.0,3471996,3471996,,,421565,0.0,0.0,75495,75495,461208.0,97387,6658,3246144,3174072,0.0,0.0,1758581,106930,106930,93381.0,154232,99726,52604,18624,,,,32876,32876,2196229,2013年06月30日,229456,13727,,370600,28692,4758,4097645,3871261,13627785,304747,5878591,8306140,,3018.0,,,0.0,260309.0,,1064493.0,6080.0,700000,540175,-141144,68,54506,987,23934,3618,2344,2196229,,42504,,6807970.0,996259,618137,378122,378122,,,10905615.0,8940,5322,,,,0.0,2979,635,,24157,24157,40595,700000,517284,811340,811340,1227600,3018.0,3018.0,226384,929379,2599475,,227093,227093,0
2013-11-05,3,2013,,200000,200000,460117,790997,790997,41866,1155955,29331,29331,219857,219857,,,58345,,206683,85277.0,,102090.0,102090.0,25994,946674,83228,561895,288729,166,92,60000,54394,60000,83798,,1233393,,,24781.0,,-3337,-3337,,,349299,349299,966640,501,5675.0,1308469,1308469,218772,6405,151331,41321.0,341829,,,,,0.0,3595724,3595724,2852.0,2852.0,858593,0.0,0.0,44156,44156,,116982,4424,3682144,3609973,0.0,0.0,1912147,58294,58294,83297.0,154232,98432,58934,18624,0.0,,,30403,30403,2196229,2013年09月30日,590899,13826,,732043,29347,5258,4474182,4251725,13627785,304747,6703168,9778990,,2706.0,,,0.0,260309.0,,1981484.0,6620.0,1000000,1258733,-141144,74,55800,1011,24089,3505,2342,2196229,,41866,,7922529.0,1024878,646756,378122,378122,,,12396711.0,9485,5980,,,,0.0,3398,1056,,24224,24224,41171,1000000,716346,1111339,1111339,1167718,2706.0,2706.0,222457,1219361,2617721,24781.0,663446,663446,0
2014-03-05,4,2013,,200000,200000,459980,804099,804099,39990,1247993,34347,34347,224873,224873,,,43345,,314832,141727.0,,163741.0,163741.0,33724,883365,92553,499482,247612,166,84,74000,54435,74000,99438,,1241085,,,,,-65,-623,4282.0,-4840.0,349299,349299,996445,501,5614.0,1283244,1283244,197435,6090,151331,47675.0,286799,,,,,0.0,3703529,3703529,,,735419,0.0,0.0,46150,46150,,168945,4160,3359614,3302545,,,1904968,79342,79342,98937.0,154232,97137,65264,18624,0.0,,,22946,22946,2196229,2013年12月31日,682937,13724,,836194,28939,4910,4595512,4351493,13627785,304747,6980899,10313643,,3157.0,,,0.0,260309.0,,2855448.0,27614.0,1230000,1180000,-153257,82,57095,1035,24029,3522,2384,2196229,,39990,,8361958.0,1024878,646756,378122,378122,,,12957470.0,11058,7536,,,,0.0,3398,1014,,23345,23345,47296,1230000,1669358,1258276,1258276,1161471,3157.0,3157.0,244019,1381059,2643827,,590812,590812,0
2014-05-09,1,2014,,211000,211000,458438,820961,820961,36755,1346735,30069,30069,274495,274495,,,43345,0.0,202776,120516.0,,168899.0,168899.0,49513,914802,93034,687678,252507,166,76,74000,238710,74000,98783,,1234150,,,,,687,19444,23359.0,-4602.0,349299,349299,1049606,501,4790.0,1336405,1336405,196461,6571,151331,57206.0,286799,0.0,1200000.0,1089308.0,-110692.0,,3631659,3631659,,,479705,,,104914,104914,,77818,4442,3317568,3259317,,,1869828,109277,109277,98282.0,154231,95838,74772,18624,,,11700.0,22283,22283,2196229,2014年03月31日,781679,14906,,98742,28789,4716,4811526,4562639,13627785,304747,5572446,10230365,,3651.0,,,,260309.0,2524466.0,,51835.0,150000,1180000,682937,90,58393,1058,24073,3781,2384,2196229,,36755,,8074936.0,1121493,646756,378122,378122,96615.0,,12886462.0,11328,7547,,,11700.0,,3346,962,,23394,23394,41842,150000,1337895,1279305,1279305,1155360,3651.0,3651.0,248887,2502490,2656097,,610768,610768,0
2014-08-11,2,2014,,11000,11000,457293,810177,810177,35608,1112244,996,996,124917,124917,,,43345,0.0,753057,129369.0,,166176.0,166176.0,2153,143177,70358,672427,278659,103,61,99000,238750,99000,98419,177.0,1253112,,,,,261,1157,5833.0,-4937.0,349299,349299,1856733,501,4930.0,1881746,1881746,155018,6615,151331,63547.0,25013,0.0,1200000.0,1096042.0,-103958.0,,3217854,3217854,,,443424,,,32361,32361,514988.0,104324,4376,3324972,3267727,,,1697997,80963,80963,97741.0,154232,94546,81088,18624,,,14460.0,17776,17776,2196229,2014年06月30日,507017,13900,,413308,28767,4491,4558261,4314857,13627785,373040,5883861,10732595,,5028.0,,,,232187.0,2840642.0,,18380.0,1240000,965000,93709,42,59686,1083,24276,4161,2426,2196229,,35608,,8839554.0,1155562,680825,378122,378122,96615.0,,13397815.0,12137,7976,,,14460.0,,3346,920,,23327,23327,40746,1240000,1869027,1723445,1723445,1149182,5028.0,5028.0,243404,2955693,2665220,,61819,61819,0
2014-11-14,3,2014,,11000,11000,456449,820063,820063,36388,1137883,835,835,61109,61109,,,43345,0.0,215607,66575.0,,172049.0,172049.0,17964,170773,81890,573326,304056,103,56,166858,111175,166858,94798,6515.0,1329165,15278.0,15278.0,,,6,17129,21823.0,-4700.0,349299,349299,3622364,501,4093.0,3647377,3647377,158095,6838,151331,69598.0,25013,0.0,1200000.0,1100984.0,-99016.0,,3305531,3305531,,,661719,,,51361,51361,,144497,4535,3412034,3355643,,,1848038,241297,241297,87782.0,154232,93251,87115,18624,,,27480.0,15227,15227,2196229,2014年09月30日,532656,13046,,438947,28607,4326,4602105,4356307,13627785,373040,5387324,11210959,,4716.0,,,,232187.0,1312120.0,,20713.0,925232,454148,93709,47,60981,1107,24281,4560,2466,2196229,,36388,,9366987.0,1155562,680825,378122,378122,96615.0,,13969092.0,13124,8564,,,27480.0,,3419,953,,23376,23376,45398,925232,851134,2733025,2733025,1142936,4716.0,4716.0,245798,3979663,2758133,,77883,77883,0
2015-03-20,4,2014,,11000,11000,455638,805830,805830,35079,1207705,5012,5012,128142,128142,100000.0,100000.0,43345,0.0,289297,100480.0,,182537.0,182537.0,58297,189282,93558,489445,276830,199,145,171461,84270,171461,106957,,1328327,15896.0,15896.0,,,273,53285,57136.0,-4124.0,349299,349299,3960848,501,4280.0,4101144,4101144,128345,7300,151331,75650.0,140296,0.0,1200000.0,1106853.0,-93147.0,,3773086,3773086,,,556276,,,17284,17284,,184143,4674,3326784,3272555,,,1682752,202205,202205,106456.0,154232,91955,93143,18624,,,31680.0,22526,22526,2196229,2014年12月31日,602478,10884,,523207,28012,4039,4670670,4466462,13627785,373040,6057104,12041444,,4377.0,,,,232187.0,1982664.0,,36435.0,1160365,793406,79271,54,62277,1131,23973,5131,2383,2196229,,35079,,10233499.0,1155562,680825,378122,378122,96615.0,,14904169.0,14453,9322,,,31680.0,,3261,878,,23492,23492,52884,1160365,1181958,2907413,2907413,1136690,4377.0,4377.0,204208,4176395,2862725,,84724,84724,0
2015-05-11,1,2015,,10000,10000,467009,766999,766999,34688,1292706,-2279,-2279,156823,156823,92500.0,92500.0,43345,0.0,181644,84171.0,,181024.0,181024.0,37273,161365,62450,445759,196883,199,135,99000,127015,99000,107648,,1249519,15720.0,15720.0,,,-2545,39552,46538.0,-4441.0,349299,349299,3801548,501,4220.0,3941844,3941844,121861,6124,151331,75650.0,140296,0.0,1200000.0,1112595.0,-87405.0,,3479978,3479978,,,731258,,,24779,24779,,95156,2317,3380719,3327482,,,1576079,210597,210597,,167645,103824,93119,18624,,,32580.0,20478,20478,2196229,2015年03月31日,687479,9892,55005.0,85001,28074,3914,4731926,4530439,13627785,373040,5309439,11501186,107147.0,4838.0,,,,232187.0,,1661578.0,,640722,461692,602478,64,63821,1155,24160,5642,2421,2196229,14244970.0,34688,9513044.0,,1155562,680825,378122,378122,96615.0,14244970.0,,14639,8997,,,32580.0,,3261,840,,23429,23429,49322,640722,1193762,2927353,2927353,1130579,4838.0,4838.0,201487,4203605,2743784,,88915,88915,0
2015-08-12,2,2015,,110000,110000,465595,759090,759090,48255,1000205,-7036,-7036,75050,75050,87500.0,87500.0,43345,0.0,529455,85519.0,,179642.0,179642.0,20292,266250,50942,610396,309539,199,125,100270,136261,100270,107329,0.0,1245160,15499.0,15499.0,,,-1988,27328,33937.0,-4621.0,349299,349299,3865145,501,4990.0,4005441,4005441,164596,6667,151331,79684.0,140296,0.0,1200000.0,1118401.0,-81599.0,,3577450,3577450,,,647352,,,41431,41431,308992.0,130335,4609,3476631,3425937,,,1597473,123819,123819,,167645,102168,97129,18624,,,39300.0,16736,16736,2196229,2015年06月30日,574844,7349,57103.0,121934,28074,3730,4439518,4241399,13627785,425361,5718297,11577136,106828.0,4096.0,140000.0,140000.0,,0.0,,1419378.0,,551001,341758,452910,74,65477,1179,24344,6275,2444,2196229,14304664.0,48255,9865146.0,,1176004,701267,378122,378122,96615.0,14304664.0,,15749,9474,,,39300.0,,3243,799,,23390,23390,52222,551001,1070953,2858429,2858429,1124401,4096.0,4096.0,198119,4146849,2727528,,105308,105308,0
