date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,948297,147394,1095691,15147667,41681,5629528,14929.0,92883,1034233,,777178.0,199193,15302,1379306,283615,4911,0.0,1188803,1216,1375778,,2085,373.0,0.0,3635.0,2314122,57437.0,,,1500000,1945020,135501,0,110019,,257055,3756966,19307,119740,1170247.0,3192064,5770508,2013年03月31日,4476046,,16926887,15445837,3023898,1153482,5912941,8311812,,811596,,44309.0,26794.0,,,,1418513.0,168840.0,1096023,5770508,,23116,,12484557.0,4087936,2960398.0,42374.0,90302.0,232190.0,927409.0,67453.0,695219.0,,29411444.0,20883.0,0,360106,411169,3522707.0,3522707,201762,1481050,6571616,21099632,434751.0,1168296,0
2013-08-09,2,2013,952884,462451,1415335,15459903,41681,5676474,25242.0,125883,1364887,,859440.0,305950,92225,1680757,265422,5644,0.0,1179914,18037,1368378,51524.0,51524,66983.0,8574.0,3749.0,2440902,36220.0,144263.0,,1500000,2079141,133905,0,86730,201968.0,303479,4084406,24141,149767,1153303.0,3260040,5770508,2013年06月30日,4288032,,17263206,15752452,1906898,1234538,6730496,8914547,,830818,,99348.0,27023.0,,153904.0,,1403131.0,138070.0,1220896,5914771,,16749,,13086572.0,4105202,,,,,,,,,30349778.0,9361.0,72,318667,321505,3357495.0,3357495,214322,1510754,6356076,21435231,401186.0,1098783,0
2013-11-11,3,2013,957494,44174,1001668,15474270,41681,6004175,,125883,1514927,945431.0,,212637,56669,1274585,272917,435788,0.0,1156351,11174,1703630,69398.0,69398,,,,2633155,0.0,,,1500000,2049775,125025,339806,92784,201968.0,367528,3837196,16527,117153,1145177.0,3286790,5914771,2013年09月30日,4615733,,17637250,16115128,0,1234538,7223502,8742751,,792382,,118679.0,16858.0,,153904.0,,1367597.0,157697.0,1646043,5914771,,21875,,12862291.0,4139513,,,,,,,,,30499541.0,985.0,4019,289257,315296,2693181.0,2693181,218571,1522122,5638789,21756790,,1415661,0
2014-03-25,4,2013,962126,44834,1006960,15669861,10171,6342724,,125883,1526431,1156899.0,,222312,173312,1224476,217516,16680,0.0,1030061,10192,2057332,69726.0,69726,,,,2627430,0.0,,,1500000,2113075,156645,0,119110,,369532,4179319,18860,120997,1019869.0,3340422,5914771,2013年12月31日,4954282,,17843443,16570320,0,1234538,6958058,8862423,,867607,,137931.0,16858.0,,153904.0,,1071829.0,195335.0,1604058,5914771,,18928,,13394099.0,4139513,,,,,,,,,31237542.0,0.0,302,310731,286985,3595249.0,3595249,326276,1273123,6436041,22375119,466763.0,1661330,0
2014-05-12,1,2014,0,45710,45710,15824709,2237,6739580,,125883,1351610,963643.0,,415773,165798,289430,243720,6361,,1020529,7772,2106310,,75914,,,,2569632,0.0,,0.0,2466781,2251738,139538,469792,76818,,387967,4177913,25437,119233,1012757.0,3240930,5914771,2014年03月31日,5351138,,18231417,16959662,0,1234538,6845510,9251645,,858741,,96310.0,16858.0,,153904.0,1329171.0,,237771.0,2007084,5914771,,21729,,13476719.0,4139513,,,,,,,,,31708136.0,0.0,129,315828,280823,,2828071,321857,1271755,6631209,22456491,511686.0,1708539,0
2014-08-11,2,2014,0,148684,148684,16118201,2237,6289367,,125883,2110096,1010707.0,,410234,60289,424218,275534,640961,,1013644,8194,2347558,,76023,,,,2531297,0.0,0.0,0.0,2471458,2192302,155899,639753,148266,650625.0,448764,4227713,33217,116686,1005450.0,3258078,5914771,2014年06月30日,4920145,,17376524,16403940,0,1369222,8345585,9509598,,862456,,124665.0,18098.0,,0.0,1424796.0,,222236.0,2436266,5914771,,16549,,15159984.0,4139513,,,,,,,,,32536508.0,0.0,29,298158,294399,,3031139,313980,972584,6814399,23026910,,1957555,0
2014-11-11,3,2014,0,44444,44444,16478985,2237,6516090,,125883,1388447,986907.0,,280496,160151,248022,203578,693558,,1006510,8556,2404265,89761.0,89761,,,,2697047,0.0,,0.0,2476158,2353026,161262,604835,116311,0.0,401540,4319239,41991,101946,997954.0,3331894,5914771,2014年09月30日,5146868,,17729295,16730525,0,1369222,7460939,9485909,,844612,,118987.0,18098.0,,0.0,1232616.0,,163249.0,2404498,5914771,,21289,,15261202.0,4139513,,,,,,,,,32990497.0,0.0,29,330619,298614,,3986976,321063,998770,7800263,23504588,,1993441,0
2015-03-24,4,2014,0,45811,45811,16925915,2236,6556799,,125883,2122294,1714743.0,,293023,316013,324924,279113,892394,,980153,8873,2357299,112209.0,112209,,,,2767764,0.0,,0.0,2480880,2594778,187266,569863,56713,,407551,4792577,27013,200974,971280.0,3580248,5914771,2014年12月31日,5187577,,17962990,16927096,0,1369222,8748547,10263031,,937996,,93899.0,18098.0,,0.0,1195358.0,,213523.0,2653667,5914771,,25519,,16633207.0,4139513,,,,,,,,,34596197.0,,29,397192,385491,,4026435,326016,1035894,7884660,24333166,,1919074,0
2015-04-30,1,2015,1485626,43937,1529563,17228283,2236,6969547,,125883,1563807,1200801.0,,600810,254273,1768272,238709,965161,,971647,7966,2237448,91560.0,91560,,,,2808717,,,0.0,2200000,2457588,164909,369864,98195,,363006,4683754,16939,85191,,3314798,5914771,2015年03月31日,5600325,227904.0,18290598,17287848,0,1369222,9215981,10589549,963681.0,924622,141341.0,,,18098.0,0.0,,1287607.0,,2538000,5914771,34784443.0,27442,16493845.0,,4149257,,,,,,,,34784443.0,,,29,373059,343526,,3733158,320385,1002750,7277864,24194894,,1825503,0
2015-08-11,2,2015,1490394,68565,1558959,17392018,2236,6661235,,125883,2231073,1361713.0,,626780,200185,1808517,249558,735859,,966069,8537,2259312,141216.0,141216,,,,2711600,,,0.0,2200000,2308828,193779,119969,137592,437693.0,431667,4547127,26532,130396,,3339694,5914771,2015年06月30日,5201024,170692.0,17903379,16925448,0,1460211,8839818,10152707,957532.0,962427,98808.0,,,18098.0,,,1275576.0,,1842966,5914771,34612735.0,26402,16709356.0,,4149257,,,,,,,,34612735.0,,,29,374303,360360,,4329166,323999,977931,7869538,24460028,,1794097,0
