date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅資產,長期借款合計,長期預付租金,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,,338118,600505,170159,,6382,898,81092,,0.0,,,71284,94581,,898,,,1351000,,,222451,398080,572.0,963233,2013年03月31日,461261,,1803098,1803098,0,19476,980301,2531665,58301,119768,,658430.0,0.0,506599,963233,,,1234089.0,238462,17683,220779,,3037187.0,14522,182504.0,,253788,505522,117201,,0
2013-08-12,2,2013,,342437,402369,146304,,10020,29643,108363,,0.0,,,74278,91506,,29643,,,1305348,,,117882,308712,1162.0,963233,2013年06月30日,263125,,1633945,1633945,0,19476,651831,2013639,59239,119768,,260467.0,0.0,279282,963233,,,902119.0,238700,17921,220779,,2536064.0,29243,176010.0,,250288,522425,127930,,0
2013-11-11,3,2013,188452.0,337513,220517,134569,,9697,11616,272505,,0.0,0.0,,70640,85991,17863.0,11616,70640.0,44124.0,1346145,,,255964,303838,1043.0,963233,2013年09月30日,81273,,1434273,1434273,0,19476,989949,1982929,58395,119768,,226971.0,0.0,326911,963233,,,1060589.0,238907,18128,220779,,2494862.0,30034,0.0,24004.0,70640,511933,95235,84053.0,0
2014-03-26,4,2013,187174.0,343418,63009,137495,,8557,36005,264818,,0.0,0.0,,76482,73121,5525.0,36005,76482.0,43282.0,1281395,,,256841,356209,957.0,963233,2013年12月31日,-76235,,1300528,1300528,0,19476,1090696,1985975,59262,119768,,250365.0,0.0,431542,963233,,,1167178.0,238281,17502,220779,,2467706.0,5930,0.0,24314.0,76482,481731,88492,77644.0,0
2014-05-12,1,2014,186316.0,346440,-115223,157880,,7131,34843,263255,,,,,69709,69688,3072.0,34843,69709.0,42568.0,1110743,,0.0,163333,252937,689.0,963233,2014年03月31日,-254467,,1121295,1121295,0,19476,987318,1697627,60751,119768,229631.0,,,402850,963233,,,1057027.0,238442,17663,220779,,2178322.0,3816,0.0,24048.0,69709,480695,96496,76939.0,0
2014-08-12,2,2014,173425.0,339250,-295198,146162,,9068,15652,261748,,,,,63163,65735,2536.0,15652,63163.0,39722.0,994261,,0.0,117482,192904,774.0,963233,2014年06月30日,-434442,,922187,922187,0,19476,1017782,1536253,59209,119768,228045.0,,,492390,963233,,,1080945.0,238500,17721,220779,,2003132.0,2685,0.0,23477.0,63163,466879,111201,88323.0,0
2014-11-11,3,2014,0.0,9113,-506349,191884,,10127,37503,322628,247800.0,,,,59316,45662,2118.0,37503,59316.0,43544.0,985712,363365.0,0.0,165090,166683,755.0,963233,2014年09月30日,-645593,,732784,732784,0,19476,1093004,1765208,62640,119768,145955.0,,1722.0,411680,963233,,,1152320.0,238397,17618,220779,,1885104.0,2481,0.0,0.0,59316,119896,92611,74828.0,0
2015-03-23,4,2014,0.0,8821,-493325,126341,43283.0,424282,64032,80915,,,,51739.0,52555,87874,919.0,64032,52555.0,35216.0,714756,,0.0,149356,215519,0.0,963233,2014年12月31日,-632569,,769934,769934,0,19476,876725,1538563,60622,119768,136438.0,,1772.0,475058,963233,,,929280.0,235994,15215,220779,,1699214.0,3334,,0.0,52555,160651,47568,80915.0,0
2015-05-12,1,2015,0.0,7949,-577350,111687,13211.0,419456,58376,51989,,,,51679.0,48081,94291,142.0,58376,48081.0,42470.0,527256,,0.0,92337,179687,0.0,963233,2015年03月31日,-716594,1756.0,680253,680253,0,19476,743236,1305228,61431,119768,,126282.0,,472256,963233,1471570.0,791317.0,,235994,15215,220779,1471570.0,,2671,,0.0,48081,166342,52547,51989.0,0
2015-08-11,2,2015,0.0,7111,-752803,69654,12195.0,1077,47892,34359,,,,30833.0,46408,73646,56.0,47892,46408.0,42757.0,391235,,0.0,84043,110048,0.0,963233,2015年06月30日,-892047,1729.0,493962,493962,0,19476,271965,668323,59734,119768,,121552.0,,69985,963233,812335.0,318373.0,,235640,14861,220779,812335.0,,3521,,0.0,46408,144012,44411,34359.0,0
