date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,169486,5686,101466,-705,,36391,30308,1895,-2219,1503,0,19578,22989,-1514,28152,47661.0,,4100,7032,37251,98.0,99960,13361.0,852891,2013年03月31日,71182,,1289216,1289210,2264000,30284,45418,997999,1057,0.0,,927123.0,2475.0,852891,,,68340.0,384733,,42155,3269.0,339309,,1357556.0,,3344,10627,6,22922,359557,3480,0
2013-08-12,2,2013,145010,5686,69502,-705,0.0,35391,112481,1112,-1041,1348,0,20919,20836,-336,28193,47661.0,,5006,8697,37635,37.0,122013,12859.0,852891,2013年06月30日,27740,,1225217,1225214,2264000,36419,133993,1030613,532,5343.0,,958886.0,6461.0,852891,,,157639.0,351523,,42155,3269.0,306099,,1382856.0,,2727,9916,3,23646,352243,4750,0
2013-11-04,3,2013,143280,5686,89824,-705,,34412,36882,1050,-2891,1165,63,20996,19945,-2186,34029,47661.0,,13002,8669,41819,48.0,121267,12583.0,852891,2013年09月30日,48062,,1243842,1243686,2264000,36419,64234,984623,110,5343.0,,899870.0,4516.0,852891,,,87956.0,351523,,42155,3269.0,306099,,1331798.0,3186.0,2726,9892,156,23722,347175,4558,0
2014-03-07,4,2013,141447,3686,109736,-705,,34412,31468,1107,-1063,959,143,21063,18432,-358,25618,47661.0,,3286,5740,42722,39.0,120522,14556.0,852891,2013年12月31日,67974,,1265582,1265426,2264000,36419,48649,996261,62,5343.0,,922873.0,7196.0,852891,,,71508.0,351523,,42155,3269.0,306099,,1337090.0,,1796,7712,156,22859,340829,3759,0
2014-05-09,1,2014,139986,3686,130335,-705,,34412,29350,531,1013,910,183,21163,17470,1718,22524,47661.0,0.0,5156,5671,49364,0.0,119782,13240.0,852891,2014年03月31日,88573,,1288255,1288101,2264000,36419,52470,1026558,170,5343.0,950710.0,,11383.0,852891,,,74145.0,351523,,42155,3269.0,306099,,1362400.0,,512,7096,154,21675,335842,3246,0
2014-08-08,2,2014,138353,3686,85663,1501,,37069,118113,2357,1175,4052,142,21293,16767,-326,26211,47661.0,0.0,10648,9583,45255,0.0,119042,12921.0,853461,2014年06月30日,42089,,1217823,1217668,2264000,43216,149889,1054080,123,358.0,975099.0,,7493.0,853461,,,172146.0,325030,,41188,3269.0,280573,,1389969.0,,964,7928,155,22257,335889,5016,0
2014-11-10,3,2014,136674,3686,106270,1501,,59755,26533,3628,3443,3863,64,21393,20664,1942,31310,47661.0,0.0,5968,7536,41889,0.0,118303,12033.0,854521,2014年09月30日,62696,,1243192,1243173,2264000,43216,48402,956995,77,358.0,875632.0,,4502.0,854521,,,70308.0,326600,,39392,3269.0,283939,,1313500.0,0.0,513,5313,19,21906,356505,4472,0
2015-03-13,4,2014,135174,1686,112738,-1820,,55736,33530,626,4092,1231,4,22627,17684,5912,31695,0.0,0.0,7953,6027,44201,475.0,117564,10103.0,832151,2014年12月31日,69164,,1264882,1264878,0,43216,52380,997384,157,358.0,916368.0,,3639.0,832151,,,75519.0,315897,,39392,0.0,276505,,1340401.0,,512,4913,4,23139,343017,4015,0
2015-04-29,1,2015,134246,1686,121397,4299,,60998,31698,561,8975,1269,66,22739,16096,4676,31056,0.0,0.0,3611,5024,38823,14.0,116828,7251.0,832551,2015年03月31日,77823,5688.0,1279416,1279412,0,43216,47290,1007384,113,358.0,,933877.0,,832551,1349957.0,70541.0,,316489,,38714,0.0,277775,1349957.0,,,512,5355,4,23251,342573,2987,0
2015-08-13,2,2015,133298,1686,86025,391,,56835,126198,535,3590,2078,24,22826,14568,3199,27921,0.0,,5281,7434,56570,0.0,116093,0.0,832551,2015年06月30日,35893,5429.0,1205357,1205353,0,50132,146420,1046824,72,0.0,,956855.0,,832551,1375147.0,169790.0,,283187,,38714,0.0,244473,1375147.0,,,544,5771,4,23370,328323,4919,0
2015-11-13,3,2015,132489,1686,114364,-7976,34983.0,51587,31264,3580,1003,3291,68,22938,13439,8979,34212,0.0,0.0,10474,6182,49799,0.0,115357,0.0,832551,2015年09月30日,64232,0.0,1231109,1231105,0,50132,51211,986197,37,0.0,,859098.0,,832551,1305770.0,74661.0,,283187,,38714,0.0,244473,1305770.0,,,512,4978,4,23450,319573,4457,0
2016-03-07,4,2015,131535,0,131934,-6602,36360.0,51447,39137,214,595,1142,12,26307,9433,7197,30135,0.0,0.0,4448,8438,52753,0.0,114621,0.0,832551,2015年12月31日,81802,5511.0,1248271,1248267,0,50132,58676,1020388,2,0.0,,896535.0,,832551,1336791.0,88520.0,,283187,,38714,,244473,1336791.0,,,3537,9365,4,29844,316403,4379,0
2016-05-09,1,2016,132899,0,150121,-911,22470.0,56580,37582,522,4831,1307,65,18900,8199,5742,32138,0.0,0.0,5840,5218,48970,0.0,113891,0.0,832551,2016年03月31日,99989,8463.0,1270694,1270690,0,50132,58410,1029839,111,0.0,,922330.0,,832551,1350685.0,79991.0,,283187,,38714,0.0,244473,1350685.0,,,2681,9166,4,21581,320846,3344,0
2016-08-10,2,2016,131853,0,94216,-3843,23439.0,50270,136612,545,893,567,23,18964,7697,4736,32246,,0.0,7498,5710,40167,,113161,,832551,2016年06月30日,35904,9971.0,1187540,1187536,0,58312,160358,1057283,74,,,956456.0,,832551,1369742.0,182202.0,,259876,38714.0,0,,221162,1369742.0,,,2880,9404,4,21844,312459,4407,0
2016-11-11,3,2016,131104,0,107452,-3184,5983.0,49310,26190,677,-1652,1041,9,19030,6621,1532,30735,,0.0,6792,5645,42003,0.0,112430,0.0,832551,2016年09月30日,49140,5263.0,1198230,1198227,0,58312,44931,955383,101,0.0,,872700.0,,832551,1263963.0,65733.0,,259876,38714.0,0,,221162,1263963.0,,,1772,9014,3,20802,308580,3276,0
