date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商標權淨額,商譽,土地淨額,存入保證金,存出保證金,存貨合計,專利權淨額,專門技術淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良淨額,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備淨額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,電腦軟體淨額,電腦通訊設備淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,5399,1317074,196428,1978866,,,251077,,102404,,130646,43759,29118,679156,30684,137209.0,648472,1329925.0,155082,4399039,988,63253.0,2041.0,552290.0,59449,265117,289372,673.0,3322.0,0.0,,671490.0,3367996,,,2893032,199935,32921,2260000,161430,1703919,11688,95633.0,391497.0,191707,112000,1882512,2013年03月31日,1179347,157012.0,,,23294.0,8445702,6531921,0,799519,8080174,11610415,,88634,0.0,,5157241.0,53544.0,7146.0,1145278,328.0,1882512,,89237,,9579375.0,2539897,,18025077.0,4120.0,35754.0,3395.0,,39416.0,81886,109780,590743,2560536,19345.0,11908.0,1913781,1499201,6414662,1202305,242473.0,9242,0
2013-08-07,2,2013,682131,1275769,196428,1711533,,,692845,,117855,0.0,175773,853801,40449,2380689,42413,,2338276,0.0,155294,3163899,879,,,,60412,170270,283869,,,0.0,,0.0,3514672,,,2175352,199946,22180,2635751,162707,2158657,94579,94882.0,,248110,117433,1882512,2013年06月30日,862674,,,,,8225424,6309715,0,848859,8620089,12687573,,79864,0.0,,3655090.0,60908.0,15908.0,1004830,,1882512,,92251,,9656322.0,2539897,,17881746.0,,,3304.0,43531.0,,82537,112670,798402,2992750,,,1915709,1036233,5194173,1138937,0.0,131221,0
2013-11-08,3,2013,685951,1305712,196428,1729800,,,295891,,93971,,141979,1056203,32220,1893070,27270,,1865800,0.0,156027,3356149,859,,,,61362,392945,212598,,,0.0,,0.0,3270102,,,1833125,199717,7941,2641359,215247,2657414,65381,94665.0,,274856,113678,1882512,2013年09月30日,880941,,,,,8228263,6294542,0,848859,8394384,12218260,,73255,0.0,,3409373.0,34025.0,29630.0,1604668,,1882512,,91781,,9424660.0,2540251,,17652923.0,,,931.0,39164.0,,82138,114585,792111,2962345,,,1933721,1030276,5434663,961053,0.0,338032,0
2014-03-12,4,2013,708901,1406445,180134,1910715,264028.0,,324942,,46493,,440647,859883,29644,1842241,17958,,1824283,0.0,148124,3626822,848,,,,66633,402200,123637,,,0.0,,0.0,3431247,,,1677393,199787,3273,2988492,107841,2524867,19290,81491.0,,274348,117980,1882512,2013年12月31日,1061856,,,,,8816507,6774876,0,848859,8332961,12130420,,69750,0.0,,3444670.0,80731.0,61634.0,1666450,,1882512,,88667,,9372622.0,2541002,,18189129.0,,,588.0,37940.0,,113843,119202,777694,3223774,,,2041631,1039661,6058709,933315,0.0,121338,0
2014-05-05,1,2014,711972,1429842,180134,1947212,208683.0,,268822,,51921,,395158,858714,20730,1455868,16036,,1439832,8907.0,151026,3543649,843,,,,69708,323290,150156,,,0.0,0.0,0.0,3226316,,,1784909,299690,4750,3192601,114553,2389922,38322,81318.0,,278723,114316,1882512,2014年03月31日,1098353,,,,,8814785,6767493,0,848859,8354618,12260661,,65978,,3653276.0,,54846.0,62266.0,1763943,,1882512,,92355,,9386668.0,2542611,,18201453.0,,,273.0,39124.0,,106896,119467,774128,3210609,,,2047292,1032050,5940792,1112652,0.0,126012,0
2014-08-05,2,2015,70615,1437970,175934,1773981,223639.0,,437195,39.0,58514,,411497,272729,104935,1123069,2312,,1120757,0.0,153425,3677716,798,,,,83808,225261,514709,,,0.0,,0.0,4441739,,,1778987,259880,397,3603169,88279,3115437,135405,,,283606,129886,1882512,2015年06月30日,861161,,51699.0,60057.0,,8792010,6608350,0,912820,9038937,13809348,69617.0,39468,,,3234568.0,,,1667459,,1882512,19929187.0,128813,11137177.0,,2540360,19929187.0,,,,,36549.0,,89267,151620,1855548,3451657,,,2183660,2098240,6119839,1839592,,97179,0
2014-08-11,2,2014,734292,1429319,180134,1768045,354858.0,,628584,38.0,69653,,480123,881995,24645,1472246,6551,,1465695,8908.0,166019,3649519,833,,,,84863,249417,200995,,,0.0,0.0,0.0,3479175,,,2482262,299715,50626,3746092,118246,2222128,22223,81156.0,,274765,114381,1882512,2014年06月30日,880039,,,,,8687617,6658714,0,888006,8812525,12943988,,59416,,3911692.0,,63980.0,64799.0,829310,,1882512,,96840,,10440160.0,2528034,,19127777.0,,,0.0,44925.0,,91207,121397,1370409,3390361,,,2028903,1627635,6183789,1070989,,123058,0
2014-11-10,3,2014,738628,1435217,180134,1790731,339290.0,,291026,39.0,63662,,539844,913477,28489,1495560,6579,,1488981,8908.0,164285,3682244,825,,,,83273,205304,227024,,,0.0,0.0,0.0,3677222,,,2502390,299561,14784,3453620,91290,2307927,10420,81012.0,,273241,118179,1882512,2014年09月30日,902725,,,,,8846736,6742652,0,888006,8846145,13151236,,58544,,3907663.0,,24099.0,64754.0,1015100,,1882512,,108447,,10514334.0,2529565,,19361070.0,,,0.0,39035.0,,109396,122985,1394508,3467207,,,2104084,1668189,6209834,1490281,,146360,0
2015-02-13,4,2014,743226,1522341,175934,1884140,342773.0,,366330,40.0,64305,,642771,920999,64317,1686666,3731,,1682935,8908.0,152479,3813206,818,,,,81413,236077,423728,,,0.0,0.0,,3961577,,,2258328,299746,288,4223406,102952,2053006,231786,71066.0,,272562,122917,1882512,2014年12月31日,996134,,,,,9199513,6946513,0,888006,9324120,13821382,,51313,,3334175.0,,95362.0,64887.0,1297930,,1882512,,123520,,11072429.0,2537090,,20271942.0,,,0.0,42096.0,,124705,149514,1471125,3567403,,,2253000,1748309,6450560,1594375,,113456,0
2015-04-28,1,2015,757413,1448894,175934,1893474,294353.0,,272957,40.0,77079,,530541,1309899,100619,1234929,3566,,1231363,0.0,148277,3758287,805,,,,77440,240284,522557,,,0.0,0.0,0.0,3404615,,,1823348,199602,5987,3218779,155651,2257344,415132,,,282872,126266,1882512,2015年03月31日,1005468,,87301.0,59908.0,,9071075,6843617,0,888006,8291776,13239638,70837.0,45591,,,3530193.0,,,1063050,,1882512,19523475.0,124977,10452400.0,,2537090,19523475.0,,,,0.0,43612.0,,105217,151640,1907130,3517198,,,2227458,2160624,6283837,1724454,,451867,0
