date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付股利,應收帳款淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,0.0,1409734,209358,4873,208708,,166687,,,-4815,,1507,1507.0,41118,18065,,23053,132000,8988,347438,29420,,-9688.0,,227055,227055.0,79106,,317973,36561.0,,650188,205991,7456.0,0.0,1851710,2013年03月31日,,1993189,1993189,3000000,937554,1415283,6868,,489466.0,,414826,1851710,,,,1619349.0,16042,16042.0,,3612538.0,,,6157,18516,666650,186018,0.0,681795,2197255,0
2013-08-07,2,2013,0.0,1374804,193554,2347,206182,,161580,,,-7044,,1627,,59426,32828,1627.0,26598,102000,8988,319512,32884,,-9391.0,8988.0,248218,,79106,,308681,47126.0,,595818,205681,7500.0,0.0,1821710,2013年06月30日,,1944896,1944896,3000000,878514,1268209,5523,,357247.0,,359500,1821710,,,,1453470.0,15782,,,3398366.0,,,6156,18455,559812,184628,,574956,2130157,0
2013-10-31,3,2013,0.0,1347178,239056,0,185332,0.0,204213,,,-10112,0.0,7072,,91120,67909,7072.0,23211,99000,8635,317880,35643,0.0,-10112.0,8635.0,282179,,79106,,389913,45671.0,,766871,205371,0.0,0.0,1821710,2013年09月30日,,1987330,1987330,3000000,967488,1432299,5920,,292129.0,0.0,320619,1821710,0.0,,,1525253.0,15782,,,3512583.0,0.0,,6156,18603,542974,183237,0.0,557765,2080284,0
2014-03-19,4,2013,0.0,1276719,280330,0,164304,0.0,176994,,,-9730,0.0,2733,,67556,44971,2733.0,22585,100135,8551,318574,36592,0.0,-9730.0,8551.0,381215,,79106,,505413,39247.0,,892535,205062,0.0,0.0,1821710,2013年12月31日,,2028986,2028986,3000000,1005250,1606275,4505,,264969.0,0.0,280863,1821710,0.0,,,1558030.0,15782,,,3587016.0,0.0,,8093,11577,536136,181847,0.0,552780,1980741,0
2014-05-07,1,2014,,1244871,312721,1194,165498,,153431,,,-8972,,4055,4055.0,50652,30240,,20412,100135,11859,331876,51410,,-10166.0,11859.0,376585,376585.0,79106,,357687,22102.0,,862922,204752,0.0,0.0,1821710,2014年03月31日,,2062135,2062135,3000000,867275,1515424,4573,225265.0,,,330000,1821710,,,,1416525.0,15782,15782.0,,3478660.0,,,8093,11666,529298,180331,0.0,549250,1963236,0
2014-08-13,2,2014,309460.0,1253882,281545,2958,167262,,153736,,,-8132,,310057,,141056,43066,597.0,97990,7863,12109,231138,44459,,-11090.0,12109.0,332634,,79106,0.0,359694,5165.0,,852334,204443,0.0,,1821710,2014年06月30日,,2031799,2031799,3000000,1158652,1531728,3345,205704.0,,,330000,1821710,,,,1371854.0,15782,,,3403653.0,,,8093,11855,193000,178816,,213202,1871925,0
2014-11-12,3,2014,259622.0,1245388,258330,2769,167073,,154833,,,-7514,,263983,,137942,53762,4361.0,84180,1179,8809,228962,50483,,-10283.0,8809.0,387241,,57245,0.0,432950,3088.0,,824536,204133,,,1821710,2014年09月30日,,2039247,2039247,2171000,1174854,1585567,4190,235848.0,,,320000,1821710,,,,1407756.0,23966,,,3447003.0,,,8093,11690,216000,177300,,232902,1861436,0
2015-02-16,4,2014,69784.0,1127442,383015,5257,169561,0.0,162249,,,5257,,75026,,75999,50410,5242.0,25589,1179,8812,223577,46613,,0.0,8812.0,401475,,0,0.0,478635,6467.0,,909640,203824,,,1800000,2014年12月31日,,2203866,2203866,0,972377,1692321,4101,305207.0,,,250000,1800000,,,,1230525.0,15594,,,3434391.0,,,10336,13565,239000,175785,0.0,258148,1742070,0
2015-05-08,1,2015,69946.0,1079201,370586,5338,169642,,132769,,,5338,,72187,2241.0,68967,45828,,23139,1179,8812,273271,97822,,0.0,8812.0,476418,476418.0,0,,392105,3218.0,,770032,203515,0.0,0.0,1800000,2015年03月31日,,2191518,2191518,0,850279,1545537,3169,,230120.0,,250000,1800000,,3290445.0,1098927.0,,15594,15594.0,3290445.0,,,,10336,16110,229500,174270,0.0,248648,1744908,0
2015-08-05,2,2015,0.0,1097589,383703,4924,169228,,148060,,,4924,,1232,,21232,20595,1232.0,637,1065,8812,221319,47500,,0.0,8812.0,309919,,36019,0.0,305552,0.0,,820446,203205,,,1800000,2015年06月30日,,2168202,2168202,1736000,624844,1474878,2410,,323281.0,,170000,1800000,,3182194.0,1013992.0,,15594,,3182194.0,,,,10336,13565,370000,172754,,389148,1707316,0
