date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,長期借款合計,長期應付款,長期應付票據及款項合計,長期應收款,長期應收款－關係人,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,4140681,16124793,20265474,98704199,132101,206303,11336486,-237391,743323,873723,,7276842,6562.0,1139175,27166.0,-463212,26811240,1748420,523589,8114854,991575,6366675,2988081.0,2988081,-225821,85760,584516.0,20018606,1493830,,,1419199.0,19061827,295097,5540961,501174,13759314,535518,,850767,6569638.0,10532415,,20000,11240387,25674,23395367,2013年03月31日,-4558204,,,60892193,33501689,131411341,,97993850,72436673,,2542100,,4358092.0,638166.0,,15894690,,26438772.0,0.0,426588.0,,38022175,23395367,,,,49618,952662,,144684777.0,726878,,205576970.0,1766,,186242,0.0,7139161,2016329,0.0,29065051,231.0,231,681358.0,16908.0,681358,16908.0,441976,1436185.0,27390504,46690927,133140297,3724008,659627.0,4797346,0
2013-08-12,2,2013,4328864,18058561,22387425,99343241,127687,191723,9978210,-305564,672267,980442,,9448017,11823.0,1137544,178310.0,-463359,28764712,1837881,519284,7795483,996097,5788942,,5088140,-154785,111100,,22228893,807200,2319359.0,,1434010.0,20685838,543016,5842864,327421,16434782,172947,,733030,6468647.0,10522506,,20000,8361800,25763,23395367,2013年06月30日,-5916480,,,62144462,32930410,70931341,,109346368,81650158,,2608336,,7006566.0,43815.0,,15894690,,26000007.0,0.0,331109.0,,42728013,23395367,-3010.0,555358.0,,91816,541435,,149251613.0,827392,,211396075.0,16381,,214019,0.0,7171007,1885112,0.0,22963310,,225,683894.0,16908.0,683894,16908.0,193651,,29214052,39905245,129745917,3905463,,4539406,0
2013-11-11,3,2013,5771571,15129402,20900973,97077383,127201,186992,9845205,-330879,644293,922525,,8595602,12549.0,2243172,1270917.0,-649314,26675962,1658712,550544,7701879,942763,5136699,,4561811,-318435,127320,,22107286,808659,0.0,,0.0,20776018,410983,5028580,307537,16574783,209623,,644568,6388439.0,10512637,,20000,7225533,25768,23395367,2013年09月30日,-6049485,,,61529827,32638901,70931341,,103095684,78342559,,2443852,,7287142.0,35527.0,,15894690,,22219850.0,0.0,274447.0,,40901636,23395367,0.0,0.0,,91750,552583,,142555663.0,856302,,204085490.0,20620,,43795,0.0,7397905,2181783,0.0,23807612,,219,557980.0,16908.0,557980,16908.0,217370,,28890926,39459979,125742931,4419385,,4116277,0
2014-03-18,4,2013,5918437,14977016,20895453,94621225,29238,172908,9975000,158498,622384,2019820,,9696119,,2377319,33746.0,-30272,27006376,1598619,601206,7554507,935717,5135763,,4552368,-188770,118200,,22097965,806870,109784.0,,0.0,21769450,478027,4941588,199437,14872589,232798,2205139.0,709813,6212552.0,10502868,,20000,6922773,21639,23395367,2013年12月31日,-5919690,,,62249720,33301195,70931341,,104943233,78618067,,2207785,,7243975.0,33167.0,,15894690,,23193105.0,0.0,238752.0,62931.0,40373734,23395367,,,,210613,539926,,141405271.0,767970,,203654991.0,29137,320959.0,73347,783783.0,7589457,2616832,0.0,20457189,,214,583395.0,,583395,,266185,,28948525,36462038,125036924,4152728,,4512304,0
2014-05-13,1,2014,1479378,16106869,17586247,90661316,29238,173209,10660578,338842,749040,2084061,,8540797,,2022097,,324395,23135372,1506583,375131,7543541,1038036,4934658,,4346903,-14447,111666,,20526551,806870,0.0,0.0,9439.0,20505207,332872,729389,378075,16046475,267292,2459577.0,914899,6091562.0,13239812,,20000,7192057,21606,23395367,2014年03月31日,-5234112,,,64260969,34395167,70931341,,100604955,86609515,,2159161,,9843293.0,33216.0,,15894690,28816852.0,,,354331.0,65682.0,46389497,23395367,,,,216491,553499,,146646662.0,821697,,210907631.0,22924,460725.0,70063,933090.0,7664174,2867536,,29810329,207.0,207,587755.0,,587755,,280464,,29865802,46041707,124298116,4423325,,4042542,0
2014-08-12,2,2014,1504301,7442966,8947267,88140978,29238,392397,11098820,737040,1026758,2956823,,8200667,,2579167,,548463,15313938,1794993,440854,6612953,187554,4480385,,3918879,-188577,117297,,22083585,806870,55881.0,0.0,0.0,21017725,51016,1808835,306408,15199517,774547,2362934.0,628806,5990328.0,13820891,,20000,6060617,21636,23395367,2014年06月30日,1123820,,,65638997,35015265,70931341,,87282970,82064915,,2105838,,8156269.0,36363.0,,9975000,24054498.0,,,344267.0,73988.0,40019004,23395367,0.0,0.0,,201805,550340,,138206707.0,779485,,203845704.0,19305,924839.0,54482,1305671.0,7272941,2460826,,35562664,,201,,,561506,,295937,,30623732,50923737,121780789,4544391,,4571678,0
2014-11-12,3,2014,600000,8212134,8812134,86733703,29238,388040,10977753,639916,507026,3819340,,9293075,,2668942,,600989,14520839,1650587,369286,6582288,264195,4603260,,4177257,-38927,110762,,22935303,806870,0.0,0.0,600000.0,21371867,14467,3064662,360056,15032455,64171,2121176.0,628499,5908281.0,13842874,,20000,6215199,21608,23395367,2014年09月30日,1002753,,,64840370,34914255,70931341,,92818587,82576151,,2205936,,7534969.0,5064406.0,,9975000,25811600.0,,,333029.0,78964.0,43626693,23395367,,,,174496,552263,,144831811.0,747016,,209672181.0,59403,1355888.0,84891,1812583.0,7324268,2390689,,35598517,,6561,,,426003,,270881,,29926115,52013224,127096030,4709631,,4058118,0
2015-03-24,4,2014,600000,9730713,10330713,86205789,29238,362163,10135587,562106,505530,3315642,,9292393,,1731792,53308.0,891862,15886714,1542168,245889,6702617,195016,3837159,,3535224,329756,496509,,21735744,806870,57536.0,0.0,600000.0,21412527,18033,5759166,337673,15464179,134191,1593709.0,583004,5687737.0,13926074,,20000,6386011,21547,23395367,2014年12月31日,160587,,,61870524,34366587,70931341,,93801791,86006738,,2113480,,6799213.0,8766678.0,,9975000,30140282.0,,,417869.0,65196.0,39656537,23395367,,,,157033,536128,,151956794.0,750641,,213827318.0,863846,0.0,2168532,10646.0,7745505,2876938,,42570753,38399.0,38399,301935.0,,301935,,263409,,27503937,58155003,127820580,4699395,,4013833,0
2015-05-05,1,2015,600000,16334653,16934653,84512313,29238,359102,9662651,450469,490009,3169099,,8251734,,1988183,52901.0,524140,22169736,1630135,204902,6747044,210089,3942532,,3671984,73671,508210,,19131048,806870,0.0,,300000.0,18812715,10478,5787855,140339,12971136,280246,1341755.0,605037,,13952030,,20000,6462591,21564,23395367,2015年03月31日,-312349,323574.0,66117.0,59248897,33522487,70931341,,94886869,85006131,5542799.0,2066645,11975246.0,,,8599623.0,9975000,,29418129.0,,,,38417739,23395367,,,210811304.0,124334,531368,151562407.0,,747199,210811304.0,,848365,0.0,2139042,3917.0,7549677,2717321,,41547449,126794.0,126794,,,270548,,337588,,25726410,56675538,125805173,4313142,,3604948,0
2015-08-11,2,2015,600000,17925110,18525110,80462605,29238,323005,9083590,267851,439139,2930568,0.0,8777854,,2091165,819692.0,173172,22117443,1750332,158853,6685994,286657,5832002,,5559473,-94679,510753,,19164907,806870,0.0,,300000.0,18209666,142982,4381891,73208,11404207,627986,1024153.0,631821,,13969182,,20000,5768934,21586,23395367,2015年06月30日,-1051997,150999.0,58806.0,56499109,32599584,70931341,36354.0,93261755,80647585,5458370.0,1941021,11453607.0,,,8511518.0,10099233,,27658809.0,,,,38469635,23395367,,,202955465.0,110696,488882,146456356.0,,754325,202955465.0,,827381,0.0,2147208,0.0,6905567,2549045,,38814158,95317.0,95317,272529.0,,272529,,313311,,23899525,53194601,122307880,2937994,,1842001,0
