date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－受贈資產合計,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,408053543,9280939,476124374,7188053,825486,14074177,180328802,70371578,25163876,,101836625,1142626,10747028,26482380,17975823,364369464,18901,,,,91098550,405066683,29632876,11986891.0,363713426,18742186,2408824,42393377,118358665,2013年03月31日,416143872,,716036753,678517673,1302812,59980502,1189622293,1506392829,3955963,,678906605.0,21780477.0,436908076,118358665,,,2051728,,1309297027.0,58889659,,21229.0,,,,565769,58302661,,,,,2025333780.0,30135,0.0,171054,179300.0,5273758,12112448,12555398,37519080,119674734,518940951,8150404,0
2013-08-13,2,2013,399687780,9411632,462255883,6047735,835126,13324381,138197537,48380966,31994231,,103396777,2338763,10061572,24944061,25946496,325423059,18901,,18658757.0,,90903899,451409441,26710286,5593757.0,432318438,20383827,2425292,43542238,118358665,2013年06月30日,392799144,,729059708,690753898,1302812,69456739,1102743685,1440942854,3871822,,602490947.0,18099660.0,357221512,137017422,,,2030576,,1222305711.0,59505263,,43007.0,,,,1159595,58302661,,0.0,,,1951365419.0,84139,0.0,430089,179300.0,4210831,13036059,14385724,38305810,119562026,510422565,8341639,0
2013-11-13,3,2013,384658914,9371270,494265785,6139600,878212,12393095,171081187,43071840,24583480,,61952682,3504557,8957773,24198063,18443880,365293008,18901,,,,90611875,499338203,27338794,12977502.0,441576868,26980456,2360203,44639807,131287068,2013年09月30日,424809046,,752749738,714856683,1433093,69456739,1123336996,1521989273,3711168,,633483056.0,18085211.0,330386817,131287068,,,2060968,,1263686489.0,64739251,,37105.0,,,,669130,64033016,,0.0,,,2016436227.0,115632,0.0,501515,179300.0,3625121,12935134,37154724,37893055,140349493,494446954,6699761,0
2014-03-28,4,2013,379561941,10843376,536880165,5295914,1087171,11854684,191175178,40215354,31728861,,42260567,5165161,9194211,24379557,26432947,312785092,18901,,,,97054788,682942409,29761739,19982517.0,727761542,19948258,2304839,46282999,131287068,2013年12月31日,467423426,,805924602,764670066,1433093,69456739,1358960771,1808581488,12815278,,694027045.0,24158478.0,366233601,131287068,,,2406336,,1506536601.0,64792873,,52165.0,,,,707692,64033016,,0.0,,,2312461203.0,39946,0.0,1198112,0.0,6218103,15837041,35108728,41254536,147575830,503879715,6393753,0
2014-05-14,1,2014,363411267,11707662,556422928,6078684,959593,13044774,166295855,47520567,36159296,,47585612,6905611,9117089,24862849,30080612,306481676,18901,,,0.0,100660488,473259543,20697293,11986280.0,413537097,9608183,2270514,46878554,131287068,2014年03月31日,486966189,,832100225,788967032,1433093,69456739,1070385570,1556454468,12792396,755095946.0,,27352824.0,319740473,131287068,,,2471812,,1217809727.0,65116641,,,0.0,,341920.0,741705,64033016,,0.0,,,2049909952.0,995878,,8946209,0.0,4792840,18487468,32853740,43133193,147424157,493455484,7399586,0
2014-08-13,2,2014,344836040,6242946,536628172,16896458,1078063,40053568,198512754,47064114,35451167,,50739544,7659403,7778789,24493601,18554709,331259509,18901,9644250.0,23436643.0,0.0,116723207,459596971,26816792,2996634.0,442868863,11633691,2368339,47746717,131287068,2014年06月30日,456501717,,835710345,791540408,1433093,80126455,971141780,1483909855,3512351,567985516.0,,19205361.0,210288937,154723711,205825.0,,2596441,,1133275904.0,64756259,,,0.0,,0.0,723243,64033016,,0.0,,,1968986249.0,182521,,56437980,0.0,4850188,15822832,32781940,44169937,162134124,485076394,8278466,0
2014-11-13,3,2014,347190993,6034544,570412542,38455357,1003831,63635658,178545353,48131494,71150780,,65145635,84164297,9217638,25899128,32695423,447960680,18901,9013624.0,,0.0,128083757,606457220,36011938,0.0,507127461,18423146,3298829,60210659,147934068,2014年09月30日,490286087,,908491675,861001797,1605064,80126455,1122622690,1675430764,3519400,543460007.0,,21828083.0,209637029,147934068,1826672.0,,2665005,,1292908418.0,71523308,,,0.0,,0.0,700649,70822659,0.0,0.0,,,2201400093.0,505755,,6654929,0.0,4439927,16180118,28544406,47489878,170285728,525969329,9491295,0
2015-03-30,4,2014,358868558,5792900,627058978,23986945,1035704,52792228,223575519,45923820,83597180,,79504965,41093451,9504493,24446522,59610235,369196813,18901,9902089.0,,0.0,134644413,694315259,41014601,0.0,748286815,24093966,3164666,63412270,147934068,2014年12月31日,546932523,,984676802,930231233,1605064,80126455,1302601797,1932421355,4440091,679037301.0,,31690222.0,226500507,147934068,2054833.0,,2674879,,1478037947.0,71659908,0.0,,,,0.0,835660,70822659,1589.0,0.0,,,2462714749.0,1271012,,3438255,,7089517,17376159,24197727,54445569,175436150,530293394,10413141,0
2015-05-15,1,2015,341208380,6645983,657444245,20095239,954580,50884627,170974327,41246456,67883354,,78843642,38704542,9367745,25761618,47788115,379221700,18901,5700377.0,,0.0,142996736,503738642,37480863,0.0,449391471,19443166,2842448,66037679,147934068,2015年03月31日,577317790,29348981.0,1001471718,946111968,1605064,80126455,998879607,1666906137,4291195,,719156613.0,,174998976,147934068,59539.0,2180989179.0,2538107,1179517461.0,,72869202,0.0,,0.0,,0.0,1933977,70822659,112566.0,0.0,,2180989179.0,,896530,,1814537,,6660971,16411112,21612402,55359750,180637854,514083042,11272695,0
2015-08-13,2,2015,328559655,8805733,619522160,24219755,1003504,53234697,222958155,41622802,38951978,-20832835.0,76623585,218712779,9404406,26787671,35565058,453710737,18901,4825329.0,16795204.0,0.0,157025614,560519041,32953845,0.0,421039079,16958699,2780849,65290284,151484068,2015年06月30日,526342232,24508232.0,970615207,917732883,1605064,93179928,1126617019,1784082021,4184210,,614522028.0,,204559642,168279272,459444.0,2291068124.0,2526999,1320452917.0,,90998374,0.0,,0.0,0.0,0.0,2032343,70822659,311417.0,,17831955.0,2291068124.0,,1508076,920.0,1476888,,6692224,17343004,20712734,52882324,193835898,506986103,10210176,0
2015-11-16,3,2015,328890569,17070313,657036663,6589569,608008,40220195,240062929,41893021,76203113,,93275092,52172274,9968192,43522520,69613544,496268260,18901,2739648.0,,0.0,163834054,664080917,44209665,,543070339,24567360,2566542,70580069,159932881,2015年09月30日,563856735,22577787.0,1027087483,970885550,1685317,93179928,1153801131,1844790845,4232877,,647246764.0,,84181823,159932881,407419.0,2369804884.0,2582873,1342717401.0,,77731794,,,,,,2112744,79169050,0.0,,-3550000.0,2369804884.0,,2422626,2156.0,21382171,,9555072,17930954,5556796,56201933,188916270,525014039,14843000,0
2016-03-30,4,2015,336738466,18795163,709407639,7187393,627508,38997120,197024433,43779955,60121681,,102305015,50580974,10195352,23343162,52934288,424625017,18901,0.0,,0.0,161789254,613195241,30862535,7000000.0,564705314,26203276,3014648,77634937,156382881,2015年12月31日,616227711,32684113.0,1060391079,1007629838,1685317,93179928,1056122201,1788218973,3253837,,657137721.0,,70233209,156382881,0.0,2308299877.0,2332882,1247908798.0,,81736538,,,,,,2567488,79169050,0.0,,,2308299877.0,,484773,,6114913,,9580816,18303571,10221175,52761241,191786597,520080904,14444295,0
2016-05-12,1,2016,326574458,21187524,736984397,5590779,527473,36465224,163627368,37781078,49901860,,94746513,74375589,10217734,53631841,44311081,393413461,18901,0.0,,0.0,150942223,459416850,21922201,13979375.0,407163165,18250792,2930565,77078019,156382881,2016年03月31日,643804469,32355055.0,1079230489,1026255859,1685317,93179928,870697655,1588990994,3090445,,640784019.0,,78832251,156382881,0.0,2128750644.0,1988122,1049520155.0,,83005622,,,,,,2652683,79169050,1183889.0,,,2128750644.0,,3829920,,2400618,,9242132,18801574,8420411,52974630,178822500,539759650,14294799,0
2016-08-12,2,2016,317172144,23264051,676477707,3930508,521046,33331834,224497114,48938097,31539983,0.0,102252435,133865989,9968970,53944990,27609475,370696608,18901,0.0,26236483.0,0.0,147278891,462388897,24852047,27673850.0,420140906,15811044,2742137,73444010,156382881,2016年06月30日,568611081,25942837.0,1025067725,974171953,1685317,107866626,957745188,1633835860,2990911,,629265253.0,,83644765,182619364,0.0,2158380796.0,2307808,1133313071.0,,83553800,,,,,,2864245,79169050,1520505.0,,0.0,2158380796.0,,4185435,0.0,812511,,9641518,17654859,8678504,50895772,175567883,524544936,13784406,0
