date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,,117500.0,1081960,6123.0,636481,,,410998,63109,184.0,35764,,152470,34970,1404,34115,94684,915.0,35764.0,25265,1201585,,,799362,615,0.0,5909.0,978482,4588,70255,34115.0,,1707094,2013年03月31日,337454,,,2982482,2977220,0,299027,1962341,3550745,,456638,,,0.0,,1023818.0,30581.0,534261,1707094,,28145,24100,,2266635.0,597881,0.0,22001.0,17579.0,351267.0,558301.0,207034.0,,5249117.0,129358.0,8579,58967,,237500.0,68504,5262,304294,1698372,,77962,,0
2013-08-08,2,2013,197500.0,197500.0,1078077,4828.0,636967,,,667689,70970,90.0,54499,,235572,38072,707,33525,97323,1404.0,,26636,1204667,0.0,,1027471,1526,0.0,3920.0,1449167,7029,68138,,,1707094,2013年06月30日,316964,,,3003345,2998106,0,318395,2437406,3947446,,451967,,71775.0,1608.0,,902763.0,28081.0,441338,1707094,,31809,27593,,2624415.0,599546,,,,,,,,5627760.0,60459.0,13391,48119,112500.0,112500.0,69283,5239,187009,1680314,,111681,,0
2013-10-30,3,2013,,230000.0,1050296,3534.0,755494,,,525813,51380,0.0,41528,,282406,52406,1120,33221,96503,,41528.0,26062,1305860,,,1046873,2653,0.0,1960.0,1322922,6651,74987,33221.0,,1707809,2013年09月30日,435491,,,3113498,3107552,0,318395,2417053,4000811,,436573,,0.0,1608.0,,1116685.0,40335.0,477023,1707809,,39990,22722,,2518656.0,602721,,,,,,,,5632154.0,0.0,10660,44437,,35000.0,68095,5946,101603,1631343,,121206,2346.0,0
2014-03-12,4,2013,,207500.0,1043878,2240.0,818800,,,531737,52895,0.0,61091,,232042,24542,2690,52528,105250,,61091.0,34089,1147924,,,830393,1779,0.0,8530.0,1147948,2785,103967,52528.0,,1709224,2013年12月31日,498797,,,3201701,3196057,0,318395,2059657,3719926,,430494,,0.0,1608.0,,1177682.0,57108.0,357224,1709224,,40844,22884,,2150641.0,606942,,,,,,,,5352342.0,0.0,15572,50554,,0.0,68775,5644,90984,1632416,,84035,2386.0,0
2014-04-28,1,2014,,110000.0,1040450,1680.0,926566,,,573646,33566,0.0,91141,,149873,39873,1723,52419,108513,,91141.0,36133,1350457,,0.0,1003325,6269,,8571.0,1161673,3028,98897,52419.0,,1709874,2014年03月31日,606563,,,3343374,3336573,0,318395,2362211,3990026,,605897,,,1608.0,1213474.0,,82175.0,490266,1709874,,48086,21503,,2455877.0,608992,,,,,,,,5799251.0,0.0,19744,52685,,0.0,69235,6801,93666,1809225,,127208,3145.0,0
2014-07-29,2,2014,,72500.0,1028326,16195.0,749825,,,838698,63743,0.0,55779,,109506,37006,1124,52414,146536,,55779.0,36210,1574368,119896.0,0.0,1481924,2937,,8931.0,1608731,4184,99042,52414.0,,1710664,2014年06月30日,389950,,,3254794,3247503,0,359875,3008782,4526539,,580665,,14986.0,0.0,997338.0,,86158.0,431380,1830560,,49248,20831,,3096660.0,611339,,,,,,,,6351454.0,0.0,14633,53193,,0.0,67419,7291,87878,1824915,,163023,42907.0,0
2014-10-30,3,2014,,10000.0,1076460,15680.0,901863,,,618225,73603,,62616,,43069,33069,108,52464,118078,,,37351,1727722,,0.0,1298736,3496,99842.0,8530.0,1447008,3269,107431,,,1832905,2014年09月30日,541988,,,3421140,3414334,0,359875,2895168,4591702,,558032,,15234.0,0.0,1078749.0,,90584.0,684738,1832905,,47948,22934,,2988673.0,616950,,,,,,,,6409813.0,,18107,49861,,0.0,68233,6806,93505,1818111,,138578,12494.0,0
2015-03-05,4,2014,,0.0,1106619,15120.0,1036738,,,693376,54971,,120163,,52435,52435,7442,44302,114034,14022.0,120163.0,29094,1573109,,0.0,1036555,3890,99842.0,,1485828,2174,120699,44302.0,,1834335,2014年12月31日,676863,,,3618071,3611274,0,359875,2694117,4539115,,554077,,402.0,0.0,1183185.0,,112516.0,649968,1834335,,45535,23737,,2791053.0,620038,,,,,,,,6409124.0,,28897,80159,,,70918,6797,96936,1870009,,111305,,0
2015-04-29,1,2015,,0.0,1091983,0.0,1226114,,,705471,19081,,68232,,55450,55450,3415,44068,111786,9317.0,68232.0,33056,1848672,,,1484106,4710,100000.0,,1381009,1858,102344,,,1835425,2015年03月31日,866239,139683.0,,3759345,3751789,0,359875,3211445,5267772,44068.0,516965,117183.0,,0.0,,1637787.0,,676761,1835425,7056095.0,45264,25781,3296750.0,,622018,,,,,,,7056095.0,,,15456,67589,,,69413,7556,85305,1788323,,156423,,0
2015-08-03,2,2015,,0.0,1123668,0.0,875145,,,1133575,27352,,55587,,57061,57061,17729,43967,151671,54333.0,55587.0,29032,1978701,165644.0,,1533619,7685,0.0,,1529707,1798,62900,,,1838025,2015年06月30日,456426,115983.0,,3569353,3561592,0,418719,3780770,5573837,43967.0,516532,146515.0,,,,1630416.0,,885812,2003669,7431767.0,47035,25882,3862414.0,,627191,,,,,,,7431767.0,,,11795,66059,,,68306,7761,81644,1857930,,178719,,0
