date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,3111857,1226823,-50026,12606,294025,57217,,-59358,,84865,20421,366478,279076,-9332,1137292,0.0,,,,467431,897061,246.0,1186423,2013年03月31日,898774,,4834150,4812293,0,88575,1554262,3199986,18614,239474,,1019149.0,49240.0,658701,1186423,,,1922813.0,2458405,,,2458405,,,,6756963.0,,3326,2073,134824,,21857,368551,3556977,65274,0
2013-08-12,2,2013,3146241,1066554,-51864,11136,571746,101760,,6366,,73026,19503,382976,384273,58230,1428110,,0.0,,,675681,765621,2461.0,1186423,2013年06月30日,708565,,4739644,4717748,0,118515,2077853,3474559,19863,239474,,1039244.0,63573.0,693827,1186423,,,2463660.0,2458405,,,2458405,,,,7203304.0,0.0,6296,2831,167232,,21896,385807,3728745,111564,0
2013-11-11,3,2013,3180918,1124788,-52751,10249,355638,91196,,-31010,,80019,13076,375167,453885,21741,1358551,,,,,521002,810545,201.0,1186423,2013年09月30日,794749,,4759297,4737228,0,119435,1828589,3144600,18557,210604,,776987.0,42741.0,829189,1186423,,,2207261.0,2457027,,0.0,2457027,,,,6966558.0,0.0,7889,3505,158349,,22069,378672,3821958,86155,0
2014-03-25,4,2013,3427194,1168997,-51911,11089,446252,104293,,53382,,60666,17901,378812,305743,105293,1772902,,,,473560.0,639288,750189,14.0,1186423,2013年12月31日,838958,,4908468,4885983,0,119435,1847702,3678668,33718,210604,,936579.0,39252.0,659954,1186423,,,2710803.0,2477181,,0.0,2457027,20154.0,,,7619271.0,2290.0,8700,4062,162859,6667.0,22485,863101,3940603,88090,0
2014-05-08,1,2014,3554228,1249209,-51561,11439,357827,107738,,32712,-33886.0,81806,18147,376792,301155,118159,1729902,,,,475810.0,720243,715916,0.0,1198423,2014年03月31日,919170,,5000854,4979764,0,119435,1789810,3600982,33439,210604,955236.0,,34295.0,587429,1198423,,,2644867.0,2499420,,0.0,2457027,20154.0,22239.0,,7645721.0,8210.0,0,2455,144478,0.0,21090,855057,4044739,74043,0
2014-08-14,2,2014,3482271,1142499,-52354,10646,593702,92711,,-64591,-28106.0,62392,18801,367574,321850,15869,1689388,,,0.0,478096.0,836397,971407,0.0,1198423,2014年06月30日,785846,,4803781,4775394,0,146049,2219080,3897246,33374,210604,1043781.0,,31994.0,684477,1198423,,,3066569.0,2499063,,0.0,2457027,20154.0,21882.0,,7870350.0,10118.0,0,1819,124963,0.0,28387,847489,3973104,81158,0
2014-11-07,3,2014,3714324,1216887,-53720,9280,385252,130692,,66081,-22664.0,285339,36575,377075,299258,142465,1778934,,,0.0,0.0,649574,686067,0.0,1270880,2014年09月30日,860234,,5270131,5214772,0,146049,2102166,3542317,55593,210604,848993.0,,17000.0,760714,1270880,,,2481122.0,2660924,171951.0,0.0,2457027,10161.0,21785.0,,7751253.0,4287.0,78,1881,130481,0.0,55359,378956,4208936,60978,0
2015-03-23,4,2014,3876268,1316603,-55191,7809,534351,106068,,256860,-17216.0,226737,26248,384673,392120,329267,1948668,,,0.0,0.0,834702,1278430,0.0,1293433,2014年12月31日,959950,,5663329,5578717,0,146049,2479661,4150371,57363,210604,737103.0,,53352.0,825976,1293433,,,2956623.0,2711821,,0.0,2683245,7152.0,21424.0,,8619952.0,4543.0,197,2289,136021,90000.0,84612,476962,4469581,53657,0
2015-05-12,1,2015,4044944,1458122,-56510,6490,393827,60737,64578.0,204198,-11636.0,267217,21432,266049,371545,272344,1643001,,,0.0,0.0,609132,1012979,167.0,1308747,2015年03月31日,1101469,66688.0,5761887,5726931,0,146049,2132088,3582864,32343,210604,,708676.0,,795224,1308747,8162174.0,2400287.0,,2755864,9126.0,0.0,2721992,4953.0,19793.0,8162174.0,,0.0,165,2150,123988,0.0,34956,268199,4579310,71129,0
2015-08-07,2,2015,4132752,1021747,-57666,5334,812427,109574,25942.0,126082,-9603.0,227438,27035,261426,360067,193351,1743233,,,0.0,0.0,765639,1207069,33.0,1325420,2015年06月30日,626365,40969.0,5304015,5266849,0,184778,2856199,3786022,30940,210604,,608966.0,,1009726,1325420,8423406.0,3119391.0,,2793600,9126.0,0.0,2762029,2652.0,19793.0,8423406.0,,0.0,1048,1766,108291,0.0,37166,263192,4637384,63122,0
