date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他流動負債合計,其他流動資產合計,其他設備淨額,其他非流動負債合計,其他非流動資產合計,出租資產－機器設備淨額,商譽,土地淨額,存入保證金,存出保證金,存貨合計,專利權淨額,專門技術,專門技術淨額,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金總額,短期借款合計,租賃改良淨額,股本合計,負債及權益總計,負債總計,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,辦公設備淨額,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2016-05-11,1,2016,63322,63322,505708,1326,434,-80905,41839,328,839,,65033,8695,6926,2189,13519,0,5378,90000,63,5183,72427,515,4762,4762,34408,179168,173,840,269297,1694,8333,138653,136,368000,2016年03月31日,-80905,53415,181016,365725,348166,0,676005,446102,2126,13089,70453,354216,28451,368000,1188381,822656,61071,61071,61071,1188381,7210,37,2130,209393,142332,2434,17559,146651,742279,14364,8336,385,0
2016-08-02,2,2016,53980,53980,492404,1410,434,-7186,47254,195,35,0,57391,7735,6509,1920,13069,0,5378,90000,63,5183,71685,507,4762,4762,33235,200508,385,0,312148,189,8549,137067,136,368000,2016年06月30日,-7186,47689,177367,381288,360814,0,683041,469034,1857,12877,50245,344073,26675,368000,1197756,816468,0,0,0,1197756,7063,34,2539,209802,128968,2230,20474,133427,728722,18448,7886,2001,0
2016-11-09,3,2016,64771,64771,478337,1427,434,-7309,44110,500,10,0,66884,11283,7912,1631,13254,,5378,90000,63,4254,78815,500,4762,4762,30078,179174,251,0,293485,189,7844,135515,136,368000,2016年09月30日,-7309,46684,166212,382121,360691,0,658259,469186,1568,12796,55250,337262,25450,368000,1184223,802102,0,0,0,1184223,6533,31,2818,210080,139394,2156,21430,143843,715037,22310,9000,686,0
