date,season,year,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,人壽保險現金解約價值,代收款,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預收款,原料,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,在製品,基金合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付員工紅利,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付租金,應付股利,應付董監事酬勞,應付薪資,應付退休金費用,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收收益,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應收退稅款,房屋及建築成本,房屋及建築淨額,普通股股本,會計項目,有形探勘及評估資產淨額,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形探勘及評估資產淨額,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－模具設備,累計折舊－機器設備,累計折舊－試驗設備,累計減損－電腦軟體,股本合計,製成品,試驗設備成本,試驗設備淨額,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期應付票據,長期應付票據及款項合計,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,長期預付租金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預付退休金－非流動,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數,預收貨款
2013-04-29,1,2013,18128.0,18128.0,495948,,,-296773,,,80218,17076,24552,24552,,3630,3630,-7700,,-7700.0,24798,6670,77644,64644,2814.0,2814.0,24130,4844,,13000,,,3694,41494,,,189660,,216115,216115,76744,,334,15032,336999,336999,591,0.0,,,,,,,257643,257643,2275,2275,2948,2948,,,,,,430345,413269,,373,,1463,1463,,,,230163,178035,1350595,2013年03月31日,,-298377,5142,134774,14200,333870,72042,1077125,1077125,0,,677121,1033550,,,10334,,10000.0,1835,1604.0,,190172.0,364905,,-298377,19286,52128,120574,261828,104078,,1350595,68760,109648,5570,,,680815.0,31003,26972,4031.0,4031.0,,,1757940.0,,,96396,364905,189581,0.0,0.0,3360.0,3360.0,,,,7520,7520,0.0,3694,724390,,16932,9530.0,,,0,
2013-08-07,2,2013,17570,17570,497115,,,-297607,,,80218,17076,38248,38248,,7534,7534,-5837,,-5837,25776,8206,65932,52932,2861,2861,24050,4345,,13000,,,344,48082,,,210096,,216115,216115,104993,,344,15032,400060,400060,1074,0,,,,,,,398328,398328,3210,3210,1652,1652,,,,,,476606,459530,,3011,,11023,11023,,,,230163,176826,1350595,2013年06月30日,,-299211,5142,135912,12848,340291,75681,1078154,1078154,0,,775758,1123522,,,8923,,11457,2307,1604,,164975,308544,,-299211,19705,53337,123064,264610,104638,,1350595,82664,110796,6158,,,776102,31003,26972,4031,4031,,,1854256,,,96396,308544,163901,0,0,0,0,,,,6062,6062,0,344,730734,,23167,9883,,,0,
2013-11-07,3,2013,11137.0,11137.0,504291,,,-294739,,,80218,17076,41912,41912,,7712,7712,-7048,,-7048.0,19119,7982,62105,47105,2829.0,2829.0,24081,4160,,15000,,,172,42663,,,192943,,216115,216115,82072,,172,15197,343478,343478,387,0.0,,,,,,,283551,283551,3941,3941,701,701,,,,,,450315,433239,,97,,9643,9643,,,,238554,183977,1350595,2013年09月30日,,-296343,5142,139447,13833,329585,75500,1079811,1079811,0,,724244,1070976,,,9683,,16836.0,1634,1604.0,,197866.0,375020,,-296343,19921,54577,125614,254085,104954,,1350595,66829,110518,5564,,,724416.0,31003,26972,4031.0,4031.0,,,1804227.0,,,96396,375020,197479,0.0,0.0,0.0,0.0,,,,6854,6854,0.0,172,733251,,17233,10233.0,,,0,
2014-03-13,4,2013,6683.0,6683.0,492980,,,-500251,,,44071,11565,57676,57676,,7752,7752,0,,0.0,9769,3086,35358,11358,0.0,0.0,24275,2395,,24000,,,172,29140,,,123323,,216115,216115,46193,,172,804,221693,221693,366,0.0,,,,,,,221293,221293,2222,2222,1577,1577,,,,,,359359,347794,,237,,5500,5500,,,,239098,183245,1350595,2013年12月31日,,-501855,5142,115253,10787,328412,70324,881347,881347,0,,619774,830288,,,8418,,16831.0,1682,1604.0,,195123.0,327237,,-501855,21880,55853,104466,258088,105407,,1350595,50495,110379,4972,,,619946.0,31003,26972,4031.0,4031.0,,,1501293.0,,,96396,327237,194757,0.0,0.0,0.0,0.0,,,,8418,8418,0.0,172,671005,,18136,10200.0,,,0,
2014-05-14,1,2014,3349.0,3349.0,485502,,,-477289,,,73971,11565,37281,37281,,12529,12529,0,,0.0,5078,1729,39393,15393,0.0,0.0,21678,2033,,24000,,,192,39334,,,145926,,216115,216115,65915,,192,804,239358,239358,262,0.0,,0.0,,,,,211710,211710,13400,13400,2029,2029,,,,,,337450,325885,,132,,3901,3901,,,,239098,181939,1350595,2014年03月31日,,-478893,5142,115861,9507,318666,66258,904309,904309,0,,638367,840328,,,7337,,16831.0,1817,1604.0,202299.0,,368869,,-478893,19645,57159,106354,252408,105871,,1350595,25700,110379,4508,,,638559.0,31003,26972,4031.0,4031.0,,,1542868.0,,,96396,368869,202037,0.0,0.0,0.0,0.0,,,,7337,7337,0.0,192,702540,,27996,10534.0,,,0,
2014-08-13,2,2014,0.0,0.0,504963,,,-469558,,,73971,11565,36118,36118,,12150,12150,0,,0.0,1628,1628,43443,14670,0.0,0.0,21634,1678,,28773,,,182,12931,,,154954,,216115,216115,44070,,182,804,232346,232346,247,0.0,,0.0,,,,,252310,252310,2506,2506,1293,1293,,,,,,364303,352738,,96,,678,678,,,,239098,180633,1350595,2014年06月30日,,-469558,5142,117870,9677,337148,87669,908009,908009,0,,676685,889706,,,6909,,16819.0,1738,0.0,231436.0,,382830,,-469558,19956,58465,108193,249479,106330,,1350595,31584,110379,4049,,,676867.0,26972,26972,0.0,0.0,,,1584876.0,,,96396,382830,231189,0.0,0.0,0.0,0.0,,,,6909,6909,0.0,182,695170,,1270,10857.0,,,0,
2014-10-30,3,2014,0.0,0.0,500270,,,30562,,,73971,11565,37462,37462,,12278,12278,0,,0.0,3594,3594,49777,20841,0.0,0.0,21627,1331,,28936,,,154,13353,,,148787,,216115,216115,70914,,154,804,244259,244259,355,0.0,,0.0,,,,,258260,258260,3057,3057,329,329,,,,,,410124,398559,,94,,2351,2351,94.0,94.0,,239098,179328,854375,2014年09月30日,,30562,5142,119106,9162,339755,85601,911909,911909,0,,653637,876229,,,5481,,11441.0,2400,0.0,157376.0,,350935,,30562,20296,59770,109944,254154,102971,,854375,22158,106562,3591,,,653791.0,26972,26972,0.0,0.0,,,1565700.0,,,96396,350935,157021,0.0,0.0,0.0,0.0,,,,5481,5481,0.0,154,689471,,1430,11119.0,,,0,
2015-03-23,4,2014,0.0,0.0,496825,498.0,,48551,,,73971,11565,65874,65874,,11890,11890,0,,0.0,5848,5848,36487,12487,0.0,0.0,22817,2124,,24000,498.0,,154,13261,,,130223,,216115,216115,56234,,154,804,217971,217971,342,0.0,,0.0,,,,,246566,246566,2546,2546,1486,1486,,,,,,322338,310773,,94,,4366,4366,,,,239098,178022,854375,2014年12月31日,,48551,5142,119575,7983,338980,84302,929898,929898,0,,565965,811031,,,4533,,10000.0,1175,0.0,219450.0,,243645,1510.0,48551,20693,61076,111592,254678,103425,,854375,30339,106562,3137,,,566119.0,26972,26972,0.0,0.0,,,1496017.0,,,96396,243645,217598,0.0,0.0,0.0,0.0,,,,4533,4533,0.0,154,684986,,679,11280.0,,,0,
2015-05-07,1,2015,0.0,0.0,494645,1472.0,,71344,,,73971,11565,42157,42157,,10626,10626,0,,0.0,5888,5888,32908,12904,0.0,0.0,25571,4467,,20004,1472.0,0.0,154,32020,0.0,,184878,,216115,216115,65092,0.0,154,1404,272640,272640,481,0.0,,0.0,,,,,255940,255940,2481,2481,1083,1083,,,,,,352405,340840,,97,,3918,3918,,,,239098,176716,854375,2015年03月31日,0.0,71344,5142,120502,7626,328701,81615,952691,952691,0,,656992,909237,11513.0,0.0,3568,20000.0,,2205,0.0,,228208.0,349443,1496.0,71344,21104,62382,112876,247086,83089,,854375,20465,86053,2964,1609837.0,657146.0,,26972,26972,0.0,0.0,,1609837.0,,,,96396,349443,226231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3568,3568,0.0,154,700600,0.0,17631,,,,0,
2015-08-06,2,2015,0.0,0.0,508325,1472.0,,-83949,,,73971,145695,88568,88568,,12588,12588,0,,,1628,1628,26133,16133,,,24792,4047,,10000,1472.0,,154,24484,,,177385,0.0,216115,216115,94653,,154,1404,297519,297519,401,,,0.0,300000.0,283949.0,-16051.0,,310352,310352,1413,1413,732,732,,,,,,403760,258065,,94,,7856,7856,,,,239098,175487,854375,2015年06月30日,,-88794,5142,120657,6414,347824,98616,806897,806897,0,4845.0,512102,896948,9466.0,,3548,10000.0,,2497,,,284693.0,109409,1484.0,-88794,20745,63611,114243,249208,83004,,854375,22984,85508,2504,1603672.0,796775.0,,36471,26972,0.0,0.0,9499.0,1603672.0,,570.0,,96396,109409,282808,,,,,,,,3548,3548,0.0,284673,706724,,12142,,,,0,
