date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,197662,250629,,,,,,52511,,3732,5849,,31125,,27010,,2662,11190,,2662.0,1184499,,0.0,,,,385133,48870,1487.0,,30192,,,468057,1634000,2013年03月31日,29843.0,1911663,1897187,0,62677.0,335196,1928555,804,158109.0,,244103.0,201203,1634000,,,728581.0,6709,,,,2640244.0,0.0,274.0,439019,5316,33976,,14476,393385,711689,,,0
2013-08-12,2,2013,,,192546,194822,,,,,,36887,,20779,4544,,53030,,42164,,2848,16238,,,1266531,,,73530.0,,,380175,80184,4115.0,,102341,,,467620,1641625,2013年06月30日,,1935890,1921130,0,,540573,2495612,599,,,514401.0,366357,1715155,,,1271007.0,6609,,,,3206897.0,,118.0,549396,11333,34282,335960.0,14760,730434,711285,,,0
2013-11-08,3,2013,,,197753,218553,,,,,,44699,,17548,-2502,,44984,,37186,,1276,9481,,,1576107,,,73530.0,,,374801,69777,13405.0,,71100,,,467183,1649750,2013年09月30日,,1961378,1945833,0,,583026,2553163,469,,,186050.0,410132,1723280,,,1302089.0,6502,,,,3263467.0,29.0,155.0,665172,6871,35418,335960.0,15545,719063,710304,,,0
2014-03-24,4,2013,,,83137,245538,,,,,,106383,1667.0,29614,-4369,,26196,,34141,,1102,14481,-4369.0,1102.0,2459767,,,,,,374440,72130,8864.0,,98076,,,331921,1724915,2013年12月31日,10964.0,1988606,1972565,0,75123.0,661070,3661674,619,159451.0,,305730.0,445568,1724915,,,2141478.0,6481,6481.0,6481.0,,4130084.0,262.0,,734346,18906,38252,1085960.0,16041,1480408,468410,,,0
2014-05-12,1,2014,,,86405,266052,,,,,,83388,,47237,2202,,49395,,38596,,1274,41525,,,2505123,,,,,0.0,359005,97280,,,70783,,,331513,1746733,2014年03月31日,31478.0,2037868,2021191,0,75123.0,882449,3890936,663,159451.0,338770.0,,652349,1746733,,,2347593.0,6204,,,,4385461.0,37.0,,890427,18905,34419,1085960.0,16677,1465144,494525,,,0
2014-08-11,2,2014,,,89849,182427,,,,,0.0,140162,,29878,-2747,,45843,,47291,,1294,37322,,,2525447,,,78287.0,0.0,0.0,357914,83659,,,79619,,,331106,1749331,2014年06月30日,,2030572,2013469,0,,826391,3829497,537,,306745.0,,556727,1827618,,,2290464.0,6171,,,,4321036.0,0.0,,840517,18905,32725,1085960.0,17103,1464073,491539,,,0
2014-11-11,3,2014,,,87030,252546,,,,,,93535,,6838,2106,,59491,,49985,,1068,36753,,,2542342,,,0.0,,0.0,356521,138645,,,142490,,,262118,1830686,2014年09月30日,,2110061,2091471,0,,883392,4046943,411,,284738.0,,591684,1830686,,,2345846.0,6133,,,,4455907.0,37.0,,1020550,18905,22652,1085960.0,18590,1462454,408964,,,0
2015-02-13,4,2014,,,84030,283063,,,,,,58257,0.0,4726,6141,,90223,,55092,,1058,36333,,,2559631,,,,,0.0,354921,135427,0.0,,103565,,,261813,1834078,2014年12月31日,,2149109,2129374,0,,2070521,4182064,1958,,447575.0,,1786614,1834078,,,2454218.0,6092,,,,4603327.0,0.0,,1011475,27718,37129,,19735,383697,421263,,,0
2015-04-28,1,2015,,,80336,324898,,,,,,47387,,7933,-490,,93827,,67033,,1067,187303,,,2479252,,,,,0.0,354193,142335,,,70749,,,261508,1836249,2015年03月31日,,2187262,2166723,0,,2097642,4099280,2326,,,441133.0,1814093,1836249,4667882.0,2480620.0,,6066,,,4667882.0,,0.0,,1033180,27718,37129,0.0,20539,382978,568602,,,0
2015-07-29,2,2015,,,78066,269632,,,,80054,,122156,,67781,-13183,,127213,113262,72732,,1075,131605,,,2521123,,,45852,,0,296991,188904,,,151836,,,261203,1836249,2015年06月30日,165902,2249477,2228142,0,99361,2207932,4273078,2112,4369,,498439,1769659,1962155,4783193,2533716,,9538,,,4783193,,,,961167,27718,37129,0,21335,325784,510115,,13951,0
