date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－流動,以成本衡量之金融資產－流動淨額,保固之短期負債準備,保固之長期負債準備,保留盈餘合計,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預付費用,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,在製品,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付員工紅利,應付帳款,應付帳款合計,應付票據,應付票據合計,應付股利,應付董監事酬勞,應付薪資,應付設備款,應收帳款,應收帳款淨額,應收所得稅退稅款,應收收益,應收票據,應收票據淨額,應收退稅款,應收銷售及管理費（證券投資信託業適用）,房屋及建築成本,房屋及建築淨額,持有供交易之金融資產－流動,持有供交易金融負債－流動,普通股股本,暫付款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,機具設備成本,機具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機具設備,累計折舊－機器設備,累計折舊－運輸設備,累計折舊－電腦通訊設備,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,零用金／週轉金,電腦軟體,電腦軟體淨額,電腦通訊設備成本,電腦通訊設備淨額,非流動負債合計,非流動資產合計,預付保險費,預付款項合計,預付租金,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-08-07,2,2013,169080,,,11150,10398,314727,,60528,125949,13252,4143,707,167,8879,,,36864,329,7323,7023,157305,99861,0,2191,305,305,13100,,0,140198,8879,8879,99120,1496,329610,329610,,12542,,8425,127051,127051,7767,7767,71069,6087,21145,1828,178495,178495,,538,0,0,2,,19895,18402,0,332,418053,300,2013年06月30日,236428,,,100548,44520,24288,35746,19014,841591,841591,0,37716,323861,984309,2430,40583,,454888,14748,,,0,135880,57444,1493,20232,16732,7420,9683,430595,150820,,11150,10398,,334259,87390,,87390,87390,,,1175850,332,0,11187,3767,0,0,17840,,454674,214,2430,2430,13431,3748,10398,191541,,13286,,390,186,36535,0,36535
2013-11-04,3,2013,168204,,,10742,9358,372339,,46792,57723,13267,5784,879,396,-46,,,11759,160,18154,18154,164248,101151,0,1787,305,305,624,12204,0,144149,-46,-46,124364,1482,347314,347314,,,,6202,188648,188648,5136,5136,,3011,25669,3790,222295,222295,,481,0,0,2,,19707,18008,1369,0,430595,0,2013年09月30日,294040,,,158160,44262,23270,35586,18191,890278,890278,0,37716,288785,1001096,2181,40583,,395597,14777,,,110709,135880,63097,1699,20992,17395,7616,9791,430595,125593,,10742,9358,,298143,87390,,87390,87390,,,1188421,0,1369,11128,3512,0,0,15153,,284681,207,2181,2181,13863,4072,9358,187325,835,15488,1642,0,183,11599,0,11599
2014-03-07,4,2013,170742,,,5861,6494,411245,,47204,63369,14939,4297,856,74,18301,,,993,295,28620,25380,148276,79515,0,2351,305,305,481,5282,391085,130624,18301,18301,108045,2046,348314,348314,,,,8352,176069,176069,12511,12511,,4061,28045,3675,261215,261215,2605,779,0,0,3,,20030,18077,4112,0,490595,3240,2013年12月31日,332946,,,197066,45294,22885,62146,42459,1372267,1372267,0,37716,272749,1461625,3030,40583,,416153,13946,2605,,37153,135880,68761,1953,22409,19687,7906,9549,490595,156849,,5861,6494,,279243,452126,6590,445536,445536,,,1651510,0,395197,11361,3455,0,0,13762,,378763,237,3030,3030,13900,4351,6494,189885,655,8665,1820,0,427,698,0,698
2014-05-06,1,2014,197281,,,5934,6335,460379,,39189,62380,15177,5322,4925,116,41899,,,246,243,59449,56666,147327,74344,,3399,305,305,379,7964,386317,124720,41899,41899,134753,2066,376768,376768,,,0,9509,133472,133472,14586,14586,,5463,19411,7498,,224109,2869,4806,,,3,224109,20294,18087,31689,6450,490595,2783,2014年03月31日,382080,,,49134,45553,22229,87061,65997,1444999,1444999,0,37716,237325,1473032,2761,40583,376154,,14257,2869,,243760,332946,72983,2207,23324,21064,8123,9674,490595,156484,,5934,6335,,243660,452126,0,452126,452126,,,1688659,6450,418006,19566,11443,,,12186,,132058,336,2761,2761,14855,5181,6335,215627,570,10752,1789,1028,50,3,0,3
2014-08-05,2,2014,195490,,,5605,5689,325590,,34976,244454,17821,,10547,311,13199,,,192,192,14296,13819,155029,77479,,2341,305,305,173,9592,417435,127820,13199,13199,108528,2036,353739,353739,,14718,0,6944,142727,142727,3401,3401,186426,6528,21874,4861,222432,222432,0,10236,,,,,19888,17502,171647,5059,490595,477,2014年06月30日,227584,,,115489,44639,20969,85256,62817,1296228,1296228,0,57423,415713,1506043,2882,40583,303268,,14275,0,,149778,112095,77550,2386,23670,22439,8562,8904,505313,152367,,5605,5689,,421402,452126,0,452126,452126,,,1717630,5059,589082,19235,10673,,,10874,,153415,75,2882,2882,14954,6050,5689,211587,1160,12679,1705,0,49,0,0,0
2014-11-12,3,2014,213604,,,5160,4950,391348,,23818,68047,17224,,186,186,38386,,,141,141,399918,399313,181117,95398,,4084,320,320,457,9856,0,140641,38386,38386,112580,3764,354152,354152,,,0,8168,169924,169924,0,0,,3587,25906,13162,216841,216841,0,0,,,,,20259,17600,138099,1186,505313,605,2014年09月30日,293342,,,181247,45451,20531,87966,63241,1387173,1387173,0,57423,259987,1422386,3034,40583,300204,,15529,0,,0,112095,85719,2659,24920,24725,9218,9016,505313,124749,,5160,4950,,264937,452126,0,452126,452126,,,1652110,1186,138099,19538,10320,,,9002,,300144,60,3034,3034,15530,6514,4950,229724,940,12986,1683,,50,0,0,0
2015-03-20,4,2014,221868,,,4751,4377,462783,,23209,70614,22491,,17418,436,95528,,,295,295,12969,12245,199378,102221,,3833,0,0,271,4235,0,173445,95528,95528,94385,3833,352410,352410,,,0,7066,205964,205964,0,0,,4975,29865,6217,287000,287000,1761,0,,,16982,,21193,18173,52326,405,505313,724,2014年12月31日,364777,,,252682,45471,20422,92231,64236,1515750,1515750,0,57423,292454,1574830,2889,40583,843661,,10425,1761,,0,112095,97157,3020,25049,27995,7103,9717,505313,107789,,4751,4377,,296832,452126,0,452126,452126,,,1812582,405,52326,17322,10219,1,1,9162,,843418,243,2889,2889,16314,6597,4378,237752,718,7285,1914,,147,0,0,0
2015-04-27,1,2015,213169,,,3992,3645,534083,,23763,52908,17242,,4260,402,76448,,,242,242,12212,11381,196678,97243,,4846,0,0,999,9848,356712,123539,76448,76448,93748,3810,271666,271666,,,0,8115,125114,125114,0,0,,6141,18498,2912,218935,218935,2358,3858,,,0,,20880,17670,180647,0,505313,831,2015年03月31日,436077,10385,2358,71300,49714,20972,90700,61295,1567970,1567970,0,57423,192641,1532085,5444,40583,,472085,,,,0,364777,99435,3210,28742,29405,7552,10004,505313,78142,1764256,3992,3645,196286,,452126,0,452126,452126,,1764256,,0,537359,17051,9499,0,0,8712,,471868,217,5444,5444,16494,6490,3645,232171,518,13210,1837,1036,8,0,0,0
2015-08-07,2,2015,202752,773,773,3728,3379,332384,,22774,279809,15682,,49,49,62764,,,10415,194,37217,34477,197732,91281,,4816,0,0,1074,6892,0,115715,62764,62764,81231,3795,245087,245087,,25266,0,6666,131436,131436,0,0,227390,7258,21565,1248,200337,200337,0,0,,,0,,20683,17270,194652,0,505313,2740,2015年06月30日,209110,10196,0,122257,49374,19870,90016,58823,1377853,1377853,0,82691,435584,1595483,5024,40583,,906508,,,,0,86853,106451,3413,29504,31193,8061,10298,530579,70915,1816816,3728,3379,438963,,452126,,452126,452126,,1816816,,0,194652,16908,8847,0,0,8741,,906260,248,5024,5024,16959,6661,3379,221333,902,10860,1992,1021,0,10221,0,10221
2015-11-04,3,2015,209454,773,773,3735,3381,398479,,20534,62854,25706,,472,472,83893,,,11026,139,10964,9924,216111,98835,,3863,0,0,1203,14496,,122066,83893,83893,110078,3863,295197,295197,118124,,0,3550,189956,189956,,,,3846,26567,3185,265870,265870,0,,,,0,,21173,17441,162981,0,535579,1040,2015年09月30日,275205,10738,0,188352,48968,19214,90615,57933,1370398,1370398,1998000,82691,278309,1425731,4799,40583,,672970,,,,,86853,117276,3732,29754,32682,8672,10932,535579,83587,1652088,3735,3381,281690,,470571,,470571,470571,,1652088,,0,162981,17151,8479,0,0,8241,,672719,251,4799,4799,18484,7552,3381,226357,753,16504,52,,0,10887,0,10887
