date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1076923,16828582,-5009339,,1168767,923040,923040,197932,,-236840,-236840.0,2230561,1153638,766022,231803,,534219,,,215297,,824848,35120,15698,5260133,,1056137,381492,1986717,3233.0,1630490,63219,,180177.0,4303185,2165032,14355444,2013年03月31日,-5009339,,,9110168,9110168,0,0.0,13200994,8856320,,,109034.0,59.0,694.0,6617920,14355444,,0.0,,25039791.0,903,,34149959.0,1835.0,1610.0,316558,3225.0,185465,0.0,,11436425,11838797,25293639,512238,809150,0
2013-08-05,2,2013,1076923,16942504,-5344780,,1098999,883680,883680,34017,,-460247,,2302853,1225930,540271,24271,,516000,,,201887,,1362849,35120,25048,7524218,,1019365,243488,1767847,4360.0,989637,199586,,166767.0,4302979,2004991,14355444,2013年06月30日,-5344780,,,8551320,8551320,0,0.0,15133883,10601055,,,96674.0,208.0,514.0,8818877,14355444,,90750.0,,27762057.0,903,,36313377.0,2455.0,2118.0,304044,0.0,186173,0.0,,12237996,12628174,25712322,912094,1337801,0
2013-11-08,3,2013,1076923,17173067,-5593773,,1169873,917150,917150,90388,412021.0,-216632,,2278621,1201698,561323,45323,,516000,,,197077,,1435661,35120,27569,6065066,,771404,178355,2210205,8144.0,1210727,57766,,161957.0,4302774,2217175,14355444,2013年09月30日,-5593773,,,8545942,8545942,0,0.0,16284136,9865794,,,326734.0,0.0,559.0,9812254,14355444,,105000.0,,27618402.0,903,,36164344.0,3003.0,2165.0,286847,0.0,183918,0.0,,10951106,11334266,26298550,854363,1408092,0
2014-03-07,4,2013,1076923,17409648,-5281959,876421.0,56961,847252,847252,290273,33862.0,-138259,,2229775,1152852,566105,50105,,516000,,,198813,,1412001,35120,18084,7125502,,1258346,70144,2140920,110111.0,466728,81754,,163693.0,4309575,2324605,14355444,2013年12月31日,-5281959,,,8936129,8936129,0,0.0,15271569,10729190,,,102721.0,0.0,628.0,8611347,14355444,,0.0,,27305851.0,903,,36241980.0,3674.0,0.0,287774,0.0,182791,0.0,,11652678,12034282,25512790,897422,1393917,0
2014-05-07,1,2014,1076923,17186922,-5127372,832600.0,56362,768208,768208,112461,376679.0,-324608,,1439529,362606,542871,17371,,525500,,1299521.0,191146,,1469487,35120,6032,6852923,0.0,1401036,550541,2605759,8357.0,1112395,64014,,156026.0,4309369,2180118,14355444,2014年03月31日,-5127372,,,8904367,8904367,0,,16667481,11009041,,32728.0,,0.0,562.0,9891534,14355444,,,,27306932.0,903,,36211299.0,2517.0,0.0,285199,0.0,182996,,8965788.0,10265309,10639451,25202258,796609,1463455,0
2014-08-11,2,2014,3324723,16987748,-5114582,814747.0,82839,710558,710558,23018,79070.0,-371553,,3363417,38694,922684,394625,,528059,,1299854.0,186960,,1484721,35120,5651,6481434,0.0,1680958,449452,1649369,9769.0,1110128,248306,,151840.0,4309164,2119689,14355444,2014年06月30日,-5114582,,,8870212,8870212,0,,17767906,10793072,,11150.0,,0.0,406.0,9901839,14355444,,0.0,,26907021.0,903,,35777233.0,2544.0,0.0,276316,,182742,,7469559.0,8769413,9139115,24984161,825813,1479070,0
2014-11-07,3,2014,2375323,16801964,-5055740,860840.0,84229,725370,725370,108795,100917.0,-174273,,2477993,102670,668209,142709,,525500,,1298877.0,181448,,1379734,35120,5733,5835250,0.0,526304,65997,2386088,0.0,1062812,108279,751.0,146328.0,4308958,2339752,14355444,2014年09月30日,-5055740,,,9126334,9126334,0,,16913030,9719569,,46357.0,,,462.0,10731256,14355444,,0.0,,25507872.0,903,,34634206.0,22.0,0.0,274217,,182448,,6932069.0,8230946,8594842,24914637,652680,1374001,0
2015-03-24,4,2014,1076923,16429842,-5147873,870773.0,83707,650234,650234,137966,119089.0,-132430,,1122466,45543,568554,43054,,525500,,1299251.0,250511,,1257393,35120,5734,7095557,0.0,692615,65055,2401665,17386.0,760663,59097,,215391.0,4308752,2369107,14355444,2014年12月31日,-5147873,,,9076044,9076044,0,,12787016,10531193,,19604.0,,57.0,550.0,7837538,14355444,,,,25903950.0,903,,34979994.0,0.0,,283979,,184132,,11383040.0,12682291,13116934,24448801,615361,1251659,0
2015-05-06,1,2015,1076923,16143028,-6581961,860840.0,83803,820394,820394,103637,248611.0,-174699,,1191293,114370,556385,30885,,525500,,1299616.0,270633,,1261926,35120,5734,7916003,0.0,610580,63558,2259182,0.0,724554,55535,,,4308547,2333876,14355444,2015年03月31日,-6581961,121.0,561.0,7599687,7599687,0,,16746397,11463518,235513.0,,88738.0,,,11790732,14355444,35594698.0,10200.0,27995011.0,,903,35594698.0,,337.0,,272664,,182815,,9495550.0,10795166,11248614,24131180,635990,1256192,0
2015-08-07,2,2015,1076923,15737945,-6294923,816143.0,85275,872038,872038,8140,511023.0,-363870,,1320127,243204,556180,30680,,525500,,1299904.0,261723,,1274244,35120,7454,4455011,0.0,79001,51231,2258934,0.0,705466,86469,,,5459174,2185590,14355444,2015年06月30日,-6294923,91.0,586.0,7697554,7697554,0,,13961467,8157429,226603.0,,167238.0,,,9380045,14355444,32899657.0,,25202103.0,,903,32899657.0,,0.0,,260168,,182487,,9496522.0,10796426,11240636,24742228,591005,1266790,0
2015-11-09,3,2015,1076923,16856906,-5785751,635697.0,76896,800228,800228,115855,304207.0,-1139859,,1123515,46592,533515,8015,,525500,,1299081.0,252932,,98635,35120,5962,4075078,0.0,97097,87053,1799393,0.0,542220,39729,0.0,,5942742,1700552,14355444,2015年09月30日,-5785751,64.0,635.0,7430737,7430737,0,,15854246,7052518,217812.0,,45251.0,,,11946896,14355444,31728249.0,,24297512.0,,903,31728249.0,,0.0,,243377,,182222,,6709031.0,8008112,8443266,24675731,516954,92673,0
2016-03-22,4,2015,1076923,16453974,-6400684,594311.0,75867,859405,859405,6102,526726.0,-1317408,,1119949,43026,529825,4325,2381.0,525500,2381.0,1299387.0,306615,2380.0,42965,35120,8295,3272321,0.0,47085,152544,2062598,0.0,771694,52316,,,5942537,1562815,14355444,2015年12月31日,-6400684,4.0,708.0,6638255,6638255,0,,11066341,6524665,269115.0,,36948.0,,,6824756,14355444,30602823.0,,23964568.0,,903,30602823.0,,,,245455,,182222,,11110003.0,12409390,12898227,24078158,488259,32289,0
2016-05-09,1,2016,1076923,16025519,-6397975,741647.0,78652,785381,785381,99942,604742.0,-686206,,1162436,85513,531381,5881,2381.0,525500,2381.0,2498446.0,291079,2380.0,50940,35120,8051,3062839,0.0,86869,195666,1699233,362.0,628385,82969,3.0,,5936553,2041579,14355444,2016年03月31日,-6397975,4.0,752.0,7272166,7272166,0,,14338695,6422075,253579.0,,28936.0,,,10408744,14355444,30555318.0,0.0,23283152.0,,903,30555318.0,,0.0,,243377,,182419,,5972513.0,8470959,8944457,24133243,397102,40508,0
