date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金總額,當期所得稅負債,股本合計,負債準備－非流動合計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,2026867,12222131,0,0.0,4182426,384959,-2310802,361800,897,63854,48763,-2310802,3037915,,2415410,8856,4132561,,264166,5326092,2013年03月31日,12222131,33364895,33361852,0,8359833,38130748,1983844,30319572,1391341,5326092,14806,9089493,18124431,18124431,42454388,23369,651000,3043,729660,4323640,231475,0
2013-08-01,2,2013,2000036,10116162,0,0.0,7741131,277291,-2126631,140308,870,53560,48306,-2126631,3328092,0.0,2922756,6554,3908660,,268834,5326092,2013年06月30日,10116162,31443172,31440054,0,11873451,39668384,1920229,31836417,1062702,5326092,14806,12462617,18124431,18124431,43905789,20256,520800,3118,589166,4237405,296798,0
2013-10-31,3,2013,1958568,11595976,0,,4494408,494386,-2559238,142424,39,44257,45798,-2559238,3645663,,2744693,12207,4238757,0.0,265811,5326092,2013年09月30日,11595976,32490469,32487261,0,8534681,37682392,1652444,29046693,1140949,5326092,14806,9114544,18124431,18124431,41605013,15263,520800,3208,579863,3922621,241591,0
