date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,除役、復原及修復成本之長期負債準備,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,70320.0,688630,,1984164,252787,188637,188637.0,,,-18250,,102062,31742.0,1791,2139,163663,292.0,2139.0,133358.0,18502,,,110232,,25351,133162,1691463,1473176,2013年03月31日,1492392,,3439090,3439090,0,491772,515991,1634268,,,35580.0,0.0,,1257507.0,115060.0,,1473176,,151998,,903570.0,,,4342660.0,,,6222,31474,227220,151998.0,,387579,2708392,42750,30013.0,0
2013-08-09,2,2013,70320.0,673519,150000.0,1602510,236301,678191,678191.0,,122815.0,-91952,,101007,30687.0,2074,2188,162813,215.0,2188.0,132568.0,19630,,,118022,,26543,133034,1480429,1473176,2013年06月30日,1051867,,2983734,2983734,0,550643,962988,1683729,,,9000.0,0.0,,1225076.0,65768.0,,1473176,,151998,,1333167.0,,,4316901.0,,1316.0,6353,33377,209640,151998.0,,370179,2633172,40974,30030.0,0
2013-11-07,3,2013,70320.0,654457,150000.0,1698262,243994,244858,244858.0,,,-95897,,100117,29797.0,407811,2122,164737,691.0,2122.0,134000.0,20540,,,118589,,14229,132906,1450049,1473176,2013年09月30日,1147619,,3075541,3075541,0,550643,506914,1391698,,,55562.0,0.0,,611454.0,42264.0,,1473176,,148831,,903140.0,,,3978681.0,1086.0,,6173,34834,239100,148831.0,,396226,2586983,38108,30046.0,0
2014-03-20,4,2013,70320.0,664551,150000.0,1754139,240697,241907,241907.0,406054.0,,-69835,,96405,26085.0,2617,2121,189445,1455.0,2121.0,158755.0,21279,,109346.0,2,13531.0,936,132780,1426065,1473176,2013年12月31日,1203496,,3157480,3157480,0,550643,507425,1395949,,,244190.0,0.0,,428827.0,59765.0,,1473176,,147234,,834039.0,0.0,,3991519.0,,3588.0,5739,32729,171520,147234.0,,326614,2595570,34230,29235.0,0
2014-05-08,1,2014,70320.0,682368,150000.0,1971391,250589,186137,186137.0,402086.0,,-52032,,102056,31736.0,988,2121,179814,1393.0,2121.0,149123.0,17500,0.0,120933.0,0,17777.0,0,132652,1475217,1473176,2014年03月31日,1420748,,3392535,3392535,0,550643,503945,1554011,,,67707.0,,755467.0,,94819.0,,1473176,,149315,,814962.0,,,4207497.0,,2467.0,5641,33435,153940,149315.0,,311017,2653486,39430,29298.0,0
2014-08-12,2,2014,,787669,150000.0,1460816,247292,825087,,405973.0,142327.0,-53204,-53204.0,100614,,1046,2248,176702,,,,16347,0.0,133332.0,0,9212.0,0,132523,1317515,1473176,2014年06月30日,800727,,2880788,2880788,0,590254,1119884,1694234,,,22683.0,69835.0,809360.0,,58333.0,,1473176,,148590,,1412724.0,,,4293512.0,2518.0,0.0,5642,34869,136360,,,292840,2599278,39994,,0
2014-11-11,3,2014,70320.0,799529,150000.0,1639741,237400,223468,223468.0,105559.0,,-63349,,101193,30873.0,5902,2374,176789,1359.0,2374.0,146034.0,15401,0.0,,125742,,2124,132395,1360660,1473176,2014年09月30日,979652,,3049568,3049568,0,590254,489117,1157286,,,191715.0,69835.0,554187.0,,38714.0,,1473176,,146416,,762334.0,,,3811902.0,0.0,9269.0,5647,35243,118780,146416.0,,273217,2654616,35729,29396.0,0
2015-03-26,4,2014,70320.0,790672,150000.0,1808756,265174,229343,229343.0,100841.0,,10110,,99599,29279.0,499,2357,175988,1174.0,2357.0,144313.0,21092,0.0,,131841,,9748,132268,1405984,1473176,2014年12月31日,1148667,,3292042,3292042,0,590254,523481,1382954,,,208791.0,69835.0,718488.0,,62698.0,,1473176,,147456,,779654.0,,,4071696.0,,23710.0,5480,33830,100880,147456.0,,256173,2688742,34611,30501.0,0
2015-05-07,1,2015,70320.0,778900,150000.0,2169159,312884,182058,182058.0,113114.0,,95790,,101758,31438.0,236,2357,173723,1094.0,2357.0,142093.0,17115,,,132619,,12663,132140,1548639,1473176,2015年03月31日,1509070,103895.0,3738125,3738125,0,590254,520330,1679010,30536.0,140772.0,,69835.0,,1038317.0,,,1473176,4497119.0,148007,758994.0,,,4497119.0,,,1459.0,5480,34707,82820,148007.0,,238664,2818109,42450,,0
2015-08-12,2,2015,70320.0,764998,150000.0,1853831,52567,804855,,101198.0,142297.0,-18732,,106459,36139.0,267,2357,173517,908.0,2357.0,142037.0,15936,,,120027,,12260,132012,1476270,1473176,2015年06月30日,1198753,72148.0,3308275,3308275,0,655078,1105665,1901238,30572.0,81747.0,,0.0,,1454016.0,,,1473176,4632850.0,145833,1324575.0,,,4632850.0,,2176.0,0.0,5480,34815,65240,145833.0,,218910,2731612,40950,,0
