date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期負債準備,其他金融資產－流動,其他金融資產－非流動合計,其他長期負債準備,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,存貨合計,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,0.0,2493022.0,2493022,20550932,-1823033,0.0,977553,,7654425,17534,7654425.0,930087,122662,997563,997563.0,3099269,606247,3453609,2430527,418940.0,1023082,987845,984104.0,1442276,446366,4293158,298925.0,298925,41900.0,12987585,6880,0.0,0.0,,18382233.0,18382233,1536267.0,1536267,0.0,0.0,0.0,0.0,995910,14910142,1879988.0,1879988,1735836,,13800542,19667820,2013年03月31日,-1823033.0,20999498,18856917,292,47452902,46706066,156537,,12128735.0,16302334,-1823033.0,19667820,,418940,984104,,68795133.0,21447,21447.0,0.0,,,0.0,,,89794631.0,0.0,41900,293258,112143,1574007,16302334.0,18803708,995910,3006388,2142581,21342231,43088565,0
2013-08-06,2,2013,0.0,2051803.0,2051803,20265398,-1451985,0.0,911058,0.0,8064779,37309,8064779.0,1189899,178655,1101520,1101520.0,2846746,794943,3497809,2495968,514902.0,1001841,968985,828074.0,1399207,408425,4211952,355577.0,355577,53589.0,14498595,213,0.0,0.0,,21300065.0,21300065,1849401.0,1849401,,0.0,0.0,0.0,990782,14219554,2744606.0,2744606,1982517,,13730444,19667820,2013年06月30日,-1451985.0,21694917,19317142,51000,47191297,48422605,187371,,11742627.0,12524506,-1451985.0,19667820,,514902,828074,,69565627.0,0,,0.0,,,0.0,,,91260544.0,0.0,53589,350860,111239,1549199,12524506.0,20035810,990782,2887390,2377775,22374330,42837939,0
2013-11-06,3,2013,0.0,2018023.0,2018023,19931847,-1109762,0.0,1001237,0.0,8093345,37807,8093345.0,1089698,163291,930610,930610.0,2700602,682579,3919494,2236333,509699.0,1683161,986103,761387.0,1428562,424744,4057060,237593.0,237593,80893.0,14780564,213,0.0,0.0,,21338748.0,21338748,1810172.0,1810172,,0.0,0.0,0.0,1003818,13617678,3219820.0,3219820,2295716,,13809088,19667820,2013年09月30日,-1109762.0,22062469,19488455,51299,49390288,45607508,192564,,8644573.0,14819022,-1109762.0,19667820,,509699,761387,,66380980.0,0,,0.0,,,0.0,,,88443449.0,0.0,80893,172390,109680,1548429,14819022.0,14691063,1003818,2833364,2574014,16990692,42835941,0
2014-03-20,4,2013,0.0,4062084.0,4062084,20175295,-447263,0.0,1120158,0.0,8880205,62635,8880205.0,1326076,153070,1331522,1331522.0,4755368,693284,3833095,2289110,543748.0,1543985,1002468,707059.0,1355976,380464,3980219,116782.0,116782,80302.0,14671779,213,0.0,0.0,,22638888.0,22638888,1884581.0,1884581,,0.0,0.0,0.0,975512,12659185,2809182.0,2809182,2446934,,13938461,19667820,2013年12月31日,-447263.0,23424708,20551866,51299,48707683,47181573,174808,,11479890.0,9861956,-447263.0,19667820,,543748,707059,,67187621.0,0,,0.0,,,0.0,,,90612329.0,0.0,80302,249296,93388,1594881,9861956.0,16323515,975512,2860969,2872842,18479938,43430756,0
2014-05-09,1,2014,,4944129.0,4944129,19886643,-162917,,1135895,0.0,8039460,65115,8039460.0,844327,147067,1419574,1419574.0,5740239,796110,3309893,1836391,531577.0,1473502,1035824,803242.0,1375887,405732,4018379,127346.0,127346,53142.0,14456329,213,,,0.0,21517102.0,21517102,1835424.0,1835424,,0.0,0.0,0.0,970155,15890063,4327320.0,4327320,2636200,40517.0,13962995,19667820,2014年03月31日,-162917.0,27056117,22659817,51299,57304594,53702474,187055,14532298.0,,19522535,-162917.0,19667820,,531577,803242,,70068834.0,1735553,1720266.0,,-422.0,15709.0,,0.0,,97124951.0,,53142,154660,94341,1595310,19522535.0,10490770,970155,2855209,4396300,12764240,43422477,0
2014-08-08,2,2014,,6325403.0,6325403,19475599,669935,157271.0,1095650,0.0,9341631,91565,9341631.0,691820,278015,947850,947850.0,6967763,642360,2840995,1513136,483220.0,1327859,1012683,816378.0,1345388,380632,3937748,141444.0,141444,29616.0,14701666,213,,,0.0,22832525.0,22832525,1863994.0,1863994,,0.0,0.0,0.0,964756,19519627,5605314.0,5605314,2980726,,14086373,19667820,2014年06月30日,669935.0,27762784,23284888,51299,55842053,54863977,169519,10667458.0,,14231739,669935.0,19667820,,483220,816378,,70582096.0,1999496,0.0,,251711.0,21294.0,,1726491.0,,98344880.0,,29616,401811,94079,1735288,14231739.0,12484198,964756,2783621,4477896,14740043,43480903,0
2014-11-12,3,2014,,,2244626,19686197,1708690,515674.0,849159,0.0,9820957,84341,,319728,174626,1433008,,2981207,736581,2789749,1509593,,1280156,970462,830579.0,1363046,395916,3950630,,142207,,16873524,0,,,0.0,,26843213,,2237503,,,,,967130,23765228,,5227066,3041918,,15005733,19667820,2014年09月30日,1708690.0,29422958,24823042,0,58199095,59843611,168652,9641240.0,,15599560,1708690.0,19667820,,488644,830579,,74865487.0,2013524,0.0,,263355.0,21777.0,,1728392.0,,104288445.0,,143670,536776,92177,1742545,,14380590,967130,2837961,4599916,16666392,44444834,0
2015-03-19,4,2014,,,3217919,19892498,2426890,534674.0,904407,0.0,9631495,26705,,688988,182598,2202015,,3843296,625377,3099636,1504410,,1595226,973520,800880.0,1493020,531415,4005705,,171250,,17772185,0,,54065.0,0.0,,26167639,,2672799,,,,,961605,22879253,,5337771,3109718,,15581079,19667820,2014年12月31日,2426890.0,31034463,26287017,0,57101284,60015768,208428,8988974.0,,14138414,2426890.0,19667820,,500283,800880,,74485667.0,1990292,0.0,,259674.0,0.0,,1730618.0,,105520130.0,,120653,477624,147213,1802527,,14943270,961605,2860935,4747446,17384383,45504362,0
2015-05-05,1,2015,,,2519109,19464865,3176561,373658.0,1259358,0.0,8755095,21161,,265854,194051,1955780,,3117778,598669,3301078,1190615,,2110463,206482,,1503831,547386,3189900,,171223,,17217548,0,,54065.0,,,22989708,,2319309,,,,,956445,22065253,,5089173,3051314,0.0,15936637,19667820,2015年03月31日,,31562488,26800489,0,56063530,59700454,183940,,10550741.0,18375961,,19667820,104576742.0,465553,786304,73014254.0,,2000328,,,,,,,104576742.0,,,18965,589033,138905,1790274,,14521684,956445,2812195,4761999,16950724,44876288,0
2015-08-12,2,2015,,,2519303,19159710,2716538,293974.0,1098345,0.0,10415750,28741,,434810,578323,992104,,3098185,578882,3819454,1328813,,2490641,199076,,1544719,582740,3126308,,171901,,17721402,0,,0.0,,,22002220,,2433968,,,,,961979,20093485,,4190740,2983731,,15800569,19667820,2015年06月30日,,29459705,25317180,0,53990431,57009711,153266,,9436706.0,15429973,,19667820,101161139.0,438887,842416,71701434.0,,1940718,,,,,,,101161139.0,,,142707,440817,118000,1829499,,15205868,961979,2755331,4142525,17711003,44151428,0
2015-11-11,3,2015,,,2965455,19707276,3289742,231851.0,949743,0.0,8583353,25749,,703394,204225,1949658,,3599659,634204,4171435,1496453,,2674982,197495,,1609100,609302,3225295,,163520,,17747470,0,,0.0,,,23974167,,1972414,,,,,999798,21994103,,4068809,3073552,,16479993,19667820,2015年09月30日,,30779688,26846357,0,56863652,57408713,216499,,7677093.0,18049412,,19667820,102902841.0,455153,880089,72123153.0,,1939137,,,,,,,102902841.0,,,203745,610333,115357,1841770,,12654955,999798,2864280,3933331,15259501,45494128,0
