date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,其他預付費用,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-08-14,2,2013,1223360,389827,631501,,11718,149855,38872,986,71831,226,3519,71605,51406,3042,16268,14264,149855,4888,1723751,,64074,,19475,,864957,22658,11646,1500000,2013年06月30日,319089,,,2776972,2743710,0,70738,2114516,3675308,3519,,,,753263,4533,740,1356061,1500000,,,2213733,704028,704028,,4990705,0,139279,99217,25466,43476,33262,99217,1315397,87111,1374,,55205,37886,0,37886
2013-11-08,3,2013,1196684,413956,615883,,13115,118699,41934,985,72454,164,3133,72290,51206,2959,106786,21330,118699,5122,1517291,,148584,,17720,,840946,67546,13815,1500000,2013年09月30日,343218,,,2771217,2736683,0,70738,2078930,3645181,3133,,,,832650,1991,7836,1252818,1500000,,,2162874,704028,704028,,4934091,0,68748,83944,24072,42654,34534,83944,1288910,224595,1359,471,95120,40949,0,40949
2014-03-14,4,2013,1195738,494152,192334,,18866,173149,49292,1000,102058,148,2825,101910,57474,2964,186843,,173149,5190,1573285,,90779,,12966,,834770,110615,16673,1680000,2013年12月31日,423414,,,3299026,3264244,0,70738,1930051,4032275,2825,,200937,,983314,9769,741,1574886,1680000,,,2015489,916943,916943,,5314515,25,19463,85438,9530,43074,34782,85438,1282240,188226,1383,6246,,48292,0,48292
2014-08-08,2,2014,1114117,501737,342201,132201,14935,99774,57296,979,57970,238,2075,57732,61622,2912,166651,,99774,4811,1937367,0,114781,,20206,210000,827030,93529,17101,1680000,2014年06月30日,407322,,,3233647,3198454,0,94415,2077718,4149242,2075,,202122,828433,,58397,1,1484837,1680000,,,2142426,916943,916943,,5376073,0,19851,64708,31916,41465,35193,64708,1226831,168004,1353,12434,,56317,0,56317
2014-11-05,3,2014,1124558,699005,159206,159206,23473,183800,44168,1031,49814,188,1774,49626,55077,2861,142187,,183800,99,2006232,0,106859,,23543,0,914384,94538,17746,1680000,2014年09月30日,604590,,,3517716,3479748,0,94415,1675635,4045833,1774,,0,793707,,50064,1,1291686,1680000,,,1763589,916943,916943,,5281305,109,20109,87954,36317,42185,37968,87954,1235472,143575,1388,9932,,43137,0,43137
2015-03-19,4,2014,1142013,797234,207923,,19277,295498,32347,1098,27270,164,1465,27106,50696,2872,74090,,295498,102,1860218,0,124533,,19761,,853581,103701,18621,1680000,2014年12月31日,702819,,,3728841,3689675,0,94415,1399230,3978191,1465,,0,1038610,,7071,0,1007595,1680000,,,1490515,916943,916943,,5219356,0,12,91285,28370,43185,39166,91285,1241165,75522,1432,4537,,31249,0,31249
2015-05-08,1,2015,1105185,880668,171378,,21235,261208,28436,1198,18510,201,1092,18309,51463,2930,145391,,261208,101,1655165,,161761,,16128,,872925,68109,18179,1680000,2015年03月31日,786253,6475,14147,3777885,3738819,0,94415,1191576,3870383,1092,286768,,,786707,,,807398,1680000,5070900,1293015,,916943,916943,5070900,,0,8,101439,24598,42430,39066,101439,1200517,146809,1418,6002,,27238,0,27238
2015-08-07,2,2015,1068385,589154,528492,158892,19409,208632,31117,1095,20907,195,724,20712,45273,2786,196808,,208632,100,1646627,,116062,,24436,369600,837796,90218,17954,1680000,2015年06月30日,443431,6158,0,3432621,3394937,0,145723,1644937,4027867,724,91209,,,940892,,,938619,1680000,5184875,1752254,,917151,917151,5184875,,53,184001,107317,24672,41490,37684,107317,1157008,196808,,897,,30022,0,30022
2015-11-06,3,2015,1085967,640549,184705,184705,17728,351255,37242,1162,21794,236,2970,21558,45798,2765,99930,,351255,103,1695990,,112509,,17307,,836096,102690,19007,1680000,2015年09月30日,494826,2910,0,3627514,3588956,0,145723,1334893,3894340,2970,98778,,,597530,,,979910,1680000,5079122,1451608,,917152,917152,5079122,,310,423804,116715,31040,42827,38558,116715,1184782,99930,,103,,36080,0,36080
2016-03-14,4,2015,1022252,666021,159455,159455,17582,228787,43142,1161,8892,,3189,,47582,2621,87451,,228787,287,1681415,,111959,,15860,,850936,122266,19120,1680000,2015年12月31日,520298,3340,,3528670,3491960,0,145723,1436562,3957051,3189,259484,,,626506,,,1102767,1680000,5079022,1550352,,917152,917152,5079022,,39,302519,113790,29828,40985,36710,113790,1121971,87451,,3689,,41981,0,41981
