date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－員工認股權,資本公積－發行溢價合計,資本公積－處分資產增益,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2015-06-02,4,2014,4575583,1606728,,,,681044,9326,7003,15106,473924,196008,684968,161131,1275331,,473924,2231048,0,2610143,330856,1247544,161454,1885321,,720739,881634,866467,2014年12月31日,1468620,,6163899,6163899,0,138108,6877924,6543330,66104,,492620,,165449,1476100,866467,,,7297164,3216780,,1760840,,1455940,,,13461063,,258109,119081,,,419240,6917733,506525,0
2015-08-25,2,2015,4631511,152599,,,0,657257,16461,24138,14948,-149070,196342,738681,174192,1384407,,-149070,2076116,0,2306289,207873,1113915,144392,1587000,163561,837774,918810,1000000,2015年06月30日,152599,46456,6595912,6595912,0,,6826878,6749065,67998,,,618053,,2137893,1000000,13878364,7282452,,5592383,,,,5592383,,13878364,,,281382,126573,,,455574,7129299,688794,0
2015-11-12,3,2015,4951529,374978,,,0,652941,,44190,7282,136954,226263,313532,451041,1756205,0,136954,2050621,0,1898484,277267,985786,152113,1291771,246602,980997,985762,1000000,2015年09月30日,374978,70471,7104315,7104315,0,,7050542,7004787,78896,,,1103280,,2787217,1000000,14898317,7794002,,5592383,,,,5592383,,14898317,,377103,292419,121138,,,743460,7893530,589409,0
2016-03-24,4,2015,4869650,694529,,,,699671,0,31558,5272,-114341,187357,364875,450378,1581600,,-114341,2240617,0,2248748,361735,947183,86654,1517542,317020,1217298,1040064,1000000,2015年12月31日,694529,122026,7180589,7180589,0,0,6685584,6932263,74712,,,686512,,2032210,1000000,14613204,7432615,,5600401,,0,,5592383,8018,14613204,,,296653,114915,,,747031,7680941,551569,0
2016-05-11,1,2016,4961095,1026055,576,429785,0,690885,0,48854,,-167539,180729,560335,411243,1415085,,-168115,2312879,0,2049656,335972,1114054,175591,1080603,288070,1170279,1081184,1100000,2016年03月31日,1026055,123634,8929773,8929773,0,,6694133,8725684,75061,,,1820902,,2023612,1100000,16353744,7423971,,6971257,,,856,6962383,8018,16353744,,,318595,95635,,,729838,7628060,1013977,0
2016-08-12,2,2016,5757359,991596,3890,464349,0,1449651,124703,35939,,-354096,338199,519659,548215,1580646,,-357986,2618961,0,2402659,342152,1010075,136836,2195803,4615,1513260,1242865,1100000,2016年06月30日,807857,94377,9062308,8717467,0,69448,7833327,9568887,77955,114291,,1262528,,1934675,1100000,18327745,9265437,,6979967,16728,0,856,6962383,0,18327745,,,318595,100033,565300,344841,1432110,8758858,953773,0
