date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商品存貨,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,待分配股票股利,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付股利,應付薪資,應付設備款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,房屋及建築成本,房屋及建築淨額,持有供交易之金融資產－流動,持有供交易金融負債－流動,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,製成品,試驗設備成本,試驗設備淨額,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,電腦軟體,電腦軟體淨額,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,114319,114319,748757,711720,282168,83617,-838,114319,53241,53007,44967,44967,5100,234,5100,1656,8348,1199,1199,162169.0,-838,-838,1656,2049,162169,,162169.0,,,615548,615548,14892,14892,,141064,57487,276979,276979,993370,993370,483967,483967,0.0,1376,889315,2013年03月31日,644769,62529,,104189,76756,76756,1819874,1819874,0,66951,1083062,2273724,1632,,,787965.0,54759.0,,540580,889315,,80538,80538,,,1238005.0,219677,1322,10666,207689,207689,,3057879.0,1376,0.0,0,0,25418,,787965,153287,153287,1632,1632,154943,784155,0
2013-08-07,2,2013,108050,108050,741378,717596,586801,84484,-1038,108050,367951,41875,40710,40710,5100,326076,5100,174,8200,1064,1064,,-1038,-1038,174,2036,170041,170041.0,,,,653239,653239,34512,34512,266795.0,176405,59117,298846,298846,930724,930724,473342,473342,1.0,790,889315,2013年06月30日,615945,71660,,198997,79992,79992,1647687,1647687,0,101091,1413730,2387059,964,560.0,,619496.0,30338.0,,416948,889315,170041.0,75674,75674,,,1493554.0,41814,1322,10666,29826,29826,,3141241.0,790,1.0,0,0,3640,,619496,79650,79650,964,964,79824,754182,0
2013-11-06,3,2013,88050,88050,737317,816370,303805,81840,-1059,88050,380621,44642,35488,35488,5100,335979,5100,177,8064,928,928,,-1059,-1059,177,2036,171392,171392.0,,,,646663,646663,19398,19398,,153232,68733,280772,280772,915478,915478,489046,489046,755.0,24,889315,2013年09月30日,714719,58009,,297771,84018,84018,1746440,1746440,0,101091,1101312,2156831,1727,560.0,,407813.0,43372.0,0.0,416948,889315,171392.0,70756,70756,,,1161139.0,41814,1322,10666,29826,29826,,2907579.0,24,755.0,0,0,3640,0.0,407813,59650,59650,1727,1727,59827,750748,0
2014-03-05,4,2013,88050,88050,769816,929446,313210,68481,-1327,88050,520728,30469,32945,32945,5100,490259,5100,171,9900,2323,2323,,-1327,-1327,171,2477,186070,186070.0,,,,648057,648057,16948,16948,,202948,41781,235670,235670,943462,943462,482173,482173,34.0,845,889315,2013年12月31日,827795,100460,,410847,89115,89115,1859248,1859248,0,101091,1127294,2216088,1366,560.0,,330124.0,60184.0,,416948,889315,186070.0,65123,65123,,,1143255.0,41814,1322,10666,29826,29826,,3002503.0,845,34.0,165,165,5333,,330124,15625,15625,1366,1366,15961,786415,0
2014-04-30,1,2014,88050,88050,840526,994447,310302,69729,-1148,88050,713028,41622,30183,30183,13500,671406,13500,174,19620,1488,1488,,-1148,-1148,174,4632,211061,211061.0,,,,629262,629262,22007,22007,,143618,96955,185885,185885,904721,904721,472027,472027,8.0,735,889315,2014年03月31日,892796,194273,,65001,85140,85140,1924428,1924428,0,101091,1119760,2193616,1057,560.0,178913.0,,69404.0,,827795,889315,211061.0,58903,58903,,,1135724.0,41814,1322,10666,29826,29826,,3060152.0,735,8.0,165,165,5333,,178913,15625,15625,1057,1057,15964,866536,0
2014-08-06,2,2014,47150,47150,1038397,743569,627149,77347,-1168,47150,677450,27058,25625,25625,15050,650392,15050,165,20640,951,951,,-1168,-1168,165,4639,191120,191120.0,,44466.0,0.0,592913,592913,14955,14955,266794.0,173693,109315,199790,199790,876775,876775,464119,464119,241.0,8,889315,2014年06月30日,600066,405561,,125383,90341,90341,1717996,1717996,0,142176,1299931,2025395,992,1327.0,80019.0,,17756.0,,474683,933781,191120.0,52751,52751,,,1372761.0,41814,1322,10666,29826,29826,,3090757.0,8,241.0,165,165,5333,,80019,72500,72500,992,992,72830,1065362,0
2014-11-12,3,2014,138400,138400,1074412,821589,242623,82937,-1412,138400,567634,36983,22118,22118,15050,530651,15050,144,20788,1107,1107,,-1412,-1412,144,4631,197095,197095.0,,,0.0,681492,681492,19371,19371,,128620,31066,232789,232789,922532,922532,460976,460976,0.0,1287,933781,2014年09月30日,678086,430628,,203403,111510,111510,1795772,1795772,0,142176,1141129,2068218,959,1327.0,148168.0,,2956.0,55000.0,474683,933781,197095.0,49180,49180,,,1373938.0,41814,1322,10666,29826,29826,,3169710.0,1287,0.0,165,165,5333,55000.0,148168,232500,232500,959,959,232809,1101492,0
2015-03-04,4,2014,105000,105000,1087376,922030,270803,73244,-1619,105000,510979,20754,21676,21676,15050,490225,15050,166,19431,2390,2390,,-1619,-1619,166,1991,224331,224331.0,,,0.0,691651,691651,29887,29887,,176007,21552,215086,215086,978497,978497,450453,450453,0.0,1442,933781,2014年12月31日,778527,459026,,303844,110178,110178,1896006,1896006,0,142176,1170056,2134419,756,1327.0,205526.0,,16273.0,55000.0,474683,933781,224331.0,46043,46043,,,1350960.0,41814,1322,10666,29826,29826,,3246966.0,1442,0.0,738,738,4984,55000.0,205526,180000,180000,756,756,180904,1112547,0
2015-05-06,1,2015,112500,112500,1170933,1002681,311494,77723,-1673,112500,449997,34765,20442,20442,13050,415232,13050,159,17258,2063,2063,,-1673,-1673,159,2145,211019,211019.0,,,,654589,654589,26267,26267,,138225,95546,196830,196830,954703,954703,931538,931538,371.0,20,933781,2015年03月31日,859178,40908,28113.0,80651,136595,136595,1976603,1976603,0,142176,1132983,2089206,602,1327.0,,276286.0,,0.0,778527,933781,211019.0,41450,41450,3282983.0,1306380.0,,41814,1322,10666,29826,29826,3282983.0,,20,371.0,738,738,4984,0.0,276286,172500,172500,602,602,173397,1193777,0
2015-08-05,2,2015,120200,120200,1154560,860229,544499,72382,-1799,120200,509349,23492,20146,20146,13050,485857,13050,180,17232,1736,1736,,-1799,-1799,180,2446,185166,185166.0,,0.0,,656050,656050,21365,21365,205432.0,173952,92733,194338,194338,947031,947031,915495,915495,170.0,191,933781,2015年06月30日,686050,43740,21965.0,143631,134860,134860,1834025,1834025,0,172560,1364270,2142390,847,1619.0,,306336.0,,0.0,542419,933781,185166.0,40319,40319,3320013.0,1485988.0,,41814,1322,10666,29826,29826,3320013.0,,191,170.0,738,738,4984,0.0,306336,120800,120800,847,847,121718,1177623,0
