date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,員工福利負債準備－非流動,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,253600,11334895,110562,3210329,,1154429,1367294,24857.0,902661,1253166,999566,1680917,1353342,327575,121792,60321,973642,973642.0,92487.0,140025,,61471,7330786,306199,,,,4538472,,476964,290824,,4588789,,1347056,,302720,855428,5664572,2013年03月31日,,,17501940,11797831,40688225,,13900605,20141455,140025,,,3426246.0,498585,27605,220608.0,5753148,5664572,,92487,,17743028.0,2326468,,35244968.0,129,92578,29629,204207,3598515,5704109,3842423,15103513,1151641,0
2013-08-13,2,2013,,253285,11538424,110520,2571063,,1256967,2100103,25039.0,1091424,1530307,1277022,2211441,1743747,467694,121350,60773,1006301,1006301.0,92486.0,140340,,60577,6891483,306199,,,,4552597,66849.0,1050000,264455,,4499133,224507.0,1237857,39059.0,301852,784745,5664572,2013年06月30日,,,17004559,11347502,40688225,,14574215,21422220,140340,,,4049047.0,587573,32881,187356.0,4822340,5664572,,92486,,19790685.0,2326642,,36795244.0,208,380743,31466,200994,4971168,5657057,5216470,15373024,1276338,0
2013-11-12,3,2013,252941.0,252941,11580767,109584,2902966,,1270051,2159776,29570.0,1002015,1623800,1370859,2309740,1379765,929975,162487,103949,963319,,92550.0,139566,,58538,6692757,306199,,,,5403951,68292.0,310000,310249,,4576995,234715.0,1021027,40595.0,300985,745420,5664572,2013年09月30日,,,17273679,11638229,40688225,,15122886,22002753,139566,,,4101737.0,562502,38379,210444.0,5015605,5664572,,92550,,20073302.0,2374875,,37346981.0,20769,21124,26643,196157,4668736,5635450,4950416,15344228,2411991,0
2014-03-28,4,2013,,175000,11815875,109640,4098205,,1346410,1357862,28543.0,842959,1731270,1556270,2152703,1412145,740558,459846,401681,1075682,1075682.0,35160.0,139989,,58165,8035975,306199,,,,4853165,112794.0,669923,321721,,4098720,209434.0,1068071,37892.0,300117,2188704,5664572,2013年12月31日,,,18788276,12620511,40688225,,14983556,21218382,139989,,,4231886.0,592932,23269,246013.0,5690808,5664572,,35160,,19669730.0,2320974,,38458006.0,0,58529,133710,239938,4057458,6167765,4686174,17239624,703697,0
2014-05-07,1,2014,,175000,12031555,109800,4455152,,1463700,1197693,22852.0,1014679,1644666,1469666,2036769,1467998,568771,448560,388510,1093562,,35078.0,146238,,60050,7420829,306199,,,0.0,4131451,146535.0,1130000,477809,,3822196,166845.0,1044288,0.0,299250,2171762,5664572,2014年03月31日,,,19417543,13149178,40688225,,14316105,20971573,146238,,4026127.0,,540971,31704,282392.0,5305399,5664572,,35078,,19155994.0,2320974,,38573537.0,160,52591,134208,254393,4222043,6268365,4839889,17601964,1838105,0
2014-08-12,2,2014,,175000,12095959,108821,2503297,,1789275,1843922,22399.0,1241482,1573656,1398656,2060787,1563543,497244,410765,351092,1053781,,21561.0,144849,,59673,7726025,306199,,1699372.0,0.0,4700861,72997.0,1570000,430775,,4775404,106238.0,1128920,0.0,298383,2117926,5664572,2014年06月30日,,,19291925,13139724,40688225,,15627957,22323981,144849,,4013614.0,,604774,31829,178844.0,5245449,7363944,,21561,,20920529.0,2337200,,40212454.0,11453,25424,129616,247650,4730630,6152201,5292572,17888473,1860396,0
2014-11-12,3,2014,,250000,12694182,108955,2999495,,1312415,1286003,0.0,1128065,1821149,1571149,2765222,1653213,1112009,237822,174592,1076342,,,145548,,63230,7678782,306199,,,0.0,5174043,70260.0,1102821,472354,,5073789,129786.0,1039864,0.0,294779,2199953,7363944,2014年09月30日,,,19768283,13563152,52894691,,17367125,22735411,145548,,3449809.0,,786777,51579,104353.0,7335812,7363944,,20834,,21090766.0,2377847,,40859049.0,330,79396,137707,239885,3327278,6205131,3723641,18123638,1731986,0
2015-03-26,4,2014,,260372,13384162,109250,2992074,,1253422,1655669,0.0,1370880,2277295,2016923,2611581,1963220,648361,219463,151705,1179499,,,147462,,67758,7839628,306199,,,0.0,5214309,165939.0,1018798,517127,,4837973,115786.0,1092853,0.0,293911,2472614,7363944,2014年12月31日,,,19944399,13798665,52894691,,16389411,22293725,147462,,3825014.0,,807077,52418,225828.0,5314276,7363944,,13957,,21450738.0,2377966,,41395137.0,170,126803,156035,208674,4671872,6145734,5061327,19101412,1037010,0
2015-05-08,1,2015,,260192,12634789,109944,3150312,1281281.0,1559883,1450380,0.0,1557414,1835797,1575605,2729268,1885599,843669,243501,151133,1169108,,,146455,276133.0,92368,7692563,306199,,,0.0,4933324,101312.0,1213761,325076,,4259202,106674.0,935054,,920180,2404312,7363944,2015年03月31日,1658974.0,271653.0,20121996,14143437,52894691,1448344.0,16336217,22276990,146455,42994.0,,3703528.0,785866,56011,,6186127,7363944,41477329.0,13957,21355333.0,,2377966,41477329.0,,18787,47233,137537,199657,4624121,5978559,5019116,19200339,2017602,0
2015-08-12,2,2015,,364328,12613868,108838,2511625,,1341000,2168968,0.0,1249958,1948367,1584039,2636752,1962215,674537,183605,87843,1171090,1171090.0,13957.0,145363,,95762,6203611,306199,11048.0,0.0,,4601869,95684.0,460786,395959,9533.0,4645401,61389.0,919032,,909033,2364035,7363944,2015年06月30日,,170237.0,19155682,13197294,52894691,,16150909,21068742,145363,,,4058556.0,781796,47599,,6277846,7363944,39938400.0,13957,20782718.0,,2377966,39938400.0,,21660,53212,140357,168832,4293890,5958388,4631809,18869658,1697945,0
