date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應付設備款,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,168953,2563523,132587,1405676,,585481,20850,340452,92013,,92013,259892,8723,285485,146668,138817,158368,4804.0,348551,45720,,697595,0.0,,,1363320,,,224179,1802018,15640,45788,710000,2013年03月31日,1296951,,4416308,4388935,0,108725,2542236,4112626,,,1268215.0,17321.0,316222,710000,,,2786767.0,2181246,,,2181246,,7203075.0,,239727,109081,27373,244531,3090449,43673,35382.0,82216,0
2013-08-08,2,2013,161718,2535536,134767,1317316,,739722,44897,355017,165162,165162.0,165162,294820,24978,342132,161778,180354,161504,29299.0,350375,78576,,794921,,71000.0,,1588451,,106533.0,233275,2208711,9917,74478,710000,2013年06月30日,1138773,,4471793,4444724,0,140149,2966256,4571925,38394.0,,1177518.0,11380.0,331883,781000,,,3195288.0,2181246,,,2181246,,7667081.0,,199733,110295,27069,229032,3095156,38726,,108124,0
2013-11-08,3,2013,197379,2557254,133302,1441996,,529840,53193,335053,116256,116256.0,116256,311245,26129,269690,147191,122499,155121,28980.0,357972,94329,,864432,,,,1538786,,,141594,2415126,14951,73826,781000,2013年09月30日,1263453,,4547262,4520498,0,140149,2982567,4669673,38394.0,,1054258.0,31043.0,571653,781000,,,3244765.0,2181246,,,2181246,,7792027.0,,233218,108522,26764,262198,3122354,51216,,87737,0
2014-03-24,4,2013,200033,2562741,135948,1635552,,545065,54715,394364,209393,,209393,316812,28130,267772,101279,166493,165398,29555.0,347151,38535,,809106,,,,1773579,27871.0,,95986,2685788,34257,102153,781000,2013年12月31日,1457009,,4834465,4807191,0,140149,3314331,5246290,38394.0,,1387408.0,82885.0,568119,781000,,,3559818.0,2181246,,,2181246,,8394283.0,,215932,110091,27274,245487,3147993,61959,33127.0,88649,0
2014-05-08,1,2014,126124,2517930,135255,1762117,,474491,60366,320606,183245,,183245,239126,51625,354767,70274,284493,165082,0.0,298273,36313,,766481,,,0.0,1313919,36413.0,,93519,2534695,34430,125455,781000,2014年03月31日,1583574,,4934761,4907608,0,140149,2685157,4781511,38394.0,1041888.0,,54563.0,566645,781000,,,2923663.0,2181246,,,2181246,,7858424.0,,238506,64976,27153,238506,3076913,49250,31902.0,61377,0
2014-08-08,2,2014,214420,2473823,132865,1734097,,502502,52492,328516,95799,,95799,300258,57800,209872,59253,150619,154815,0.0,289968,38530,,698584,,0.0,0.0,1514568,21938.0,0.0,121494,2801363,44268,164207,781000,2014年06月30日,1548109,,4822115,4794846,0,185988,2916347,4770570,0.0,962847.0,,62437.0,514644,781000,,,3009318.0,2183950,,2704.0,2181246,,7831433.0,,92971,63485,27269,92971,3060863,53636,33138.0,28038,0
2014-11-06,3,2014,45867,2457356,139935,1882109,,498095,60281,360638,265625,,265625,116568,60117,135154,61934,73220,117859,0.0,263040,37484,,711832,,,0.0,1368556,50615.0,,77176,2429134,20572,271490,850000,2014年09月30日,1696121,,5851472,5823384,0,185988,2088458,4865443,0.0,1520692.0,,54624.0,0,850000,,,2145792.0,2825650,135.0,,2825515,,7997264.0,,57334,65051,28088,57334,3131821,48059,42646.0,10584,0
2015-03-20,4,2014,47177,2558773,134309,2073036,,438047,19121,363558,433683,,433683,123067,57211,176530,67049,109481,118851,0.0,276061,42427,,742119,111557.0,,0.0,1529462,40434.0,,55368,2721563,22375,276483,850000,2014年12月31日,1887048,,6099690,6070812,1160000,185988,2450013,5354315,0.0,1607070.0,,91019.0,227984,850000,,,2500251.0,2825650,,,2825650,,8599941.0,3061.0,47177,66545,28878,50238,3245626,84658,48238.0,18679,0
2015-05-08,1,2015,77721,2524414,132958,2194012,,399055,17627,318343,372327,,372327,192971,34989,196647,65579,131068,98492,,260962,40503,,698359,0.0,,0.0,1192164,0.0,,63085,2160824,18154,293742,838400,2015年03月31日,2008024,57241.0,6248449,6191829,0,185988,2178070,5285033,0.0,,2110205.0,,336639,838400,8497109.0,2248660.0,,2787090,,,2787090,8497109.0,,4545.0,66045,65516,56620,70590,3212076,100844,56451.0,80261,0
2015-08-07,2,2015,99471,2474044,126345,2074899,,717474,18124,334130,280805,,283815,218577,51177,220511,72887,147624,93109,,350707,109409,-3010.0,684475,0.0,,0.0,1211003,0.0,309847.0,55373,2525269,1692,311448,838400,2015年06月30日,1825638,50242.0,6112741,5981194,0,249261,2727053,5606044,,,2086179.0,,529757,838400,8868588.0,2755847.0,,2787090,135.0,0.0,2786955,8868588.0,,5973.0,22821,64215,131547,28794,3262544,87918,83974.0,67929,0
