date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵存貨跌價,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備淨額,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,出租資產－其他淨額,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,土地淨額,在製品,在途原物料,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,持有供交易之金融資產－流動,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,本期損益,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,物料,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產評價調整－流動,透過其他綜合損益按公允價值衡量之金融資產－流動,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,100000,992476,,112131.0,112131,340276,-6292.0,-6292.0,,9061,,29691,3706,,-6292,,111840,11840.0,1627,33443.0,,1627.0,54328,20278,146,119726.0,1430.0,67466.0,486024.0,81464.0,1257.0,20132,340214,340214.0,,1095.0,0.0,,57995.0,57995,153980.0,153980,24974,341867,,,135751,54328.0,207821.0,361678,361678.0,13635.0,1118618,2013年03月31日,152526,2311.0,,,,126928.0,1452602,1452602,0,2785.0,159159,578611,926459,,9402.0,28591,,34872.0,9933.0,8250.0,190198,,1118618,180625.0,,,963673.0,0,,2416275.0,,,,,15065,13438.0,30734,3253,190198.0,33397.0,,300000,380.0,0.0,385062,1489816,36046,,0
2013-08-09,2,2013,100000,987394,,,112131,299181,-5004.0,-5004.0,10349.0,10349,12162.0,73786,5686,,-5004,,124086,24086.0,2700,32220.0,,,54007,20541,147,119347.0,,90510.0,486024.0,102075.0,1491.0,20394,374683,374683.0,,1040.0,0.0,,,66198,,105175,12052,269421,,124823.0,124823,54007.0,205106.0,361678,,,1118618,2013年06月30日,102893,6383.0,,,,120785.0,1412795,1412795,0,4870.0,167697,719360,856899,,9969.0,28591,,32580.0,5929.0,8246.0,332134,,1118618,182800.0,,,929101.0,0,,2341896.0,,,,,16169,12659.0,30734,3253,332134.0,31160.0,,125000,380.0,,209741,1484997,12242,,0
2013-11-06,3,2013,100000,979394,0.0,,112131,296254,-5663.0,-5663.0,,9690,10397.0,30284,966,,-5663,,116517,16517.0,1975,30691.0,,,53687,20473,147,118968.0,,64353.0,486024.0,162776.0,113.0,20326,388948,388948.0,,1033.0,,,,34670,47972.0,47972,4426,188479,,83797.0,83797,53687.0,202569.0,361678,,,1118618,2013年09月30日,99966,6930.0,,,,114953.0,1409209,1409209,0,4748.0,167697,693825,810526,,9429.0,28591,,99372.0,5538.0,7160.0,454418,,1118618,162674.0,,,878246.0,0,,2287455.0,,,,,13191,14511.0,30734,3253,454418.0,97959.0,,100000,380.0,,184421,1476929,16948,,0
2014-03-12,4,2013,75000,984915,0.0,,112131,317348,-5845.0,-5845.0,,5362,10398.0,41661,1050,,-5845,,96890,21890.0,1396,30027.0,,,54102,20210,146,118588.0,,44400.0,486024.0,79568.0,1118.0,20064,242607,242607.0,,1082.0,,,,38944,68815.0,68815,14741,336769,,97980.0,97980,54102.0,200043.0,361678,,,1118618,2013年12月31日,121060,11686.0,,,,116065.0,1430121,1430121,0,4627.0,167697,656690,789347,,8620.0,28591,,80947.0,850.0,10.0,394789,,1118618,119299.0,,,841469.0,0,,2271590.0,,,,,11800,17855.0,30677,3309,394789.0,79485.0,,100000,380.0,,184779,1482243,11426,,0
2014-05-07,1,2014,50000,903741,,,112131,353479,-5488.0,-5488.0,5719.0,5719,,30241,5113,,-5488,,70958,20958.0,2504,30024.0,,2504.0,53811,20041,111,118209.0,,59940.0,414376.0,137130.0,12569.0,19930,457417,457417.0,,1014.0,,0.0,,66647,0.0,0,34335,258862,,79846.0,79846,53811.0,197426.0,361678,,,1118618,2014年03月31日,157191,10936.0,,,,111534.0,1466609,1466609,0,4505.0,167697,615866,896063,,8135.0,28591,47674.0,,4161.0,10.0,409524,,1118618,239643.0,,,830354.0,0,,2296963.0,,,,,13894,16731.0,30677,3309,409524.0,46280.0,130000.0,130000,380.0,,214488,1400900,25024,,0
2014-08-06,2,2014,25000,894836,,,112131,350458,-4814.0,-4814.0,6393.0,6393,,64168,3189,,-4814,,38327,13327.0,2651,28544.0,,2651.0,53526,19441,111,117830.0,,99033.0,414376.0,105673.0,4173.0,19330,395042,395042.0,,899.0,,0.0,,39852,130.0,130,17483,326758,,81327.0,81327,53526.0,195347.0,361678,,,1118618,2014年06月30日,151109,8010.0,,,,108186.0,1464262,1464262,0,4383.0,170758,612681,899751,,7543.0,28591,55808.0,,6147.0,0.0,446574,,1118618,178620.0,,,826884.0,0,,2291146.0,,,,,14700,18160.0,30677,3309,446574.0,54529.0,130000.0,130000,380.0,,214203,1391395,13883,,0
2014-11-12,3,2014,0,884716,,,112131,351494,-6134.0,-6134.0,5073.0,5073,,32752,1849,,-6134,,8797,8797.0,5546,27034.0,,5546.0,53244,19441,111,117451.0,,88391.0,414376.0,96439.0,1105.0,19330,353011,353011.0,,970.0,,0.0,,62358,22962.0,22962,5038,229249,,124795.0,124795,53244.0,192913.0,361678,,,1118618,2014年09月30日,152145,8274.0,,,,102706.0,1463978,1463978,0,4261.0,170758,534231,830855,,7663.0,28591,85319.0,,3660.0,0.0,398664,,1118618,159413.0,,,748152.0,0,,2212130.0,,,,,15653,17701.0,30677,3309,398664.0,83969.0,130000.0,130000,380.0,,213921,1381275,10360,,0
2015-03-16,4,2014,0,874940,,,108506,366644,-5159.0,,6048.0,6048,,33438,3395,,-5159,,9350,9350.0,2236,,,2236.0,53391,19446,111,,,,,,,19335,323854,323854.0,,,,0.0,,51203,,22332,13374,300747,,136651.0,136651,53391.0,,361678,,,1118618,2014年12月31日,167295,,,,,,1480103,1480103,0,,170758,586337,912352,,,28591,108711.0,,4640.0,0.0,452000,,1118618,,,,800518.0,0,,2280621.0,,,,,17584,,30790,3699,452000.0,,,130000,,,214181,1368269,13126,0.0,0
2015-05-13,1,2015,130000,865458,,,108506,366682,-3695.0,-3695.0,,6240,,31179,1114,,-3695,,144595,14595.0,1403,,,1403.0,53042,20240,100,,,,,,,20140,322291,322291.0,,,,,,44376,,65802,4899,327287,,,95362,,,385337,,,1118618,2015年03月31日,167333,,4648.0,0.0,,,1481605,1481605,0,,170758,655226,837423,53042.0,,28591,,57434.0,,,359000,,1118618,,2220663.0,739058.0,,0,2220663.0,,,,0.0,727.0,15333,,30790,3699,359000.0,,0.0,0,,,83832,1383240,10959,,0
2015-08-11,2,2015,130000,863006,,,108506,333611,,,,5283,,63658,9868,,-4652,,134460,,1509,,4460.0,1509.0,52694,16276,752,,,,,,,15524,445157,445157.0,,,,,,28136,,4484,14291,179838,,,84731,,,385322,,,1118618,2015年06月30日,125939,,369.0,,526.0,,1447577,1447577,0,,179081,682147,836399,52694.0,,28591,,70911.0,,,436749,125413.0,1118618,,2213208.0,765631.0,,0,2213208.0,,,,,,9093,,30790,3699,,,,0,,,83484,1376809,30009,,0
