date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵銷售退回及折讓,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,天然資源淨額,存貨合計,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收分期帳款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應收租賃款,應收銷售及管理費（證券投資信託業適用）,應計退休金負債（應付退休金費用）,投資性不動產淨額,投資性不動產－土地,持有供交易之金融資產－非流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未實現利息收入－應收分期帳款,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,礦產資源淨額,股本合計,融資租賃之未賺得融資收益,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,銀行長期借款,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,40315605,168325144,1445787.0,1445787,79132508,18994877,13400042.0,13400042,0.0,0.0,14730059,466308,19757723,14419448,41279907,964302,4539023,,7265164,1427965,11100320,,11100320.0,333143.0,91609481,,73000000,20367980.0,20367980,4643476,8800000.0,23753.0,23753,,2696377,0.0,39847384.0,39847384,38679077.0,38679077,1257,2194124.0,2194124.0,0.0,0.0,3140822.0,291134,291134.0,619998.0,26779441.0,26779441,95259597,2013年03月31日,37784978,0.0,,,220086016,220054837,0,38313746,128583101,273897336,,3033784,,39493840.0,1294996.0,24934.0,36880601,,95259597,0.0,,,282879106.0,31243284,,502965122.0,3172.0,0.0,4970.0,619998.0,371408,6772777,92849.0,0.0,8907,,73659433.0,73659433,2696377,,,31179,154296005,229067786,18741739,0
2013-08-08,2,2013,,50315069,164758292,,1445787,77240752,20598493,,20449023,,,14387468,305605,13649711,23678645,50887400,572331,5515723,,7238499,1392638,11768517,,,331580.0,81309620,,77000000,,15752181,4806496,7000000.0,,22169,,2690887,,,30567544,,33785736,2890,,2397045.0,,,3154974.0,291134,,,,32610823,95259597,2013年06月30日,35621327,,,,227453864,227422278,0,38585641,128190833,270378234,,3033784,,59326033.0,1021410.0,759.0,33959409,,95259597,,,,282711292.0,31243284,,510165156.0,1707.0,0.0,249197.0,996802.0,428806,7134964,46988.0,0.0,339,,,69853154,2690887,,,31586,154520459,239786922,22975144,0
2013-11-11,3,2013,,51951899,162724786,,1445787,87195595,21482305,,15703175,,,12190156,432267,24070386,19462633,52682232,730333,7136405,,7179468,1388424,12315277,,,319504.0,84653705,,71000000,,22217433,4569730,7600000.0,,19132,,2621835,,,37982258,,34338140,5926,,0.0,,,3169209.0,291134,,,,34767537,95259597,2013年09月30日,45574359,,,,233191028,233161109,0,38587452,144429107,278165244,,3033784,,37270445.0,2322353.0,756.0,42348562,,95259597,,,,279006655.0,31243284,,512197683.0,47242.0,0.0,500586.0,0.0,198783,6465239,0.0,0.0,11512,,,56199297,2621835,,,29919,134577548,234032439,30712820,0
2014-03-20,4,2013,,55708298,159580627,,1445787,93926438,22906609,,13993274,,,9931558,227737,19941266,19827788,58523816,2815518,5991084,,7192698,1392699,12039501,,,243374.0,80379415,,68000000,,6868825,5918496,3300000.0,,19597,,2616767,,,40776049,,44176717,613,,0.0,,,3183232.0,291134,,,,35990643,95259597,2013年12月31日,52307013,,,,240371787,240341201,0,38585641,116624929,252483005,,3033784,,16651735.0,2928527.0,0.0,28906373,,95259597,,,,241855120.0,31327378,,482226907.0,0.0,0.0,882620.0,,370168,6159562,0.0,0.0,8671,,,49667325,2616767,,,30586,125230191,229743902,20768226,0
2014-05-09,1,2014,,37039634,156187610,,1445787,102708397,21384580,,14132857,,,10772551,4302017,20498837,18413107,38358215,1318581,6335443,,7109026,1365028,10678876,,,246263.0,99745252,,68000000,,32677668,5280407,9600000.0,,16409,,2546006,,,44629547,,38929018,1632,,0.0,,,3197992.0,288095,,,,36740899,95259597,2014年03月31日,61088972,,,,247748467,247717323,0,38585641,144842587,305390348,,3033784,48751468.0,,4066243.0,217.0,39769077,,95259597,,,,282986840.0,31336222,,530735307.0,0.0,,1430439.0,0.0,340739,5624572,0.0,,19519,,,62694488,2546006,,,31144,138144253,225344959,23664396,0
2014-08-05,2,2014,,61525600,151966255,,1445787,85369948,29412203,,26869877,,,33036793,158262,18626329,33786333,62601297,1075697,530187,,7034540,1371664,11139995,,,256039.0,86854647,0.0,56000000,,18310369,4960739,3500000.0,,15933,,2449730,,,29720917,,39665398,456,,0.0,,,3213146.0,284227,,,,36635985,95259597,2014年06月30日,41064697,,,,245783636,245752100,0,41271467,145350405,266139505,,3033784,34850585.0,,621214.0,213.0,22145798,,95259597,,,,254729840.0,31336222,,500513476.0,0.0,,1001537.0,0.0,201566,5775806,0.0,,5916,,,46143329,2449730,,,31536,109379435,234373971,25471117,0
2014-11-06,3,2014,,33567151,148662201,,1469417,92180470,26906605,,21094842,,,8975995,14534429,15926934,25688344,34776030,1208879,552145,,7035645,1363574,11050481,,,278973.0,104246190,0.0,56000000,,17082821,3252096,13300000.0,,12855,,2444032,,,35835050,,29577584,2181,,,,,3228039.0,301573,,,,36997323,95259597,2014年09月30日,47875219,,,,244495755,244464633,0,41271467,124404437,276392055,,3033784,36266151.0,,1439920.0,217.0,31020475,,95259597,,,,257300193.0,31336222,,501795948.0,0.0,,0.0,,229447,5549083,9816.0,,2557,,,69630664,2444032,,,31122,132895756,225403893,27076441,0
2015-03-19,4,2014,,31722427,145361509,,1469417,79177115,44296024,,10729587,,,10513904,7662991,15740276,33749215,34959117,3236690,747716,,7133619,1397532,10412415,,,135816.0,80664082,0.0,53000000,,12835773,2556961,3500000.0,,13510,,2496308,,,19861425,,26011020,372,,,,,3239779.0,301573,,,,38350026,95259597,2014年12月31日,34871864,,,,239555978,239522149,0,41271467,104523565,260281831,,3033784,40653905.0,,4300.0,1844.0,32457003,,95259597,,,,233489178.0,31336222,,473045156.0,,,0.0,,201330,6002982,20006.0,,7049,,,68630664,2496308,,,33829,128965613,212763325,32298118,0
2015-05-05,1,2015,,29225148,141662167,,1494417,80383777,45095293,,10464659,,,10323225,687788,17664743,34518923,30274396,1049248,728235,,6955512,1393930,12165826,9935129.0,9935129.0,,54740491,0.0,53000000,,6357053,2927545,3500000.0,,10430,,2421620,,19340495.0,19462323,,27327128,100,,,121828.0,,,310213,,,,38605261,95259597,2015年03月31日,36078526,,5319.0,2062.0,241533868,241498519,0,41271467,75147732,231452469,3139962.0,3033784,,39021925.0,,,21061976,153025.0,95259597,,442003135.0,200469267.0,,31336222,442003135.0,,0.0,,0.0,,51010,5631770,0.0,,93237,63328.0,,65315013,2421620,2230697.0,2230697.0,35349,125321535,210550666,27316932,0
2015-08-06,2,2015,,22375330,137967826,,1494417,96977326,38937580,,6848391,,,20039842,198028,16483969,24258715,23385374,1010044,542679,,6891531,1391223,11364757,,9188338.0,,65612156,0.0,44250000,,14097747,3179457,3500000.0,,10428,,2346616,,27671064.0,27792871,,28268295,15,,,121807.0,,,310213,,,,37056990,95259597,2015年06月30日,51765517,,3078635.0,36523.0,247868453,247831860,0,42178025,71106527,237673584,3153692.0,3033784,,38847389.0,,,3617016,154530.0,95259597,,437393956.0,189525503.0,,31336222,437393956.0,,,,0.0,,166681,4480651,0.0,93.0,111098,42597.0,,67110671,2346616,2176419.0,2176419.0,36593,118418976,199720372,21041009,0
