date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期借款,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,,24444,1629787,38425,-566617,,,54932,,,,-27702,,,33289,8845,148067,28842.0,18499.0,119225.0,24357,5691,47983,47983.0,194057.0,-27702.0,1510606,,94757,,,284824.0,135757,,,,152151,,,18666.0,169823,3492,1874142,2013年03月31日,-686788.0,,3585305,2558870,2000000,38295.0,257963,2543590,,194057,,198368.0,81876.0,,473703.0,15486.0,18499.0,1874142,,,1104617.0,1373804,,4689922.0,,60695,1917,62765,535556,,1026435,846654,2146332,,,,,0
2013-08-09,2,2013,,,55278,1617432,34603,-235909,,,61801,,,,-13925,,,64760,9482,33275,33275.0,18495.0,,24510,5929,46873,46873.0,194262.0,-13925.0,1514245,,108383,,,288194.0,128907,,,,162428,,,18581.0,170008,2601,1874142,2013年06月30日,-317785.0,,3538225,2522822,2470000,0.0,275854,2507342,,194262,,278169.0,81876.0,,482287.0,1891.0,18495.0,1874142,,,1095423.0,1006897,,4633648.0,,36938,2143,60527,504722,,1015403,819569,2126306,,,,,0
2013-11-08,3,2013,,,111111,1599075,34603,-280856,,,68809,,,,-23515,,,118159,7048,31043,31043.0,13764.0,,24428,5930,56397,56397.0,193760.0,-23515.0,1478259,,123289,,,290806.0,116745,,,,160761,,,18498.0,168163,2715,1874142,2013年09月30日,-362732.0,,3443159,2453376,2990000,0.0,322925,2417645,,193760,,283772.0,81876.0,,434013.0,5448.0,13764.0,1874142,,,1088568.0,1006894,,4531727.0,,29797,1520,59369,448889,,989783,765643,2114082,,,,,0
2014-03-04,4,2013,,,455000,1585476,29054,-398093,,,72108,,,,-11577,,,472731,17731,27459,27459.0,10483.0,,18083,667,44809,44809.0,194034.0,-11577.0,1347571,,123289,,,0.0,112282,,,,158413,,,17416.0,170117,9723,1874142,2013年12月31日,-479969.0,,3250191,2348077,2990000,0.0,669064,2244626,,194034,,249314.0,81876.0,,438991.0,1460.0,10483.0,1874142,,,1088502.0,1006894,,4338693.0,,22878,2188,60854,399167,,902114,419438,2094067,,,,,0
2014-05-06,1,2014,297007.0,198334.0,495341,1573343,29054,-398891,,,48946,,,,3442,,,507723,12382,35033,,,,23195,5844,46339,46339.0,194811.0,3442.0,1362248,,28532,,0.0,0.0,125017,,,,191712,,,17351.0,168963,11500,1854142,2014年03月31日,-480767.0,,3259696,2364195,990000,0.0,693629,2227794,,194811,,68398.0,81876.0,527047.0,,1460.0,10483.0,1854142,,,1062197.0,934034,,4321893.0,,43356,2040,70089,343333,,895501,368568,2094099,,,,,0
2014-08-01,2,2014,297272.0,223333.0,520605,1522907,29054,117463,,,51098,,,,-15919,,,526815,6210,34772,34772.0,10483.0,,23017,5731,41263,41263.0,194104.0,-15919.0,1369144,,28532,,0.0,0.0,162279,,,,203688,,,17286.0,198968,11127,1854142,2014年06月30日,35587.0,,3258121,2381215,990000,,750697,2207103,,194104,,320309.0,81876.0,221558.0,,22.0,10483.0,1854142,,,1075290.0,454061,,4333411.0,,57632,1576,128885,300000,,876906,324593,2126308,,,,,0
2014-11-05,3,2014,301346.0,205000.0,506346,1510596,3007,117520,,,63305,,,,835,,,514588,8242,37149,37149.0,30000.0,,23049,5825,42123,42123.0,194752.0,835.0,1364318,,28532,,0.0,0.0,131492,,,,217070,,,17224.0,201140,10780,1854142,2014年09月30日,35644.0,,3272331,2398036,990000,,739385,2213445,,194752,,328450.0,81876.0,216202.0,,0.0,30000.0,1854142,,,1026358.0,454071,,4298689.0,,50256,1424,122846,262500,,874295,286973,2085244,,,,,0
2015-03-05,4,2014,0.0,218667.0,218667,1483521,3007,121431,,,72334,3190.0,,,32465,,,237000,18333,30672,30672.0,,,24028,5777,45864,38105.0,,,1319442,,28532,,0.0,,107494,,,,251067,33607.0,,18251.0,175073,10035,1854142,2014年12月31日,,,4127660,3049151,990000,,420018,2870079,,143630,,463229.0,,770239.0,,0.0,0.0,1854142,,,719841.0,1069645,,4847501.0,,1823,2795,116292,273000,,1078509,299823,1977422,,,7759.0,,0
2015-05-11,1,2015,0.0,200333.0,200333,1471538,3007,123048,0.0,0.0,53938,3190.0,,0.0,21940,,,211570,11237,37036,,,,23934,5729,113885,,,,1326357,1326357.0,28532,,0.0,,128616,,0.0,,213678,27217.0,0.0,,172308,9793,1854142,2015年03月31日,,0.0,4117920,3040243,990000,,397314,2741951,18205.0,143222,349912.0,,,,787751.0,,0.0,1854142,4768303.0,650383.0,,1069645,4768303.0,,0.0,0,1635,112599,227500,,1077677,253069,2026352,,0.0,,,0
2015-08-12,2,2015,0.0,182000.0,182000,1446280,34437,67014,0.0,0.0,275606,3190.0,54297.0,0.0,6316,0.0,0.0,195312,13312,23983,23983.0,,,23633,5475,38504,,,6316.0,1248365,1248365.0,28532,3213.0,0.0,,135720,,0.0,221309.0,200253,45618.0,0.0,,168977,7498,1854142,2015年06月30日,,0.0,3868973,2782870,990000,,609828,2739816,18158.0,142708,362920.0,,,,855464.0,,0.0,1854142,4686148.0,817175.0,,883930,4686148.0,,0.0,0,1714,107928,182000,,1086103,207347,1946332,,0.0,,,0
