date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,266050,1885464,2446572,,363528,,28760,-45361,295950,29900,177255,779,176476,160,402500,16709,-45361.0,12567,6,509618,98925,,998362,2336,199748,18750.0,,1680652,86618,814.0,389933.0,3965343,3186883,2013年03月31日,1838758,,,5757252,5757252,1896964,117649,2699849,4517410,,1135,490165,,1459385.0,6854.0,5507.0,791460,3187888,,22861,,,5030304.0,267078,,10787556.0,472604,613863,401495,1314092,16543,0.0,2330455,6270146,96197,0.0,1005.0,203100
2013-08-08,2,2013,577566,1915099,2433240,,410759,,33825,46039,610572,33006,56092,1427,54665,160,404021,16913,,12602,6,497088,98925,,945464,4338,229729,37633.0,,1559259,59410,368.0,391419.0,3911576,3188824,2013年06月30日,1778438,,,5835793,5835793,1896964,155423,2878071,4565391,,1048,499379,,1446026.0,27043.0,1211.0,585004,3189341,,27529,,,4965917.0,266098,,10801710.0,809909,610320,391683,1073505,16747,,2087846,6236319,102203,0.0,517.0,104450
2013-11-08,3,2013,714300,1997631,2553088,,466957,,33984,36949,745934,31634,286384,2628,283756,160,404885,23261,,12459,6,610906,98925,,1146819,4045,229582,13734.0,,1656167,54507,408.0,392426.0,3976476,3189868,2013年09月30日,1898286,,,5947592,5947592,1896964,155423,3056561,4678566,,937,499379,,1348389.0,33451.0,937.0,379199,3190530,,36840,,,5128139.0,265950,,11075731.0,570580,630131,398860,1036562,16602,,2071578,6397165,116304,6493.0,662.0,133750
2014-03-24,4,2013,816486,1985534,2614055,,410251,,43622,116276,837611,21125,612366,1979,610387,160,401500,18984,,12527,46,560364,98925,,1011232,8800,229835,9304.0,,1692433,58973,66.0,388973.0,4029755,3191206,2013年12月31日,1959253,,,6087886,6087886,1896964,155423,3021470,4568862,,842,499379,,1087807.0,41785.0,516.0,431638,3191206,,41014,,,4921552.0,265274,,11009438.0,412060,648209,405461,850373,16760,,1900082,6440576,100655,2018.0,0.0,0
2014-05-08,1,2014,951244,2005516,2698148,,407316,,44262,95613,975974,24730,604341,2590,601751,160,401094,19261,95613.0,9155,46,697001,98925,0.0,1064806,4350,229600,19101.0,,1643577,61736,140.0,391939.0,4040163,3191206,2014年03月31日,2043346,,,6151316,6151316,1896964,155423,3148208,4681890,,728,499379,1183976.0,,31882.0,537.0,364110,3191206,,51069,,,5002036.0,265274,,11153352.0,338596,653504,405794,799230,16572,0.0,1853828,6471462,107724,2483.0,0.0,0
2014-08-08,2,2014,729491,1941961,2537218,,643032,,183843,9855,752540,23049,218541,4135,214406,160,403940,16391,,8998,46,737966,98925,0.0,1142321,6039,229842,10967.0,,1637113,63214,0.0,394942.0,3813298,3191206,2014年06月30日,1789643,,,5904628,5904628,1896964,182860,3194995,5175345,,607,564715,1774973.0,,16833.0,535.0,340870,3191206,,52551,3130.0,,5464225.0,265274,,11368853.0,450620,632308,421251,1229852,16173,,2269230,6193508,108540,12.0,0.0,0
2014-11-07,3,2014,424529,1943226,2599242,,422658,,39969,148346,448057,23528,239558,2570,236988,160,401455,18686,,4603,46,875457,98925,0.0,1202564,18757,229616,6267.0,,1866533,69126,0.0,396852.0,3878496,3191206,2014年09月30日,1851667,,,6106661,6106661,1896964,182860,2772895,5214478,,513,564715,1783699.0,,29105.0,555.0,348687,3191206,,67184,1081.0,,5363332.0,266792,,11469993.0,224969,638620,414594,1549281,16994,,2590437,6255515,114612,1486.0,0.0,0
2015-03-26,4,2014,438963,1991443,2728981,,569016,,52570,289865,463284,24321,256006,3247,252759,160,393268,17554,,991,46,774262,98925,0.0,1296198,34050,229888,1567.0,,1911990,66539,0.0,392277.0,3991571,3191206,2014年12月31日,1981406,,,6377919,6377919,1896964,182860,2850608,5440736,,413,564715,2033906.0,,22536.0,689.0,190945,3191206,,43124,1453.0,,5486878.0,266792,,11864797.0,225289,689099,423080,1552450,17348,,2636270,6424061,119485,0.0,,0
2015-05-12,1,2015,476121,1955457,3072132,,423869,,40487,242056,502598,26477,227770,2412,225358,160,395720,17296,242056.0,981,46,871251,98925,0.0,1091275,10626,229626,0.0,,1735372,88382,0.0,,3763873,3191206,2015年03月31日,2324557,67594.0,244.0,6673261,6673261,1896964,182860,2862332,5871537,394739.0,296,564715,,2582826.0,,,491390,3191206,12141936.0,45354,1856.0,5468675.0,,266792,12141936.0,,240978,782655,533477,1426112,17090,0.0,2606343,6270399,84227,0.0,0.0,0
2015-08-06,2,2015,631557,1924214,6873190,,876380,397699.0,51695,121091,665458,33901,2233426,6172,2227254,160,398645,17172,,969,296,973900,98925,,932397,9095,229878,0.0,478681.0,1466834,85767,,,2221654,3191206,2015年06月30日,6091480,75890.0,385.0,10353354,10353354,1896964,219271,3164671,11527380,397676.0,179,562439,,6391631.0,,,329607,3191206,16223804.0,45966,1482.0,5870450.0,,266792,16223804.0,,235172,1124209,533205,1181443,16716,,2705779,4696424,88570,0.0,,0
2015-11-06,3,2015,699616,1872924,7209580,,409705,,80404,269215,730296,30680,2297655,4544,2293111,160,395588,17699,,1029,296,898339,106364,308000.0,734641,4177,229649,0.0,,1321480,95975,,,2319537,3191206,2015年09月30日,6427870,4471.0,494.0,10833275,10833275,1896964,219271,2380827,11079274,394559.0,70,562439,,5527262.0,,,203605,3191206,15648879.0,64283,1755.0,4815604.0,,269638,15648879.0,,776795,1006596,359375,1030838,17243,,2434777,4569605,80870,0.0,0.0,0
