date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付設備款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,201696,201696,3036883,-294478,8812,488281,,,154740,135756,3253,3837,280640,6680,77597,,31802,1490,258572,,2707,1524574,58772,,,,42505,384742,10851,18984,276390,242665,27605.0,562250,386222,3880955,2013年03月31日,-333432,,5162183,4235322,4675913,14007,1767097,2669638,,617644,,231970.0,49200.0,,24947,,,,295905.0,17644.0,1251.0,875975,3880955,,,2933900.0,703780,,8096083.0,,7221.0,2231,27393,1132770.0,1132770,926861,1166803,5426445,72264,,0
2013-08-08,2,2013,237696,237696,3013518,-454043,5746,481543,,,220017,198874,17090,-1977,347942,5352,79066,,31445,1509,294915,,2704,1475244,58772,,,,121079,335562,5235,21143,200551,227575,27232.0,565909,371728,3880955,2013年06月30日,-492997,,4990649,4069943,4675913,14007,1972334,2652705,,631508,,99429.0,49200.0,,24947,,,,535027.0,14230.0,1218.0,928269,3880955,,,3096905.0,703780,,8087554.0,,11759.0,2231,26528,,1090895,920706,1124571,5434849,104894,0.0,0
2013-11-11,3,2013,237696,237696,3058465,-449698,5919,495294,,,158890,146503,7180,3908,315319,4868,74049,,31145,1522,280121,,2731,1471430,58772,,,,190208,344781,20459,12387,237770,203094,26892.0,564650,368631,3880955,2013年09月30日,-488652,,5070165,4080173,4675913,14007,1471162,2475656,,619603,,89183.0,49200.0,,24947,,,,387031.0,19508.0,,416973,3880955,,,2868588.0,703780,,7938753.0,5024.0,,3128,27133,,1363153,989992,1397426,5463097,72755,,0
2014-03-26,4,2013,293256,293256,3026512,-466672,5943,505693,,,184625,159658,8582,8303,384075,6458,74389,,30049,1264,292446,292446.0,2721,1498701,58772,,,,153533,215587,6415,24967,203096,130289,26064.0,663829,446151,3880955,2013年12月31日,-505626,,5049670,4067594,4675913,14007,1794557,2343940,,638297,,99580.0,49200.0,,24947,,,,320119.0,16781.0,,833384,3880955,,,2941765.0,703780,,7991435.0,157.0,3241.0,2731,25367,,1114428,982076,1147208,5647495,84361,,0
2014-05-14,1,2014,321036,321036,3007677,-521473,3004,504838,,,174585,151092,4667,3126,404065,5447,66254,,29755,1264,293029,293029.0,2743,1253352,64898,,,0.0,48390,314766,3614,23493,253672,147743,25748.0,662674,448208,3880955,2014年03月31日,-560427,,4993335,4001490,5556193,14007,1490619,2060419,,656103,,94044.0,49200.0,,24947,,,232672.0,,18931.0,,526268,3880955,,,2714068.0,703780,,7707403.0,0.0,5011.0,3058,25255,,1190636,991845,1223449,5646984,77582,,0
2014-08-07,2,2014,345316,345316,3044266,-545376,1998,514754,,,228459,201695,7854,49,470115,3949,64519,,29471,1265,387778,387778.0,2773,1342486,80603,,,0.0,135747,345605,6309,26764,227341,132673,25433.0,673758,438560,3880955,2014年06月30日,-584330,,4944241,3958805,7893913,14007,1962446,2131682,,681344,,93636.0,49200.0,,24947,,,261175.0,,14792.0,,761419,3880955,,,3000832.0,703780,,7945073.0,0.0,0.0,2207,23731,1006708.0,1006708,985436,1038386,5813391,120850,,0
2014-11-11,3,2014,335720,335720,3011921,-580414,22160,431632,,,186645,165045,9692,-518,442958,4109,81591,,28984,1265,409143,409143.0,2725,1486838,58772,,,0.0,31162,335082,12993,21600,236280,107375,24994.0,666660,436311,3848775,2014年09月30日,-619368,,4980831,3923200,4675913,14007,1946029,2358775,,666892,,116638.0,49200.0,,24947,,,298201.0,,21121.0,,916068,3848775,,,3073556.0,714129,,8054387.0,0.0,0.0,2207,23853,1096336.0,1096336,1057631,1127527,5695612,103129,,0
2015-03-23,4,2014,328720,328720,3233260,-638850,6100,475117,,,211375,186295,4664,-1525,455752,5256,87127,,41184,1145,378847,378847.0,3562,1816059,76755,,,0.0,37964,305530,27127,25080,250134,151094,36477.0,719894,368637,3848775,2014年12月31日,-677804,,5002142,3851072,7322036,14007,2580995,2711135,,652692,,123575.0,49200.0,,24947,,,255491.0,,23572.0,,1516353,3848775,,,3630456.0,719427,,8632598.0,3322.0,16891.0,6319,43816,,1001958,1151070,1049461,5921463,121776,,0
2015-05-12,1,2015,328720,328720,3205601,-706155,2009,488166,,,163185,151589,2138,-2870,442117,6765,69518,,40935,1181,371489,371489.0,3562,1572548,76755,,,0.0,70366,384802,3148,11596,261911,166680,,718815,369258,3848775,2015年03月31日,-745109,26482.0,4948437,3782422,7322036,14007,2570707,2498012,36192.0,640663,149416.0,,,49200.0,24947,,,,272567.0,,,1477696,3848775,8382565.0,3434128.0,,719427,8382565.0,,2911.0,1225.0,4079,41361,,818407,1166015,863421,5884553,106632,,0
2015-08-11,2,2015,328720,328720,3339892,-688238,297110,193765,,,233225,200707,10666,-4282,483100,4665,75189,,40490,1222,347696,347696.0,3360,1761525,76755,,,0.0,91565,415339,1423,32518,246499,145327,,695988,364315,3848775,2015年06月30日,-727192,17650.0,4967231,3798927,7322036,14007,2764545,2894852,35908.0,631755,137570.0,,,49200.0,24947,,,,218951.0,,,1522027,3848775,8559146.0,3591915.0,,719427,8559146.0,,216.0,2015.0,4229,41683,,782651,1168304,827370,5664294,149715,,0
