date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,189227,189227,2430395,4140596,1138745,,62127,-159219,532429,343202,66642,,,146589,93449,511950,,2943351,2943351.0,0.0,,,1493112,99799,114606,4233381,56766,53140.0,2003815,2013年03月31日,3379095,,6026415,6018584,0,697464,5758824,9336270,,301084,64037,,1704456.0,226268.0,2137961,2003815,,,,7178700.0,33392,,13205115.0,15904,10429,212345,625416,1060942,7831,1419876,3868845,259118,0
2013-08-12,2,2013,265268,265268,2528898,3679883,1505651,,78978,10930,401975,136707,77077,,,193173,140033,543229,,3060085,3060085.0,0.0,10665.0,,1494684,99812,94541,3389650,61501,53140.0,2003815,2013年06月30日,2669477,,5749128,5743039,0,783200,5656495,8831366,,288617,227206,,1904025.0,119646.0,1926601,2014480,,,,7090747.0,37746,,12839875.0,13585,13299,191674,647765,1049405,6089,1434252,4008509,246751,0
2013-11-11,3,2013,271035,271035,2429649,3826165,1624907,,65316,-41198,450251,179216,94421,,,239090,185950,687388,,3357116,3357116.0,0.0,0.0,,2148854,99899,105376,4046011,46602,53140.0,2014480,2013年09月30日,2815759,,5838564,5837193,0,783200,6631774,9926164,,282598,227206,,2039274.0,148472.0,2035274,2014480,,,,8138504.0,37746,,13977068.0,18741,8162,210942,651269,1056698,1371,1506730,4050904,269262,0
2014-03-26,4,2013,234159,234159,2452524,4605839,1499727,,57803,49336,544470,310311,233717,81476.0,152241.0,83022,32446,671235,,3177461,3177461.0,0.0,0.0,,2407895,99904,119714,5003027,42081,50576.0,2014480,2013年12月31日,3595433,,6710830,6707401,0,783200,6805867,10683364,,270446,227206,,1936610.0,161739.0,1952811,2014480,,35130.0,,8123882.0,37746,,14834712.0,19607,9040,246102,757143,953761,3429,1318015,4151348,223625,0
2014-05-12,1,2014,254245,254245,2439611,4889729,1140944,,39628,114578,538034,283789,1697356,59154.0,1638202.0,1260967,1210391,690440,,3042721,3042721.0,0.0,,0.0,1775877,99905,91964,4671749,35902,50576.0,2014480,2014年03月31日,3879323,,7060182,7056533,0,783200,6189698,11614667,,264848,227206,1892355.0,,193204.0,2319322,2014480,,37798.0,,8717475.0,37746,,15777657.0,30448,1744,254041,768091,974971,3649,2527777,4162990,233212,0
2014-08-11,2,2014,248209,248209,2342492,3637538,1604926,,39216,-9088,1558873,1310664,74007,74007.0,0.0,98189,47613,685172,,3192761,3192761.0,0.0,1009692.0,0.0,1805508,99830,89453,4623821,39937,50576.0,2014480,2014年06月30日,2704604,,6706008,6702416,0,868897,7730215,11588858,,254496,64037,3315252.0,,193255.0,2343294,3024172,,37708.0,,8935535.0,49794,,15641543.0,35076,2257,208497,770525,860926,3592,1205320,4052685,301607,0
2014-11-11,3,2014,254082,254082,2175335,3894437,1246054,,60341,31504,2257663,2003581,112314,112314.0,0.0,121784,71208,692336,,3541509,,,,0.0,2324565,99915,118041,5193372,31492,50576.0,3024172,2014年09月30日,2961503,,7004354,6999907,0,868897,10498415,14754212,,246453,64037,5535117.0,,179970.0,4248543,3024172,,37121.0,,11656144.0,49794,,18660498.0,23664,8064,207133,792162,791691,4447,1157729,3906286,272003,0
2015-03-24,4,2014,276479,276479,1991568,5833649,1796392,,288082,189424,576928,300449,344652,141172.0,203480.0,86671,37166,806542,,3702712,,,,0.0,2784725,99913,176566,6469752,33335,49505.0,3024172,2014年12月31日,4900715,,9100442,9097039,0,868897,10082888,16246008,,243137,64037,5096716.0,,669726.0,3949390,3024172,,36113.0,,11022542.0,49794,,20122984.0,29248,978,259226,835729,557644,3403,939654,3876976,309781,0
2015-05-12,1,2015,260406,260406,1908606,5775482,1386096,,347298,-271103,584660,324254,144405,144405.0,0.0,111216,61711,748138,,3741788,,,,0.0,1986555,99913,119632,5156903,32130,,3024172,2015年03月31日,4842548,681415.0,8582035,8578345,0,868897,8215166,14035987,49505.0,237316,64037,,4275699.0,,3329363,3024172,17774140.0,35676.0,9192105.0,,49794,17774140.0,,27532,4157,157880,844093,672167,3690,976939,3738153,333607,0
2015-08-11,2,2015,260859,260859,1869032,5144914,1883486,,282655,-287175,681150,420291,125521,125521.0,0.0,119728,70223,773369,,4202538,,,15994.0,0.0,2018499,149874,132550,5065121,26525,,3024172,2015年06月30日,3948210,744967.0,7956111,7952826,0,1132667,9569729,14684798,49505.0,254046,64037,,4624685.0,,3940314,3040166,18486861.0,37400.0,10530750.0,,54921,18486861.0,,18889,4793,171766,905616,632127,3285,961021,3802063,352960,0
