date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,3329575,503535,2275041,184526,341286,494,55106,238617,198316,115515,17593,230234,579178,579178,581436,396665,184771,3123180,74133,3049047,129793,54766,,795522,18945,3151834,99998,28737,,0.0,1033802,300910,836745,72399,4788,578118,0.0,0.0,835798,4800000,2013年03月31日,663443,,,7775299,7504767,10329917,752920,5221408,8183978,85389,,,858678,,776041.0,74493.0,2219.0,594584,4800000,,,6411993.0,361203,,14187292.0,280351,332503,85591,,0.0,,3872.0,278904,0.0,270532,1190585,6003314,,990294,97922,0
2013-08-12,2,2013,3336814,496500,1940777,184193,926171,494,53264,317078,264096,184905,66705,425713,564933,564933,649264,486105,163159,3317863,99412,3218451,129793,54766,,1066814,33753,3028383,169956,13907,,0.0,1418665,301152,874605,65555,0,576426,0.0,0.0,841067,4800000,2013年06月30日,251652,,,7515938,7249196,10329917,807520,5994898,9002253,83713,127950.0,,881605,,572986.0,45638.0,1563.0,524877,4800000,,,7557073.0,374116,,15073011.0,237591,332503,82435,,0.0,592.0,4539.0,664739,0.0,266742,1562175,6070758,,1048717,118200,0
2013-11-12,3,2013,3355051,511500,2028108,202086,427932,470,57671,338780,247961,151742,68871,569928,565274,565274,640197,466343,173854,2848815,99905,2748910,129793,54766,,703881,33983,3005025,139974,17981,,0.0,1472282,302810,742423,75037,0,574733,0.0,0.0,815643,4800000,2013年09月30日,338983,,,7579298,7320392,10329917,807520,5727783,8563430,79881,95190.0,72452.0,881605,,559736.0,10919.0,2578.0,1235876,4800000,,,7125638.0,374116,,14704936.0,249592,332503,89945,0.0,200.0,878.0,2104.0,499878,0.0,258906,1397855,6141506,0.0,990858,82871,0
2014-03-27,4,2013,3472697,506250,2285904,207474,513160,964,56029,239458,432982,135286,62764,589546,553030,553030,567223,424024,143199,2628738,101683,2527055,129793,54766,,719334,26308,2647612,49993,12260,7893.0,0.0,1191227,381656,615728,59745,0,573354,0.0,0.0,977662,4800000,2013年12月31日,596779,,,8022862,7760625,10329917,807520,4833191,7908257,78228,88380.0,73861.0,881605,,536538.0,56199.0,4060.0,664182,4800000,,,6218679.0,371532,,14241541.0,256182,332503,82914,,32.0,3048.0,1095.0,499923,0.0,262237,1385488,6333284,,995682,72522,0
2014-05-14,1,2014,3501626,506250,2380557,266396,294533,25224,56244,240993,454764,167441,62771,485268,550048,550048,589738,421497,168241,2985123,101713,2883410,129793,54766,0.0,716237,23895,2555775,0,11254,0.0,,991852,350703,565336,69273,5196,571652,,,963856,4800000,2014年03月31日,691432,,,8136911,7877060,10329917,807520,4678777,7941423,74874,177040.0,73504.0,881605,573624.0,,98358.0,4631.0,786060,4800000,,,6176201.0,371532,,14313112.0,190206,332503,89153,,0.0,7570.0,1036.0,614873,,259851,1497424,6371689,,917202,104670,0
2014-08-12,2,2014,3452225,487100,2158538,114699,757434,0,84285,165222,285455,127523,12473,473743,645919,645919,545555,421385,124170,2868398,102112,2766286,129793,54766,0.0,966651,46418,2337510,29000,11256,0.0,,1146704,340960,795469,57435,1479,569951,,,949667,4800000,2014年06月30日,433534,,,7748580,7493996,10329917,866326,5559093,8780896,90316,123134.0,72208.0,858678,1558748.0,,67842.0,4243.0,1215459,4800000,,,7287248.0,379796,,15035828.0,175985,332503,87418,,51.0,4245.0,492.0,749682,,254584,1728155,6254932,,811381,115050,0
2014-11-12,3,2014,3428617,487100,2293622,110277,1462624,10038,79319,169034,342433,120806,13528,392274,650011,650011,504753,365507,139246,3141272,306586,2834686,116881,54766,0.0,849906,70267,2029657,59480,10261,0.0,,1213571,321317,997460,59825,2477,568250,,,909403,4200000,2014年09月30日,568618,,,7356925,7098970,9038678,866326,5681275,8582020,89422,201556.0,74322.0,858678,666606.0,,39208.0,5919.0,1029028,4200000,,,7375553.0,379796,,14732478.0,210287,334366,86772,,0.0,4614.0,1819.0,709901,,257955,1694278,6150458,,951446,107278,0
2015-03-26,4,2014,3453785,483069,2570270,81838,591981,86,80963,142026,384405,146451,11928,399481,546412,546412,520747,375177,145570,2894645,310377,2584268,116880,54766,0.0,813025,45070,2033454,229896,10445,2551.0,,1320493,266694,867966,75756,22238,566548,,,911436,4200000,2014年12月31日,845266,,,7681231,7417591,9038676,866326,4822027,7964078,89260,216636.0,76523.0,858678,661936.0,,107526.0,5420.0,841542,4200000,,,6479128.0,379796,,14160359.0,155029,332503,92266,,0.0,7337.0,2647.0,778186,,263640,1657101,6196281,,710854,134523,0
2015-05-12,1,2015,3408546,483069,2692492,92774,396801,140,51640,138990,378311,147538,13624,382799,547623,547623,480553,362905,117648,3289193,313968,2975225,116880,54766,0.0,809686,14925,1871474,179940,8052,0.0,,1295512,212273,764068,74952,19406,564922,,,922624,4200000,2015年03月31日,967488,140847.0,5647.0,7791754,7533719,9038676,866326,4965609,8396426,85324,,,858678,,1166433.0,,,1395974,4200000,14430527.0,6638773.0,,379796,14430527.0,,134333,332503,89063,232.0,,5440.0,0.0,793038,,258035,1673164,6034101,,708200,133914,0
2015-08-12,2,2015,3334055,464099,2294195,87670,966606,184,63777,187915,274638,205971,14696,387035,546159,546159,468863,363533,105330,3533366,315035,3218331,116880,70970,0.0,915096,33499,2071663,349957,11769,0.0,,1273411,151142,850705,77857,41787,563219,,,827943,4200000,2015年06月30日,501100,62558.0,3352.0,7296202,7042596,9038676,934417,5560137,8700637,81875,,,858678,,1100624.0,,,942834,4200000,14528077.0,7231875.0,,390643,14528077.0,,111966,332503,87386,,0.0,3989.0,0.0,793076,,253606,1671738,5827440,,755071,191275,0
