date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,7592,8276,98157,65321,0.0,435038,0.0,-309,50030,52159,136454,7449,-309,,,,44048,60,0.0,143676,107,3334,190.0,69923,472539,2013年03月31日,84878,,767058,767058,0,13279,173784,950322,,,247057.0,14325.0,472539,,,,310238.0,196671,45169,,151502,,1077296.0,21636,33734,,136454,126974,47125,0
2013-08-12,2,2013,7088,8276,36414,145370,0.0,427747,0.0,477,47584,50670,137169,7435,477,,,,40020,2059,1682.0,168632,212,4756,,64191,472539,2013年06月30日,14275,,706101,706101,0,22139,246838,968315,,,252871.0,10123.0,472539,,,,384007.0,196671,45169,,151502,,1090108.0,22242,34803,,137169,121793,41185,0
2013-11-11,3,2013,6873,6746,27225,73246,0.0,3934,0.0,-508,57695,482802,138042,7435,-508,,,,48629,1402,0.0,139761,0,1341,,62295,472539,2013年09月30日,5086,,695927,695927,0,22139,186234,902470,,,201505.0,5262.0,472539,,,,324276.0,196671,45169,,151502,,1020203.0,22154,34384,,138042,117733,50973,0
2014-03-26,4,2013,6665,6746,59658,83903,0.0,2900,0.0,486,65608,494511,133793,7405,486,,,,48179,3204,0.0,129326,27,916,,62951,472539,2013年12月31日,37519,,729354,729354,0,22139,207941,954020,,,270324.0,7047.0,472539,,,,341734.0,196671,45169,,151502,,1071088.0,22217,33301,,133793,117068,33799,0
2014-05-12,1,2014,6122,6746,72377,59189,0.0,8997,,1056,60013,488181,134663,7405,1056,,,0.0,49637,4548,0.0,116754,800,8472,0.0,62863,472539,2014年03月31日,50238,,742643,742643,0,22139,181422,941480,,257522.0,,8035.0,472539,,,,316085.0,196671,45169,,151502,,1058728.0,22282,34112,,134663,117248,38472,0
2014-08-13,2,2014,5625,6746,32455,112370,0.0,2779,,-305,73821,505212,135560,7415,-305,,,0.0,46901,2622,0.0,140560,105,780,,59028,472539,2014年06月30日,6564,,687873,687873,0,25891,238299,947533,,234792.0,,2585.0,472539,,,,373859.0,183184,45169,,138015,,1061732.0,22367,35385,,135560,114199,40938,0
2014-11-13,3,2014,5198,5879,32799,76177,283.0,8351,,1404,73758,501868,136450,7418,1404,,,0.0,46392,1809,0.0,127626,741,791,,55853,472539,2014年09月30日,6908,,689926,689926,0,25891,200497,918502,,213501.0,,2078.0,472539,,,,336947.0,183184,45169,,138015,,1026873.0,22211,34023,,136450,108371,43413,0
2015-03-26,4,2014,4797,5879,86229,93405,,4319,210.0,3890,66285,324502,138507,7420,3890,,,0.0,54614,1479,,146495,627,4618,,52545,472539,2014年12月31日,60338,,747207,747207,0,25891,221101,1002014,,483993.0,,5318.0,472539,,,,359608.0,184549,45169,1365.0,138015,,1106815.0,1031,34160,,138507,104801,36219,0
2015-05-13,1,2015,4679,5879,77497,69840,,3396,210.0,2595,73782,340938,139458,7337,2595,,,0.0,43755,175,,132944,0,4559,,52096,472539,2015年03月31日,51606,5309.0,737180,737180,0,25891,192861,962353,139458.0,,440333.0,,472539,1069499.0,,332319.0,,184549,45169,1365.0,138015,1069499.0,,1039,37155,,139458,107146,38934,0
2015-08-12,2,2015,7265,4708,32267,128401,,8361,210.0,1787,75906,338641,140411,7321,1787,,,0.0,36444,3209,,126749,483,2770,,50256,472539,2015年06月30日,342,567.0,688742,688742,0,31925,244527,966976,140411.0,,441033.0,,472539,1073680.0,,384938.0,,182149,45169,1365.0,135615,1073680.0,,894,37154,,140411,106704,47835,0
