date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－製造業淨額,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1770338.0,16103541,,0.0,1792748,18360,2312975,2312975.0,258955,1029285,1862339,80622.0,53293,1326995,329584,18414,32810,3421790,3421790,,3873194,15258,7251764,1068170,1326995.0,11918206,2013年03月31日,1412870,,,15757137,15757137,0,379878,10198935,18336100,,66494,,1075.0,,6111119.0,126515.0,1625.0,1821776,11918206,,168730,,20092171.0,1016898,,35849308.0,18148,0.0,551900,995229,8014341,267387,0,9893236,17513208,168309,10973,11379.0,0
2013-08-09,2,2013,,16542438,,0.0,1531954,24100,3320773,,224827,1209738,2509388,,31287,1312221,329274,16540,32947,3717039,3717039,,3778114,0,6981854,885208,1312221.0,11918206,2013年06月30日,1065300,,,15676796,15676796,0,466654,11294982,18907338,,71239,,1075.0,,6727013.0,95354.0,2347.0,1410000,11918206,,170572,,21160705.0,1016898,,36837501.0,10781,1680.0,630811,963112,7922691,271274,0,9865723,17930163,335008,8513,,0
2013-11-08,3,2013,1339032.0,16812250,,0.0,2093923,25500,3400174,,351008,1105344,1545498,91308.0,48462,1297593,373852,15808,33020,4240610,4240610,,5504023,22119,8419956,543286,1297593.0,11918206,2013年09月30日,1627269,,,16134371,16134371,0,466654,11888783,21650953,,77761,,1075.0,,7664417.0,121756.0,1474.0,1123660,11918206,,171553,,23715934.0,1016898,,39850305.0,0,9722.0,671653,909989,9857905,267126,0,11827151,18199352,370943,57898,115158.0,0
2014-03-14,4,2013,1332706.0,17402623,,0.0,2759939,22300,3568797,,202110,1324300,1538230,91186.0,63126,1297154,305678,18725,13348,4105826,4105826,,4061854,97043,8680931,717168,1297154.0,11918206,2013年12月31日,2293285,,,17019343,17019343,0,466654,10770197,20782242,,80486,,1083.0,,6648648.0,110510.0,1716.0,1222005,11918206,,159041,,22418091.0,1016898,,39437434.0,12717,0.0,778196,844105,9572544,271565,0,11647894,18655192,361634,2040,114338.0,0
2014-05-09,1,2014,2237035.0,18680314,,,3094278,24100,3979566,3979566.0,266190,1319635,2690510,341929.0,46923,1282185,338042,16470,21685,4124534,4124534,0.0,4242073,28008,8004934,574310,1282185.0,11918206,2014年03月31日,2627624,,,17349017,17349017,0,466654,12466041,21957605,,77264,,1083.0,8559604.0,,78921.0,2078.0,1249270,11918206,,188135,,24543892.0,1016898,,41892909.0,9558,,788347,815584,10007319,268894,0,12077851,19935304,377949,30993,111546.0,0
2014-08-08,2,2014,1965146.0,19339666,,,2781739,44900,3637912,,267856,1136429,2253693,176852.0,46139,1266076,344187,19875,23367,4661757,4661757,0.0,5394054,48218,7982565,416799,1266076.0,11918206,2014年06月30日,2129668,,,16853272,16853272,0,652071,12791441,20984746,,103745,,1083.0,6923563.0,,54576.0,2503.0,1224465,11918206,,178523,,24694994.0,1016898,,41548266.0,0,7757.0,758164,731022,9879313,275969,0,11903553,20563520,674724,24976,111695.0,0
2014-11-07,3,2014,2602550.0,20118031,,,3362891,54800,4366308,,211490,1415843,2797711,76499.0,66721,1249235,379174,22290,18054,4990819,4990819,0.0,5539292,0,9052365,440170,1249235.0,11918206,2014年09月30日,2710820,,,17713838,17713838,0,652071,14017670,23304736,,106376,,33721.0,7742192.0,,94867.0,1716.0,1003860,11918206,,191134,,27017698.0,1016898,,44731536.0,24498,0.0,898306,768419,10852487,281312,0,13000028,21426800,765542,57518,118662.0,0
2015-03-13,4,2014,1850053.0,20542326,,,4129478,62400,4309340,,272485,1809075,2122898,141706.0,76434,1237955,436336,22030,18496,4865290,4865290,0.0,5038685,62180,10020022,417867,1237955.0,11918206,2014年12月31日,3477407,,,18873657,18873657,0,652071,13236658,24535385,,104877,,32637.0,8044726.0,,90970.0,914.0,1455900,11918206,,110256,,27468638.0,1016898,,46342295.0,46429,,1042098,660971,11951927,288581,0,14231980,21806910,805010,107229,131139.0,0
2015-05-08,1,2015,2031836.0,20711200,,,4582811,50000,3484311,3484311.0,290418,1681119,2348290,183103.0,53552,1219946,537676,18977,17796,5042021,5042021,0.0,5436310,95494,8655577,435782,,11918206,2015年03月31日,3930740,89751.0,1712.0,19199034,19199034,0,652071,13016437,25137002,1219946.0,101730,32637.0,,,9872101.0,,,1439800,11918206,47163258.0,122481,27964224.0,,1016898,47163258.0,,0,6804.0,1014574,625650,12713267,284002,0,14947787,22026256,746398,216901,133351.0,0
2015-08-06,2,2015,2204987.0,22047140,,,4345638,31300,5074894,,366687,1505684,2424071,87128.0,49024,1201605,468818,16794,18826,5801389,5801389,0.0,5783218,216274,9002692,444551,,11918206,2015年06月30日,3494902,141998.0,914.0,18786426,18786426,0,850736,15651154,25040639,1201605.0,106060,32637.0,,,8393605.0,,,1882460,11918206,48423464.0,124825,29637038.0,,1016898,48423464.0,,3414,0.0,1200207,729507,11584072,278637,0,13985884,23382825,949140,154561,131956.0,0
2015-11-05,3,2015,1964858.0,22916747,,,5299988,29700,5281162,,446080,1899917,2241411,125557.0,50941,1183315,507374,15773,22513,7175583,7175583,0.0,9022339,274099,11580767,353947,,11918206,2015年09月30日,4449252,177120.0,18.0,20135009,20135009,0,850736,18547538,29276424,1183315.0,108650,32793.0,,,8365930.0,,,1347670,11918206,53504774.0,170867,33369765.0,,1016898,53504774.0,,32870,,1356853,665879,12282059,287639,0,14822227,24228350,1270365,181449,150996.0,0
2016-03-17,4,2015,2373836.0,22703181,,,6210855,0,4698913,,877311,1633603,2655135,156983.0,59715,1100167,491847,13993,21184,6257246,6257246,0.0,7475735,21472,10166478,682836,,11918206,2015年12月31日,5360119,361742.0,30.0,20779562,20779562,0,850736,17478783,27551448,1100167.0,111906,32793.0,,,8487576.0,,,2067975,11918206,51512742.0,191773,30733180.0,,1016898,51512742.0,,6038,,1305490,654360,10848740,281037,0,13254397,23961294,987463,175633,124316.0,0
2016-05-06,1,2016,2073281.0,23138573,,,6472861,0,4667626,4667626.0,330248,1455654,2326347,127365.0,167946,976331,471682,11579,42981,5579721,5579721,0.0,6199957,79923,7911052,343162,,11918206,2016年03月31日,5622125,382559.0,31.0,20863619,20863619,0,850736,15904368,25786381,976331.0,118374,32793.0,,,10654799.0,,,2027655,11918206,50221942.0,220301,29358323.0,,1016898,50221942.0,,0,20454.0,1279722,706932,11197902,275437,0,13453955,24435561,746175,141685,125701.0,0
2016-08-05,2,2016,2149647.0,23134357,,,5304669,0,4959166,,367891,1168632,2376243,100672.0,18609,957479,574881,11131,45810,5919358,5919358,0.0,5590671,36513,8274220,153599,,11918206,2016年06月30日,4167217,243165.0,1107.0,19408405,19408405,0,1137452,15152590,22801897,957479.0,116791,32793.0,,,7272963.0,,,1710575,11918206,47411755.0,236257,28003350.0,,1016898,47411755.0,,0,21237.0,1196181,783829,10697100,266499,0,12850760,24609858,740120,251441,125924.0,0
