date,season,year,不動產及設備－淨額,保留盈餘合計,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,其他借款合計,其他權益合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,再保險合約資產－淨額,受限制資產－淨額,國外營運機構財務報表換算之兌換差額,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,庫藏股,待出售資產－淨額,待分配股票股利,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,特別股負債,現金及約當現金,現金流量避險中屬有效避險部分之避險工具利益（損失）,當期所得稅負債,當期所得稅資產合計,股本合計,與待出售資產直接相關之負債,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-28,1,2013,13080361,22257299,4999025.0,,71848332,2523578,3389615,11899437,8266647,46644202,37114297,,123127,-1609410,13329316,81403137,441600116,70238.0,1333356.0,,,30866783,11536997,51659718,88228338,3013849,2269391,,917125,98973355,2013年03月31日,15929540,,,,161423302.0,158220764,3612000,3646713,26142968,2681046,,28124392,,5333643.0,997604.0,98973355,0.0,,1529777,,668879979.0,379075292,33670733,,830303281.0,21922020,86426723,729669,896918,,29304723,1041424,3202538,0
2013-08-27,2,2013,12951938,18375035,5514832.0,,76568765,1995160,4076815,9353601,8512738,45394156,37666417,,202519,-1438017,18724111,79580846,450037768,0.0,1309054.0,,,30943037,14011149,57252418,94591399,3891560,2266618,,911527,98937235,2013年06月30日,11343177,,,,158048865.0,155025864,0,4259700,25931759,2772158,,24237628,,4732382.0,1237601.0,98937235,0.0,,1505687,,682185615.0,379284869,33636779,,840234480.0,26843393,87175697,772043,793550,,20620710,3119995,3023001,0
2013-11-26,3,2013,12664998,20743182,4641172.0,,43798799,876354,2909516,18948658,7754764,43478597,60553036,,142459,-1731656,8653408,87963966,466627862,0.0,1309054.0,,,30972023,9727874,61645809,97986451,3990003,7243154,,876997,98937235,2013年09月30日,13711324,,,,159340405.0,156224880,0,4259700,25702521,2772158,,20826472,,4497307.0,1238777.0,98937235,0.0,,1533562,,700104116.0,387542987,33634947,,859444521.0,29572777,95532261,906428,979079,,22663457,3338743,3115525,0
2014-03-25,4,2013,12417996,22685193,4691129.0,,43612700,1106179,3153871,13159292,6877941,41772374,60446473,,152682,-1537258,13072480,85619265,470505829,0.0,1309054.0,,,31002148,8509446,63540151,98302239,4222882,7204646,,805483,98937235,2013年12月31日,15653335,,,,161632463.0,158411246,0,4259700,25497006,2772158,,27229111,,4593107.0,1239819.0,98937235,0.0,,2157166,,703461593.0,397268743,33634947,,865094056.0,29582483,91573183,1020822,1064109,,23440116,250724,3221217,0
2014-05-27,1,2014,12178828,26292764,4743707.0,,97959482,1950252,3571658,10390292,9473620,41925962,70661634,474358.0,153183,-1172049,13189992,95977734,500432571,0.0,1282960.0,,0.0,31032463,17846526,58225401,105492575,4435779,34125031,,794325,98937235,2014年03月31日,19260906,,,,165787773.0,162436604,0,4259700,25377551,2772158,,26702618,,4517068.0,1454503.0,98937235,,,92809292,,838574253.0,407171270,33634947,,1004362026.0,32824212,108540464,1340325,1903228,,32089897,202883,3351169,0
2014-08-29,2,2014,13927374,25505354,4979130.0,,103442339,23270872,3423513,11509528,13212797,38578412,69555562,477597.0,2131466,-1555617,16575228,105813429,586586780,0.0,1305934.0,2473431.0,0.0,41817277,22789242,69343194,123237236,11227325,33460911,,2049060,98937235,2014年06月30日,19565227,,,,179569789.0,163974480,0,5030700,27758797,909427,,32447610,,4606747.0,1719947.0,101410666,,,96779592,,1026938035.0,421991298,33634947,,1206507824.0,58988947,227571493,1410105,3375853,,54682111,11801796,15595309,0
2014-11-25,3,2014,13717048,27679877,4398084.0,,103530969,16648845,2763397,17913151,13672702,39198906,70700541,352624.0,2251875,-1634687,9928156,99195038,535988869,0.0,1312507.0,,0.0,47744838,23386647,140594115,131519057,10911022,35696543,,2035691,101410666,2014年09月30日,21739750,,,,180559979.0,165488887,0,5030700,27372515,909427,,36993504,,3557859.0,2192650.0,101410666,,,102518116,,1071767294.0,432509867,33634947,,1252327273.0,65657570,255266998,1562303,3350057,,67067919,9746065,15071092,0
2015-03-30,4,2014,13379104,30134393,5409615.0,,114343183,9250609,4522016,12512579,16508415,40635589,75024970,368588.0,1837531,-887599,5681005,79474507,555769170,0.0,33096.0,,0.0,54683089,14825780,129540019,120659190,7976225,51295128,,1927479,101410666,2014年12月31日,24194266,,,,185053882.0,169715096,0,5030700,27042475,909427,,47061183,,3146491.0,1613255.0,101410666,,,104201853,,1106707510.0,451629582,33648021,,1291761392.0,85309269,260202179,1838207,3742095,,89313850,17643207,15338786,0
2015-05-26,1,2015,13665408,34196335,,6790326.0,120263553,17456283,5413306,15808040,15261862,43073894,84192884,358068.0,2359367,-1388119,4921545,84052767,587536953,,0.0,,0.0,54209030,36031777,144634181,156057359,7424073,59292280,11099.0,2140778,101410666,2015年03月31日,28256208,3660762.0,1755954.0,189600492.0,,174688516,0,5030700,26677037,909427,,42442407,0.0,,,101410666,,1411136604.0,105747990,1221536112.0,,458146816,33668209,1411136604.0,,88692616,307481774,1889976,3599005,,117873065,25965212,14911976,0
2015-08-26,2,2015,16300872,28502000,,6864516.0,127089122,20725440,5095758,11450966,18661257,48090463,98085005,281303.0,2183175,-1773435,26592272,79641610,599507774,,0.0,2738088.0,0.0,45829216,17946185,182214562,167552808,6738650,68129450,4677.0,1747184,104391517,2015年06月30日,15274864,3409110.0,1624732.0,191473977.0,,176292193,0,6677902,26512686,6549234,,36729476,0.0,,,107129605,,1473858895.0,110054704,1282384918.0,,475409993,35564830,1473858895.0,,92041694,323450682,1994671,3475319,,122527861,20245571,15181784,0
2015-11-25,3,2015,16290645,31321264,,7309933.0,132435200,25977054,6625480,13924026,20060266,53460373,110465082,334558.0,2725811,-754495,15682934,87761500,617435237,,0.0,,0.0,56097080,1067561,147649039,115396655,6561258,79429997,70042.0,1802320,107129605,2015年09月30日,18094128,3510650.0,1915888.0,195934227.0,,180675808,0,6677902,26360155,6549234,,44592451,0.0,,,107129605,,1493247378.0,118193707,1297313151.0,,484677549,35599459,1493247378.0,,102423001,334491438,2790757,4157254,,139101732,23789351,15258419,0
