date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期負債準備,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,2362.0,108741,111103,2632597,95760,1040614,,157261,157261,6354,,,379036,12620,786,,,,165709,78633,4576.0,4210,2139.0,3780126,0.0,,,0.0,262962,49934,318299,,680784,103894,161499.0,1092957.0,1726329,2013年03月31日,653747,,,3430456,3034849,0,230398,3784768,4914675,,156469,,217044.0,9945.0,4691.0,2537569,1726329,,,69762,39798.0,,5446981.0,267906,,8877437.0,0.0,63372,270736,62815,1185970,395607,1662213,3962762,57624,71918.0,255313,0
2013-08-09,2,2013,2372.0,163804,166176,2590677,95760,917037,,156974,105205,126,0.0,,318744,9061,1454,,,,162543,132035,3515.0,10,2134.0,3379587,0.0,0.0,,0.0,193608,99932,308204,51769.0,687246,43309,162533.0,1091969.0,1726329,2013年06月30日,523112,,,3293766,2911272,0,237456,3464471,4380920,,156469,,167280.0,6771.0,4691.0,2340795,1726329,0.0,,39443,42484.0,,5070984.0,267906,,8364750.0,0.0,25133,270243,73389,1131243,382494,1606513,3983830,72094,126386.0,143507,0
2013-11-13,3,2013,0.0,218866,218866,2583304,95760,883295,,109822,109822,215,0.0,,336861,9193,4739,1789.0,,2950.0,163602,163689,3197.0,10,2134.0,3449502,0.0,0.0,,0.0,240264,99954,256796,,711408,40744,163592.0,1090888.0,1726329,2013年09月30日,489370,,,3261261,2877517,0,237456,3658302,4465614,,156469,,127949.0,4210.0,4691.0,2598758,1726329,0.0,,6530,44817.0,,5213928.0,267893,,8475189.0,5107.0,38261,270691,75934,1076516,383744,1555626,4009575,88105,158358.0,108802,0
2014-03-21,4,2013,0.0,218679,218679,3634952,95760,922782,,177953,177953,288,,,439875,9065,14022,1090.0,,12932.0,157996,196770,1727.0,10,1504.0,1988409,0.0,,,0.0,255398,0,216252,,1115199,52193,157986.0,0.0,1726329,2013年12月31日,528857,,,3301118,2917403,0,237456,2563943,3347976,,156469,,131561.0,2719.0,4691.0,1452811,1726329,,,18935,29304.0,,4041984.0,268292,,7343102.0,0.0,753,268952,67644,1021789,383715,1478041,3995126,40860,193539.0,212131,0
2014-05-09,1,2014,0.0,218741,218741,3698480,95760,880588,,157045,157045,362,0.0,,333029,5034,28537,358.0,,28179.0,158460,106275,903.0,10,1174.0,1462684,0.0,,0.0,,280974,49903,221829,,1030328,52245,158450.0,0.0,1726329,2014年03月31日,486663,,,3258410,2875209,0,237456,2187025,2891154,,156469,285562.0,,2719.0,4693.0,1117909,1726329,,,23617,27911.0,,3609982.0,268292,,6868392.0,,1509,269524,76723,967062,383201,1422957,3977238,25234,104198.0,109254,0
2014-08-12,2,2014,0.0,218804,218804,3658761,95760,865579,,123345,123345,295,0.0,,310024,4598,13121,956.0,,12165.0,159523,208940,924.0,10,1174.0,1866359,0.0,,0.0,,289101,49905,260435,0.0,1068484,38060,159513.0,0.0,1726329,2014年06月30日,471654,,,3243537,2860200,0,237456,2691393,3256330,,156469,235896.0,,1481.0,25.0,1627241,1726329,,,16183,26009.0,,4060239.0,268292,,7303776.0,13678.0,731,270979,83985,912335,383337,1368846,4047446,33359,206842.0,86622,0
2014-11-07,3,2014,,218866,218866,3620005,95760,879594,,118307,118307,993,,,284891,4246,14665,1663.0,49252.0,13002.0,160803,277653,16.0,220,664.0,2240689,0.0,,0.0,,258491,49913,237576,,948114,42616,160583.0,0.0,1726329,2014年09月30日,485669,,,3261289,2874215,0,237456,3143431,3622765,,156469,273213.0,,1972.0,27.0,2143029,1726329,,,49252,2867.0,,4440653.0,268292,,7701942.0,0.0,19329,275944,85759,857608,387074,1297222,4079177,83119,276973.0,61779,0
2015-03-20,4,2014,,218679,218679,3898890,95760,768274,,217581,217581,1147,,,248966,3947,15347,1885.0,,13462.0,163622,81713,9120.0,10,664.0,2381291,0.0,,0.0,,317832,49976,140263,,988556,26789,163612.0,,1726329,2014年12月31日,374349,,,3151838,2762895,0,237456,3534114,3746585,,156469,211100.0,,2811.0,49.0,2518861,1726329,,,37824,2955.0,,4779513.0,268292,,7931351.0,,11490,275941,108403,802881,388943,1245399,4184766,110816,71929.0,26340,0
2015-05-08,1,2015,,218741,218741,3855690,95760,689563,,182108,182108,672,0.0,,253982,3947,14707,1343.0,,13364.0,164725,78486,8640.0,10,664.0,1587094,,,0.0,,320854,299614,58412,,1160954,31548,,,1726329,2015年03月31日,295638,3270.0,49.0,3073803,2684184,0,237456,2960729,3066570,164715.0,156469,,217195.0,,,1809105,1726329,,7223214.0,31531,364.0,4149411.0,,268292,7223214.0,,1853.0,758,275439,126708,748154,389619,1188682,4156644,53593,69182.0,31294,0
2015-08-12,2,2015,,255471,255471,3834428,95760,699705,,135193,135193,36615,0.0,0.0,272739,3953,11103,2950.0,,8153.0,165817,77869,8160.0,10,664.0,1490673,,,,,275747,249369,81073,,898816,34241,,,1726329,2015年06月30日,305780,1930.0,73.0,3082686,2694326,0,237456,2851939,3003382,165807.0,156469,,300402.0,,,1814329,1726329,,7139606.0,18361,0.0,4056920.0,,268292,7139606.0,,3198.0,740,272404,128167,766760,388360,1204981,4136224,230719,69045.0,13315,0
