date,season,year,上期損益,不動產及設備－淨額,保留盈餘合計,備供出售金融資產未實現損益,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,共同控制下前手權益,其他權益合計,其他權益－其他,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,國外營運機構財務報表換算之兌換差額,增資準備,央行及銀行同業存款合計,存放央行及拆借銀行同業合計,存款及匯款合計,庫藏股票,庫藏股票合計,待註銷股本股數,應付款項合計,應付金融債券合計,應收款項－淨額,投資性不動產投資－淨額,持有至到期日金融資產－淨額,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債合計,本期所得稅資產合計,本期損益,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債合計,當期所得稅資產合計,累積盈餘,累積虧損,股本合計,股本溢價,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,追溯適用及追溯重編之影響數,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,遞延所得稅負債合計,遞延所得稅資產合計,附買回票券及債券負債合計,附賣回票券及債券投資淨額,非控制權益合計,預收股本,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-10,1,2013,7532869.0,39625136,34092911,225834.0,,51694408,,181271,,1140843,967487,11866786,75492448,-44563,,207158882,716562940,2287644904,,0,,42733653,117580000,13089283,494106,14805848,,101342,66439340,2013年03月31日,14901841,,,2217816,,132452249.0,132277311,0,17881897,3733581,1309173,,57325671.0,977647.0,1178890.0,5151156,,66439340,31460632,,8772292,,2720937741.0,1823811030,31563789,103157,,2853389990.0,,3873704,53391800,3411744,1116020,35777286,,174938,,0
2013-08-28,2,2013,0.0,39576034,32239848,-157652.0,,51727879,,-164262,,1122550,600448,16548598,80346858,-6610,1993180.0,233447598,707394137,2263993836,,0,,42497409,99380000,13265521,490191,15250452,,98718,66439340,2013年06月30日,10788917,,,4351113,,132624000.0,132442731,0,20141758,3754224,1309173,,60711123.0,513670.0,1246978.0,6437804,0.0,68432520,31831468,,8785043,,2705702895.0,1812530379,31934625,103157,,2838326895.0,0.0,2774284,50149549,3357900,1184404,33282007,,181269,,0
2013-10-25,3,2013,,40011010,34403227,-816742.0,,53522886,,-843670,,1125576,815874,15760786,95981256,-26928,,241308964,693555582,2283982473,,0,,38037589,99380000,15548760,448236,14774807,,101453,68432520,2013年09月30日,12952444,,,6514492,,136245728.0,136057786,0,20141758,3765452,1309025,,39826515.0,411952.0,1246632.0,6437952,,68432520,33962552,,8791862,,2726771803.0,1850563395,34065709,103157,,2863017531.0,,2062546,51679144,3356501,1176529,32553554,,187942,,0
2014-03-28,4,2013,,38694337,36239090,-512493.0,,52973404,,-468463,,1103148,625365,19197898,105758143,44030,,240391110,705109511,2340266504,,0,,36100395,97880000,14163506,2090943,10466449,,106127,68432520,2013年12月31日,14788307,,,8022060,,139764273.0,139563888,0,20141758,3728060,1309025,,38414812.0,288778.0,1311307.0,6766247,,68432520,35257584,,8546352,,2781734358.0,1905323210,35360741,103157,,2921498631.0,,2178102,41638773,3415603,1094684,32366468,,200385,,0
2014-04-28,1,2014,8022060.0,38515816,38635442,-332750.0,,55620887,0.0,-195459,0.0,1532088,1101494,14348962,116026524,137291,,245334805,708206241,2383181553,0.0,0,0.0,33797735,97880000,13088528,2086862,14045492,,107701,68432520,2014年03月31日,17197551,,,2396352,,142438889.0,142233244,0,20141758,3755865,1296133,,37308280.0,379585.0,1296143.0,6779139,,68432520,35257584,,8503054,,2815802868.0,1923612204,35360741,103157,,2958241757.0,,2318914,40649082,3522658,1106417,25003514,1714221.0,205645,,0
2014-08-25,2,2014,0.0,38831565,35879191,-494761.0,,62119227,,-482701,,1394692,804312,12466780,126202674,12060,0.0,224854492,698975024,2397612232,,0,0.0,32604089,103380000,14643872,2091986,17810770,,106098,70432520,2014年06月30日,12034682,,,5240101,,143689832.0,143489751,0,22548376,3716513,1296133,,40068608.0,535410.0,1453086.0,6794581,0.0,70432520,37557584,,8498240,,2809975425.0,1897732652,37660741,103157,,2953665257.0,0.0,2291349,44820211,3372739,1181554,22965402,3107105.0,200081,,0
2014-10-27,3,2014,,38857933,38743687,-1341797.0,,66649408,,-1310337,,1306928,981698,13260612,128759118,31460,,225277385,643347054,2366027465,,0,0.0,37375924,96210000,13889424,2087841,19153564,,111099,70432520,2014年09月30日,14977676,,,8104597,,145721747.0,145526611,0,22548376,3712546,1217635,,38772900.0,307514.0,1454884.0,6873079,,70432520,37557584,,8815223,,2776507653.0,1923056654,37660741,103157,,2922229400.0,,3445032,39346148,3218285,1113840,21263285,935289.0,195136,,0
2015-03-23,4,2014,,39651685,40732387,-748495.0,,69774501,,-512882,,1170711,3771130,9061067,123253666,235613,,177020696,682506761,2397276471,,0,0.0,41744226,92110000,13113295,2083696,20049579,,115905,71362760,2014年12月31日,16966428,,,10127487,,150509893.0,150312781,0,22548376,3695854,1217583,,44118605.0,94645.0,1570953.0,6838941,,71362760,38627359,,8829110,,2760137601.0,1860345887,38730516,103157,,2910647494.0,,6082468,43669323,3568502,1074891,23179705,1851763.0,197112,,0
2015-04-27,1,2015,10128559.0,39646858,43309528,,-485283.0,78201371,0.0,-577009,0.0,1031466,1339735,10574083,113263858,-91726,,217931272,739602960,2394361910,0.0,0,0.0,32514650,88110000,14074559,2079551,25214448,,118918,81293000,2015年03月31日,19543569,671335.0,1556643.0,2579285,174661050.0,,174484511,0,22548376,3681017,1217583,42947845.0,,,,6835725,,81293000,50355835,2969947951.0,8732621,2795286901.0,,1855963257,50458992,103157,2969947951.0,,,16840796,48532939,3121606,1080877,21397162,2643115.0,176539,,0
2015-08-24,2,2015,0.0,39379646,39246661,,-617299.0,83660343,,-677750,,998331,1527525,6524147,101099110,-111260,,209798580,697634420,2417275093,,0,0.0,36200979,69610000,13907243,2176278,32443008,50809.0,116030,81293000,2015年06月30日,12442456,1116413.0,884867.0,5605418,170503710.0,,170320903,0,25586622,3636888,1217583,40762985.0,,,,6837038,0.0,81293000,50355835,2958698003.0,8612928,2788194293.0,,1894609445,50458992,103157,2958698003.0,,0.0,15308105,42869455,2962733,1133411,19786984,2857349.0,182807,,0
