date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,債券換股權利證書,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨（建設業適用）淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付建造合約款,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收房地款,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,,8335,102768,17693,4476,,70840,,,7688,-534,,,1665452,328709,719340,629.0,10222,,600.0,4561281,,0.0,,,,448933,,,0.0,82249,,318,40482.0,0.0,0.0,0.0,29.0,0.0,1335372,2013年03月31日,-40807,,1701221,1701221,0,56722,4630566,6193668,,18944,,107.0,,,1778.0,,859976.0,16730.0,2346362,-40807.0,1335372,,,4632716.0,348690,12422,336268.0,336268,,,,6333937.0,,,1521,0,2346362,,0.0,2150,140269,1336743,1336743,,0
2013-08-06,2,2013,,,12068,104170,84624,3272,,252160,,,50536,669,,,1619387,204134,459070,627.0,226294,226294.0,600.0,4585130,4585130.0,,66768.0,,671337.0,350486,,,0.0,94777,,375,36532.0,0.0,115.0,0.0,27.0,0.0,1335372,2013年06月30日,-22057,,1862624,1856126,0,105449,4075815,6228289,,18783,,31.0,,,1232.0,,1093228.0,75201.0,1679324,,1402140,,,4749126.0,368693,0,,348690,20003.0,,,6611750.0,4480.0,,1347,22146,1679324,,6498.0,673311,383461,1415253,1415253,,0
2013-11-11,3,2013,,,56832,102699,707278,491655,40881.0,94210,,,13480,-414,,,1152751,168576,536127,600.0,225870,225870.0,600.0,3767492,3767492.0,,0.0,,571315.0,507609,,,0.0,178635,,633,7025.0,0.0,550.0,0.0,0.0,0.0,1408239,2013年09月30日,600597,,2604278,2597986,0,105449,3451530,6225079,,18626,,31.0,,,1232.0,,1408086.0,99603.0,1417951,,1449120,,,4024828.0,442002,0,360133.0,425048,16954.0,64915.0,,6629106.0,771.0,,1383,0,1417951,,6292.0,573298,404027,984175,984175,,0
2014-03-04,4,2013,,,56184,103503,772518,1518,48505.0,48843,,,12852,253,,,1606704,124378,428226,0.0,10791,10791.0,0.0,6523009,6523009.0,,,,451223.0,439558,,,0.0,131280,,255,0.0,0.0,0.0,0.0,0.0,0.0,1449120,2013年12月31日,665837,,2786295,2786295,0,105449,4840710,7742799,,18470,,221368.0,146958.0,,1232.0,,555571.0,89188.0,2524904,,1497625,,,5293717.0,515899,12422,347711.0,490140,13337.0,142429.0,,8080012.0,233.0,,1784,1307,2524904,,0.0,453007,337213,1482326,1482326,,0
2014-05-14,1,2014,,,75437,105777,788075,1456,1839.0,41662,,,8740,2465,2465.0,2465.0,1837019,69975,484309,0.0,12711,12711.0,0.0,7003398,7003398.0,,,0.0,448380.0,471384,,,,149977,,122,0.0,,,,0.0,,1497625,2014年03月31日,681394,,2808723,2808723,0,105449,5527591,8429312,,18356,,256226.0,141876.0,,1232.0,675061.0,,96458.0,2929890,681394.0,1499464,,,5976269.0,518719,12422,347711.0,493098,13199.0,145387.0,,8784992.0,1201.0,,298,1523,2929890,,,448678,355680,1767044,1767044,,0
2014-08-12,2,2014,450186.0,450186.0,104120,103708,518664,1482,0.0,319094,,,86020,421,,,2616139,76255,529763,0.0,12396,12396.0,0.0,7604204,7604204.0,,0.0,0.0,0.0,455446,,,,155257,,684,0.0,,0.0,,0.0,,1499464,2014年06月30日,346632,,2551870,2551870,0,172032,6900469,9070442,,18201,,299190.0,141465.0,,0.0,547943.0,,27732.0,3324030,,1514066,,,6902038.0,518719,12422,347711.0,493098,13199.0,145387.0,,9453908.0,2771.0,1156.0,1569,3576,3324030,,0.0,1569,383466,2089698,2089698,14602.0,695345
2014-11-11,3,2014,452000.0,452000.0,115979,105606,506977,1614,0.0,112995,0.0,,6078,2454,,,2963806,83003,614116,0.0,12442,12442.0,0.0,8031432,8031432.0,,0.0,0.0,0.0,339866,,,0.0,144225,,723,0.0,0.0,0.0,0.0,0.0,0.0,1729464,2014年09月30日,334945,,3010614,3010614,0,172032,6870526,9483929,,18076,,328671.0,141355.0,,0.0,500115.0,,1035.0,3300654,,1729464,,,6872152.0,771719,12422,600711.0,746098,13199.0,145387.0,,9882766.0,7945.0,1180.0,1626,5379,3300654,,0.0,1626,398837,2428803,2428803,,0
2014-11-11,3,2015,458453.0,458453.0,131349,119630,1154106,515393,0.0,172482,0.0,,12052,5171,,,2527936,154419,511856,0.0,173569,17276.0,0.0,7436588,7436588.0,,0.0,0.0,0.0,342347,,2428.0,0.0,154145,,24,0.0,0.0,0.0,0.0,,0.0,1993471,2015年09月30日,942984,2187.0,3928110,3928110,0,211122,6215469,9701885,0.0,17926,555213.0,,,0.0,0.0,,669459.0,,3013944,,1993471,10145775.0,6217665.0,,775362,13377,603399.0,748786,13199.0,145387.0,10145775.0,,0.0,1300.0,2196,1416,3013944,156293.0,0.0,2196,443890,1915064,1915064,,0
2015-03-25,4,2014,453814.0,453814.0,125318,109813,893530,1882,0.0,135288,,,5588,6943,,,2691439,50712,690561,,12505,12505.0,,7523438,7523438.0,,,0.0,0.0,271844,,3205.0,,184412,,458,,,,,,,1729464,2014年12月31日,721498,,3402850,3402850,0,172032,6245521,9230070,,18004,,413851.0,151225.0,,0.0,592992.0,,25851.0,2927154,,1729464,,,6247506.0,772913,13377,600950.0,746337,13199.0,145387.0,,9650356.0,6328.0,1300.0,1985,3421,2927154,,0.0,1985,420286,2186913,2186913,,0
2015-03-25,4,2015,459832.0,459832.0,136655,119477,1274806,567906,0.0,196131,,,9323,8976,,,2625187,165518,438838,,167556,11831.0,,7704582,7704582.0,,,0.0,0.0,312546,,2085.0,,122150,,4480,,,,,,,2293471,2015年12月31日,1063684,2089.0,4375715,4375715,0,211122,6224568,10158777,,17966,545879.0,,,0.0,0.0,,886469.0,,2964380,,2293471,10601880.0,6226165.0,,798462,20764,619112.0,764499,13199.0,145387.0,10601880.0,,0.0,1300.0,1597,1449,2964380,155725.0,0.0,1597,443103,1999837,1999837,,0
