date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,催收款項,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,售氣及輸氣設備淨額,土地淨額,存入保證金,存出保證金,存貨合計,存貨－其他行業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期應收票據及款項淨額,長期遞延收入,長期預付租金,電腦軟體淨額,電腦通訊設備淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,3552662,233638,3069363,1243312,2347357,1210.0,589874,1094,1227932,512636,,100278,278,25951.0,14759.0,100000,629290,55998,54581,0.0,0,48499.0,1196800.0,2164777.0,309946,25710,160870,160870,17944,,421376,,0,473,760180,,6675,182715.0,97380.0,2340136,758948,5163580,2013年03月31日,923646,,,10364857,9481108,15493000,966308,1583845,4191535,,25951,1179409,,1435896.0,59486.0,230.0,0.0,5163580,,2409,,3185509.0,38177,,13550366.0,434501,8965.0,969965,45558,1210.0,80631,18319,0.0,69981.0,883749,1601664,9358831,48499,9342,,0
2013-08-08,2,2013,3616264,232974,2730962,1217247,2361417,1254.0,1131904,124624,1220856,515497,,100406,406,24535.0,13547.0,100000,706864,58209,49556,0.0,0,47590.0,1263759.0,2164777.0,315493,28485,155311,155311,17944,,306439,,0,552,593177,,204,179790.0,97027.0,2328527,724365,5163580,2013年06月30日,518699,,,10000811,9135631,15493000,1026804,2012269,4310751,,24535,1185459,,1482099.0,52877.0,253.0,5000.0,5163580,,2455,,3691553.0,38177,,13692364.0,589840,8336.0,969965,43975,1254.0,153372,17320,0.0,68818.0,865180,1679284,9381613,47590,2497,,0
2013-11-14,3,2013,3664475,216059,2990956,1542777,2396469,,612116,118,1220412,534097,,100838,838,,,100000,766132,61350,49484,,1297,45095.0,,,321620,29201,154326,154326,17944,,289929,5961.0,0,431,521671,8058.0,130,174321.0,,2316756,739904,5163580,2013年09月30日,778693,,,10276210,9401516,15493000,1026804,1546654,4110962,,23258,1185459,,1218149.0,29120.0,287.0,75000.0,5163580,,2501,,3285252.0,44512,,13561462.0,519513,,969965,44095,,208841,16321,,,874694,1738598,9450500,45095,2665,,0
2014-03-27,4,2013,3723776,216059,3090965,1156294,2361203,,629012,127,1228744,589181,,100194,194,,,100000,832420,61490,49315,,978,43014.0,,,328393,29858,149654,149654,17944,,472169,8093.0,20000,311,726520,14496.0,16909,178576.0,,2304332,759386,5163580,2013年12月31日,878702,,,10386672,9509857,15493000,1026804,1761364,4479041,,21830,1185459,,1900349.0,42598.0,327.0,0.0,5163580,,2319,,3566068.0,44512,,13952740.0,371157,,969965,37798,,263961,15322,,,876815,1804704,9473699,43014,3157,,0
2014-05-15,1,2014,3761934,216059,3182567,1131802,2364759,,583545,1278,1217825,569069,,100349,349,,,100000,901272,63458,46689,,1037,51514.0,,,337375,28997,140590,140590,17944,0.0,449775,2954.0,20000,191,789908,7002.0,15758,175247.0,,2292989,778463,5163580,2014年03月31日,970304,,,10474628,9590540,15493000,1026804,1685709,4515402,,20403,1185459,1704544.0,,60175.0,228.0,,5163580,,2362,,3559308.0,44512,,14033936.0,572429,,969965,37238,,325192,14323,,,884088,1873599,9518534,51514,2332,,0
2014-08-14,2,2014,3801506,205063,2918535,1156180,2372710,,1148546,169813,1270229,625203,,100853,853,,,100000,949571,63813,43174,,1184,55714.0,,,342068,26896,155150,155150,17944,0.0,328481,9673.0,0,1744,601057,10029.0,244,162666.0,,2281646,748943,5163580,2014年06月30日,637580,,,10282399,9385247,15493000,1089251,2161847,4855604,,19315,1191704,1829984.0,,48200.0,236.0,0.0,5163580,,2405,,4083788.0,50847,,14366187.0,776344,,969965,38226,,381024,13323,,,897152,1921941,9510583,55714,1771,,0
2014-11-13,3,2014,3849359,195664,3140082,1290703,2421133,,611110,123,1317845,658878,,100850,850,,,100000,1007670,64689,26740,,1270,69332.0,,,346312,11911,150439,150439,17944,0.0,289166,1779.0,30000,1132,528406,13615.0,7195,159730.0,,2270305,769925,5163580,2014年09月30日,859127,,,10578093,9654410,15493000,1089251,1722809,4698990,,17841,1191704,1512524.0,,30744.0,275.0,100000.0,5163580,,2449,,3702893.0,50847,,14280986.0,1025528,,969965,31029,,436939,12324,,,923683,1980084,9581996,69332,1235,,0
2015-03-19,4,2014,3883966,195019,3221476,1282174,2466633,,640108,7262,1295055,701130,,230396,396,,,230000,1071049,66004,25257,,870,47631.0,,,346074,11335,149029,149029,17944,0.0,431354,5416.0,30000,100,656554,22282.0,9613,171703.0,,2261010,780339,5163580,2014年12月31日,940521,,,10629665,9713014,15493000,1089251,1852145,4862985,,16992,1191704,1335651.0,,44037.0,384.0,,5163580,,2270,,3895429.0,50847,,14525094.0,1122009,,969965,32893,,487268,11325,,,916651,2043284,9662109,47631,1727,,0
2015-05-14,1,2015,3911743,195019,3321536,1119634,2593719,,581758,10814,1435543,724261,9382.0,280318,318,,,280000,1129919,67288,25097,,848,48741.0,,,347735,10594,152788,152788,17944,0.0,338550,1644.0,0,50,581580,9921.0,7873,,,2251235,812078,5163580,2015年03月31日,1040581,81311.0,187.0,10890874,9953562,15493000,1089251,1727574,4883056,170525.0,16123,1191704,,1810816.0,,,,5163580,14720642.0,2310,3829768.0,,50847,14720642.0,,860384,,969965,32572,,544371,10326,,,937312,2102194,9837586,48741,3329,714879.0,0
2015-08-13,2,2015,3953502,195019,2968894,1071583,2609467,,1120653,69870,1397185,713848,9294.0,600852,852,,,600000,1170354,67752,25197,,895,,,,351987,10605,149219,149219,17944,0.0,213368,2542.0,0,349,379370,6768.0,11809,,,2242376,774236,5163580,2015年06月30日,615698,55385.0,187.0,10510540,9568898,15493000,1154925,2106145,4912918,167962.0,14561,1198271,,1745520.0,,,,5163580,14759355.0,2351,4248815.0,,57183,14759355.0,,831056,,969965,32079,,582653,9326,,,941642,2142670,9846437,46684,4371,704554.0,0
2015-11-12,3,2015,3962653,195019,3214645,962655,2528369,,586528,108,1230862,713556,10638.0,600866,866,,,600000,1203904,68201,29431,,922,41678.0,,,354403,12217,160183,160183,17944,,204256,3554.0,0,262,348971,9884.0,73,,,2232604,789617,5163580,2015年09月30日,861449,52618.0,205.0,10596994,9648326,15493101,1154925,1560774,4549539,165482.0,13000,1198271,,1555342.0,,,0.0,5163580,14331637.0,0,3734643.0,,57183,14331637.0,,869574,,969965,31405,,615818,8327,,,948668,2173869,9782098,41678,7965,702918.0,0
2016-03-24,4,2015,4011204,195019,3296377,1009311,2530372,,617183,10917,1319594,714590,10122.0,770442,442,,,770000,1259684,70352,22809,,730,37260.0,,,359836,11137,163584,163584,17944,0.0,270374,3815.0,0,174,395972,8075.0,13494,,,2222922,815844,5163580,2015年12月31日,943181,70109.0,394.0,10763090,9818790,15493101,1154925,1726245,4876930,185177.0,11438,1198271,,1604295.0,,,50000.0,5163580,14721816.0,2832,3958726.0,,57183,14721816.0,,863186,,969965,35278,,644319,7328,,,944300,2232481,9844886,37260,3614,704468.0,0
2016-05-05,1,2016,4031674,195019,3380799,973819,2465699,,573467,9,1217863,684133,9500.0,770450,450,,,770000,1318091,71249,20485,,761,42773.0,,,359877,10436,155492,155492,17944,0.0,252476,309.0,0,87,420887,9021.0,4938,,,2213302,832365,5163580,2016年03月31日,1027603,104828.0,207.0,10731274,9801481,15493101,1154925,1615300,4834055,184233.0,9876,1198271,,1751296.0,,,0.0,5163580,14637509.0,2879,3906235.0,,57183,14637509.0,,705163,,969965,35034,,702732,6329,,,929793,2290935,9803454,42773,2959,674633.0,0
2016-08-11,2,2016,4070552,195019,3079950,1216089,2540867,,1121728,154098,1306936,664773,9224.0,570851,851,,,570000,1373595,73726,22197,,822,38865.0,,,361756,10675,150005,150005,17944,0.0,181494,2611.0,0,350,290110,9227.0,4084,,,2203674,791462,5163580,2016年06月30日,660172,60792.0,207.0,10541896,9596040,15493101,1215454,2031748,5053286,181920.0,8345,1204324,,1793495.0,,,0.0,5163580,14920130.0,2926,4378234.0,,63518,14920130.0,,826255,,969965,34728,,756193,5329,,,945856,2346486,9866844,38865,5371,655549.0,0
2016-11-10,3,2016,4106666,191915,3383373,1065066,2542251,,590546,977,1282273,669186,9834.0,576862,6862,,,570000,1409257,75158,20335,,806,36932.0,,,364206,10639,145842,145842,17944,,167952,2098.0,0,263,281243,12191.0,9,,,2194046,817381,5163580,2016年09月30日,963595,45818.0,207.0,10834645,9874800,15493101,1215454,1475863,4778826,179802.0,6834,1204324,,1865102.0,,,0.0,5163580,14692704.0,2974,3858059.0,,63518,14692704.0,,794395,,969965,34450,,790091,4330,,,959845,2382196,9913878,36932,4560,659352.0,0
