date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,備抵呆帳－其他應收款項,備抵呆帳－應收帳款、分期帳款及租賃款,備抵銷售退回及折讓,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動資產合計,商標權淨額,商譽,國外營運機構財務報表換算之兌換差額合計,土地淨額,存貨合計,存貨－買賣業淨額,專利權淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,採用權益法之投資淨額,普通股股本,會計項目,有待法律程序決定之短期負債準備,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計減損－房屋及建築,累計減損－投資性不動產－建築物,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行存款,銷貨退回及折讓之短期負債準備,長期借款合計,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,0,1294055,274680,159977,6224502,-97691,921364,,159764,473589,,2275317,,141755,,-466585,245258,245258,,28715,1411166,330778,96994,63288,139550,249401,-368894,589236,5904187,5904187,38579,,807986,,,,110872,2116873,2844276,16988,6647902,6014549,4026,85702,783168,374041,24344,30000,22196,3684162,6475803,2013年03月31日,161325,3682545,,,,13811790,13556480,38807000,2147688,8336367,16899895,474312,394269,,3851091.0,455180.0,137775.0,0,,3682545,1080388,381982,8852,27145,19000,6475803,,368857,,10483781.0,2130746,76799,125098,,182,1924012,1924012,4655,,24295571.0,13618,,59665,1,716298,659470,,,47555,1223250,18067,255310,2147414,7395676,701145.0,0
2013-08-13,2,2013,,0,1305289,269818,234681,5504795,-136792,860992,,158309,499530,,2900659,,443814,,-540345,191067,191067,,23499,1398767,341326,97720,69582,137087,250334,-403553,587809,6628995,6628995,37907,,807960,,,,111347,2591529,4024915,820,7061789,6403950,4362,72588,774486,376154,42245,30000,22196,3518306,6475803,2013年06月30日,162648,2464838,,,,13008827,12763785,38807000,2225584,10513786,18521760,469648,814373,,3816403.0,342833.0,157177.0,0,,2464838,1057441,390332,8951,8000,1000,6475803,,445634,,12774534.0,2131492,76799,126026,,0,1924012,1924012,4655,,25783361.0,16329,,111655,0,742121,725721,,,48305,1309560,20821,245042,2260748,7261601,882816.0,0
2013-11-12,3,2013,,0,1290806,182414,249009,5841680,-201531,799413,,167421,559144,,2845020,,382273,,-705174,117719,117719,,19393,1435925,345134,99685,67822,131485,247362,-503643,587803,6546270,6546270,37233,,796135,,,,111823,2491864,3750715,2173,7491771,6765206,4103,51609,763855,357869,42146,30000,22196,3597891,6475803,2013年09月30日,160218,2801723,,,,13182216,12951348,38807000,2225584,10127402,18494758,456351,814373,,3483211.0,427443.0,155280.0,0,,2801723,1090791,397986,9050,8000,1000,6475803,,460697,,12487053.0,2135174,76799,129459,,249,1924012,1924012,4655,,25669269.0,31771,,63923,0,716933,737668,,,51470,1431210,20878,230868,2359651,7174511,1042883.0,0
2014-03-06,4,2013,,119800,1313137,168402,221977,6188545,-214508,533870,,169936,399729,,2314330,,365493,,-651810,252931,133131,,16471,1492061,372737,98369,74876,143488,249590,-437302,587623,6046366,6046366,36560,,807960,,,,112302,2563256,3390235,4623,7254754,6685089,3486,51054,759257,352777,42047,30000,22196,3819591,6475803,2013年12月31日,71880,3148588,,,,13596350,13347713,38807000,2225584,9227389,17371622,467094,814373,,3275650.0,345939.0,194035.0,0,,3148588,1119324,398480,9149,8000,1000,6475803,,340958,,10861439.0,2143135,76799,129459,,8210,1924012,1924012,4655,,24457789.0,15117,,79540,0,654829,667150,,,47101,768550,20985,248637,1634050,7086167,670909.0,0
2014-05-13,1,2014,,234823,1320747,165495,215059,6250088,-115912,617400,,169340,373640,,2163146,,162483,,-371469,374160,139337,,13130,1460192,295063,100620,66175,146171,257709,-255557,586300,6163706,6163706,35887,,807960,,0.0,,0,2382369,3095147,3483,7014939,6471959,2085,71909,766241,355559,41948,30000,22196,3832977,6475803,2014年03月31日,73224,3210131,83825.0,,,13947538,13687379,38807000,2225584,9403821,17122931,472973,814373,3067838.0,,359745.0,235585.0,673150,,3210131,1165129,402682,9248,8000,1000,6475803,,335116,,10337087.0,2140917,76799,129459,,5992,1924012,1924012,4655,,24284625.0,17505,,68018,0,659146,643979,673150.0,,46833,173500,20076,260159,933266,7161694,879348.0,0
2014-08-12,2,2014,,232925,1328581,162175,211305,5558244,-177398,562499,,164716,328212,,2852148,,398689,,-583017,360921,127996,,10586,1471445,295725,101430,86149,143321,325493,-405619,586681,6364884,6364884,35214,,807960,121754.0,0.0,,0,2682459,3180713,4759,6815789,6322861,1860,112834,764901,330304,41849,30000,22196,3545393,6475803,2014年06月30日,71796,2453526,115871.0,,,13260374,12905742,38807000,2290345,10533738,17636827,660156,814373,3094210.0,,288655.0,221117.0,818000,,2453526,1175720,426597,9347,8000,1000,6597557,,329659,,11441169.0,2140918,76799,129459,,5993,1924012,1924012,4655,,24701543.0,16424,,57438,0,658001,677914,818000.0,,46558,148000,145542,354632,907431,7064716,1062934.0,0
2014-11-12,3,2014,,113750,1313380,157637,206240,5259645,-284361,461733,,163930,365489,,2831865,,148645,,-762128,255121,141371,,10180,1466851,272096,103048,80676,145816,328031,-477767,583147,6469000,6469000,34541,,483774,0.0,0.0,,0,2917219,3095422,3382,7012494,6483075,1927,59568,800619,362124,41750,30000,22196,3602707,6477557,2014年09月30日,73046,2317490,96013.0,,,12962052,12596565,26807000,2290345,10429630,17247445,663550,651810,2749067.0,,297132.0,263257.0,677924,,2317490,1194755,430495,9446,8000,1000,6477557,,326083,,11327873.0,2105265,76799,129459,,5993,1888359,1888359,4655,,24289925.0,25482,,108917,0,672695,721047,677924.0,,46797,122500,144982,365487,898243,7042480,963989.0,0
2015-03-12,4,2014,,211237,1334928,141472,193967,5266149,-292793,451329,,179427,380474,,2064655,,183151,,-553967,405945,194708,,10068,1577638,306693,120366,279906,152188,339223,-261174,576716,6663463,6663463,33868,14925.0,483774,,0.0,,0,2922239,3101140,2176,7132486,6572585,1361,71733,791689,347008,41651,30000,22196,3671905,6477557,2014年12月31日,76238,2323994,104511.0,,,13201632,12828488,26807000,2290345,11617878,18224995,680819,651810,3613497.0,,282407.0,189860.0,2513548,1296434.0,2323994,1270945,436681,9545,8000,1000,6477557,,318181,,12330526.0,2122523,227982,0,,1527,1888359,1888359,4655,,25532158.0,7587,,66428,0,592282,705153,,2302138.0,47976,0,145472,373144,712648,7307163,862917.0,0
2015-05-14,1,2015,,71500,1299126,138896,177495,5033890,-314933,435180,,168373,358801,,1886462,,160922,,-1099133,261595,190095,,16244,1481820,281165,127747,248323,150439,335767,-784200,575848,5863970,5863970,33196,14902.0,483774,,0.0,,0,2143891,2456042,2242,6126231,5599057,9657,102326,805125,356191,41552,30000,22196,3715454,6477557,2015年03月31日,75362,2091735,85922.0,290227.0,202523.0,12430647,12051042,26807000,2290345,9190880,15008350,673887,651810,,2027178.0,,,1838609,215070.0,2091735,1200655,440934,9644,8000,1000,6477557,22320230.0,298214,9889583.0,,2122502,232637,0,,1506,1888359,1888359,0,22320230.0,,13598,,32153,0,570956,759462,,1797206.0,45357,0,138241,379605,698703,7311880,1010564.0,0
2015-08-13,2,2015,,0,1282810,133860,174705,4736034,-428968,332681,,159405,309697,,1874279,,352967,,-1220396,151520,151520,,17177,1492157,258264,118888,214887,148854,331410,-791428,576557,6093401,6093401,32522,17400.0,483774,310474.0,0.0,,1116224,2355788,2624037,1591,5955152,5486050,9961,62263,803417,350393,41453,30000,22196,3320555,6477557,2015年06月30日,74568,1885567,97596.0,302975.0,209273.0,12162728,11787014,26807000,2296499,8448504,15719641,663356,553968,,2507451.0,,,814350,86955.0,1885567,1233893,445024,9743,8000,1000,6788031,22483227.0,293216,10320499.0,,1967119,232637,0,,1360,1733122,1733122,0,22483227.0,,30748,81854.0,12362,1195,555029,772789,814350.0,2403096.0,43943,0,133393,375714,1871995,6763586,985913.0,0
