date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,留抵稅額,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銷貨退回及折讓之短期負債準備,長期借款合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,1897212.0,1897212,20305368,37023,-5693886,,,2179833,155827,399596.0,207009,175065,-5480,2148943,251731,115534,39234,76300,91202,42733.0,,869359,0.0,,,1563346,0,579464.0,121172.0,1780237.0,1458711,63420,45388.0,8839508,2013年03月31日,-5738704,,4597905,4583198,0,44818,8617709,3854259,29164,,,949672.0,5379.0,1827814,8839508,,,40800.0,,20388998.0,1443056,,,,24986903.0,510.0,10110,766,624499,40800.0,11770523,30245.0,,14707.0,11771289,21132644,5379.0,18224.0,0
2013-08-09,2,2013,2697517.0,2697517,19721839,37023,-5336056,,,2086146,693668,504524.0,171975,322074,3692,2962621,265104,185009,58709,126300,80182,31086.0,,776407,,,,1313527,1962,299923.0,106651.0,1581622.0,1788370,80211,36496.0,8839508,2013年06月30日,-5380874,,4961128,4947111,0,44818,9151526,4559309,26945,,,1214231.0,10932.0,1560196,8839508,,,126701.0,,20125165.0,1439967,,,,25086293.0,131.0,10100,766,624499,126701.0,10972873,30781.0,,14017.0,10973639,20526984,10932.0,18315.0,0
2013-11-06,3,2013,3395033.0,3395033,19106226,37023,-5066880,,,2206329,429112,425057.0,244107,344368,516,3918888,523855,145319,18237,127082,47585,29177.0,,622661,,338596.0,,928891,148,299981.0,3356.0,1781272.0,1252128,28045,27787.0,8839508,2013年09月30日,-5111698,,5228733,5215288,0,44818,9866507,4868146,112752,,,1837894.0,43465.0,1891533,8839508,14620.0,,173649.0,,19595285.0,1442144,,,,24824018.0,0.0,11563,766,624499,173649.0,9728012,0.0,,13445.0,9728778,19955872,43465.0,18408.0,0
2014-03-13,4,2013,3945583.0,3945583,13558851,37023,-5447731,,,2210464,436715,580469.0,168357,52582,-11542,5656232,1710649,1801455,34915,1766540,58269,27281.0,,457084,,4784479.0,,542541,578,299903.0,0.0,1629995.0,787370,23408,0.0,8839508,2013年12月31日,-5492549,,4821009,4821009,0,44818,10800137,9437085,87470,,,1362350.0,0.0,1453708,8839508,,,199996.0,,18983673.0,1440774,,,,23804682.0,0.0,0,3419,625984,199996.0,8180117,0.0,,0.0,8183536,14367597,0.0,30988.0,0
2014-05-09,1,2014,2997678.0,2997678,13215977,37023,-5147570,,,1597105,133990,285845.0,52680,385496,57,3031995,34317,97463,8320,89143,56308,25209.0,,392123,,864237.0,0.0,455180,0,0.0,0.0,1311260.0,425833,78314,0.0,8839508,2014年03月31日,-5192388,,5132769,5132769,0,44818,5530988,3835263,98783,,1529735.0,,9382.0,141069,8839508,,,171649.0,,12736569.0,1440774,,,,17869338.0,0.0,0,3419,625984,171649.0,7202162,0.0,98783.0,0.0,7205581,14034075,9382.0,31099.0,0
2014-08-12,2,2014,2995893.0,2995893,12828033,186998,-4998283,,30625.0,1377244,198239,217861.0,33377,446538,5682,3035884,39991,93889,5869,88020,48365,17155.0,,403628,,866646.0,0.0,317089,14775,0.0,0.0,1159383.0,351169,56521,0.0,8839508,2014年06月30日,-5043101,,5287681,5287681,0,44818,5839893,3723270,93825,,1471365.0,,0.0,791804,8839508,,,104858.0,,12250000.0,1440774,,,,17537681.0,0.0,137,4000,626565,104858.0,6406107,0.0,93825.0,0.0,6410107,13814411,0.0,31210.0,0
2014-10-30,3,2014,2996383.0,2996383,12473017,186998,-4889585,,20375.0,1318295,158410,201041.0,25002,143749,-4568,3021784,25401,141753,29653,112100,46426,15103.0,,296196,,825684.0,0.0,245252,14670,0.0,0.0,1117254.0,595378,11650,0.0,11656408,2014年09月30日,-4934403,,7386128,7386128,0,44818,5286618,4658544,85430,,2614208.0,,4924.0,446754,11656408,0.0,,80404.0,,10698395.0,623873,,,,18084523.0,1049.0,0,4000,613733,80404.0,5407777,,85430.0,0.0,5411777,13425979,4924.0,31323.0,0
2015-03-10,4,2014,,2991360,11982511,186998,-4849180,-2951.0,22049.0,1122043,354630,,25029,240290,-2894,2996116,4756,1347591,39384,1308207,70502,,57.0,272200,,732072.0,0.0,442426,13817,0.0,,,546301,1403,,11656408,2014年12月31日,-4893998,,7428207,7428207,0,44818,5140669,4244909,71350,,1079876.0,,,140166,11656408,,,71471.0,,9763264.0,623873,74731.0,549142.0,,17191471.0,,147,7635,613152,,4614960,,,0.0,4622595,12946562,,,0
2015-04-22,1,2015,,2991360,11670519,181771,-4712258,-5906.0,19094.0,1010116,393943,,28213,28087,-5849,3006106,14746,554121,35354,518767,68989,,57.0,303324,,625543.0,0.0,228133,49508,0.0,,,451943,1743,,11656408,2015年03月31日,-4757076,,7562174,7562174,0,44818,4959248,3829210,63442,,,1836236.0,,200000,11656408,,16446177.0,71415.0,8884003.0,,623873,74731.0,549142.0,16446177.0,,27.0,0,7635,613152,,3917120,,,,3924755,12616967,,,0
2015-08-05,2,2015,,4711360,11332122,181771,-4819414,-10087.0,14913.0,891301,69472,,29514,34432,-10030,4728915,17555,102924,23606,79318,66990,,57.0,161408,,594553.0,0.0,185786,59557,0.0,,,363906,2259,,11656408,2015年06月30日,-4864232,,7450837,7450837,0,44818,6164568,2760696,52676,,,1471700.0,,229537,11656408,,15022320.0,0.0,7571483.0,,623873,74731.0,549142.0,15022320.0,,,0,7635,613152,,1399280,,,,1406915,12261624,,,0
