date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,13895693,230340,1699753,30274.0,,68395,1000801,81875,257450,25288,488889,1908880,781755,452495,2048840,458615.0,4807883,104919,,,,2672198,50725,224282,5157,3561938,2700587,460634,,12740,1044811,8694718,2013年03月31日,1299851,,15854208,10842789,12706589,384245,14548210,22207852,331881,15657,,8023272.0,114024.0,8488663,8694718,,,,,24059464.0,64348,27648.0,,,36700.0,,,,,39913672.0,1605,35522,3094,73120,9055665,5011419,9511254,17705820,1553523,0
2013-08-13,2,2013,14777263,230521,1213026,27553.0,,65684,1232951,28761,240939,30095,605245,1433761,780113,464746,2166777,577692.0,4785621,104919,,434736.0,,2593206,2861,324242,160214,2906154,2351609,431950,,12681,1056278,8694718,2013年06月30日,751133,,15984272,10907159,12706589,446236,13609989,20526018,326325,15657,,7144919.0,55282.0,7777715,9129454,,,,,23251099.0,64353,27653.0,,,36700.0,,,,,39235371.0,996,100525,4494,73824,9171870,5077113,9641110,18709353,1754093,0
2013-11-12,3,2013,15035853,229356,1360013,30258.0,,67991,1533333,44685,219853,28399,518203,1820721,936343,427931,2144780,487945.0,5847900,104919,,,,2681051,5438,424185,3110,2986258,1932612,392311,,12622,1040576,9129454,2013年09月30日,898120,,16044171,10979763,13342,446236,13613526,20248254,321800,15657,,5947184.0,87256.0,7013023,9129454,,,,,23130811.0,77012,40133.0,,,36700.0,179.0,,,,39174982.0,724,101116,2873,73750,9086481,5064408,9517285,18926728,1856278,0
2014-03-28,4,2013,15551985,190936,1457418,27760.0,,61745,1693594,372700,179243,123250,649912,2262283,1384099,413293,2268464,622152.0,5996000,104919,,,,2448742,4979,424135,33355,3259694,1872096,368704,,12563,1107867,9129454,2013年12月31日,995525,,16276990,11209434,13341918,446236,15598476,21197326,320662,15657,,6139908.0,151907.0,8205447,9129454,,,,,24546424.0,77569,40674.0,8.0,,36700.0,187.0,,,,40823414.0,1334,180521,2947,111866,8531708,5067556,8947948,19626088,1693811,0
2014-05-14,1,2014,15870940,191427,1567017,27743.0,,62396,1434504,548466,198801,107516,638037,2319333,2098338,409325,1694549,610294.0,7179619,104919,,,0.0,1939943,3283,224244,2732,3958063,1035703,471073,,12504,1178999,9129454,2014年03月31日,1105124,,16227727,11272490,13341918,446236,16503251,22196504,319479,15657,4920602.0,,124762.0,9905049,9129454,,,,,25409115.0,42901,,0.0,0.0,36700.0,6193.0,8.0,0.0,,41636842.0,935,30533,2679,110044,8493860,4955237,8905864,19440338,2196256,0
2014-08-13,2,2014,15944727,190981,1055753,27490.0,,61804,1500300,634386,234915,6327,501525,2935192,2289331,421945,1950854,474035.0,7768137,104919,,456473.0,0.0,2161454,1653,324244,2535,3603652,1028098,496273,,12446,1196125,9129454,2014年06月30日,546126,,15884882,11081187,13341918,493970,19098144,23021806,317683,15657,5642254.0,,53664.0,11484716,9585927,,,,,26921974.0,42901,,,,,,,,,42806856.0,0,30778,1665,110430,7400220,4803695,7823830,19785050,1922041,0
2014-11-13,3,2014,16563717,190648,1034434,31123.0,,65617,1391999,561684,222992,29431,707640,3491931,2467933,457892,2356421,676517.0,7566759,97510,,,0.0,3406906,9450,424209,4155,3546271,2022027,493026,,12387,1187734,9585927,2014年09月30日,524807,,16085559,11276334,13116514,493970,21296087,23846050,342794,15657,5329083.0,,44123.0,11960785,9585927,,,,,28592374.0,45843,,,,,,,,,44677933.0,845,130532,1494,112565,6836901,4809225,7296287,20831883,2037996,0
2015-03-30,4,2014,16605018,177534,606107,26999.0,,59203,1649623,876621,221078,55114,931207,3930168,3742894,450751,2257444,904208.0,6154516,144781,,,0.0,3633270,7682,424234,3147,3966237,2162349,432196,,12327,1473690,9585927,2014年12月31日,96480,,15323856,11024303,17884513,493970,25199897,26283684,501799,15657,7347539.0,,59380.0,14485406,9585927,,,128172.0,,32223315.0,45843,,,,,,,,,47547171.0,2194,30514,4683,176472,6567984,4299553,7023418,21263487,2171247,0
2015-05-15,1,2015,13781017,177429,607271,,,65796,1406285,903311,200733,263461,854667,3993357,1763729,486985,2188606,,5026183,144781,6318860.0,,0.0,2524169,1574,324234,2229,3010988,1659697,299067,,12268,1381751,9585927,2015年03月31日,97644,60981.0,15135575,10948927,17884513,493970,24400669,25941210,496811,15657,,6051599.0,,8954673,9585927,6101520.0,44245331.0,128172.0,29109756.0,,45843,,,,,,,,44245331.0,,164,30508,2202,200443,4219900,4186648,4709087,18304121,1316385,0
2015-08-14,2,2015,13563147,177297,815903,,,58569,1641430,1047260,269267,396000,661866,3777081,2140587,482936,2144355,,5425875,144781,67384.0,0.0,0.0,2558059,186716,0,2281,2936672,1696912,256216,,12210,1380484,9585927,2015年06月30日,306276,59722.0,14912963,10964758,17884513,493970,18195259,19098957,491242,15657,,4126051.0,,8533029,9585927,261475.0,37152352.0,128172.0,22239389.0,,45843,,,,,,,,37152352.0,,34,103461,1288,226091,3559906,3948205,4044130,18053395,1680532,0
