date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付租賃款－非流動,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,1276132,12614715,339954,7299163,22597,787649,,-57355,1363779,87647,241110,650697,,2419924,110117,15713.0,300.0,16310,4038427,,,1605317,62348,12081,436188,,4274404,26020,143854,21468,214209.0,3369,84944,2464280,2013年03月31日,6213150,,10471212,10014718,0,953150,8732420,9565933,,15713.0,132863,,819667.0,424781.0,4474984,2464280,,,14793705.0,308630,308630.0,,25264917.0,1481,983,151287,197768,5259301,436188,,456494,6061285,15698984,2293497,0
2013-08-07,2,2013,1029697,12653412,339954,6995127,15060,1535312,869957.0,-33950,1137010,107313,176381,645403,,2332819,82326,15713.0,300.0,18760,4221881,73928.0,,1595435,107433,12449,430887,665355.0,3805394,20336,155389,17795,214216.0,3369,88018,2464280,2013年06月30日,5678209,,10237610,9808015,0,1153469,9108328,9633207,,15713.0,163449,,1235275.0,200178.0,4519794,2538208,,,15018113.0,308630,308630.0,,25255723.0,717,756,153456,174171,5110926,430887,,429595,5909785,15622516,2231733,0
2013-11-13,3,2013,951109,13273548,345054,7633647,15,844078,844078.0,-24362,1061018,109909,239553,640055,,2564713,235875,18407.0,300.0,26071,4010494,,,1396449,74361,11505,425540,,4086457,25480,152331,12347,214215.0,3369,94247,2538208,2013年09月30日,6316729,,11052711,10456123,0,1153469,9042593,9700392,,18407.0,163449,,1173432.0,214015.0,5440010,2538208,,,15111823.0,308630,308630.0,,26164534.0,1157,298,150514,164789,5278661,425540,,596588,6069230,16464142,2302767,0
2014-03-28,4,2013,1252797,13902937,360954,8382764,16,1029653,1029653.0,2154,1371561,118764,477433,634315,,2597674,38016,18496.0,300.0,222087,3960986,,,1868197,90075,20518,420165,,4656896,0,141709,69275,213850.0,3369,99181,2538208,2013年12月31日,7065846,,11795598,11231756,0,1153469,9818585,10491972,,18496.0,163449,,1185673.0,315136.0,5120653,2538208,,,15815390.0,308630,308630.0,,27610988.0,2792,0,151754,136389,5210736,420165,,563842,5996805,17119016,2337571,0
2014-04-30,1,2014,1481043,13848946,360954,8917002,17,975117,975117.0,32748,1599065,118022,465789,628922,,2721495,79531,,300.0,299058,4315331,,0.0,1915555,88761,6483,414751,,5019953,24753,128876,56325,213871.0,3258,103732,2538208,2014年03月31日,7600084,,12489126,11796588,0,1153469,10745724,11793347,,,163449,1782238.0,,384484.0,5775249,2538208,,,16459904.0,308630,308630.0,,28949030.0,1010,82,163118,117281,4922140,414751,,692538,5714180,17155683,2342906,0
2014-08-11,2,2014,1132847,13825449,360954,8483927,17,1838430,1153114.0,2830,1292371,159524,601426,623457,,2886828,174385,,300.0,226148,4454622,76146.0,0.0,1901422,127825,7509,409294,685316.0,4825493,26991,157163,5644,213863.0,3258,103527,2538208,2014年06月30日,7128300,,12064083,11409741,0,1355627,11075553,12318328,,,0,2246912.0,,347540.0,5560430,2614354,,,17559399.0,308630,308630.0,,29623482.0,26,77,151486,125121,5708903,409294,,654342,6483846,17305154,2486295,0
2014-11-06,3,2014,1135836,13753892,360954,9244344,16,1241980,1241980.0,-41789,1275625,139789,747468,617991,,2867648,169552,,300.0,36223,4089831,,0.0,1843798,120207,10632,403787,,5025540,28426,219643,14272,213904.0,3258,103858,2614354,2014年09月30日,7888717,,12746174,12125539,0,1355627,9711959,12295650,,,0,2169402.0,,317119.0,4894574,2614354,,,16777188.0,308630,308630.0,,29523362.0,8024,1068,163384,138086,6283854,403787,92856.0,620635,7065229,17227712,2569017,0
2015-03-23,4,2014,1360209,15258375,351754,10019718,16,1355434,1355434.0,-14561,1496259,136050,801521,613541,,1490624,212331,,300.0,35994,4066870,,0.0,2146987,110862,10060,393494,,5450013,12802,203939,7177,219747.0,3258,104990,2614354,2014年12月31日,8664091,,13672285,12928141,0,1355627,10012064,13002432,,,0,2460006.0,,480707.0,4398088,2614354,,,16693155.0,308630,308630.0,,30365440.0,13667,104,180389,153991,5887161,393494,98207.0,744144,6681091,17363008,1144092,0
2015-05-11,1,2015,1259135,15323465,351754,10535208,17,1087129,1087129.0,-157934,1381555,122420,862508,607973,,1495407,220592,,300.0,38768,4412024,,,2315895,105410,18082,387884,,5544983,26259,181730,234,,3146,359511,2614354,2015年03月31日,9179581,458344.0,13988254,13300258,0,1355627,10334185,13076796,219789.0,,0,,2042348.0,,4967382,2614354,30794105.0,16805851.0,,308630,308630.0,30794105.0,,388,6710,144349,184009,5719344,387884,96702.0,687996,6471666,17717309,1139345,0
2015-08-11,2,2015,1234883,15553178,342246,10047863,17,2049410,1212817.0,-151693,1401681,166798,810794,604977,2962.0,1802382,263411,170228.0,,41857,4968668,78431.0,,2619953,117151,7099,382230,836593.0,5796591,23961,297138,1257,,3146,108665,2614354,2015年06月30日,8437184,312435.0,13906832,12900450,0,1596118,11397651,14095142,219785.0,170228.0,14561,,2196733.0,,4886510,2692785,32269982.0,18363150.0,,311495,,32269982.0,,3412,0,172478,194978,6188044,382230,94848.0,1006382,6965499,18174840,1402266,0
