date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債評價調整－流動,員工福利負債準備－流動,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,暫付款,會計項目,有待法律程序決定之短期負債準備,有待法律程序決定之長期負債準備,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,銷貨退回及折讓之短期負債準備,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,1986430,34944,3183834,2408.0,10699,0.0,439525.0,,105061,18603,15086,,1433180,35220,1397960,,1099,275010,183604.0,2693.0,,,16195.0,13051.0,988126,988126,0,,926678,8536,2837375,8923,,37611.0,934779,,2013年03月31日,,,2772146,,,6455127,6442380,0,411688.0,2917031,7032835,21540,0.0,,1455260.0,257721.0,42388.0,1232752,934779,,34040,82576,,3006362.0,2305164,4706.0,22690.0,,2277768.0,,9461489.0,,2693.0,4218.0,,5656,73119,,72084.0,12747,89331,2428654,147605,6271.0,0
2013-08-12,2,2013,1973100,25534,2890963,1093.0,9384,0.0,900051.0,,87734,89926,14799,,1655429,47372,1608057,,1430,279704,175087.0,793.0,,61410.0,88833.0,13689.0,919893,919893,0,,868835,9134,2606016,7743,,42920.0,934779,,2013年06月30日,,21500.0,2384462,,,6301375,6266215,0,506501.0,3054169,7030311,20015,0.0,,1547708.0,137705.0,42785.0,1098536,934779,,24316,82910,,3140685.0,2350547,4706.0,68073.0,2277768.0,2277768.0,,9442060.0,0.0,793.0,5902.0,0.0,2176,70476,24316.0,72446.0,35160,86516,2411749,147717,18482.0,0
2013-11-11,3,2013,1895375,25534,2981960,1779.0,10070,0.0,,557207.0,100388,44558,49599,,1561037,31884,1529153,,1390,329145,209569.0,0.0,,61738.0,42779.0,17980.0,981415,981415,0,,1185203,8308,2916122,7041,,39766.0,934779,,2013年09月30日,,21500.0,2475459,,,6342953,6312688,0,506501.0,3096849,7140958,17582,0.0,,1417939.0,87798.0,42390.0,1184362,934779,,24372,83238,,3181477.0,2351391,4706.0,68917.0,2277768.0,2277768.0,,9524430.0,,0.0,12176.0,,0,76070,24372.0,71384.0,30265,84628,2383472,92380,30212.0,0
2014-03-25,4,2013,1929689,25534,3310821,,13606,0.0,578705.0,,63446,115250,8190,8190.0,1995902,58859,1937043,,1300,327666,,,,,,,1156186,1156186,0,,1373062,12073,3272369,6155,,36912.0,934779,,2013年12月31日,,,3310821,,,6762171,6713335,0,,3189499,7617603,15901,,,1006366.0,128649.0,1741.0,1058457,934779,,30363,78797,,3272593.0,2352485,,,,,,10034764.0,,0.0,11363.0,,2997,81459,,,48836,83094,2417161,90469,,0
2014-05-08,1,2014,1915985,25534,3599271,9169.0,16966,,534700.0,,65099,185618,34511,,1175868,80871,1094997,,1414,317351,215899.0,604.0,0.0,57903.0,176449.0,19963.0,1332315,1332315,0,0.0,1319409,10418,2993924,4830,,33825.0,934779,0.0,2014年03月31日,0.0,21500.0,3092770,,,7125001,7074939,0,506501.0,2848988,7678291,14682,,1950532.0,,161318.0,1753.0,754873,934779,,33155,79403,,2936631.0,2355271,4706.0,72797.0,2277768.0,2277768.0,,10061632.0,,604.0,0.0,,6826,75964,33155.0,72646.0,50062,87643,2383341,137004,8843.0,0
2014-08-08,2,2014,1893107,25534,3452763,10193.0,17990,,,901660.0,93220,86481,11425,,1358918,79989,1278929,,1362,300245,194617.0,0.0,,58358.0,76288.0,19679.0,1332935,1332935,0,0.0,1228665,13041,2853967,4556,,32035.0,934779,,2014年06月30日,,21500.0,2873727,,,6877029,6829402,0,579036.0,3145967,7757585,12184,,1941900.0,,162300.0,1759.0,800327,934779,,28549,79858,,3227187.0,2355379,4706.0,72905.0,2277768.0,2277768.0,,10104216.0,,0.0,0.0,,0,83526,28549.0,70792.0,47627,81220,2346631,152340,15157.0,0
2014-11-10,3,2014,1969124,54442,3759455,8013.0,15811,,,606374.0,117480,183509,3808,,1737159,38605,1698554,,1313,334033,219803.0,0.0,,58224.0,175496.0,19582.0,1276596,1276596,0,0.0,1271598,13855,3075100,3496,,3082.0,934779,,2014年09月30日,,21500.0,3180419,,,7281253,7233109,0,579036.0,2791443,7706831,11722,,1359404.0,,92737.0,3265.0,766896,934779,,36175,79724,,2874457.0,2355366,4706.0,72892.0,2277768.0,2277768.0,,10155710.0,,0.0,0.0,,1977,76476,36175.0,71692.0,48144,83014,2448879,118520,22956.0,0
2015-03-20,4,2014,2271665,54442,4060365,3586.0,8984,,574857.0,,198302,418242,17556,,1762877,37026,1725851,,1234,378412,,,,,414656.0,,1192220,1192220,0,0.0,1212585,13578,3014937,9645,,3065.0,934779,,2014年12月31日,,,3481329,,,7836479,7775702,0,579036.0,2579020,7670116,11414,,1395851.0,,132144.0,829.0,591364,934779,,36936,78767,,2663627.0,2362316,,,,,,10500106.0,,,0.0,,4606,110992,36936.0,,60777,84607,2829990,86471,,0
2015-05-11,1,2015,2297284,54442,4246096,3392.0,8789,,548571.0,,187720,340429,20829,,1923247,29053,1894194,,1201,460286,,,,,337037.0,,1193112,1193112,0,0.0,1170355,8546,2819788,7935,,2606.0,934779,,2015年03月31日,,,3667060,161376.0,118.0,7941135,7883620,0,579036.0,2829526,7918409,8694,,,1671441.0,,,872977,934779,10852356.0,46872,79125,2911221.0,,2362316,,,,,10852356.0,,,0.0,,,1369,110635,,,57515,81695,2933947,106259,,0
2015-08-10,2,2015,2392548,56204,3811177,3533,8931,,1128697,,178736,281827,11729,,1851222,31518,1819704,50476,1199,514850,464374,,,,278294,,1147986,1147986,0,0,1091226,9810,2547270,8140,,0,934779,,2015年06月30日,,,3124383,136825,16562,7442481,7390099,0,686794,3296847,7743791,8219,,,1903034,,,883730,934779,10820070,34830,79480,3377589,,2362316,,,,,10820070,,,,8000,,63,104458,,,52382,80742,3076279,73910,,0
