date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,3694671,,77945,2333108,-22222,34515.0,,969362,969362.0,42506,-44784,103585,,188914,,,67568,825,168825,33589,-22562,1795621,,,,,1901138,95388,2099.0,1809149,66743.0,,327061,2771639,2013年03月31日,1050057,,5998329,6009578,0,1052192,3167089,5222386,,39746,230859,,1217076.0,95517.0,,2771639,,,3614489.0,949615,,9612818.0,169120,79832,47669,,300000.0,135236,-11249,447400,4390432,,,0.0,0
2013-08-09,2,2013,,3865005,,77945,2069087,-27993,0.0,,1252143,1252143.0,37744,21355,90613,,162060,,,67544,842,163128,26046,49348,1750125,0.0,,,,2098135,94967,,2091107,66702.0,,324161,2771639,2013年06月30日,755081,,5802698,5811696,0,1083147,3659575,5384221,,47520,230859,,1207165.0,73717.0,50000.0,2771639,,,4106951.0,949615,,9909649.0,136020,79832,47669,,300000.0,137082,-8998,447376,4525428,,,0.0,0
2013-11-12,3,2013,200000.0,3962480,,116451,2173693,-30680,0.0,,1005694,1005694.0,31956,-35860,292383,92383.0,292843,,,67546,880,154952,23448,-5180,1877236,0.0,,,,2340859,119381,,2167786,66666.0,,320602,2771639,2013年09月30日,859687,,5850434,5859087,0,1083147,4057808,5807936,,45530,230859,,1295570.0,99491.0,200000.0,2771639,,,4605186.0,949615,,10455620.0,139306,79832,47669,,400000.0,131504,-8653,547378,4647684,3239.0,3239.0,0.0,0
2014-03-21,4,2013,8333.0,4116384,,111145,2167374,-26428,0.0,,1028646,1028646.0,32607,46852,113574,105241.0,336490,,,66084,898,159050,25741,73280,1706064,,,,,2026147,109911,,1966820,65186.0,,329633,2771639,2013年12月31日,853368,,5926622,5935480,0,1083147,3464724,5518986,,46308,230859,,1422745.0,86446.0,100000.0,2771639,,,4402307.0,949615,,10328929.0,50957,79832,47423,,791667.0,133309,-8858,937583,4809943,3303.0,3303.0,0.0,0
2014-05-15,1,2014,133333.0,4025614,,99945,2173434,-33625,0.0,,887919,887919.0,31869,106517,227634,94301.0,430518,,,66304,913,342087,183423,140142,1863910,,,0.0,,2124484,111995,,2041992,65391.0,,327848,2771639,2014年03月31日,859428,,5992061,6001205,0,1083147,4015458,6131751,,45654,230859,1712912.0,,80456.0,582970.0,2771639,,,5028261.0,949615,,11020322.0,46618,79832,47423,,866667.0,158664,-9144,1012803,4888571,3932.0,3932.0,,0
2014-08-08,2,2014,0.0,4106117,,92902,2078125,-29999,,,1121365,1121365.0,39086,17111,86779,86779.0,148914,,,66498,895,212635,58093,47110,1863530,,,0.0,1427179.0,2374086,109596,,2356209,65603.0,,321586,2771639,2014年06月30日,748865,,5879276,5888368,0,1098401,3739870,6361777,,50215,230859,1950179.0,,48044.0,0.0,2771639,,,5313379.0,1021493,,11192655.0,0,79832,47423,,0.0,154542,-9092,1573509,4830878,3859.0,3859.0,,0
2014-11-07,3,2014,0.0,4161197,,92902,2158258,-20142,,5245.0,952026,952026.0,37946,108451,89292,89292.0,139732,,,66834,1010,225336,68873,128593,1589373,,52376.0,0.0,1423081.0,2245384,79534,,2331209,65824.0,,333833,2771639,2014年09月30日,828998,,6060823,6070049,0,1098401,3404818,6134089,,48308,230859,1979522.0,,38582.0,0.0,2776884,,,4974565.0,1026456,,11035388.0,0,79832,39723,,0.0,156463,-9226,1569747,4901299,3931.0,3931.0,,0
2015-03-13,4,2014,0.0,4529550,,84410,2168723,-37199,,,1056122,1056122.0,105853,308771,92235,92235.0,152411,,,80741,4703,223215,61843,345970,1636308,,,0.0,1429189.0,2246205,99517,,1974829,76038.0,,303394,2776884,2014年12月31日,839463,,6271172,6280834,0,1098401,3590158,6221109,,45803,230859,2152834.0,,96079.0,0.0,2776884,,,5179920.0,1026456,,11451092.0,194796,79832,43611,,0.0,161372,-9662,1589762,5229983,4078.0,4078.0,,0
2015-05-08,1,2015,0.0,4262826,,84410,2039956,-35598,,,808816,808816.0,44028,229807,90336,90336.0,119852,,,80626,4626,222445,64701,265405,1732791,,,,1435189.0,2002066,85495,,1655612,,237345.0,305017,2776884,2015年03月31日,710696,92885.0,6063486,6073103,0,1098401,3079598,5534847,76000.0,42481,230859,,1606952.0,,0.0,2776884,10738731.0,4675245.0,,1026456,10738731.0,,371600,79832,49360,,0.0,157744,-9617,1595647,5203884,4012.0,4012.0,,0
2015-08-06,2,2015,,4363151,,74383,1653269,-14495,,,985668,,45593,220023,99819,99819.0,368190,152700.0,215490.0,80436,4466,214751,58994,234518,1711210,,,,1441282.0,2106747,70961,,2114419,,232856.0,316603,2776884,2015年06月30日,309225,66623.0,5666910,5676632,0,1113185,3329818,5310159,75970.0,41695,230859,,921656.0,,,2776884,10598278.0,4931368.0,,1026456,10598278.0,,145105,79832,44680,,,155757,-9722,1601550,5288119,3986.0,3986.0,,0
