date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,323077,2614595,0.0,302260,56615,56615.0,7894,6.0,-4614,343758,20681,105329,105329.0,115516,141099,55705,30261.0,1484849,,,,366598.0,257234,3810,389810,10405,,927644,136964,488351,47531.0,85255.0,238235,1874705,2013年03月31日,72423,,2548583,2270008,0,29383,2067913,3546593,,176.0,200454,,181295.0,,10281.0,993879,1874705,,2121,,4126358.0,97657,,6674941.0,0.0,95588,134243,1480743,85394.0,278575,2058445,3128348,166730,,0.0,0
2013-08-09,2,2013,203077,2599357,0.0,285697,132456,132456.0,36577,1.0,-637,214185,11108,121066,121066.0,128099,130288,44757,43088.0,1581452,,,,253579.0,490073,941,519709,9531,,1128413,149462,479249,69967.0,85011.0,223262,1874705,2013年06月30日,51888,,2612246,2334478,0,33355,2622870,3893120,,165.0,200454,,185392.0,,11660.0,1243960,1969947,,355,,4369451.0,79471,,6981697.0,0.0,95728,135505,1269175,85531.0,277768,1746581,3088577,141541,,95242.0,9524190
2013-11-11,3,2013,203077,2571656,0.0,275817,71640,71640.0,15468,,-4159,213481,10404,116806,116806.0,117644,119283,35565,32809.0,1289934,,,,253216.0,223467,6825,519647,15060,,869440,190774,475696,63481.0,84835.0,228392,1969947,2013年09月30日,42008,,2604906,2322542,0,33355,2162088,3457056,,155.0,200454,,244042.0,,10317.0,1086035,1971197,,15616,,3907473.0,79687,,6512379.0,0.0,96895,135837,1277630,83718.0,282364,1745385,3055323,191415,,1250.0,124999
2014-03-27,4,2013,686303,2550054,0.0,305852,64421,,12033,,-645,697363,11060,115520,,84570,242158,158287,,1006731,0.0,,,0.0,185259,2949,99827,37082,,868638,180374,423470,31052.0,,236206,1971197,2013年12月31日,72043,,2696705,2406959,0,33355,2282442,3087644,,145.0,200454,,258376.0,,15457.0,1167574,2014364,,12510,,3550309.0,87388,,6247014.0,0.0,95605,130807,1087692,83871.0,289746,1267867,3159370,191450,,43167.0,4316652
2014-05-13,1,2014,687398,2535599,,341144,80938,80938.0,13726,,4436,694956,7558,108063,108063.0,136670,228709,143916,55371.0,1374514,,,0.0,0.0,196818,3887,99929,12137,,852201,200799,389199,0.0,81299.0,239927,2014364,2014年03月31日,107335,,2741260,2447431,0,33355,2571468,3388620,,135.0,200454,278493.0,,,21939.0,1452025,2014447,,8839,,3780464.0,87404,,6521724.0,,95618,128734,976708,84793.0,293829,1208996,3133104,171625,,83.0,83
2014-08-11,2,2014,709837,2500660,,291840,130706,130706.0,41818,,-1247,719349,9512,105955,105955.0,117922,231453,149061,36932.0,1580458,,,0.0,0.0,170865,4081,199907,8955,,833578,184097,381365,0.0,80990.0,227514,2026697,2014年06月30日,51807,,2707904,2410834,0,39579,2838810,3699073,,124.0,200454,380786.0,,,7126.0,1590514,2029947,,7307,,4079082.0,90294,,6786986.0,,95560,128162,1026790,82392.0,297070,1240272,3087913,191016,,3250.0,324998
2014-11-12,3,2014,612027,2466484,,231387,55909,55909.0,33250,,3743,620185,8158,110091,110091.0,116489,214662,131465,35779.0,1448159,,,0.0,0.0,185589,3580,299685,9140,,787770,267530,420676,53.0,80710.0,231812,2029947,2014年09月30日,-8646,,2752902,2453912,0,39579,2703332,3442975,,,200454,209567.0,,,1034.0,1520903,2112530,,7307,,3730725.0,106252,,6483627.0,,95612,127694,815292,83197.0,298990,1027393,3040652,165879,,82583.0,8258321
2015-03-27,4,2014,70000,2462246,,305157,102612,102612.0,14229,,15374,76900,6900,115376,115376.0,60894,223897,137959,0.0,1216703,,,0.0,,200313,3810,349721,18550,,810000,215314,401643,0.0,60894.0,235877,2112530,2014年12月31日,65124,,2934442,2628576,0,39579,1822617,3353705,,,200454,400457.0,,,323.0,1060708,2187030,,9680,,3466482.0,121015,,6400924.0,,95762,125199,1487209,85938.0,305866,1643865,3047219,179983,,74500.0,7449993
2015-05-13,1,2015,150000,2435277,,336745,65206,65206.0,14285,,11828,157796,7796,118600,118600.0,81656,221259,137112,20945.0,1020446,,,0.0,,162249,9361,349724,5779,,744148,197644,339041,,,233132,2187030,2015年03月31日,96712,8345.0,2963338,2656618,0,39579,1689274,3084281,60711.0,,200454,,465999.0,,,923507,2187030,6099550.0,7307,3136212.0,,121015,6099550.0,,,95560,125601,1269722,84147.0,306720,1446938,3015269,184118,,0.0,0
2015-08-11,2,2015,170000,2407470,,292878,118595,118595.0,29099,,8650,176385,6385,109111,109111.0,90568,218308,135972,29971.0,1249358,,,,,173837,5000,369759,7069,,731203,200441,395395,,,211111,2187030,2015年06月30日,48338,8695.0,2918135,2609573,0,44086,1862769,3154539,60597.0,,200454,,265215.0,,,996122,2187030,6111788.0,7307,3193653.0,,121015,6111788.0,,,95587,120360,1144729,82336.0,308562,1330884,2957249,174717,,0.0,0
2015-11-11,3,2015,70000,2225767,,344518,81252,81252.0,32479,,20256,274163,6500,66716,66716.0,76867,142319,142319,16396.0,1251059,,255286.0,,,186538,1599,379717,7861,,793378,170748,409749,0.0,,212810,2187030,2015年09月30日,99978,13084.0,2993278,2672819,0,44086,1730104,3413892,60471.0,,200454,,230804.0,,,778583,2187030,6110567.0,7307,3117289.0,,121015,6110567.0,,,95562,115779,1214756,0.0,320459,1387185,2696675,203673,197663.0,0.0,0
2016-03-28,4,2015,110000,2194376,,808692,134281,134281.0,304403,,20879,120969,10969,525565,525565.0,58709,133678,133678,267.0,1285732,,,,,232246,3282,369707,14139,,752775,154923,364299,498.0,,228931,2187030,2015年12月31日,564152,22520.0,3476501,3137616,0,44086,1518974,4031755,58442.0,,200454,,451931.0,,,614523,2187030,6645423.0,7307,3168922.0,,121015,6645423.0,,,281524,56683,1309715,0.0,338885,1649948,2613668,191629,,0.0,0
2016-05-12,1,2016,110000,2206166,,903646,115454,115454.0,290664,,-1964,116606,6606,504514,504514.0,55428,135148,135148,15306.0,1063080,,,,,221235,1842,309755,6849,,802781,173725,330672,0.0,,232527,2187030,2016年03月31日,659106,44915.0,3584849,3209727,0,44086,1250179,3824297,40122.0,,200454,,447112.0,8042.0,,426216,2187030,6458717.0,7307,2873868.0,,121015,6458717.0,,,278813,52537,1289448,0.0,375122,1623689,2634420,211749,,,0
2016-08-11,2,2016,175000,2190232,,778812,363812,363812.0,6090,,-17865,177588,2588,736661,736661.0,57659,133357,133357,17322.0,1057515,,,,,202840,3436,369585,7246,,768257,207542,357808,3280.0,,231318,2187030,2016年06月30日,478440,81660.0,3454637,3068992,0,99918,2175379,4287451,40337.0,,200454,,923039.0,5514.0,,961905,2187030,6902149.0,7307,3447512.0,,121015,6902149.0,,,274614,54277,939860,0.0,385645,1272133,2614698,227259,,,0
2016-11-04,3,2016,200000,2176925,,862661,115207,115207.0,16493,,-35721,204088,2564,710664,710664.0,53683,134812,134812,13135.0,1103351,,0.0,,,228283,3557,489399,11747,122.0,835531,219429,349891,5494.0,,237617,2187030,2016年09月30日,562289,87857.0,3549532,3134985,0,99918,1978454,4070077,40548.0,,200454,,597814.0,3346.0,,830887,2187030,6674726.0,7307,3125194.0,,121015,6674726.0,,,268324,51949,824733,,414547,1146740,2604649,231410,1524.0,,0
