date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,催收款項,其他應付款合計,其他應付票據－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人,應付票據－關係人合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,331590,2198183,25450,1536212,0.0,0.0,0.0,283153,11910.0,30431,5,9106,514262,24758,69873,11655,150596,130022,28903,28903,97054,9106,25670,6443,3305001,3305001,81071.0,,,,336765,,509551,700216,,11910,,1387089,,319384,,77688.0,296793,979680,2013年03月31日,1030495,,,4258320,2877410,1597000,302588,4334467,6429693,,108709,203129,,1220164.0,128706.0,170.0,1798010,979680,,51894,,5009862.0,433483,1276,2300,428647,1260,,,9268182.0,,21661,152152,79332,372647,0.0,47238,78034,1380910,675395,2838489,,75915,16642,157914,0
2013-08-07,2,2013,272391,2239398,25450,1419955,0.0,0.0,,583323,11980.0,30195,5,22221,432551,15756,94629,11366,135032,115204,28559,28559,104092,22221,9264,5436,3310813,3310813,81071.0,,,,299680,,559672,782906,,11980,,1349399,,421663,,77720.0,296321,979680,2013年06月30日,873898,,,4089391,2776249,1597000,342928,4303424,6242247,,115458,203129,,916137.0,76823.0,8256.0,1506397,979680,,50092,,5025622.0,435464,1276,4281,428647,1260,,,9115013.0,0.0,20758,155499,80935,431667,,48048,78926,1313142,722198,2872766,,90392,2283,144404,0
2013-11-12,3,2013,258856,2207338,25450,1482480,0.0,0.0,,278110,16236.0,29253,5,11768,428682,19537,62660,10144,133746,118198,28559,28559,89802,11768,8427,8097,3417971,3417971,81071.0,,,,280447,,549278,797606,,16236,,1249297,,437768,,77814.0,296007,979680,2013年09月30日,936423,,,4139252,2827465,1597000,342928,4271091,6206235,,99946,203129,,890806.0,36888.0,2913.0,1835553,979680,,48291,,4898742.0,434608,1276,3425,428647,1260,,,9037994.0,,22189,148988,84820,344917,,47505,77594,1311787,627651,2831759,,93373,3948,150289,0
2014-03-18,4,2013,279829,2703485,25450,1550782,0.0,0.0,,368676,16366.0,13110,5,25406,504668,37953,37469,9250,132715,284227,0,0,89802,25406,19685,10760,3301039,3301039,0.0,,,,277145,47.0,719173,704045,47.0,16413,,1278954,,426706,58.0,67094.0,295696,967430,2013年12月31日,1004725,,,4315418,2969016,0,342928,4657689,6308236,,99052,203129,,1132452.0,51503.0,2909.0,1972948,967430,,43071,,5479640.0,425398,27,587,423524,1260,,,9795058.0,,22369,157146,78912,532090,,45936,78533,1346402,821951,3486822,188141.0,93165,6793,186886,0
2014-05-13,1,2014,289564,3245159,25450,1657948,,,,264998,16731.0,24482,5,27235,531824,27619,49394,10012,141941,87618,2846,2846,90444,27235,29656,3775,3442679,3442679,0.0,,0.0,,419293,0.0,719184,757818,95.0,16826,,1356063,21796.0,525003,3.0,67129.0,295386,967430,2014年03月31日,1111891,,,4581231,3077708,0,342928,4984429,6635394,,100456,203129,1081444.0,,82098.0,1386.0,2143761,967430,,48627,,5892163.0,425095,27,284,423524,1260,,,10473394.0,,27578,304235,83931,461558,,45156,77781,1503523,907734,3838000,0.0,105561,3216,214641,0
2014-08-12,2,2014,247513,3325186,25450,1487527,,,,783067,16398.0,24678,5,9820,476680,22050,35628,9318,131937,98186,5206,5206,90444,9820,21055,3943,3415289,3415289,0.0,29023.0,0.0,,367538,1069.0,719280,941312,284.0,16682,,1589613,15485.0,629130,0.0,67141.0,295076,967430,2014年06月30日,916745,,,4337734,2920124,0,381936,5379464,6796625,,99762,188846,942864.0,,79719.0,62.0,1943787,996453,,50330,,6388141.0,426324,27,1513,423524,1260,,,10725875.0,,27811,300979,85590,575761,,43741,75922,1417610,1008677,3929250,0.0,116060,13115,207117,0
2014-11-11,3,2014,274628,3351113,25450,1647627,,,,648921,16703.0,24959,471,32094,719935,33083,62058,8547,138693,87256,3890,3890,90444,32094,27278,3861,3511334,3511334,0.0,,0.0,,427660,0.0,739233,961362,855.0,17558,,1716532,2293.0,643707,0.0,67156.0,294765,996453,2014年09月30日,1076845,,,4565815,3101877,0,381936,5763589,7448024,,98991,188846,1311193.0,,72579.0,63.0,2122893,996453,,53448,,6820911.0,425703,27,892,423524,1260,,,11386726.0,,23517,306733,81127,611896,,44259,77422,1463938,1057322,3938702,0.0,151897,2083,412224,0
2015-03-11,4,2014,326552,3427504,25450,1919094,,,,416081,0.0,73260,221,67396,721727,92794,27993,8266,141373,133881,2282,2282,90444,67396,16389,8098,3350855,3350855,0.0,,0.0,,413706,876.0,871158,1056044,331.0,331,,1993229,8947.0,580084,0.0,79927.0,294456,1000323,2014年12月31日,1348312,,,4911132,3412094,0,381936,5908147,7721906,,98710,188846,1484801.0,,138453.0,0.0,2235775,1000323,,53996,,6871832.0,425281,82,53,423886,1260,,,11782964.0,,24473,333705,81057,488607,,45057,78032,1499038,963685,4061058,0.0,178043,45469,302381,0
2015-05-13,1,2015,445453,3401290,25450,2046205,,,,372546,0.0,165426,205,56828,779121,39978,19928,7341,147653,125387,1256,1256,90444,56828,23092,3797,3632347,3632347,0.0,,0.0,542629.0,583209,95.0,581557,1004663,556.0,556,,1963709,8360.0,530366,3.0,,294154,1000323,2015年03月31日,1475423,135687.0,1512.0,5106429,3577487,0,381936,5563830,8001664,80550.0,97785,188846,,1466371.0,,,2042235,1000323,12031720.0,57321,6925291.0,,474131,82,53,423886,1260,48850.0,12031720.0,,6840.0,26268,337391,85990,333788,,44011,74052,1528942,1361461,4030056,0.0,187169,46282,293690,0
2015-08-07,2,2015,337569,3366201,15913,1779398,,,,850463,0.0,35368,208,41374,687273,38964,33957,6395,139991,80200,0,0,90444,41374,16653,3235,3671260,3671260,0.0,0.0,0.0,902543.0,457497,495.0,874405,1037939,871.0,871,1932949.0,1932949,12440.0,505037,0.0,,293852,1000323,2015年06月30日,1140032,108372.0,7624.0,4748051,3309690,0,450520,6130816,8503658,80561.0,96839,188846,,2053885.0,,,2036197,1000323,12450951.0,55384,7702900.0,,488595,82,84,423886,1260,63283.0,12450951.0,,21920.0,22019,337512,94288,192038,,42777,72550,1438361,1572084,3947293,0.0,228911,4415,310740,0
