date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,2335099,25233532,148979,-4031962,,637946,436391,-688706,2992479,657380,753939,189,223786,59694,837876,837687,5082821,2703977,,,1664774,70606,289699,333812,,2251080,27955,28463,164092.0,358259,263039,26472494,2013年03月31日,-4031962,,28258550,22872766,77279903,9515739,12764402,,1340954,,259925.0,40500.0,,,4086926.0,31798.0,3695985,26472494,,,15238594.0,3824917,,43497144.0,195,273293,15395,1871657,5483674,5385784,5722855,30732742,0
2013-08-14,2,2013,2003035,24756954,325358,-2389008,,614743,915034,-652897,2134374,131339,799191,189,213809,41455,526625,526436,4765827,2597373,,,1614144,15646,289777,267435,73330.0,2690786,6627,57282,172354.0,354536,290585,26154274,2013年06月30日,-2389008,,27591309,22316132,45457903,9755801,12489628,,1321177,,200965.0,35500.0,,,3680166.0,20435.0,4424260,26154274,,,14948568.0,1801136,,42539877.0,1366,288784,1375,1824771,4977583,5275177,5192767,30050249,0
2013-11-14,3,2013,1836963,24089252,355333,-2964941,,530376,665308,-831168,2100010,263047,746941,189,204904,34189,469529,469340,4567284,2597373,,,1585533,14847,279716,345961,51982.0,2511950,7016,43344,170715.0,350632,283848,26154274,2013年09月30日,-2964941,,26766083,21579637,45457903,9182865,11615575,,1295201,,200372.0,33000.0,,,3315365.0,1127.0,4138215,26154274,,,14082531.0,1818845,,40848614.0,166,223303,2982,1825868,4691780,5186446,4899666,29233039,0
2014-03-28,4,2013,1697533,23553120,420886,-4234065,,791332,845298,-378129,2036063,338530,619314,189,225116,37299,529998,529809,4068678,2597373,143275.0,,1478594,16847,79818,283397,41299.0,2386519,6422,35340,187817.0,346936,272220,26154274,2013年12月31日,-4234065,,26093574,20749130,45457903,8612444,11256277,,1273507,,218272.0,31000.0,,,3582012.0,29.0,3819489,26154274,,,14002089.0,1804423,,40095663.0,11610,196445,650,1620387,5163879,5344444,5389645,28839386,0
2014-05-14,1,2014,1086227,22807989,418354,-5085827,,1330185,668089,-252313,1298655,212428,658506,189,209925,23488,487154,486965,3709460,2597373,143275.0,0.0,1411395,27173,79886,266730,22151.0,2173970,4383,14350,186437.0,344477,266115,26154274,2014年03月31日,-5085827,,25358913,20029268,45457903,7355460,10458959,,1239019,,263170.0,31000.0,,3417985.0,,0.0,3575959,26154274,,,13614563.0,1810507,,38973476.0,5422,73860,1591,1590224,6047587,5329645,6259103,28514517,0
2014-08-14,2,2014,1084107,22043819,418354,-4884132,10380.0,1159087,680785,-512839,1314788,230681,657534,189,216196,29486,427290,427101,3658394,2597373,143275.0,0.0,1356730,8800,79841,217743,40490.0,1848915,3185,26319,186710.0,340929,254522,26154274,2014年06月30日,-4884132,,23968681,18833140,45457903,7089900,9801844,,1221559,,251463.0,31000.0,,2962218.0,,0.0,3389602,26154274,,,13262549.0,673210,,37231230.0,1121,240161,681,1532826,5955772,5135541,6172649,27429386,0
2014-11-14,3,2014,938643,21595177,433009,-5498812,10300.0,1063986,639047,-387515,1101468,162825,847738,189,215842,29743,410263,410074,3975633,2597373,0.0,0.0,1396056,9812,79795,193641,39277.0,2025789,1003,21369,186099.0,336461,275298,26154274,2014年09月30日,-5498812,,23383441,18346806,45457903,7042477,10018096,,1193318,,251333.0,31000.0,,2742301.0,,0.0,3583040,26154274,,,13462867.0,676232,,36846308.0,341,142630,1234,1489700,6203314,5036635,6420390,26828212,0
2015-03-23,4,2014,2465083,21015739,409743,-6423100,10200.0,1017957,839898,-179779,2653464,188381,620587,189,267759,73249,525568,525379,3748854,2588828,0.0,0.0,1396763,18209,79994,205627,33761.0,2383879,63819,47381,194510.0,332908,250569,26129274,2014年12月31日,-6423100,,22453532,17640215,42957903,8735933,9686027,,1171978,,279788.0,31000.0,,2452018.0,,0.0,3508217,26129274,,,13346448.0,702648,,35799980.0,0,79501,15517,1358491,4327239,4813317,4610515,26113953,0
2015-05-12,1,2015,2446307,20443037,409743,-7149622,10500.0,895723,638929,-238109,2724410,278103,725557,189,285621,89341,496468,496279,3476915,2588828,13800.0,0.0,1381145,14761,61981,181729,32310.0,2359516,80,37748,,329219,238809,26129274,2015年03月31日,-7149622,,21677499,16861078,42957903,8326805,9490223,196280.0,1141372,330207.0,,,31000.0,,2453978.0,,3291540,26129274,34781924.0,13104425.0,,708363,34781924.0,,0,81922,330,1306330,4491669,4816421,4777620,25291701,0
2015-08-12,2,2015,2857904,18888366,392958,-6989592,10140.0,643847,597317,-338979,3099745,241841,1336002,189,287182,92429,477173,476984,3330287,2588828,13800.0,0.0,1225793,9970,17480,182535,31309.0,2090512,7900,31906,,551949,186263,26129274,2015年06月30日,-6989592,,21611173,16865430,42957903,7794698,9897090,194753.0,1120470,308474.0,,,31000.0,,2632713.0,,2629046,26129274,33469215.0,11858042.0,,653555,33469215.0,,1503,135356,741,1280099,3775421,4745743,4063344,23572125,0
